,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,SIM_9,SIM_10,SIM_11,SIM_12,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,OPT_9,OPT_10,OPT_11,OPT_12,SIM_100,SIM_101,OPT_100,OPT_101
Param,veg,Zroot,1,1,1000,0,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,800,800,0,0
Param,veg,ΔRdf_Top,1,0.01,1,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0
Param,veg,Zroot_Top,1,0.01,1000,0,300,300,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,300,300,0,0
Param,veg,Lai,1,1,6,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
Param,veg,CropCoeficient,1,0.4,1.15,0,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.85,0,0
Param,veg,ExtinctCoefRadiation,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Ψfeddes1,1,0.01,150000,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
Param,veg,Ψfeddes2,1,0.01,150000,0,250,250,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,250,250,0,0
Param,veg,Ψfeddes3,1,0.01,150000,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,0,0
Param,veg,Ψfeddes4,1,0.01,150000,0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,0,0,0,0,0,0,0,0,0,0,0,0,80000,80000,0,0
Param,veg,RootWaterUptakeComp,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Zevapo,1,0.01,150,0,250,250,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,250,250,0,0
Param,veg,Sint_Lai,1,0.01,1,0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,0,0
Param,veg,Sint_Sat,1,0.01,7,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Vector,hydro,θs,1,0.476185924,0.6,0,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,1,1,0,1,0,0,0,1,0,0,0,0,0.56961,0.48461,0,0
Vector,hydro,θs,2,0.476185924,0.6,0,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,1,1,0,0,1,0,0,0,1,0,0,0,0.59975,0.48461,0,0
Vector,hydro,θs,3,0.502132445,0.6,0,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,1,1,0,0,1,0,0,0,0,1,0,0,0.58023,0.48461,0,0
Vector,hydro,θs,4,0.502132445,0.6,0,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,1,0,1,0,0,1,0,0,0,0,1,0,0.51162,0.48461,0,0
Vector,hydro,θs,5,0.50501296,0.6,0,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,0.6545,1,0,1,0,0,0,1,0,0,0,0,1,0.52248,0.48461,0,0
Vector,hydro,θr,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0.04904,0.14698,0,0
Vector,hydro,θr,2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0.03476,0.14698,0,0
Vector,hydro,θr,3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.1871,0.14698,0,0
Vector,hydro,θr,4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0516,0.14698,0,0
Vector,hydro,θr,5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.19811,0.14698,0,0
Vector,hydro,Ks,1,7.03E-07,0.8,1,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,1,1,0,1,0,0,0,1,0,0,0,0,0.00885,4.00E-05,0,0
Vector,hydro,Ks,2,7.03E-07,0.8,1,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,1,1,0,0,1,0,0,0,1,0,0,0,0.00127,4.00E-05,0,0
Vector,hydro,Ks,3,7.03E-07,0.8,1,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,1,1,0,0,1,0,0,0,0,1,0,0,0.05288,4.00E-05,0,0
Vector,hydro,Ks,4,7.03E-07,0.8,1,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,1,0,1,0,0,1,0,0,0,0,1,0,0.00093,4.00E-05,0,0
Vector,hydro,Ks,5,0.00E+00,0.8,1,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,0.0222222,1,0,1,0,0,0,1,0,0,0,0,1,2.78E-06,4.00E-05,0,0
Vector,hydro,σ,1,0.8,4.5,0,4.4846,4.4846,4.4846,4.4846,4.4846,4.4846,4.4846,4.4846,4.4846,4.4846,4.4846,4.4846,1,1,0,1,0,0,0,1,0,0,0,0,1.8055,1.97056,0,0
Vector,hydro,σ,2,0.8,4.5,0,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,1,1,0,0,1,0,0,0,1,0,0,0,1.70241,1.97056,0,0
Vector,hydro,σ,3,0.8,4.5,0,4.485,4.485,4.485,4.485,4.485,4.485,4.485,4.485,4.485,4.485,4.485,4.485,1,1,0,0,1,0,0,0,0,1,0,0,1.8961,1.97056,0,0
Vector,hydro,σ,4,0.8,4.5,0,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,4.4829,1,0,1,0,0,1,0,0,0,0,1,0,2.44758,1.97056,0,0
Vector,hydro,σ,5,0.8,4.5,0,4.4746,4.4746,4.4746,4.4746,4.4746,4.4746,4.4746,4.4746,4.4746,4.4746,4.4746,4.4746,1,0,1,0,0,0,1,0,0,0,0,1,1.41806,1.97056,0,0
Vector,hydro,Ψm,1,800,150000,1,318513.131,318513.131,318513.131,318513.131,318513.131,318513.131,318513.131,318513.131,318513.131,318513.131,318513.131,318513.131,1,1,0,1,0,0,0,1,0,0,0,0,13809.59825,27210.83536,0,0
Vector,hydro,Ψm,2,800,150000,1,317987.187,317987.187,317987.187,317987.187,317987.187,317987.187,317987.187,317987.187,317987.187,317987.187,317987.187,317987.187,1,1,0,0,1,0,0,0,1,0,0,0,11324.00958,27210.83536,0,0
Vector,hydro,Ψm,3,800,150000,1,317951.918,317951.918,317951.918,317951.918,317951.918,317951.918,317951.918,317951.918,317951.918,317951.918,317951.918,317951.918,1,1,0,0,1,0,0,0,0,1,0,0,8574.47509,27210.83536,0,0
Vector,hydro,Ψm,4,800,150000,1,317844.711,317844.711,317844.711,317844.711,317844.711,317844.711,317844.711,317844.711,317844.711,317844.711,317844.711,317844.711,1,0,1,0,0,1,0,0,0,0,1,0,78017.92545,27210.83536,0,0
Vector,hydro,Ψm,5,800,150000,1,317065.375,317065.375,317065.375,317065.375,317065.375,317065.375,317065.375,317065.375,317065.375,317065.375,317065.375,317065.375,1,0,1,0,0,0,1,0,0,0,0,1,4157.69967,27210.83536,0,0
Vector,hydro,θsMacMat_ƞ,1,0.7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Vector,hydro,θsMacMat_ƞ,2,0.7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Vector,hydro,θsMacMat_ƞ,3,0.7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Vector,hydro,θsMacMat_ƞ,4,0.7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Vector,hydro,θsMacMat_ƞ,5,0.7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Vector,hydro,σMac,1,0.2,0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0
Vector,hydro,σMac,2,0.2,0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0
Vector,hydro,σMac,3,0.2,0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0
Vector,hydro,σMac,4,0.2,0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0
Vector,hydro,σMac,5,0.2,0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0
Vector,hydro,ΨmMac,1,50,390,0,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
Vector,hydro,ΨmMac,2,50,390,0,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
Vector,hydro,ΨmMac,3,50,390,0,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
Vector,hydro,ΨmMac,4,50,390,0,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
Vector,hydro,ΨmMac,5,50,390,0,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
Vector,hydro,So,1,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,2,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,3,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,4,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,5,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
