Year,Month,Day,Hour,Minute,Second,Z=200mm
2008,1,1,9,0,0,0.295
2008,1,2,9,0,0,0.292
2008,1,3,9,0,0,0.287
2008,1,4,9,0,0,0.27899999999999997
2008,1,5,9,0,0,0.26899999999999996
2008,1,6,9,0,0,0.259
2008,1,7,9,0,0,0.255
2008,1,8,9,0,0,0.249
2008,1,9,9,0,0,0.242
2008,1,10,9,0,0,0.23800000000000002
2008,1,11,9,0,0,0.231
2008,1,12,9,0,0,0.228
2008,1,13,9,0,0,0.226
2008,1,14,9,0,0,0.249
2008,1,15,9,0,0,0.247
2008,1,16,9,0,0,0.228
2008,1,17,9,0,0,0.24100000000000002
2008,1,18,9,0,0,0.239
2008,1,19,9,0,0,0.235
2008,1,20,9,0,0,0.23
2008,1,21,9,0,0,0.22699999999999998
2008,1,22,9,0,0,0.268
2008,1,23,9,0,0,0.266
2008,1,24,9,0,0,0.26
2008,1,25,9,0,0,0.253
2008,1,26,9,0,0,0.24600000000000002
2008,1,27,9,0,0,0.24
2008,1,28,9,0,0,0.23399999999999999
2008,1,29,9,0,0,0.22899999999999998
2008,1,30,9,0,0,0.22699999999999998
2008,1,31,9,0,0,0.225
2008,2,1,9,0,0,0.226
2008,2,2,9,0,0,0.226
2008,2,3,9,0,0,0.225
2008,2,4,9,0,0,0.247
2008,2,5,9,0,0,0.233
2008,2,6,9,0,0,0.22699999999999998
2008,2,7,9,0,0,0.223
2008,2,8,9,0,0,0.222
2008,2,9,9,0,0,0.222
2008,2,10,9,0,0,0.222
2008,2,11,9,0,0,0.222
2008,2,12,9,0,0,0.222
2008,2,13,9,0,0,0.222
2008,2,14,9,0,0,0.231
2008,2,15,9,0,0,0.244
2008,2,16,9,0,0,0.266
2008,2,17,9,0,0,0.26
2008,2,18,9,0,0,0.255
2008,2,19,9,0,0,0.25
2008,2,20,9,0,0,0.245
2008,2,21,9,0,0,0.24100000000000002
2008,2,22,9,0,0,0.23800000000000002
2008,2,23,9,0,0,0.23399999999999999
2008,2,24,9,0,0,0.23
2008,2,25,9,0,0,0.22699999999999998
