Year,Month,Day,Hour,Minute,Second,PET(mm),Rain(mm)
1972,1,1,9,0,0,4.9495100975,9.30000019073
1972,1,2,9,0,0,2.84422230721,12.0
1972,1,3,9,0,0,5.50550508499,0.0
1972,1,4,9,0,0,6.14766979218,0.0
1972,1,5,9,0,0,5.97033548355,0.0
1972,1,6,9,0,0,4.69090270996,2.70000004768
1972,1,7,9,0,0,5.24081897736,0.0
1972,1,8,9,0,0,6.48715543747,0.0
1972,1,9,9,0,0,5.21876144409,0.0
1972,1,10,9,0,0,5.22242069244,0.0
1972,1,11,9,0,0,5.16386032104,2.59999990463
1972,1,12,9,0,0,3.62493371964,3.40000009537
1972,1,13,9,0,0,4.01342201233,0.0
1972,1,14,9,0,0,3.73035407066,0.0
1972,1,15,9,0,0,3.6216468811,0.0
1972,1,16,9,0,0,4.30987358093,0.0
1972,1,17,9,0,0,5.53490924835,0.0
1972,1,18,9,0,0,3.56547927856,0.0
1972,1,19,9,0,0,4.76714611053,0.0
1972,1,20,9,0,0,5.05535173416,0.0
1972,1,21,9,0,0,3.53503704071,0.0
1972,1,22,9,0,0,2.06714487076,10.1000003815
1972,1,23,9,0,0,3.44008016586,0.0
1972,1,24,9,0,0,5.86427116394,0.0
1972,1,25,9,0,0,5.09419441223,0.0
1972,1,26,9,0,0,5.31064939499,0.0
1972,1,27,9,0,0,4.57733106613,0.0
1972,1,28,9,0,0,5.13556051254,0.0
1972,1,29,9,0,0,3.19051218033,7.59999990463
1972,1,30,9,0,0,4.85880708694,0.0
1972,1,31,9,0,0,4.80598163605,0.0
1972,2,1,9,0,0,4.17834997177,0.0
1972,2,2,9,0,0,5.7376537323,0.0
1972,2,3,9,0,0,5.64604330063,0.0
1972,2,4,9,0,0,5.58531188965,0.0
1972,2,5,9,0,0,4.28596735001,0.0
1972,2,6,9,0,0,4.16624546051,0.0
1972,2,7,9,0,0,4.74753284454,0.0
1972,2,8,9,0,0,5.4433965683,0.0
1972,2,9,9,0,0,3.37820911407,4.0
1972,2,10,9,0,0,6.00593709946,0.0
