Year,Month,Day,Hour,Minute,Second,PET(mm),Rain(mm)
1972,1,1,9,0,0,5.94638395309,0.0
1972,1,2,9,0,0,4.17538309097,0.0
1972,1,3,9,0,0,7.26282262802,0.0
1972,1,4,9,0,0,6.12252998352,0.0
1972,1,5,9,0,0,4.37987375259,0.0
1972,1,6,9,0,0,3.74063777924,11.6000003815
1972,1,7,9,0,0,2.29025697708,8.10000038147
1972,1,8,9,0,0,4.70595550537,0.0
1972,1,9,9,0,0,4.21528244019,0.0
1972,1,10,9,0,0,5.74997186661,0.0
1972,1,11,9,0,0,3.33497834206,0.0
1972,1,12,9,0,0,6.51721286774,0.0
1972,1,13,9,0,0,3.39939641953,3.90000009537
1972,1,14,9,0,0,5.80969047546,0.0
1972,1,15,9,0,0,4.25149393082,1.89999997616
1972,1,16,9,0,0,5.12591028214,0.0
1972,1,17,9,0,0,5.60314273834,0.0
1972,1,18,9,0,0,3.45050978661,0.0
1972,1,19,9,0,0,4.9007153511,3.40000009537
1972,1,20,9,0,0,2.52301239967,0.0
1972,1,21,9,0,0,3.57991051674,0.0
1972,1,22,9,0,0,4.36146593094,0.0
1972,1,23,9,0,0,3.91881036758,0.0
1972,1,24,9,0,0,6.0227432251,0.0
1972,1,25,9,0,0,4.25725889206,1.5
1972,1,26,9,0,0,4.31912374496,0.0
1972,1,27,9,0,0,5.91292858124,0.0
1972,1,28,9,0,0,3.69835972786,12.5
1972,1,29,9,0,0,3.59690642357,0.0
1972,1,30,9,0,0,5.94687843323,0.0
1972,1,31,9,0,0,5.23076200485,3.09999990463
1972,2,1,9,0,0,3.00972652435,6.40000009537
1972,2,2,9,0,0,4.33556842804,0.0
1972,2,3,9,0,0,5.07763767242,0.0
1972,2,4,9,0,0,5.42018938065,0.0
1972,2,5,9,0,0,3.14040756226,0.0
1972,2,6,9,0,0,4.70452213287,0.0
1972,2,7,9,0,0,4.79874801636,0.0
1972,2,8,9,0,0,4.92039680481,8.30000019073
1972,2,9,9,0,0,2.57109069824,5.40000009537
1972,2,10,9,0,0,4.65175199509,0.0
1972,2,11,9,0,0,2.59903907776,0.0
1972,2,12,9,0,0,1.88489675522,0.0
1972,2,13,9,0,0,3.95356822014,0.0
1972,2,14,9,0,0,5.2767996788,0.0
1972,2,15,9,0,0,5.04008674622,0.0
1972,2,16,9,0,0,5.14785289764,0.0
1972,2,17,9,0,0,2.10317373276,0.0
1972,2,18,9,0,0,4.03838014603,0.0
1972,2,19,9,0,0,4.19359111786,0.0
1972,2,20,9,0,0,4.13247442245,0.0
1972,2,21,9,0,0,2.92568445206,0.0
1972,2,22,9,0,0,3.5545694828,0.0
1972,2,23,9,0,0,3.50311970711,1.79999995232
1972,2,24,9,0,0,1.50761246681,18.0
1972,2,25,9,0,0,5.16686487198,0.0
1972,2,26,9,0,0,5.32475137711,0.0
1972,2,27,9,0,0,4.19760990143,0.0
1972,2,28,9,0,0,4.65293645859,0.0
1972,2,29,9,0,0,3.34543013573,0.0
1972,3,1,9,0,0,3.30654644966,0.0
1972,3,2,9,0,0,4.22603273392,0.0
1972,3,3,9,0,0,3.29966831207,0.0
1972,3,4,9,0,0,3.70853638649,1.20000004768
1972,3,5,9,0,0,3.54663205147,3.20000004768
1972,3,6,9,0,0,3.24917387962,0.0
1972,3,7,9,0,0,2.41858696938,0.0
1972,3,8,9,0,0,2.56145310402,0.0
1972,3,9,9,0,0,1.62736868858,1.5
1972,3,10,9,0,0,1.25845789909,13.6999998093
