Year,Month,Day,Hour,Minute,Second,Z=200mm
2008,1,1,9,0,0,0.161
2008,1,2,9,0,0,0.152
2008,1,3,9,0,0,0.147
2008,1,4,9,0,0,0.14400000000000002
2008,1,5,9,0,0,0.14
2008,1,6,9,0,0,0.136
2008,1,7,9,0,0,0.138
2008,1,8,9,0,0,0.18
2008,1,9,9,0,0,0.171
2008,1,10,9,0,0,0.16399999999999998
2008,1,11,9,0,0,0.158
2008,1,12,9,0,0,0.146
2008,1,13,9,0,0,0.14
2008,1,14,9,0,0,0.136
2008,1,15,9,0,0,0.133
2008,1,16,9,0,0,0.13
2008,1,17,9,0,0,0.128
2008,1,18,9,0,0,0.125
2008,1,19,9,0,0,0.124
2008,1,20,9,0,0,0.12300000000000001
2008,1,21,9,0,0,0.12
2008,1,22,9,0,0,0.129
2008,1,23,9,0,0,0.134
2008,1,24,9,0,0,0.133
2008,1,25,9,0,0,0.131
2008,1,26,9,0,0,0.129
2008,1,27,9,0,0,0.126
2008,1,28,9,0,0,0.125
2008,1,29,9,0,0,0.12300000000000001
2008,1,30,9,0,0,0.122
2008,1,31,9,0,0,0.12
2008,2,1,9,0,0,0.12
2008,2,2,9,0,0,0.12
2008,2,3,9,0,0,0.121
2008,2,4,9,0,0,0.146
2008,2,5,9,0,0,0.155
2008,2,6,9,0,0,0.153
2008,2,7,9,0,0,0.15
2008,2,8,9,0,0,0.146
2008,2,9,9,0,0,0.142
2008,2,10,9,0,0,0.139
2008,2,11,9,0,0,0.184
2008,2,12,9,0,0,0.258
2008,2,13,9,0,0,0.252
2008,2,14,9,0,0,0.259
2008,2,15,9,0,0,0.276
2008,2,16,9,0,0,0.28800000000000003
2008,2,17,9,0,0,0.276
2008,2,18,9,0,0,0.26899999999999996
2008,2,19,9,0,0,0.261
2008,2,20,9,0,0,0.249
2008,2,21,9,0,0,0.249
2008,2,22,9,0,0,0.244
2008,2,23,9,0,0,0.24
2008,2,24,9,0,0,0.235
2008,2,25,9,0,0,0.22899999999999998
2008,2,26,9,0,0,0.223
2008,2,27,9,0,0,0.21600000000000003
2008,2,28,9,0,0,0.21
2008,2,29,9,0,0,0.204
2008,3,1,9,0,0,0.214
2008,3,2,9,0,0,0.258
2008,3,3,9,0,0,0.281
2008,3,4,9,0,0,0.281
2008,3,5,9,0,0,0.278
2008,3,6,9,0,0,0.271
2008,3,7,9,0,0,0.262
2008,3,8,9,0,0,0.253
2008,3,9,9,0,0,0.25
2008,3,10,9,0,0,0.244
2008,3,11,9,0,0,0.24
2008,3,12,9,0,0,0.235
2008,3,13,9,0,0,0.231
2008,3,14,9,0,0,0.22899999999999998
2008,3,15,9,0,0,0.225
2008,3,16,9,0,0,0.222
2008,3,17,9,0,0,0.218
2008,3,18,9,0,0,0.213
2008,3,19,9,0,0,0.20800000000000002
2008,3,20,9,0,0,0.20199999999999999
2008,3,21,9,0,0,0.19699999999999998
2008,3,22,9,0,0,0.19399999999999998
2008,3,23,9,0,0,0.193
2008,3,24,9,0,0,0.18899999999999997
2008,3,25,9,0,0,0.18600000000000003
2008,3,26,9,0,0,0.182
2008,3,27,9,0,0,0.17800000000000002
2008,3,28,9,0,0,0.175
2008,3,29,9,0,0,0.17300000000000001
2008,3,30,9,0,0,0.171
2008,3,31,9,0,0,0.168
2008,4,1,9,0,0,0.165
2008,4,2,9,0,0,0.162
2008,4,3,9,0,0,0.16
2008,4,4,9,0,0,0.157
2008,4,5,9,0,0,0.158
2008,4,6,9,0,0,0.161
2008,4,7,9,0,0,0.19399999999999998
2008,4,8,9,0,0,0.19399999999999998
2008,4,9,9,0,0,0.196
2008,4,10,9,0,0,0.20199999999999999
2008,4,11,9,0,0,0.201
2008,4,12,9,0,0,0.19899999999999998
2008,4,13,9,0,0,0.19699999999999998
2008,4,14,9,0,0,0.195
2008,4,15,9,0,0,0.204
2008,4,16,9,0,0,0.222
2008,4,17,9,0,0,0.223
2008,4,18,9,0,0,0.21899999999999997
2008,4,19,9,0,0,0.221
2008,4,20,9,0,0,0.22
2008,4,21,9,0,0,0.218
2008,4,22,9,0,0,0.214
2008,4,23,9,0,0,0.21
2008,4,24,9,0,0,0.20800000000000002
2008,4,25,9,0,0,0.20600000000000002
2008,4,26,9,0,0,0.205
2008,4,27,9,0,0,0.20600000000000002
2008,4,28,9,0,0,0.205
2008,4,29,9,0,0,0.203
2008,4,30,9,0,0,0.203
2008,5,1,9,0,0,0.201
2008,5,2,9,0,0,0.204
2008,5,3,9,0,0,0.237
2008,5,4,9,0,0,0.242
2008,5,5,9,0,0,0.256
2008,5,6,9,0,0,0.26
2008,5,7,9,0,0,0.258
2008,5,8,9,0,0,0.258
2008,5,9,9,0,0,0.257
2008,5,10,9,0,0,0.259
2008,5,11,9,0,0,0.26899999999999996
2008,5,12,9,0,0,0.314
2008,5,13,9,0,0,0.316
2008,5,14,9,0,0,0.315
2008,5,15,9,0,0,0.271
2008,5,16,9,0,0,0.268
2008,5,17,9,0,0,0.267
2008,5,18,9,0,0,0.265
2008,5,19,9,0,0,0.264
2008,5,20,9,0,0,0.263
2008,5,21,9,0,0,0.263
2008,5,22,9,0,0,0.271
2008,5,23,9,0,0,0.28800000000000003
2008,5,24,9,0,0,0.306
2008,5,25,9,0,0,0.312
2008,5,26,9,0,0,0.305
2008,5,27,9,0,0,0.298
2008,5,28,9,0,0,0.293
2008,5,29,9,0,0,0.29100000000000004
2008,5,30,9,0,0,0.29
2008,5,31,9,0,0,0.28800000000000003
2008,6,1,9,0,0,0.299
2008,6,2,9,0,0,0.318
2008,6,3,9,0,0,0.31
2008,6,4,9,0,0,0.309
2008,6,5,9,0,0,0.303
2008,6,6,9,0,0,0.299
2008,6,7,9,0,0,0.303
2008,6,8,9,0,0,0.314
2008,6,9,9,0,0,0.317
2008,6,10,9,0,0,0.321
2008,6,11,9,0,0,0.32
2008,6,12,9,0,0,0.319
2008,6,13,9,0,0,0.314
2008,6,14,9,0,0,0.307
2008,6,15,9,0,0,0.303
2008,6,16,9,0,0,0.299
2008,6,17,9,0,0,0.311
2008,6,18,9,0,0,0.313
2008,6,19,9,0,0,0.309
2008,6,20,9,0,0,0.305
2008,6,21,9,0,0,0.301
2008,6,22,9,0,0,0.3
2008,6,23,9,0,0,0.31
2008,6,24,9,0,0,0.318
2008,6,25,9,0,0,0.326
2008,6,26,9,0,0,0.318
2008,6,27,9,0,0,0.331
2008,6,28,9,0,0,0.34299999999999997
2008,6,29,9,0,0,0.34700000000000003
2008,6,30,9,0,0,0.32299999999999995
2008,7,1,9,0,0,0.317
2008,7,2,9,0,0,0.314
2008,7,3,9,0,0,0.33
2008,7,4,9,0,0,0.33299999999999996
2008,7,5,9,0,0,0.327
2008,7,6,9,0,0,0.327
2008,7,7,9,0,0,0.32799999999999996
2008,7,8,9,0,0,0.32899999999999996
2008,7,9,9,0,0,0.324
2008,7,10,9,0,0,0.319
2008,7,11,9,0,0,0.331
2008,7,12,9,0,0,0.34299999999999997
2008,7,13,9,0,0,0.327
2008,7,14,9,0,0,0.322
2008,7,15,9,0,0,0.319
2008,7,16,9,0,0,0.317
2008,7,17,9,0,0,0.315
2008,7,18,9,0,0,0.313
2008,7,19,9,0,0,0.33399999999999996
2008,7,20,9,0,0,0.327
2008,7,21,9,0,0,0.324
2008,7,22,9,0,0,0.33899999999999997
2008,7,23,9,0,0,0.363
2008,7,24,9,0,0,0.36
2008,7,25,9,0,0,0.342
2008,7,26,9,0,0,0.337
2008,7,27,9,0,0,0.358
2008,7,28,9,0,0,0.33399999999999996
2008,7,29,9,0,0,0.341
2008,7,30,9,0,0,0.389
2008,7,31,9,0,0,0.371
2008,8,1,9,0,0,0.34
2008,8,2,9,0,0,0.353
2008,8,3,9,0,0,0.355
2008,8,4,9,0,0,0.371
2008,8,5,9,0,0,0.349
2008,8,6,9,0,0,0.336
2008,8,7,9,0,0,0.33
2008,8,8,9,0,0,0.359
2008,8,9,9,0,0,0.342
2008,8,10,9,0,0,0.336
2008,8,11,9,0,0,0.331
2008,8,12,9,0,0,0.32799999999999996
2008,8,13,9,0,0,0.327
2008,8,14,9,0,0,0.32899999999999996
2008,8,15,9,0,0,0.34
2008,8,16,9,0,0,0.335
2008,8,17,9,0,0,0.33399999999999996
2008,8,18,9,0,0,0.33799999999999997
2008,8,19,9,0,0,0.33799999999999997
2008,8,20,9,0,0,0.33399999999999996
2008,8,21,9,0,0,0.32899999999999996
2008,8,22,9,0,0,0.325
2008,8,23,9,0,0,0.322
2008,8,24,9,0,0,0.35
2008,8,25,9,0,0,0.413
2008,8,26,9,0,0,0.386
2008,8,27,9,0,0,0.353
2008,8,28,9,0,0,0.33799999999999997
2008,8,29,9,0,0,0.33399999999999996
2008,8,30,9,0,0,0.33399999999999996
2008,8,31,9,0,0,0.33
2008,9,1,9,0,0,0.326
2008,9,2,9,0,0,0.32
2008,9,3,9,0,0,0.314
2008,9,4,9,0,0,0.35700000000000004
2008,9,5,9,0,0,0.381
2008,9,6,9,0,0,0.35
2008,9,7,9,0,0,0.337
2008,9,8,9,0,0,0.331
2008,9,9,9,0,0,0.327
2008,9,10,9,0,0,0.325
2008,9,11,9,0,0,0.32299999999999995
2008,9,12,9,0,0,0.325
2008,9,13,9,0,0,0.32299999999999995
2008,9,14,9,0,0,0.319
2008,9,15,9,0,0,0.315
2008,9,16,9,0,0,0.31
2008,9,17,9,0,0,0.304
2008,9,18,9,0,0,0.318
2008,9,19,9,0,0,0.33899999999999997
2008,9,20,9,0,0,0.32799999999999996
2008,9,21,9,0,0,0.322
2008,9,22,9,0,0,0.319
2008,9,23,9,0,0,0.314
2008,9,24,9,0,0,0.31
2008,9,25,9,0,0,0.304
2008,9,26,9,0,0,0.298
2008,9,27,9,0,0,0.308
2008,9,28,9,0,0,0.32299999999999995
2008,9,29,9,0,0,0.318
2008,9,30,9,0,0,0.319
2008,10,1,9,0,0,0.316
2008,10,2,9,0,0,0.318
2008,10,3,9,0,0,0.313
2008,10,4,9,0,0,0.306
2008,10,5,9,0,0,0.301
2008,10,6,9,0,0,0.298
2008,10,7,9,0,0,0.303
2008,10,8,9,0,0,0.335
2008,10,9,9,0,0,0.341
2008,10,10,9,0,0,0.33299999999999996
2008,10,11,9,0,0,0.322
2008,10,12,9,0,0,0.313
2008,10,13,9,0,0,0.304
2008,10,14,9,0,0,0.294
2008,10,15,9,0,0,0.284
2008,10,16,9,0,0,0.301
2008,10,17,9,0,0,0.335
2008,10,18,9,0,0,0.34
2008,10,19,9,0,0,0.33
2008,10,20,9,0,0,0.321
2008,10,21,9,0,0,0.312
2008,10,22,9,0,0,0.33899999999999997
2008,10,23,9,0,0,0.33299999999999996
2008,10,24,9,0,0,0.326
2008,10,25,9,0,0,0.341
2008,10,26,9,0,0,0.33799999999999997
2008,10,27,9,0,0,0.325
2008,10,28,9,0,0,0.315
2008,10,29,9,0,0,0.305
2008,10,30,9,0,0,0.297
2008,10,31,9,0,0,0.28800000000000003
2008,11,1,9,0,0,0.28300000000000003
2008,11,2,9,0,0,0.284
2008,11,3,9,0,0,0.27699999999999997
2008,11,4,9,0,0,0.267
2008,11,5,9,0,0,0.264
2008,11,6,9,0,0,0.261
2008,11,7,9,0,0,0.26
2008,11,8,9,0,0,0.254
2008,11,9,9,0,0,0.254
2008,11,10,9,0,0,0.248
2008,11,11,9,0,0,0.23800000000000002
2008,11,12,9,0,0,0.22899999999999998
2008,11,13,9,0,0,0.217
2008,11,14,9,0,0,0.20600000000000002
2008,11,15,9,0,0,0.192
2008,11,16,9,0,0,0.18
2008,11,17,9,0,0,0.174
2008,11,18,9,0,0,0.16899999999999998
2008,11,19,9,0,0,0.16399999999999998
2008,11,20,9,0,0,0.159
2008,11,21,9,0,0,0.154
2008,11,22,9,0,0,0.15
2008,11,23,9,0,0,0.147
2008,11,24,9,0,0,0.14400000000000002
2008,11,25,9,0,0,0.142
2008,11,26,9,0,0,0.14400000000000002
2008,11,27,9,0,0,0.14400000000000002
2008,11,28,9,0,0,0.142
2008,11,29,9,0,0,0.14
2008,11,30,9,0,0,0.138
2008,12,1,9,0,0,0.13699999999999998
2008,12,2,9,0,0,0.138
2008,12,3,9,0,0,0.13699999999999998
2008,12,4,9,0,0,0.136
2008,12,5,9,0,0,0.134
2008,12,6,9,0,0,0.132
2008,12,7,9,0,0,0.13
2008,12,8,9,0,0,0.128
2008,12,9,9,0,0,0.128
2008,12,10,9,0,0,0.128
2008,12,11,9,0,0,0.127
2008,12,12,9,0,0,0.13699999999999998
2008,12,13,9,0,0,0.149
2008,12,14,9,0,0,0.146
2008,12,15,9,0,0,0.14400000000000002
2008,12,16,9,0,0,0.141
2008,12,17,9,0,0,0.14
2008,12,18,9,0,0,0.13699999999999998
2008,12,19,9,0,0,0.135
2008,12,20,9,0,0,0.218
2008,12,21,9,0,0,0.231
2008,12,22,9,0,0,0.218
2008,12,23,9,0,0,0.205
2008,12,24,9,0,0,0.19699999999999998
2008,12,25,9,0,0,0.19699999999999998
2008,12,26,9,0,0,0.192
2008,12,27,9,0,0,0.18100000000000002
2008,12,28,9,0,0,0.168
2008,12,29,9,0,0,0.155
2008,12,30,9,0,0,0.146
2008,12,31,9,0,0,0.14
2009,1,1,9,0,0,0.13699999999999998
2009,1,2,9,0,0,0.139
2009,1,3,9,0,0,0.161
2009,1,4,9,0,0,0.151
2009,1,5,9,0,0,0.14300000000000002
2009,1,6,9,0,0,0.138
2009,1,7,9,0,0,0.134
2009,1,8,9,0,0,0.132
2009,1,9,9,0,0,0.13
2009,1,10,9,0,0,0.127
2009,1,11,9,0,0,0.126
2009,1,12,9,0,0,0.125
2009,1,13,9,0,0,0.124
2009,1,14,9,0,0,0.12300000000000001
2009,1,15,9,0,0,0.122
2009,1,16,9,0,0,0.121
2009,1,17,9,0,0,0.11599999999999999
2009,1,18,9,0,0,0.11699999999999999
2009,1,19,9,0,0,0.11800000000000001
2009,1,20,9,0,0,0.11699999999999999
2009,1,21,9,0,0,0.11599999999999999
2009,1,22,9,0,0,0.11599999999999999
2009,1,23,9,0,0,0.115
2009,1,24,9,0,0,0.114
2009,1,25,9,0,0,0.114
2009,1,26,9,0,0,0.113
2009,1,27,9,0,0,-9.99
2009,1,28,9,0,0,0.113
2009,1,29,9,0,0,0.113
2009,1,30,9,0,0,0.113
2009,1,31,9,0,0,0.114
2009,2,1,9,0,0,0.113
2009,2,2,9,0,0,-9.99
2009,2,3,9,0,0,-9.99
2009,2,4,9,0,0,-9.99
2009,2,5,9,0,0,-9.99
2009,2,6,9,0,0,0.113
2009,2,7,9,0,0,0.113
2009,2,8,9,0,0,0.113
2009,2,9,9,0,0,0.113
2009,2,10,9,0,0,0.113
2009,2,11,9,0,0,-9.99
2009,2,12,9,0,0,0.218
2009,2,13,9,0,0,0.245
2009,2,14,9,0,0,0.239
2009,2,15,9,0,0,0.23
2009,2,16,9,0,0,0.233
2009,2,17,9,0,0,0.233
2009,2,18,9,0,0,0.228
2009,2,19,9,0,0,0.22899999999999998
2009,2,20,9,0,0,0.287
2009,2,21,9,0,0,0.28
2009,2,22,9,0,0,0.27699999999999997
2009,2,23,9,0,0,0.287
2009,2,24,9,0,0,0.298
2009,2,25,9,0,0,0.289
2009,2,26,9,0,0,0.282
2009,2,27,9,0,0,0.28
2009,2,28,9,0,0,0.297
2009,3,1,9,0,0,0.29100000000000004
2009,3,2,9,0,0,0.28300000000000003
2009,3,3,9,0,0,0.278
2009,3,4,9,0,0,0.271
2009,3,5,9,0,0,0.265
2009,3,6,9,0,0,0.254
2009,3,7,9,0,0,0.249
2009,3,8,9,0,0,0.245
2009,3,9,9,0,0,0.24
2009,3,10,9,0,0,0.235
2009,3,11,9,0,0,0.23399999999999999
2009,3,12,9,0,0,0.23399999999999999
2009,3,13,9,0,0,0.23399999999999999
2009,3,14,9,0,0,0.23199999999999998
2009,3,15,9,0,0,0.22899999999999998
2009,3,16,9,0,0,0.22399999999999998
2009,3,17,9,0,0,0.21899999999999997
2009,3,18,9,0,0,0.214
2009,3,19,9,0,0,0.21
2009,3,20,9,0,0,0.205
2009,3,21,9,0,0,0.20199999999999999
2009,3,22,9,0,0,0.201
2009,3,23,9,0,0,0.19899999999999998
2009,3,24,9,0,0,0.196
2009,3,25,9,0,0,0.192
2009,3,26,9,0,0,0.187
2009,3,27,9,0,0,0.183
2009,3,28,9,0,0,0.179
2009,3,29,9,0,0,0.17600000000000002
2009,3,30,9,0,0,0.17300000000000001
2009,3,31,9,0,0,0.17600000000000002
