iZ,Z,Layer
1,9.5,1
2,19.0,1
3,28.5,1
4,38.0,1
5,47.5,1
6,57.0,1
7,66.5,1
8,76.0,1
9,85.5,1
10,95.0,1
11,105.0,2
12,115.0,2
13,125.0,2
14,135.0,2
15,145.0,2
16,155.0,2
17,165.0,2
18,175.0,2
19,185.0,2
20,195.0,2
21,205.0,2
22,215.0,2
23,225.0,2
24,235.0,2
25,245.0,2
26,255.0,2
27,265.0,2
28,275.0,2
29,285.0,2
30,295.0,2
31,305.0,2
32,315.0,2
33,325.0,2
34,335.0,2
35,345.0,2
36,364.6969696969697,3
37,384.3939393939394,3
38,404.09090909090907,3
39,423.78787878787875,3
40,443.48484848484844,3
41,463.18181818181813,3
42,482.8787878787878,3
43,502.5757575757575,3
44,522.2727272727273,3
45,541.969696969697,3
46,561.6666666666667,3
47,581.3636363636365,3
48,601.0606060606062,3
49,620.757575757576,3
50,640.4545454545457,3
51,660.1515151515155,3
52,679.8484848484852,3
53,699.545454545455,3
54,719.2424242424247,3
55,738.9393939393944,3
56,758.6363636363642,3
57,778.3333333333339,3
58,798.0303030303037,3
59,817.7272727272734,3
60,837.4242424242432,3
61,857.1212121212129,3
62,876.8181818181827,3
63,896.5151515151524,3
64,916.2121212121222,3
65,935.9090909090919,3
66,955.6060606060616,3
67,975.3030303030314,3
68,995.0000000000011,3
69,1015.0000000000011,4
