Year,Month,Day,Hour,Minute,Second,Z=200mm
2008.0,1.0,2.0,9.0,0.0,0.0,10.5
2008.0,1.0,3.0,9.0,0.0,0.0,10.4
2008.0,1.0,4.0,9.0,0.0,0.0,10.2
2008.0,1.0,5.0,9.0,0.0,0.0,10.1
2008.0,1.0,6.0,9.0,0.0,0.0,9.9
2008.0,1.0,7.0,9.0,0.0,0.0,9.7
2008.0,1.0,8.0,9.0,0.0,0.0,10.4
2008.0,1.0,9.0,9.0,0.0,0.0,13.2
2008.0,1.0,10.0,9.0,0.0,0.0,13.9
2008.0,1.0,11.0,9.0,0.0,0.0,13.8
2008.0,1.0,12.0,9.0,0.0,0.0,13.9
2008.0,1.0,13.0,9.0,0.0,0.0,13.9
2008.0,1.0,14.0,9.0,0.0,0.0,14.0
2008.0,1.0,15.0,9.0,0.0,0.0,14.0
2008.0,1.0,16.0,9.0,0.0,0.0,13.9
2008.0,1.0,17.0,9.0,0.0,0.0,13.9
2008.0,1.0,18.0,9.0,0.0,0.0,13.8
2008.0,1.0,19.0,9.0,0.0,0.0,13.5
2008.0,1.0,20.0,9.0,0.0,0.0,13.2
2008.0,1.0,21.0,9.0,0.0,0.0,13.0
2008.0,1.0,22.0,9.0,0.0,0.0,12.7
2008.0,1.0,23.0,9.0,0.0,0.0,12.5
2008.0,1.0,24.0,9.0,0.0,0.0,12.3
2008.0,1.0,25.0,9.0,0.0,0.0,12.0
2008.0,1.0,26.0,9.0,0.0,0.0,11.6
2008.0,1.0,27.0,9.0,0.0,0.0,11.3
2008.0,1.0,28.0,9.0,0.0,0.0,11.0
2008.0,1.0,29.0,9.0,0.0,0.0,10.8
2008.0,1.0,30.0,9.0,0.0,0.0,10.6
2008.0,1.0,31.0,9.0,0.0,0.0,10.3
2008.0,2.0,1.0,9.0,0.0,0.0,10.0
2008.0,2.0,2.0,9.0,0.0,0.0,9.7
2008.0,2.0,3.0,9.0,0.0,0.0,9.6
2008.0,2.0,4.0,9.0,0.0,0.0,9.4
2008.0,2.0,5.0,9.0,0.0,0.0,9.1
2008.0,2.0,6.0,9.0,0.0,0.0,9.1
2008.0,2.0,7.0,9.0,0.0,0.0,9.0
2008.0,2.0,8.0,9.0,0.0,0.0,9.0
2008.0,2.0,9.0,9.0,0.0,0.0,8.9
2008.0,2.0,10.0,9.0,0.0,0.0,8.7
2008.0,2.0,11.0,9.0,0.0,0.0,8.6
2008.0,2.0,12.0,9.0,0.0,0.0,8.6
2008.0,2.0,13.0,9.0,0.0,0.0,8.5
2008.0,2.0,14.0,9.0,0.0,0.0,8.5
2008.0,2.0,15.0,9.0,0.0,0.0,8.5
2008.0,2.0,16.0,9.0,0.0,0.0,8.4
2008.0,2.0,17.0,9.0,0.0,0.0,8.5
2008.0,2.0,18.0,9.0,0.0,0.0,8.5
2008.0,2.0,19.0,9.0,0.0,0.0,8.6
2008.0,2.0,20.0,9.0,0.0,0.0,8.5
2008.0,2.0,21.0,9.0,0.0,0.0,8.5
2008.0,2.0,22.0,9.0,0.0,0.0,8.4
2008.0,2.0,23.0,9.0,0.0,0.0,8.3
2008.0,2.0,24.0,9.0,0.0,0.0,8.2
2008.0,2.0,25.0,9.0,0.0,0.0,8.0
2008.0,2.0,26.0,9.0,0.0,0.0,7.9
2008.0,2.0,27.0,9.0,0.0,0.0,7.9
2008.0,2.0,28.0,9.0,0.0,0.0,7.8
2008.0,2.0,29.0,9.0,0.0,0.0,7.7
2008.0,3.0,1.0,9.0,0.0,0.0,7.6
2008.0,3.0,2.0,9.0,0.0,0.0,7.5
2008.0,3.0,3.0,9.0,0.0,0.0,7.6
2008.0,3.0,4.0,9.0,0.0,0.0,7.6
2008.0,3.0,5.0,9.0,0.0,0.0,7.7
2008.0,3.0,6.0,9.0,0.0,0.0,7.9
2008.0,3.0,7.0,9.0,0.0,0.0,8.1
2008.0,3.0,8.0,9.0,0.0,0.0,8.3
2008.0,3.0,9.0,9.0,0.0,0.0,8.4
2008.0,3.0,10.0,9.0,0.0,0.0,8.5
2008.0,3.0,11.0,9.0,0.0,0.0,8.5
2008.0,3.0,12.0,9.0,0.0,0.0,8.5
2008.0,3.0,13.0,9.0,0.0,0.0,8.5
2008.0,3.0,14.0,9.0,0.0,0.0,8.6
2008.0,3.0,15.0,9.0,0.0,0.0,8.6
2008.0,3.0,16.0,9.0,0.0,0.0,8.5
2008.0,3.0,17.0,9.0,0.0,0.0,8.5
2008.0,3.0,18.0,9.0,0.0,0.0,8.4
2008.0,3.0,19.0,9.0,0.0,0.0,8.4
2008.0,3.0,20.0,9.0,0.0,0.0,8.3
2008.0,3.0,21.0,9.0,0.0,0.0,8.2
2008.0,3.0,22.0,9.0,0.0,0.0,8.2
2008.0,3.0,23.0,9.0,0.0,0.0,8.1
2008.0,3.0,24.0,9.0,0.0,0.0,8.1
2008.0,3.0,25.0,9.0,0.0,0.0,8.1
2008.0,3.0,26.0,9.0,0.0,0.0,8.0
2008.0,3.0,27.0,9.0,0.0,0.0,8.0
2008.0,3.0,28.0,9.0,0.0,0.0,8.0
2008.0,3.0,29.0,9.0,0.0,0.0,7.9
2008.0,3.0,30.0,9.0,0.0,0.0,8.0
2008.0,3.0,31.0,9.0,0.0,0.0,9.5
2008.0,4.0,1.0,9.0,0.0,0.0,10.9
2008.0,4.0,2.0,9.0,0.0,0.0,11.1
2008.0,4.0,3.0,9.0,0.0,0.0,11.2
2008.0,4.0,4.0,9.0,0.0,0.0,11.4
2008.0,4.0,5.0,9.0,0.0,0.0,11.6
2008.0,4.0,6.0,9.0,0.0,0.0,11.9
2008.0,4.0,7.0,9.0,0.0,0.0,12.1
2008.0,4.0,8.0,9.0,0.0,0.0,12.3
2008.0,4.0,9.0,9.0,0.0,0.0,12.4
