Year,Month,Day,Hour,Minute,Second,PET(mm),Rain(mm)
1972,1,1,9,0,0,6.50777769089,0.0
1972,1,2,9,0,0,4.85102462769,0.0
1972,1,3,9,0,0,4.52119016647,0.0
1972,1,4,9,0,0,5.29817676544,2.0
1972,1,5,9,0,0,4.23112344742,5.30000019073
1972,1,6,9,0,0,2.95640993118,4.30000019073
1972,1,7,9,0,0,3.92139720917,1.39999997616
1972,1,8,9,0,0,4.2175412178,0.0
1972,1,9,9,0,0,4.29138088226,0.0
1972,1,10,9,0,0,4.17992687225,0.0
1972,1,11,9,0,0,5.56460762024,0.0
1972,1,12,9,0,0,5.71571540833,0.0
1972,1,13,9,0,0,3.26619315147,17.5
1972,1,14,9,0,0,5.58582305908,0.0
1972,1,15,9,0,0,4.37767124176,0.0
1972,1,16,9,0,0,4.73291110992,0.0
1972,1,17,9,0,0,3.80796647072,0.0
1972,1,18,9,0,0,4.48794651031,0.0
1972,1,19,9,0,0,2.87914299965,5.90000009537
1972,1,20,9,0,0,3.50708770752,0.0
1972,1,21,9,0,0,4.79990911484,0.0
1972,1,22,9,0,0,4.01658058167,0.0
1972,1,23,9,0,0,4.51045417786,0.0
1972,1,24,9,0,0,5.29239177704,1.5
1972,1,25,9,0,0,4.65717077255,0.0
1972,1,26,9,0,0,5.73730516434,0.0
1972,1,27,9,0,0,4.90770149231,0.0
1972,1,28,9,0,0,2.87723374367,7.09999990463
1972,1,29,9,0,0,4.7183008194,2.09999990463
1972,1,30,9,0,0,3.93340611458,0.0
1972,1,31,9,0,0,4.50754117966,0.0
1972,2,1,9,0,0,3.59748888016,0.0
1972,2,2,9,0,0,5.21222925186,0.0
1972,2,3,9,0,0,4.98578596115,0.0
1972,2,4,9,0,0,4.45133733749,0.0
1972,2,5,9,0,0,4.11417865753,0.0
1972,2,6,9,0,0,4.08134031296,0.0
1972,2,7,9,0,0,5.0119767189,0.0
1972,2,8,9,0,0,2.41110372543,5.40000009537
1972,2,9,9,0,0,4.11615800858,0.0
1972,2,10,9,0,0,5.17275333405,0.0
1972,2,11,9,0,0,2.8224503994,0.0
1972,2,12,9,0,0,3.38952231407,0.0
1972,2,13,9,0,0,4.85358333588,0.0
1972,2,14,9,0,0,4.64796066284,0.0
1972,2,15,9,0,0,5.05209589005,0.0
1972,2,16,9,0,0,4.01234674454,0.0
1972,2,17,9,0,0,2.99921560287,0.0
1972,2,18,9,0,0,3.47310805321,0.0
