Year,Month,Day,Hour,Minute,Second,PET(mm),Rain(mm)
1972,1,1,9,0,0,2.04777693748,7.30000019073
1972,1,2,9,0,0,1.65456950665,4.5
1972,1,3,9,0,0,5.59087276459,2.90000009537
1972,1,4,9,0,0,5.93440437317,0.0
1972,1,5,9,0,0,5.33388376236,0.0
1972,1,6,9,0,0,4.7915763855,3.70000004768
1972,1,7,9,0,0,3.74499559402,7.59999990463
1972,1,8,9,0,0,5.62969064713,0.0
1972,1,9,9,0,0,5.01957798004,0.0
1972,1,10,9,0,0,3.40575194359,0.0
1972,1,11,9,0,0,6.17860746384,0.0
1972,1,12,9,0,0,4.72963237762,0.0
1972,1,13,9,0,0,2.98802614212,21.5
1972,1,14,9,0,0,4.68831443787,2.40000009537
1972,1,15,9,0,0,6.20529222488,0.0
1972,1,16,9,0,0,5.28006219864,0.0
1972,1,17,9,0,0,4.35828876495,0.0
1972,1,18,9,0,0,4.5326333046,0.0
1972,1,19,9,0,0,2.57634973526,0.0
1972,1,20,9,0,0,4.82178640366,0.0
1972,1,21,9,0,0,5.25360584259,0.0
1972,1,22,9,0,0,4.6221613884,0.0
1972,1,23,9,0,0,5.80298852921,0.0
1972,1,24,9,0,0,4.65581417084,0.0
1972,1,25,9,0,0,2.58062601089,0.0
1972,1,26,9,0,0,3.54344820976,0.0
1972,1,27,9,0,0,5.32609319687,0.0
1972,1,28,9,0,0,2.2347176075,33.5999984741
1972,1,29,9,0,0,3.51628541946,10.0
1972,1,30,9,0,0,3.53552222252,8.60000038147
1972,1,31,9,0,0,4.0263428688,2.79999995232
1972,2,1,9,0,0,5.88695192337,0.0
1972,2,2,9,0,0,4.88720750809,0.0
1972,2,3,9,0,0,5.12436962128,0.0
1972,2,4,9,0,0,3.55598807335,0.0
1972,2,5,9,0,0,6.82371997833,0.0
1972,2,6,9,0,0,4.5027589798,0.0
1972,2,7,9,0,0,2.42278981209,0.0
1972,2,8,9,0,0,4.31061124802,5.69999980927
1972,2,9,9,0,0,5.57634544373,0.0
1972,2,10,9,0,0,6.18163299561,0.0
1972,2,11,9,0,0,5.54965496063,0.0
1972,2,12,9,0,0,2.95373058319,0.0
1972,2,13,9,0,0,5.51621866226,0.0
1972,2,14,9,0,0,6.00607395172,0.0
1972,2,15,9,0,0,5.79363584518,0.0
1972,2,16,9,0,0,4.25849866867,0.0
1972,2,17,9,0,0,3.80326604843,0.0
1972,2,18,9,0,0,5.15822315216,0.0
1972,2,19,9,0,0,3.52649736404,0.0
1972,2,20,9,0,0,1.580955863,2.29999995232
1972,2,21,9,0,0,2.90445709229,2.90000009537
1972,2,22,9,0,0,3.36179423332,0.0
1972,2,23,9,0,0,3.34450483322,10.0
1972,2,24,9,0,0,2.91892290115,4.59999990463
1972,2,25,9,0,0,5.47813415527,0.0
1972,2,26,9,0,0,4.84679841995,0.0
1972,2,27,9,0,0,5.16193580627,0.0
1972,2,28,9,0,0,5.11685371399,0.0
1972,2,29,9,0,0,4.06471824646,0.0
1972,3,1,9,0,0,3.64745855331,0.0
1972,3,2,9,0,0,3.86663246155,0.0
1972,3,3,9,0,0,2.65780472755,0.0
1972,3,4,9,0,0,1.81972897053,12.8999996185
1972,3,5,9,0,0,3.28588700294,2.29999995232
1972,3,6,9,0,0,4.1248049736,0.0
1972,3,7,9,0,0,2.66016888618,0.0
1972,3,8,9,0,0,3.33377385139,0.0
1972,3,9,9,0,0,2.23070001602,5.5
1972,3,10,9,0,0,1.14695000648,26.2000007629
1972,3,11,9,0,0,1.32939767838,6.5
1972,3,12,9,0,0,2.64094114304,9.69999980927
1972,3,13,9,0,0,2.32845783234,5.59999990463
1972,3,14,9,0,0,3.35547351837,0.0
1972,3,15,9,0,0,2.51798295975,2.29999995232
1972,3,16,9,0,0,4.13144445419,8.80000019073
1972,3,17,9,0,0,2.38270044327,12.0
1972,3,18,9,0,0,3.09878063202,0.0
1972,3,19,9,0,0,3.47243523598,0.0
1972,3,20,9,0,0,3.41771626472,0.0
1972,3,21,9,0,0,2.43478918076,0.0
1972,3,22,9,0,0,1.48993659019,0.0
1972,3,23,9,0,0,1.65921723843,0.0
1972,3,24,9,0,0,1.66806447506,15.3000001907
1972,3,25,9,0,0,0.888252496719,12.3999996185
1972,3,26,9,0,0,2.93147540092,4.09999990463
1972,3,27,9,0,0,3.23674678802,0.0
1972,3,28,9,0,0,1.5324934721,7.69999980927
1972,3,29,9,0,0,2.47231388092,5.09999990463
1972,3,30,9,0,0,2.2062523365,5.80000019073
1972,3,31,9,0,0,3.20262813568,0.0
1972,4,1,9,0,0,1.5808275938,2.20000004768
1972,4,2,9,0,0,2.12983775139,0.0
1972,4,3,9,0,0,1.24190926552,5.19999980927
1972,4,4,9,0,0,0.999138772488,2.09999990463
1972,4,5,9,0,0,1.00563418865,5.40000009537
1972,4,6,9,0,0,0.867977797985,49.0
1972,4,7,9,0,0,0.990917682648,5.09999990463
1972,4,8,9,0,0,2.14305281639,0.0
1972,4,9,9,0,0,2.53190016747,0.0
1972,4,10,9,0,0,2.68257570267,0.0
1972,4,11,9,0,0,2.38678956032,0.0
1972,4,12,9,0,0,3.21312618256,0.0
1972,4,13,9,0,0,2.76472306252,0.0
1972,4,14,9,0,0,1.81978774071,0.0
1972,4,15,9,0,0,2.53656673431,2.0
1972,4,16,9,0,0,1.73695015907,4.0
1972,4,17,9,0,0,0.955187022686,13.6000003815
1972,4,18,9,0,0,1.00450623035,9.10000038147
1972,4,19,9,0,0,1.40629422665,3.79999995232
1972,4,20,9,0,0,1.69016766548,4.5
1972,4,21,9,0,0,1.08583390713,7.0
1972,4,22,9,0,0,1.32781159878,0.0
1972,4,23,9,0,0,1.13723564148,21.8999996185
1972,4,24,9,0,0,1.63651823997,26.3999996185
1972,4,25,9,0,0,1.2209931612,11.8000001907
1972,4,26,9,0,0,1.23098635674,3.20000004768
1972,4,27,9,0,0,0.852365791798,11.1000003815
1972,4,28,9,0,0,0.994334995747,14.3000001907
1972,4,29,9,0,0,1.47365379333,0.0
1972,4,30,9,0,0,0.849724411964,4.09999990463
1972,5,1,9,0,0,1.98327720165,0.0
1972,5,2,9,0,0,1.17692601681,0.0
1972,5,3,9,0,0,0.223118633032,4.40000009537
1972,5,4,9,0,0,1.28165006638,0.0
1972,5,5,9,0,0,1.52892780304,0.0
1972,5,6,9,0,0,0.846008002758,0.0
1972,5,7,9,0,0,1.19147336483,0.0
1972,5,8,9,0,0,0.793066442013,0.0
1972,5,9,9,0,0,0.537236630917,0.0
1972,5,10,9,0,0,1.71857404709,0.0
1972,5,11,9,0,0,1.06071233749,0.0
