Year,Month,Day,Hour,Minute,Second,Z=200mm
2008.0,1.0,2.0,9.0,0.0,0.0,26.5
2008.0,1.0,3.0,9.0,0.0,0.0,25.899999618530273
2008.0,1.0,4.0,9.0,0.0,0.0,25.200000762939453
2008.0,1.0,5.0,9.0,0.0,0.0,24.399999618530273
2008.0,1.0,6.0,9.0,0.0,0.0,23.600000381469727
2008.0,1.0,7.0,9.0,0.0,0.0,23.200000762939453
2008.0,1.0,8.0,9.0,0.0,0.0,23.799999237060547
2008.0,1.0,9.0,9.0,0.0,0.0,27.799999237060547
2008.0,1.0,10.0,9.0,0.0,0.0,27.399999618530273
2008.0,1.0,11.0,9.0,0.0,0.0,26.700000762939453
2008.0,1.0,12.0,9.0,0.0,0.0,25.899999618530273
2008.0,1.0,13.0,9.0,0.0,0.0,24.899999618530273
2008.0,1.0,14.0,9.0,0.0,0.0,24.0
2008.0,1.0,15.0,9.0,0.0,0.0,23.0
2008.0,1.0,16.0,9.0,0.0,0.0,22.299999237060547
2008.0,1.0,17.0,9.0,0.0,0.0,21.399999618530273
2008.0,1.0,18.0,9.0,0.0,0.0,20.399999618530273
2008.0,1.0,19.0,9.0,0.0,0.0,19.600000381469727
2008.0,1.0,20.0,9.0,0.0,0.0,18.600000381469727
2008.0,1.0,21.0,9.0,0.0,0.0,17.899999618530273
2008.0,1.0,22.0,9.0,0.0,0.0,18.0
2008.0,1.0,23.0,9.0,0.0,0.0,21.0
2008.0,1.0,24.0,9.0,0.0,0.0,21.0
2008.0,1.0,25.0,9.0,0.0,0.0,20.299999237060547
2008.0,1.0,26.0,9.0,0.0,0.0,20.0
2008.0,1.0,27.0,9.0,0.0,0.0,19.299999237060547
2008.0,1.0,28.0,9.0,0.0,0.0,18.700000762939453
2008.0,1.0,29.0,9.0,0.0,0.0,18.100000381469727
2008.0,1.0,30.0,9.0,0.0,0.0,17.399999618530273
2008.0,1.0,31.0,9.0,0.0,0.0,16.899999618530273
2008.0,2.0,1.0,9.0,0.0,0.0,16.899999618530273
2008.0,2.0,2.0,9.0,0.0,0.0,16.5
2008.0,2.0,3.0,9.0,0.0,0.0,16.0
2008.0,2.0,4.0,9.0,0.0,0.0,15.5
2008.0,2.0,5.0,9.0,0.0,0.0,-999.0
2008.0,2.0,6.0,9.0,0.0,0.0,-999.0
2008.0,2.0,7.0,9.0,0.0,0.0,-999.0
2008.0,2.0,8.0,9.0,0.0,0.0,-999.0
2008.0,2.0,9.0,9.0,0.0,0.0,-999.0
2008.0,2.0,10.0,9.0,0.0,0.0,-999.0
2008.0,2.0,11.0,9.0,0.0,0.0,17.100000381469727
2008.0,2.0,12.0,9.0,0.0,0.0,18.200000762939453
2008.0,2.0,13.0,9.0,0.0,0.0,19.5
2008.0,2.0,14.0,9.0,0.0,0.0,19.200000762939453
2008.0,2.0,15.0,9.0,0.0,0.0,19.5
2008.0,2.0,16.0,9.0,0.0,0.0,19.600000381469727
2008.0,2.0,17.0,9.0,0.0,0.0,19.5
2008.0,2.0,18.0,9.0,0.0,0.0,19.200000762939453
2008.0,2.0,19.0,9.0,0.0,0.0,19.0
2008.0,2.0,20.0,9.0,0.0,0.0,19.0
2008.0,2.0,21.0,9.0,0.0,0.0,18.899999618530273
2008.0,2.0,22.0,9.0,0.0,0.0,18.600000381469727
2008.0,2.0,23.0,9.0,0.0,0.0,18.200000762939453
2008.0,2.0,24.0,9.0,0.0,0.0,17.899999618530273
2008.0,2.0,25.0,9.0,0.0,0.0,18.0
2008.0,2.0,26.0,9.0,0.0,0.0,17.899999618530273
2008.0,2.0,27.0,9.0,0.0,0.0,17.700000762939453
2008.0,2.0,28.0,9.0,0.0,0.0,17.399999618530273
2008.0,2.0,29.0,9.0,0.0,0.0,17.100000381469727
2008.0,3.0,1.0,9.0,0.0,0.0,16.700000762939453
2008.0,3.0,2.0,9.0,0.0,0.0,19.5
2008.0,3.0,3.0,9.0,0.0,0.0,20.299999237060547
2008.0,3.0,4.0,9.0,0.0,0.0,20.399999618530273
2008.0,3.0,5.0,9.0,0.0,0.0,20.299999237060547
2008.0,3.0,6.0,9.0,0.0,0.0,20.700000762939453
2008.0,3.0,7.0,9.0,0.0,0.0,20.600000381469727
2008.0,3.0,8.0,9.0,0.0,0.0,20.399999618530273
2008.0,3.0,9.0,9.0,0.0,0.0,20.299999237060547
2008.0,3.0,10.0,9.0,0.0,0.0,20.100000381469727
2008.0,3.0,11.0,9.0,0.0,0.0,19.700000762939453
2008.0,3.0,12.0,9.0,0.0,0.0,19.200000762939453
2008.0,3.0,13.0,9.0,0.0,0.0,18.799999237060547
2008.0,3.0,14.0,9.0,0.0,0.0,18.5
2008.0,3.0,15.0,9.0,0.0,0.0,18.100000381469727
2008.0,3.0,16.0,9.0,0.0,0.0,17.700000762939453
2008.0,3.0,17.0,9.0,0.0,0.0,17.200000762939453
2008.0,3.0,18.0,9.0,0.0,0.0,16.899999618530273
2008.0,3.0,19.0,9.0,0.0,0.0,16.5
2008.0,3.0,20.0,9.0,0.0,0.0,16.399999618530273
2008.0,3.0,21.0,9.0,0.0,0.0,16.299999237060547
2008.0,3.0,22.0,9.0,0.0,0.0,16.200000762939453
