Year,Month,Day,Hour,Minute,Second,PET(mm),Rain(mm)
1972,1,1,9,0,0,5.01589488983,3.5
1972,1,2,9,0,0,2.89858675003,34.0
1972,1,3,9,0,0,3.8727221489,1.89999997616
1972,1,4,9,0,0,4.82942533493,0.0
1972,1,5,9,0,0,5.46541261673,0.0
1972,1,6,9,0,0,3.82820081711,0.0
1972,1,7,9,0,0,3.36875271797,7.30000019073
1972,1,8,9,0,0,4.55692386627,0.0
1972,1,9,9,0,0,4.2878074646,0.0
1972,1,10,9,0,0,4.7122335434,0.0
1972,1,11,9,0,0,4.61444616318,0.0
1972,1,12,9,0,0,5.06331586838,3.29999995232
1972,1,13,9,0,0,3.39985179901,2.20000004768
1972,1,14,9,0,0,3.22238016129,0.0
1972,1,15,9,0,0,5.09976291656,0.0
1972,1,16,9,0,0,5.65078210831,0.0
1972,1,17,9,0,0,6.3019080162,0.0
1972,1,18,9,0,0,5.52581596375,0.0
1972,1,19,9,0,0,4.2464132309,0.0
1972,1,20,9,0,0,6.09295368195,0.0
1972,1,21,9,0,0,4.22802639008,0.0
1972,1,22,9,0,0,4.88614940643,0.0
1972,1,23,9,0,0,3.50503373146,0.0
1972,1,24,9,0,0,5.58466625214,0.0
1972,1,25,9,0,0,5.91400957108,0.0
1972,1,26,9,0,0,5.55171203613,0.0
1972,1,27,9,0,0,6.18419456482,0.0
1972,1,28,9,0,0,4.91629219055,0.0
1972,1,29,9,0,0,1.97974801064,11.8999996185
1972,1,30,9,0,0,5.71532058716,0.0
1972,1,31,9,0,0,4.77743864059,2.0
1972,2,1,9,0,0,3.81430697441,0.0
1972,2,2,9,0,0,4.98483896255,0.0
1972,2,3,9,0,0,5.53089618683,0.0
1972,2,4,9,0,0,5.88690042496,0.0
1972,2,5,9,0,0,4.43926668167,0.0
1972,2,6,9,0,0,5.15485429764,0.0
1972,2,7,9,0,0,5.23031520844,0.0
1972,2,8,9,0,0,5.57209682465,0.0
1972,2,9,9,0,0,1.46853327751,8.80000019073
1972,2,10,9,0,0,3.47997641563,0.0
1972,2,11,9,0,0,5.50925064087,3.0
1972,2,12,9,0,0,2.01086759567,0.0
1972,2,13,9,0,0,4.18337488174,0.0
1972,2,14,9,0,0,4.59138154984,0.0
1972,2,15,9,0,0,4.08415555954,0.0
1972,2,16,9,0,0,4.5540933609,0.0
1972,2,17,9,0,0,4.78953504562,0.0
1972,2,18,9,0,0,4.42244577408,0.0
1972,2,19,9,0,0,4.61589288712,0.0
1972,2,20,9,0,0,4.14715719223,12.5
1972,2,21,9,0,0,3.03439879417,2.59999990463
1972,2,22,9,0,0,3.15374398232,0.0
1972,2,23,9,0,0,4.4241027832,14.8000001907
1972,2,24,9,0,0,3.48198461533,5.69999980927
1972,2,25,9,0,0,3.90830206871,0.0
1972,2,26,9,0,0,4.77109241486,0.0
1972,2,27,9,0,0,4.25427436829,0.0
1972,2,28,9,0,0,5.3836607933,0.0
1972,2,29,9,0,0,5.88705015182,0.0
1972,3,1,9,0,0,4.2445936203,0.0
1972,3,2,9,0,0,3.83961820602,0.0
1972,3,3,9,0,0,2.47308278084,1.79999995232
1972,3,4,9,0,0,1.71177649498,49.7999992371
1972,3,5,9,0,0,2.57278823853,21.7999992371
1972,3,6,9,0,0,1.12151050568,14.8000001907
1972,3,7,9,0,0,1.40300762653,2.79999995232
1972,3,8,9,0,0,1.54026865959,18.2999992371
1972,3,9,9,0,0,1.02753794193,43.0999984741
1972,3,10,9,0,0,1.4416680336,35.9000015259
1972,3,11,9,0,0,3.47455096245,8.0
1972,3,12,9,0,0,4.15220832825,0.0
1972,3,13,9,0,0,3.25905919075,0.0
1972,3,14,9,0,0,4.15093708038,0.0
1972,3,15,9,0,0,3.0802359581,0.0
1972,3,16,9,0,0,2.81960177422,0.0
1972,3,17,9,0,0,2.67912888527,0.0
1972,3,18,9,0,0,4.36511182785,0.0
1972,3,19,9,0,0,3.41404557228,0.0
1972,3,20,9,0,0,3.28379774094,0.0
1972,3,21,9,0,0,3.44614243507,0.0
1972,3,22,9,0,0,3.95615506172,0.0
1972,3,23,9,0,0,3.14963245392,0.0
1972,3,24,9,0,0,3.29259514809,0.0
1972,3,25,9,0,0,1.93127655983,1.70000004768
1972,3,26,9,0,0,2.30892109871,0.0
1972,3,27,9,0,0,2.19636464119,0.0
1972,3,28,9,0,0,2.86196708679,0.0
1972,3,29,9,0,0,2.81388545036,0.0
1972,3,30,9,0,0,1.2358019352,2.09999990463
1972,3,31,9,0,0,2.9990735054,0.0
1972,4,1,9,0,0,2.81010389328,0.0
1972,4,2,9,0,0,3.57807207108,0.0
1972,4,3,9,0,0,2.26032209396,0.0
1972,4,4,9,0,0,3.13684773445,0.0
1972,4,5,9,0,0,1.93456697464,0.0
1972,4,6,9,0,0,2.34541869164,3.5
1972,4,7,9,0,0,1.95081973076,6.0
1972,4,8,9,0,0,1.67711544037,11.0
1972,4,9,9,0,0,2.12524175644,0.0
1972,4,10,9,0,0,2.8621544838,0.0
1972,4,11,9,0,0,2.6431221962,0.0
1972,4,12,9,0,0,3.05066466331,0.0
1972,4,13,9,0,0,1.84795773029,0.0
1972,4,14,9,0,0,2.1832780838,0.0
1972,4,15,9,0,0,2.12266612053,0.0
1972,4,16,9,0,0,1.85897886753,2.70000004768
1972,4,17,9,0,0,1.75290191174,13.3000001907
1972,4,18,9,0,0,2.80652499199,3.20000004768
1972,4,19,9,0,0,1.75354337692,0.0
1972,4,20,9,0,0,2.36475753784,0.0
1972,4,21,9,0,0,1.61792612076,0.0
1972,4,22,9,0,0,3.19952321053,0.0
1972,4,23,9,0,0,2.08174920082,8.10000038147
1972,4,24,9,0,0,1.81478953362,8.80000019073
1972,4,25,9,0,0,1.66008937359,11.1000003815
1972,4,26,9,0,0,1.65172684193,1.60000002384
1972,4,27,9,0,0,2.25737977028,0.0
1972,4,28,9,0,0,1.19822108746,6.59999990463
1972,4,29,9,0,0,1.57262325287,0.0
1972,4,30,9,0,0,1.97406482697,0.0
1972,5,1,9,0,0,1.37651062012,0.0
1972,5,2,9,0,0,1.78608942032,0.0
1972,5,3,9,0,0,1.51529717445,0.0
1972,5,4,9,0,0,1.04393839836,2.29999995232
1972,5,5,9,0,0,2.12416291237,0.0
1972,5,6,9,0,0,1.57341039181,0.0
1972,5,7,9,0,0,1.31678938866,0.0
1972,5,8,9,0,0,1.52191185951,0.0
1972,5,9,9,0,0,1.5369604826,0.0
1972,5,10,9,0,0,1.40082037449,0.0
1972,5,11,9,0,0,1.13986861706,0.0
1972,5,12,9,0,0,1.2790504694,0.0
1972,5,13,9,0,0,0.955135703087,15.3999996185
1972,5,14,9,0,0,0.6415771842,11.8000001907
1972,5,15,9,0,0,0.915744423866,34.0
1972,5,16,9,0,0,1.02794909477,21.2000007629
1972,5,17,9,0,0,0.943096518517,33.2999992371
1972,5,18,9,0,0,0.747879445553,9.5
1972,5,19,9,0,0,1.17837190628,0.0
1972,5,20,9,0,0,1.3145352602,3.0
1972,5,21,9,0,0,0.950653076172,1.79999995232
1972,5,22,9,0,0,1.78097200394,0.0
1972,5,23,9,0,0,1.37454092503,0.0
1972,5,24,9,0,0,1.82144129276,2.70000004768
1972,5,25,9,0,0,0.938190877438,7.69999980927
1972,5,26,9,0,0,1.36883533001,0.0
1972,5,27,9,0,0,1.15133011341,1.70000004768
1972,5,28,9,0,0,0.90663599968,0.0
1972,5,29,9,0,0,1.46124124527,0.0
