Year,Month,Day,Hour,Minute,Second,Z=200mm
2008.0,1.0,1.0,9.0,0.0,0.0,0.105
2008.0,1.0,2.0,9.0,0.0,0.0,0.10400000000000001
2008.0,1.0,3.0,9.0,0.0,0.0,0.102
2008.0,1.0,4.0,9.0,0.0,0.0,0.10099999999999999
2008.0,1.0,5.0,9.0,0.0,0.0,0.099
2008.0,1.0,6.0,9.0,0.0,0.0,0.09699999999999999
2008.0,1.0,7.0,9.0,0.0,0.0,0.10400000000000001
2008.0,1.0,8.0,9.0,0.0,0.0,0.132
2008.0,1.0,9.0,9.0,0.0,0.0,0.139
2008.0,1.0,10.0,9.0,0.0,0.0,0.138
2008.0,1.0,11.0,9.0,0.0,0.0,0.139
2008.0,1.0,12.0,9.0,0.0,0.0,0.139
2008.0,1.0,13.0,9.0,0.0,0.0,0.14
2008.0,1.0,14.0,9.0,0.0,0.0,0.14
2008.0,1.0,15.0,9.0,0.0,0.0,0.139
2008.0,1.0,16.0,9.0,0.0,0.0,0.139
2008.0,1.0,17.0,9.0,0.0,0.0,0.138
2008.0,1.0,18.0,9.0,0.0,0.0,0.135
2008.0,1.0,19.0,9.0,0.0,0.0,0.132
2008.0,1.0,20.0,9.0,0.0,0.0,0.13
2008.0,1.0,21.0,9.0,0.0,0.0,0.127
2008.0,1.0,22.0,9.0,0.0,0.0,0.125
2008.0,1.0,23.0,9.0,0.0,0.0,0.12300000000000001
2008.0,1.0,24.0,9.0,0.0,0.0,0.12
2008.0,1.0,25.0,9.0,0.0,0.0,0.11599999999999999
2008.0,1.0,26.0,9.0,0.0,0.0,0.113
2008.0,1.0,27.0,9.0,0.0,0.0,0.11
2008.0,1.0,28.0,9.0,0.0,0.0,0.10800000000000001
2008.0,1.0,29.0,9.0,0.0,0.0,0.106
2008.0,1.0,30.0,9.0,0.0,0.0,0.10300000000000001
2008.0,1.0,31.0,9.0,0.0,0.0,0.1
2008.0,2.0,1.0,9.0,0.0,0.0,0.09699999999999999
2008.0,2.0,2.0,9.0,0.0,0.0,0.096
2008.0,2.0,3.0,9.0,0.0,0.0,0.094
2008.0,2.0,4.0,9.0,0.0,0.0,0.091
2008.0,2.0,5.0,9.0,0.0,0.0,0.091
2008.0,2.0,6.0,9.0,0.0,0.0,0.09
2008.0,2.0,7.0,9.0,0.0,0.0,0.09
2008.0,2.0,8.0,9.0,0.0,0.0,0.08900000000000001
