iZ,Z,θini,Layer
1,25.0,0.65,1
2,50.0,0.65,1
3,75.0,0.65,1
4,100.0,0.65,1
5,125.0,0.6176840626741875,2
6,150.0,0.6176840626741875,2
7,175.0,0.6176840626741875,2
8,200.0,0.6176840626741875,2
9,225.0,0.6176840626741875,2
10,250.0,0.6176840626741875,2
11,275.0,0.6176840626741875,2
12,300.0,0.6176840626741875,2
13,325.0,0.6176840626741875,2
14,350.0,0.6176840626741875,2
15,421.875,0.16871929242115102,3
16,493.75,0.16871929242115102,3
17,565.625,0.16871929242115102,3
18,637.5,0.16871929242115102,3
19,709.375,0.16871929242115102,3
20,781.25,0.16871929242115102,3
21,853.125,0.16871929242115102,3
22,925.0,0.16871929242115102,3
23,996.875,0.16871929242115102,3
24,1068.75,0.16871929242115102,3
25,1140.625,0.16871929242115102,3
26,1212.5,0.16871929242115102,3
27,1284.375,0.16871929242115102,3
28,1356.25,0.16871929242115102,3
29,1428.125,0.16871929242115102,3
30,1500.0,0.16871929242115102,3
