Year,Month,Day,Hour,Minute,Second,Z=200mm
2008.0,1.0,1.0,9.0,0.0,0.0,0.278
2008.0,1.0,2.0,9.0,0.0,0.0,0.26899999999999996
2008.0,1.0,3.0,9.0,0.0,0.0,0.271
2008.0,1.0,4.0,9.0,0.0,0.0,0.26
2008.0,1.0,5.0,9.0,0.0,0.0,0.257
2008.0,1.0,6.0,9.0,0.0,0.0,0.255
2008.0,1.0,7.0,9.0,0.0,0.0,0.252
2008.0,1.0,8.0,9.0,0.0,0.0,0.251
2008.0,1.0,9.0,9.0,0.0,0.0,0.251
2008.0,1.0,10.0,9.0,0.0,0.0,0.247
2008.0,1.0,11.0,9.0,0.0,0.0,0.243
2008.0,1.0,12.0,9.0,0.0,0.0,0.242
2008.0,1.0,13.0,9.0,0.0,0.0,0.239
2008.0,1.0,14.0,9.0,0.0,0.0,0.237
2008.0,1.0,15.0,9.0,0.0,0.0,0.235
2008.0,1.0,16.0,9.0,0.0,0.0,0.23199999999999998
2008.0,1.0,17.0,9.0,0.0,0.0,0.231
2008.0,1.0,18.0,9.0,0.0,0.0,0.22699999999999998
2008.0,1.0,19.0,9.0,0.0,0.0,0.225
2008.0,1.0,20.0,9.0,0.0,0.0,0.22399999999999998
2008.0,1.0,21.0,9.0,0.0,0.0,0.226
2008.0,1.0,22.0,9.0,0.0,0.0,0.22699999999999998
2008.0,1.0,23.0,9.0,0.0,0.0,0.226
2008.0,1.0,24.0,9.0,0.0,0.0,0.223
2008.0,1.0,25.0,9.0,0.0,0.0,0.222
2008.0,1.0,26.0,9.0,0.0,0.0,0.22
2008.0,1.0,27.0,9.0,0.0,0.0,0.21899999999999997
2008.0,1.0,28.0,9.0,0.0,0.0,0.218
2008.0,1.0,29.0,9.0,0.0,0.0,0.21600000000000003
2008.0,1.0,30.0,9.0,0.0,0.0,0.21600000000000003
2008.0,1.0,31.0,9.0,0.0,0.0,0.215
2008.0,2.0,1.0,9.0,0.0,0.0,0.215
2008.0,2.0,2.0,9.0,0.0,0.0,0.213
2008.0,2.0,3.0,9.0,0.0,0.0,0.212
2008.0,2.0,4.0,9.0,0.0,0.0,0.215
2008.0,2.0,5.0,9.0,0.0,0.0,0.21600000000000003
2008.0,2.0,6.0,9.0,0.0,0.0,0.215
2008.0,2.0,7.0,9.0,0.0,0.0,0.214
2008.0,2.0,8.0,9.0,0.0,0.0,0.213
2008.0,2.0,9.0,9.0,0.0,0.0,0.212
2008.0,2.0,10.0,9.0,0.0,0.0,0.212
2008.0,2.0,11.0,9.0,0.0,0.0,0.21100000000000002
2008.0,2.0,12.0,9.0,0.0,0.0,0.212
2008.0,2.0,13.0,9.0,0.0,0.0,0.214
2008.0,2.0,14.0,9.0,0.0,0.0,0.214
2008.0,2.0,15.0,9.0,0.0,0.0,0.213
2008.0,2.0,16.0,9.0,0.0,0.0,0.21100000000000002
2008.0,2.0,17.0,9.0,0.0,0.0,0.21100000000000002
2008.0,2.0,18.0,9.0,0.0,0.0,0.209
2008.0,2.0,19.0,9.0,0.0,0.0,0.20800000000000002
2008.0,2.0,20.0,9.0,0.0,0.0,0.20800000000000002
2008.0,2.0,21.0,9.0,0.0,0.0,0.20800000000000002
2008.0,2.0,22.0,9.0,0.0,0.0,0.207
2008.0,2.0,23.0,9.0,0.0,0.0,0.207
2008.0,2.0,24.0,9.0,0.0,0.0,0.207
2008.0,2.0,25.0,9.0,0.0,0.0,0.207
2008.0,2.0,26.0,9.0,0.0,0.0,0.205
2008.0,2.0,27.0,9.0,0.0,0.0,0.205
2008.0,2.0,28.0,9.0,0.0,0.0,0.204
2008.0,2.0,29.0,9.0,0.0,0.0,0.204
2008.0,3.0,1.0,9.0,0.0,0.0,0.203
2008.0,3.0,2.0,9.0,0.0,0.0,0.203
2008.0,3.0,3.0,9.0,0.0,0.0,0.203
2008.0,3.0,4.0,9.0,0.0,0.0,0.226
2008.0,3.0,5.0,9.0,0.0,0.0,0.23800000000000002
2008.0,3.0,6.0,9.0,0.0,0.0,0.24
2008.0,3.0,7.0,9.0,0.0,0.0,0.239
2008.0,3.0,8.0,9.0,0.0,0.0,0.237
2008.0,3.0,9.0,9.0,0.0,0.0,0.235
2008.0,3.0,10.0,9.0,0.0,0.0,0.23199999999999998
2008.0,3.0,11.0,9.0,0.0,0.0,0.225
2008.0,3.0,12.0,9.0,0.0,0.0,0.223
2008.0,3.0,13.0,9.0,0.0,0.0,0.223
2008.0,3.0,14.0,9.0,0.0,0.0,0.223
2008.0,3.0,15.0,9.0,0.0,0.0,0.221
2008.0,3.0,16.0,9.0,0.0,0.0,0.21899999999999997
2008.0,3.0,17.0,9.0,0.0,0.0,0.217
2008.0,3.0,18.0,9.0,0.0,0.0,0.21600000000000003
2008.0,3.0,19.0,9.0,0.0,0.0,0.214
2008.0,3.0,20.0,9.0,0.0,0.0,0.212
2008.0,3.0,21.0,9.0,0.0,0.0,0.21100000000000002
2008.0,3.0,22.0,9.0,0.0,0.0,0.21
2008.0,3.0,23.0,9.0,0.0,0.0,0.209
2008.0,3.0,24.0,9.0,0.0,0.0,0.20800000000000002
2008.0,3.0,25.0,9.0,0.0,0.0,0.207
2008.0,3.0,26.0,9.0,0.0,0.0,0.207
2008.0,3.0,27.0,9.0,0.0,0.0,0.20600000000000002
2008.0,3.0,28.0,9.0,0.0,0.0,0.20600000000000002
2008.0,3.0,29.0,9.0,0.0,0.0,0.205
