0,Horizon,θs,θr,Ks,So,σ,Ψm,θsMacMat,σMac,ΨmMac,Zstart[mm],Zend[mm]
,1,0.7001,0.1104,0.004627072,0.000000001,4.3145,120582.922,0.7001,4.3145,120582.922,0,25
,2,0.7001,0.127,0.004378715,0.000000001,4.2226,101026.563,0.7001,4.2226,101026.563,25,50
,3,0.7001,0.1072,0.004681586,0.000000001,4.3502,124618.674,0.7001,4.3502,124618.674,50,100
,4,0.7001,0.1197,0.004478519,0.000000001,4.234,109228.658,0.7001,4.234,109228.658,100,150
,5,0.7001,0.1196,0.004482419,0.000000001,4.2438,109465.244,0.7001,4.2438,109465.244,150,200
,6,0.6574,0.2231,0.000290301,0.000000001,3.7034,40162.685,0.6574,3.7034,40162.685,200,250
,7,0.6574,0.223,0.000289861,0.000000001,3.6973,40049.43,0.6574,3.6973,40049.43,250,300
,8,0.6574,0.2166,0.000299248,0.000000001,3.7718,43248.988,0.6574,3.7718,43248.988,300,400
,9,0.6659,0.2123,4.19E-04,0.000000001,4.7307,72058.98,0.6659,4.7307,72058.98,400,500
,10,0.6659,0.2339,3.75E-04,0.000000001,4.4572,53136.012,0.6659,4.4572,53136.012,500,600
,11,0.5814,0.2029,1.66E-04,0.000000001,2.8865,42826.721,0.5814,2.8865,42826.721,600,700
,12,0.5814,0.2024,1.66E-04,0.000000001,2.8946,43208.31,0.5814,2.8946,43208.31,700,800
,13,0.6982,0.2358,4.20E-04,0.000000001,4.7159,77203.795,0.6982,4.7159,77203.795,800,900
,14,0.6982,0.1858,5.16E-04,0.000000001,5.2428,153393.934,0.6982,5.2428,153393.934,900,1000
