0,iZ,Z,θini,Horizon
,1,12.5,0.3953,1
,2,25,0.3953,1
,3,37.5,0.3953,1
,4,50,0.3953,1
,5,75,0.3953,1
,6,100,0.3953,1
,7,125,0.3953,1
,8,150,0.3953,1
,9,175,0.3953,1
,10,200,0.3953,1
,11,225,0.3953,1
,12,250,0.3953,1
,13,275,0.39065,1
,14,300,0.386,2
,15,350,0.386,2
,16,400,0.386,2
,17,450,0.386,2
,18,500,0.386,2
,19,550,0.401,2
,20,600,0.416,3
,21,650,0.416,3
,22,700,0.416,3
,23,750,0.416,3
,24,800,0.416,3
,25,850,0.4185,4
,26,900,0.421,4
,27,950,0.421,4
,28,1000,0.421,4
,29,1050,0.421,4
,30,1100,0.421,4
,31,1150,0.421,4
,32,1200,0.421,4
