0,id,Year,Month,Day,Hour,Minute,Second,Pr_mm,Pet_mm,Temp_c
,0,2015,6,1,21,0,0,0,0,0
,1,2015,6,1,22,0,0,0,0.143149708,12.9565979
,2,2015,6,1,23,0,0,0,0.174696324,13.63497314
,3,2015,6,2,0,0,0,0,0.182735108,14.21117554
,4,2015,6,2,1,0,0,0,0.167757506,14.64592896
,5,2015,6,2,2,0,0,0,0.129309323,14.90960083
,6,2015,6,2,3,0,0,0,0.070113994,14.98424683
,7,2015,6,2,4,0,0,1.361443312,0,14.86473999
,8,2015,6,2,5,0,0,3.951098304,0,14.55922852
,9,2015,6,2,6,0,0,3.589208936,0,14.08858643
,10,2015,6,2,7,0,0,0.965221261,0,13.48482666
,11,2015,6,2,8,0,0,2.370296046,0,12.78911743
,12,2015,6,2,9,0,0,4.413993098,0,12.04888306
,13,2015,6,2,10,0,0,4.258710425,0,11.31453857
,14,2015,6,2,11,0,0,1.588438754,0,10.63616333
,15,2015,6,2,12,0,0,1.882946352,0,10.05996094
,16,2015,6,2,13,0,0,2.876806539,0,9.62520752
,17,2015,6,2,14,0,0,1.884010388,0,9.361535645
,18,2015,6,2,15,0,0,0,0,9.287072754
,19,2015,6,2,16,0,0,0,0,9.423364258
,20,2015,6,2,17,0,0,0,0,9.771722412
,21,2015,6,2,18,0,0,0,0,10.30843506
,22,2015,6,2,19,0,0,0,0,10.99694214
,23,2015,6,2,20,0,0,0,0.032576529,11.7902771
,24,2015,6,2,21,0,0,0,0.113618429,12.63442383
,25,2015,6,2,22,0,0,0,0.177465467,13.61422119
,26,2015,6,2,23,0,0,0,0.216930974,14.34020386
,27,2015,6,3,0,0,0,0,0.227143537,14.95684204
,28,2015,6,3,1,0,0,0,0.208549362,15.42211304
,29,2015,6,3,2,0,0,0,0.160610027,15.70430908
,30,2015,6,3,3,0,0,0,0.084068619,15.78417358
,31,2015,6,3,4,0,0,4.227703903,0,15.65627441
,32,2015,6,3,5,0,0,7.440147456,0,15.3293396
,33,2015,6,3,6,0,0,9.119712748,0,14.82564697
,34,2015,6,3,7,0,0,3.414308652,0,14.17952881
,35,2015,6,3,8,0,0,0,0,13.43499146
,36,2015,6,3,9,0,0,1.011988963,0,12.64278564
,37,2015,6,3,10,0,0,2.565856325,0,11.85692749
,38,2015,6,3,11,0,0,0.084460567,0,11.13094482
,39,2015,6,3,12,0,0,0.348855974,0,10.51430664
,40,2015,6,3,13,0,0,0,0,10.04903564
,41,2015,6,3,14,0,0,0,0,9.7668396
,42,2015,6,3,15,0,0,1.04297488,0,9.686425781
,43,2015,6,3,16,0,0,0,0,9.764001465
,44,2015,6,3,17,0,0,0,0,9.962304688
,45,2015,6,3,18,0,0,0,0,10.26781616
,46,2015,6,3,19,0,0,0,0,10.6597229
,47,2015,6,3,20,0,0,0,0.0309649,11.11132202
,48,2015,6,3,21,0,0,0,0.119086413,11.59182129
,49,2015,6,3,22,0,0,0,0.231150581,11.41097412
,50,2015,6,3,23,0,0,0,0.322141568,13.00487671
,51,2015,6,4,0,0,0,0,0.357741024,14.35872803
,52,2015,6,4,1,0,0,0,0.337186531,15.3802124
,53,2015,6,4,2,0,0,0,0.262479851,15.99974976
,54,2015,6,4,3,0,0,0,0.14152212,16.17510376
,55,2015,6,4,4,0,0,0,0,15.89431152
,56,2015,6,4,5,0,0,0,0,15.17653809
,57,2015,6,4,6,0,0,0,0,14.07067261
,58,2015,6,4,7,0,0,0,0,12.65209351
,59,2015,6,4,8,0,0,0,0,11.01748047
,60,2015,6,4,9,0,0,0,0,9.278222656
,61,2015,6,4,10,0,0,3.344184952,0,7.552819824
,62,2015,6,4,11,0,0,1.196302706,0,5.958886719
,63,2015,6,4,12,0,0,2.972728806,0,4.6050354
,64,2015,6,4,13,0,0,0,0,3.583551025
,65,2015,6,4,14,0,0,0,0,2.964013672
,66,2015,6,4,15,0,0,0,0,2.788140869
,67,2015,6,4,16,0,0,0,0,3.02086792
,68,2015,6,4,17,0,0,0,0,3.61574707
,69,2015,6,4,18,0,0,0,0,4.532312012
,70,2015,6,4,19,0,0,0,0,5.708032227
,71,2015,6,4,20,0,0,0,0.042769407,7.06282959
,72,2015,6,4,21,0,0,0,0.158701529,8.50435791
,73,2015,6,4,22,0,0,0,0.257988082,10.61071167
,74,2015,6,4,23,0,0,0,0.319590006,11.70565186
,75,2015,6,5,0,0,0,0,0.337957084,12.63567505
,76,2015,6,5,1,0,0,0,0.312002754,13.33739624
,77,2015,6,5,2,0,0,0,0.240371388,13.76296387
,78,2015,6,5,3,0,0,0,0.127462059,13.88341675
,79,2015,6,5,4,0,0,0,0,13.69054565
,80,2015,6,5,5,0,0,0,0,13.19747314
,81,2015,6,5,6,0,0,0,0,12.43779907
,82,2015,6,5,7,0,0,0,0,11.46331177
,83,2015,6,5,8,0,0,0,0,10.34041748
,84,2015,6,5,9,0,0,0,0,9.145654297
,85,2015,6,5,10,0,0,0,0,7.96038208
,86,2015,6,5,11,0,0,0,0,6.865441895
,87,2015,6,5,12,0,0,0,0,5.935449219
,88,2015,6,5,13,0,0,0,0,5.233728027
,89,2015,6,5,14,0,0,0,0,4.8081604
,90,2015,6,5,15,0,0,0,0,4.687738037
,91,2015,6,5,16,0,0,0,0,4.884820557
,92,2015,6,5,17,0,0,0,0,5.388604736
,93,2015,6,5,18,0,0,0,0,6.164788818
,94,2015,6,5,19,0,0,0,0,7.160455322
,95,2015,6,5,20,0,0,0,0.039931187,8.307763672
,96,2015,6,5,21,0,0,0,0.150275242,9.528527832
,97,2015,6,5,22,0,0,0,0.240901674,11.0598999
,98,2015,6,5,23,0,0,0,0.297924591,12.0715271
,99,2015,6,6,0,0,0,0,0.314538978,12.93078003
,100,2015,6,6,1,0,0,0,0.289858523,13.57909546
,101,2015,6,6,2,0,0,0,0.222843955,13.97231445
,102,2015,6,6,3,0,0,0,0.11672698,14.08358154
,103,2015,6,6,4,0,1,0,0,13.9053894
,104,2015,6,6,5,0,1,0,0,13.449823
,105,2015,6,6,6,0,1,0,0,12.74797974
,106,2015,6,6,7,0,1,0,0,11.84761963
,107,2015,6,6,8,0,1,0,0,10.81017456
,108,2015,6,6,9,0,1,0,0,9.706292725
,109,2015,6,6,10,0,1,0,0,8.611230469
,110,2015,6,6,11,0,1,0,0,7.599603271
,111,2015,6,6,12,0,1,0,0,6.740350342
,112,2015,6,6,13,0,1,0,0,6.092034912
,113,2015,6,6,14,0,1,0,0,5.698815918
,114,2015,6,6,15,0,1,0,0,5.587121582
,115,2015,6,6,16,0,1,0,0,5.727593994
,116,2015,6,6,17,0,1,0,0,6.086663818
,117,2015,6,6,18,0,1,0,0,6.639886475
,118,2015,6,6,19,0,1,0,0,7.349572754
,119,2015,6,6,20,0,1,0,0.027379769,8.167352295
,120,2015,6,6,21,0,1,0,0.104080777,9.037469482
,121,2015,6,6,22,0,1,0,0.175099194,8.263208008
,122,2015,6,6,23,0,1,0,0.261035893,9.608087158
,123,2015,6,7,0,0,1,0,0.302977161,10.75039063
,124,2015,6,7,1,0,1,0,0.291816366,11.61226807
,125,2015,6,7,2,0,1,0,0.228308199,12.13500366
,126,2015,6,7,3,0,1,0,0.121030462,12.28295288
,127,2015,6,7,4,0,1,0,0,12.04604492
,128,2015,6,7,5,0,1,0,0,11.44042358
,129,2015,6,7,6,0,1,0,0,10.50734863
,130,2015,6,7,7,0,1,0,0,9.310418701
,131,2015,6,7,8,0,1,0,0,7.931207275
,132,2015,6,7,9,0,1,0,0,6.463708496
,133,2015,6,7,10,0,1,0,0,5.007928467
,134,2015,6,7,11,0,1,0,0,3.663049316
,135,2015,6,7,12,0,1,0,0,2.52074585
,136,2015,6,7,13,0,1,0,0,1.658837891
,137,2015,6,7,14,0,1,0,0,1.136132813
,138,2015,6,7,15,0,1,0,0,0.988183594
,139,2015,6,7,16,0,1,0,0,1.227197266
,140,2015,6,7,17,0,1,0,0,1.838189697
,141,2015,6,7,18,0,1,0,0,2.779504395
,142,2015,6,7,19,0,1,0,0,3.987023926
,143,2015,6,7,20,0,1,0,0.037817459,5.378442383
,144,2015,6,7,21,0,1,0,0.148697669,6.858911133
,145,2015,6,7,22,0,1,0,0.2474621,9.431085205
,146,2015,6,7,23,0,1,0,0.306781178,10.41890869
,147,2015,6,8,0,0,1,0,0.324358843,11.25792847
,148,2015,6,8,1,0,1,0,0.298799627,11.89101563
,149,2015,6,8,2,0,1,0,0.229121099,12.27495728
,150,2015,6,8,3,0,1,0,0.119726516,12.38363037
,151,2015,6,8,4,0,1,0,0,12.20961914
,152,2015,6,8,5,0,1,0,0,11.7647644
