0,iZ,Z,θini,Horizon
,1,12.5,0.391706461,1
,2,25,0.391706461,1
,3,37.5,0.391706461,1
,4,50,0.391706461,1
,5,75,0.391706461,1
,6,100,0.391706461,1
,7,125,0.391706461,1
,8,150,0.391706461,1
,9,175,0.391706461,1
,10,200,0.391706461,2
,11,225,0.400978584,2
,12,250,0.410250706,2
,13,275,0.410250706,2
,14,300,0.410250706,2
,15,350,0.410250706,2
,16,400,0.410250706,2
,17,450,0.422329408,2
,18,500,0.43440811,3
,19,550,0.43440811,3
,20,600,0.43440811,3
,21,650,0.449769673,4
,22,700,0.465131235,4
,23,750,0.465131235,4
,24,800,0.465131235,4
,25,850,0.479529453,4
,26,900,0.493927671,5
,27,950,0.493927671,5
,28,1000,0.493927671,5
,29,1050,0.493927671,5
,30,1100,0.493927671,5
,31,1150,0.493927671,5
,32,1200,0.493927671,5
