,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,SIM_9,SIM_10,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,OPT_9,OPT_10,SIM_100,SIM_101,OPT_100,OPT_101
Param,veg,Zroot,1,600,1000,0,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,0,0,0,800,800,0,0
Param,veg,ΔRdf_Top,1,0.7,0.9,0,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0,0,0,0,0,0,0,0,0,0,0.897509579,0.897509579,0,0
Param,veg,Zroot_Top,1,300,300,0,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,300,300,0,0
Param,veg,Lai,1,1,6,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0
Param,veg,Lai_Min,1,0.1,3,0,1.391566837,1.391566837,1.391566837,1.391566837,1.391566837,1.391566837,1.391566837,1.391566837,1.391566837,1.391566837,0,0,0,0,0,0,0,0,0,1,1.391566837,1.391566837,0,0
Param,veg,Lai_Max,1,3,6,0,3.294406916,3.294406916,3.294406916,3.294406916,3.294406916,3.294406916,3.294406916,3.294406916,3.294406916,3.294406916,0,0,0,0,0,0,0,0,0,1,3.294406916,3.294406916,0,0
Param,veg,CropCoeficient,1,0.85,1.05,0,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0,0,0,0,0,0,0,0,0,0,0.86572077,0.86572077,0,0
Param,veg,CropCoeficient_Min,1,0.75,0.8,0,0.785186205,0.785186205,0.785186205,0.785186205,0.785186205,0.785186205,0.785186205,0.785186205,0.785186205,0.785186205,0,0,0,0,0,0,0,0,0,1,0.785186205,0.785186205,0,0
Param,veg,CropCoeficient_Max,1,0.8,1.5,0,0.81391361,0.81391361,0.81391361,0.81391361,0.81391361,0.81391361,0.81391361,0.81391361,0.81391361,0.81391361,0,0,0,0,0,0,0,0,0,1,0.81391361,0.81391361,0,0
Param,veg,ExtinctCoefRadiation,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Ψfeddes1,1,0.01,150000,0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0
Param,veg,Ψfeddes2,1,0.01,150000,0,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,250,250,0,0
Param,veg,Ψfeddes3,1,0.01,150000,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0
Param,veg,Ψfeddes4,1,0.01,150000,0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,0,0,0,0,0,0,0,0,0,0,80000,80000,0,0
Param,veg,RootWaterUptakeComp,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Zevapo,1,0.01,300,0,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,300,300,0,0
Param,veg,Sint_Lai,1,0.01,1,0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,0,0,0,0,1.6,1.6,0,0
Param,veg,Sint_Sat,1,0.5,2,0,1.874956684,1.874956684,1.874956684,1.874956684,1.874956684,1.874956684,1.874956684,1.874956684,1.874956684,1.874956684,0,0,0,0,0,0,0,0,0,1,1.874956684,1.874956684,0,0
Vector,hydro,θs,1,0.464774546,0.6,0,0.571005946,0.571005946,0.571005946,0.571005946,0.571005946,0.571005946,0.571005946,0.571005946,0.571005946,0.573157517,1,1,0,1,0,0,0,0,0,0,0.573157517,0.591856153,0,0
Vector,hydro,θs,2,0.446185924,0.6,0,0.595941324,0.595941324,0.595941324,0.595941324,0.595941324,0.595941324,0.595941324,0.595941324,0.595941324,0.562546689,1,1,0,0,1,1,0,0,0,0,0.562546689,0.565001346,0,0
Vector,hydro,θs,3,0.52154857,0.6,0,0.56229762,0.56229762,0.56229762,0.56229762,0.56229762,0.56229762,0.56229762,0.56229762,0.56229762,0.593141033,1,1,0,0,1,0,1,0,0,0,0.593141033,0.58596008,0,0
Vector,hydro,θs,4,0.472132445,0.6,0,0.549925436,0.549925436,0.549925436,0.549925436,0.549925436,0.549925436,0.549925436,0.549925436,0.549925436,0.502777595,1,0,1,0,0,0,0,1,0,0,0.502777595,0.549069697,0,0
Vector,hydro,θs,5,0.47501296,0.6,0,0.517210598,0.517210598,0.517210598,0.517210598,0.517210598,0.517210598,0.517210598,0.517210598,0.517210598,0.502777595,1,0,1,0,0,0,0,0,1,0,0.502777595,0.496803401,0,0
Vector,hydro,θr,1,0,0.2,0,0.141006519,0.141006519,0.141006519,0.141006519,0.141006519,0.141006519,0.141006519,0.141006519,0.141006519,0.057808827,0,0,0,0,0,0,0,0,0,0,0.057808827,0.09036424,0,0
Vector,hydro,θr,2,0,0.2,0,0.072449765,0.072449765,0.072449765,0.072449765,0.072449765,0.072449765,0.072449765,0.072449765,0.072449765,0.086388021,0,0,0,0,0,0,0,0,0,0,0.086388021,0.135949942,0,0
Vector,hydro,θr,3,0,0.2,0,0.128403801,0.128403801,0.128403801,0.128403801,0.128403801,0.128403801,0.128403801,0.128403801,0.128403801,0.162008486,0,0,0,0,0,0,0,0,0,0,0.162008486,0.190067937,0,0
Vector,hydro,θr,4,0,0.2,0,0.189392018,0.189392018,0.189392018,0.189392018,0.189392018,0.189392018,0.189392018,0.189392018,0.189392018,0.192096974,0,0,0,0,0,0,0,0,0,0,0.192096974,0.197320129,0,0
Vector,hydro,θr,5,0,0.2,0,0.185768094,0.185768094,0.185768094,0.185768094,0.185768094,0.185768094,0.185768094,0.185768094,0.185768094,0.192096974,0,0,0,0,0,0,0,0,0,0,0.192096974,0.167877144,0,0
Vector,hydro,Ks,1,5.50E-05,0.08,1,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,0.044967823,1,1,0,1,0,0,0,0,0,0,0.044967823,0.00017173,0,0
Vector,hydro,Ks,2,5.50E-05,0.08,1,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.009346288,1,1,0,0,1,1,0,0,0,0,0.009346288,0.016980355,0,0
Vector,hydro,Ks,3,5.50E-05,0.08,1,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,0.061277758,1,1,0,0,1,0,1,0,0,0,0.061277758,0.026088819,0,0
Vector,hydro,Ks,4,5.50E-05,0.08,1,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.024351819,1,0,1,0,0,0,0,1,0,0,0.024351819,0.005993952,0,0
