Id,H[mm],Kunsat[mm_s]
1,0.0,0.009346287731781
1,10.0,0.008243079094054436
1,50.0,0.006342521222791033
1,100.0,0.005089782829720418
1,500.0,0.002029965648306882
1,1000.0,0.0010939353808702122
1,5000.0,0.00013743385908559944
1,10000.0,4.127272634850017e-5
1,50000.0,1.1313444597601798e-6
1,100000.0,1.6641375947159795e-7
1,150000.0,4.8733535673640074e-8
1,200000.0,1.9420966124479732e-8
2,0.0,0.0187458889303
2,10.0,0.012690516516140764
2,50.0,0.0064529039785410055
2,100.0,0.004046535511334149
2,500.0,0.0008057720697701266
2,1000.0,0.0003095323875284669
2,5000.0,1.678233143318066e-5
2,10000.0,3.4673576071925442e-6
2,50000.0,3.99943176380089e-8
2,100000.0,4.090951374307063e-9
2,150000.0,9.728996696135193e-10
2,200000.0,3.352416678846141e-10
3,0.0,0.009631576111751
3,10.0,0.0070123268983384125
3,50.0,0.004407144081049157
3,100.0,0.003204087507310998
3,500.0,0.0010270104410328126
3,1000.0,0.0005146895332025903
3,5000.0,6.0124131019547177e-5
3,10000.0,1.846356320104164e-5
3,50000.0,6.213563502366888e-7
3,100000.0,1.0736493331550294e-7
3,150000.0,3.529764452688725e-8
3,200000.0,1.542085603717574e-8
4,0.0,0.072464305889183
4,10.0,0.02798117593806159
4,50.0,0.01214506365102134
4,100.0,0.0077554591349084535
4,500.0,0.001877335859085872
4,1000.0,0.000848201831652548
4,5000.0,8.335601455603896e-5
4,10000.0,2.465433574205238e-5
4,50000.0,8.44157097838807e-7
4,100000.0,1.5444549089449012e-7
4,150000.0,5.3286583316066945e-8
4,200000.0,2.4255220451906313e-8
5,0.0,0.04119461451617701
5,10.0,0.014563737031398473
5,50.0,0.006473364577020778
5,100.0,0.004242810657279811
5,500.0,0.0011932099980982384
5,1000.0,0.0006027153276417582
5,5000.0,8.729659572322323e-5
5,10000.0,3.24319806981394e-5
5,50000.0,2.19905428133672e-6
5,100000.0,5.785067240022893e-7
5,150000.0,2.5174172652010477e-7
5,200000.0,1.3630657837300955e-7
