Id,H[mm],Theta
15,40,0.5
15,70,0.5
15,100,0.5
15,500,0.48
15,1000,0.46
15,2000,0.43
15,4000,0.4
15,10000,0.36
15,150000,0.16
16,40,0.5
16,70,0.5
16,100,0.5
16,500,0.49
16,1000,0.46
16,2000,0.43
16,4000,0.4
16,10000,0.35
16,150000,0.19
17,40,0.51
17,70,0.51
17,100,0.51
17,500,0.49
17,1000,0.47
17,2000,0.43
17,4000,0.4
17,10000,0.35
17,150000,0.2
18,40,0.53
18,70,0.51
18,100,0.51
18,500,0.46
18,1000,0.44
18,2000,0.4
18,4000,0.37
18,10000,0.32
18,150000,0.2
19,40,0.53
19,70,0.53
19,100,0.53
19,500,0.49
19,1000,0.46
19,2000,0.43
19,4000,0.4
19,10000,0.35
19,150000,0.19
20,40,0.51
20,70,0.5
20,100,0.5
20,500,0.45
20,1000,0.43
20,2000,0.4
20,4000,0.37
20,10000,0.31
20,150000,0.19
21,40,0.58
21,70,0.58
21,100,0.58
21,500,0.55
21,1000,0.53
21,2000,0.48
21,4000,0.46
21,10000,0.41
21,150000,0.19
22,40,0.53
22,70,0.53
22,100,0.53
22,500,0.48
22,1000,0.45
22,2000,0.41
22,4000,0.37
22,10000,0.32
22,150000,0.2
23,40,0.53
23,70,0.53
23,100,0.52
23,500,0.49
23,1000,0.46
23,2000,0.42
23,4000,0.39
23,10000,0.34
23,150000,0.19
24,40,0.49
24,70,0.49
24,100,0.49
24,500,0.47
24,1000,0.45
24,2000,0.41
24,4000,0.38
24,10000,0.34
24,150000,0.22
25,40,0.51
25,70,0.51
25,100,0.51
25,500,0.49
25,1000,0.46
25,2000,0.42
25,4000,0.39
25,10000,0.33
25,150000,0.22
26,40,0.51
26,70,0.51
26,100,0.51
26,500,0.49
26,1000,0.47
26,2000,0.43
26,4000,0.4
26,10000,0.35
26,150000,0.2
27,40,0.54
27,70,0.53
27,100,0.53
27,500,0.49
27,1000,0.46
27,2000,0.42
27,4000,0.4
27,10000,0.35
27,150000,0.18
28,40,0.5
28,70,0.5
28,100,0.5
28,500,0.49
28,1000,0.46
28,2000,0.43
28,4000,0.4
28,10000,0.35
28,150000,0.19
29,40,0.5
29,70,0.5
29,100,0.5
29,500,0.48
29,1000,0.46
29,2000,0.43
29,4000,0.4
29,10000,0.36
29,150000,0.16
30,40,0.51
30,70,0.51
30,100,0.51
30,500,0.49
30,1000,0.46
30,2000,0.42
30,4000,0.39
30,10000,0.33
30,150000,0.22
32,40,0.49
32,70,0.49
32,100,0.49
32,500,0.47
32,1000,0.45
32,2000,0.41
32,4000,0.38
32,10000,0.34
32,150000,0.22
33,40,0.51
33,70,0.51
33,100,0.51
33,500,0.49
33,1000,0.46
33,2000,0.42
33,4000,0.39
33,10000,0.33
33,150000,0.22
34,40,0.49
34,70,0.49
34,100,0.49
34,500,0.47
34,1000,0.45
34,2000,0.41
34,4000,0.38
34,10000,0.34
34,150000,0.22
36,40,0.49
36,70,0.49
36,100,0.49
36,500,0.47
36,1000,0.45
36,2000,0.41
36,4000,0.38
36,10000,0.34
36,150000,0.22
37,40,0.51
37,70,0.51
37,100,0.51
37,500,0.49
37,1000,0.46
37,2000,0.42
37,4000,0.39
37,10000,0.33
37,150000,0.22
38,40,0.51
38,70,0.51
38,100,0.51
38,500,0.49
38,1000,0.47
38,2000,0.43
38,4000,0.4
38,10000,0.35
38,150000,0.2
39,40,0.54
39,70,0.53
39,100,0.53
39,500,0.49
39,1000,0.46
39,2000,0.42
39,4000,0.4
39,10000,0.35
39,150000,0.18
40,40,0.54
40,70,0.53
40,100,0.53
40,500,0.49
40,1000,0.46
40,2000,0.42
40,4000,0.4
40,10000,0.35
40,150000,0.18
41,40,0.51
41,70,0.51
41,100,0.51
41,500,0.49
41,1000,0.47
41,2000,0.43
41,4000,0.4
41,10000,0.35
41,150000,0.2
42,40,0.54
42,70,0.53
42,100,0.53
42,500,0.49
42,1000,0.46
42,2000,0.42
42,4000,0.4
42,10000,0.35
42,150000,0.18
43,40,0.51
43,70,0.51
43,100,0.51
43,500,0.49
43,1000,0.47
43,2000,0.43
43,4000,0.4
43,10000,0.35
43,150000,0.2
44,40,0.5
44,70,0.5
44,100,0.5
44,500,0.48
44,1000,0.46
44,2000,0.43
44,4000,0.4
44,10000,0.36
44,150000,0.16
45,40,0.5
45,70,0.5
45,100,0.5
45,500,0.49
45,1000,0.46
45,2000,0.43
45,4000,0.4
45,10000,0.35
45,150000,0.19
46,40,0.5
46,70,0.5
46,100,0.5
46,500,0.49
46,1000,0.46
46,2000,0.43
46,4000,0.4
46,10000,0.35
46,150000,0.19
47,40,0.5
47,70,0.5
47,100,0.5
47,500,0.48
47,1000,0.46
47,2000,0.43
47,4000,0.4
47,10000,0.36
47,150000,0.16
48,40,0.5
48,70,0.5
48,100,0.5
48,500,0.48
48,1000,0.46
48,2000,0.43
48,4000,0.4
48,10000,0.36
48,150000,0.16
49,40,0.5
49,70,0.5
49,100,0.5
49,500,0.49
49,1000,0.46
49,2000,0.43
49,4000,0.4
49,10000,0.35
49,150000,0.19
50,40,0.53
50,70,0.53
50,100,0.53
50,500,0.48
50,1000,0.45
50,2000,0.41
50,4000,0.37
50,10000,0.32
50,150000,0.2
51,40,0.53
51,70,0.53
51,100,0.52
51,500,0.49
51,1000,0.46
51,2000,0.42
51,4000,0.39
51,10000,0.34
51,150000,0.19
52,40,0.53
52,70,0.53
52,100,0.52
52,500,0.49
52,1000,0.46
52,2000,0.42
52,4000,0.39
52,10000,0.34
52,150000,0.19
53,40,0.53
53,70,0.53
53,100,0.53
53,500,0.48
53,1000,0.45
53,2000,0.41
53,4000,0.37
53,10000,0.32
53,150000,0.2
54,40,0.53
54,70,0.53
54,100,0.53
54,500,0.48
54,1000,0.45
54,2000,0.41
54,4000,0.37
54,10000,0.32
54,150000,0.2
55,40,0.53
55,70,0.53
55,100,0.52
55,500,0.49
55,1000,0.46
55,2000,0.42
55,4000,0.39
55,10000,0.34
55,150000,0.19
56,40,0.51
56,70,0.5
56,100,0.5
56,500,0.45
56,1000,0.43
56,2000,0.4
56,4000,0.37
56,10000,0.31
56,150000,0.19
57,40,0.58
57,70,0.58
57,100,0.58
57,500,0.55
57,1000,0.53
57,2000,0.48
57,4000,0.46
57,10000,0.41
57,150000,0.19
58,40,0.51
58,70,0.5
58,100,0.5
58,500,0.45
58,1000,0.43
58,2000,0.4
58,4000,0.37
58,10000,0.31
58,150000,0.19
59,40,0.58
59,70,0.58
59,100,0.58
59,500,0.55
59,1000,0.53
59,2000,0.48
59,4000,0.46
59,10000,0.41
59,150000,0.19
60,40,0.51
60,70,0.5
60,100,0.5
60,500,0.45
60,1000,0.43
60,2000,0.4
60,4000,0.37
60,10000,0.31
60,150000,0.19
61,40,0.58
61,70,0.58
61,100,0.58
61,500,0.55
61,1000,0.53
61,2000,0.48
61,4000,0.46
61,10000,0.41
61,150000,0.19
62,40,0.51
62,70,0.5
62,100,0.5
62,500,0.45
62,1000,0.43
62,2000,0.4
62,4000,0.37
62,10000,0.31
62,150000,0.19
63,40,0.53
63,70,0.53
63,100,0.53
63,500,0.49
63,1000,0.46
63,2000,0.43
63,4000,0.4
63,10000,0.35
63,150000,0.19
64,40,0.53
64,70,0.51
64,100,0.51
64,500,0.46
64,1000,0.44
64,2000,0.4
