Id,H[mm],Kunsat[mm_s]
30,10,0.002861111
30,40,0.001222222
30,70,0.00075
30,100,0.000333333
32,10,0.005222222
32,40,0.000888889
32,70,0.0005
32,100,0.000305556
33,10,0.002861111
33,40,0.001222222
33,70,0.00075
33,100,0.000333333
34,10,0.005222222
34,40,0.000888889
34,70,0.0005
34,100,0.000305556
37,10,0.002861111
37,40,0.001222222
37,70,0.00075
37,100,0.000333333
105,10,0.002861111
105,40,0.001222222
105,70,0.00075
105,100,0.000333333
107,10,0.005222222
107,40,0.000888889
107,70,0.0005
107,100,0.000305556
108,10,0.006361111
108,40,0.004083333
108,70,0.002583333
108,100,0.000833333
114,10,0.006361111
114,40,0.004083333
114,70,0.002583333
114,100,0.000833333
118,10,0.020194444
118,40,0.002722222
118,70,0.001388889
118,100,0.000638889
