Ψm_A,σ_A,,Ψm_B,σ_B,,Ψm_C,σ_C,,Ψm_D,σ_D,,Ψm_E,σ_E,,Ψm_F,σ_F,,Ψm_G,σ_G,,Ψm_H,σ_H,,Ψm_I,σ_I,,Ψm_J,σ_J
31306.26059,3.60728,,4156.76073,2.71179,,3319.66509,2.7627,,3319.61979,2.76273,,64475.79031,2.92382,,11835.42867,2.35876,,10128.27797,2.30683,,5957.74032,2.46515,,6461.96213,2.15703,,11392.6067,3.19678
19296.51752,3.3017,,4979.70071,2.44063,,3408.87041,2.56243,,2956.30585,2.6098,,86094.43965,3.02021,,9311.12764,2.27879,,8981.61535,2.26678,,5435.20792,2.41404,,9882.64444,2.29865,,24403.30371,4
28237.41228,3.98034,,3445.28625,2.50989,,1883.94132,2.56029,,1810.46363,2.53986,,7344.54693,2.19971,,9018.55082,2.26815,,7805.26476,2.21999,,1775.35917,2.54862,,2832.8626,1.88215,,2411.3508,3.86649
2059.56243,3.99034,,509.97134,2.76299,,3621.96605,2.39584,,3556.05926,2.37273,,4703.01633,2.05112,,7581.32917,2.21029,,7411.55565,2.20274,,3048.87099,2.41688,,3372.18436,1.94024,,4142.89188,4
3048.6246,3.99711,,10688.33423,2.19482,,10693.85073,2.19498,,10140.16996,2.17016,,4092.10645,1.89432,,10140.21176,2.17016,,8421.56832,2.24532,,5415.11643,2.34363,,5183.42753,2.08355,,5964.5678,2.55599
4167.31867,2.66621,,2405.80464,2.37976,,2771.5104,2.34696,,2737.4506,2.34947,,48906.44086,2.83169,,6421.89125,2.15496,,6302.42384,2.1487,,2107.85136,2.40863,,3849.2297,1.98435,,6616.04198,4
28599.82726,3.40214,,5570.89144,2.67888,,4767.04992,2.67897,,4767.13362,2.67898,,38794.49353,2.75448,,11713.20947,2.3553,,9840.57649,2.29723,,6693.78117,2.45883,,8423.91845,2.24542,,21041.50865,3.44238
67513.45006,3.70843,,6988.5834,2.78019,,5984.75653,2.82591,,5984.70275,2.82593,,89633.6931,3.03363,,15438.58157,2.44735,,13306.65023,2.39781,,10416.61611,2.47842,,11508.0879,2.34941,,29955.40282,3.36748
36449.27176,3.38421,,12584.3764,2.62382,,8649.02228,2.79198,,7646.57786,2.87878,,194798.6802,3.29238,,21090.72164,2.55133,,18322.81438,2.50444,,14311.48346,2.58081,,14450.84728,2.42531,,80854.12624,4
8121.94851,2.95719,,8934.62127,2.93565,,7232.90195,2.95571,,7232.83647,2.95571,,170718.1527,3.24839,,21832.24107,2.56285,,18806.4923,2.51312,,7209.5309,2.96895,,7639.93671,2.21285,,6656.74488,2.90215
5963.89318,3.62133,,3676.89452,3.34518,,11545.26513,2.6736,,10452.28503,2.64778,,6810.87268,2.17456,,20145.05593,2.53604,,19364.22935,2.52287,,4328.11726,3.08669,,5829.2405,2.12269,,4373.82161,3.11663
9641.23369,2.67955,,9322.2782,2.66803,,11149.17618,2.65599,,10819.91359,2.62769,,25356.54046,2.61274,,19441.25555,2.52419,,18556.69992,2.50867,,9758.52934,2.66309,,8689.83137,2.25577,,21314.6605,3.57485
15072.02405,2.17375,,14811.0615,2.16988,,12219.69846,2.10839,,11472.39367,2.0883,,6800.55419,1.94512,,11472.2978,2.08829,,9080.79913,2.19505,,9080.79914,2.19505,,10632.50935,2.32303,,17104.90712,2.94736
1776.15179,2.70035,,1823.22246,2.33433,,2066.49667,2.2494,,1966.47731,2.23772,,1873.37442,1.7443,,5011.19112,2.07228,,4487.37896,2.03548,,1154.73408,2.35335,,1548.58776,1.68084,,1186.86863,2.69043
1076.06408,1.73564,,1712.87323,1.94017,,1870.40585,1.94083,,1811.21125,1.91365,,999.96885,1.53505,,2445.53778,1.83315,,2365.29777,1.82202,,1032.25709,2.08766,,1125.92167,1.5696,,1125.92078,1.5696
5134.6612,1.94459,,8052.98045,2.05986,,7406.76224,2.04683,,6882.21485,2.01905,,4586.04643,1.8992,,6882.21729,2.01905,,5718.18748,2.11627,,5255.96359,2.14515,,5291.54045,2.09043,,5570.36743,2.27966
4282.94189,2.18542,,5703.94091,2.28988,,6508.04711,2.29391,,6106.1411,2.26717,,5252.12969,2.08793,,7888.03893,2.22351,,7719.7368,2.21632,,5125.75241,2.32853,,4658.58466,2.04796,,4692.96422,2.08833
74317.45657,3.35263,,14217.47514,2.57132,,11906.50958,2.62579,,10815.92318,2.66276,,198036.3897,3.29787,,19915.45535,2.53222,,18234.95986,2.50284,,17466.16209,2.5144,,21255.31113,2.55393,,133961.6015,4
49917.83055,3.09664,,10710.43634,2.42359,,10533.09751,2.40953,,10533.0492,2.40953,,24661.13309,2.60347,,12394.07058,2.37413,,13928.17675,2.31281,,13928.17673,2.31281,,13554.41854,2.28306,,13555.3254,2.28311
53798.84161,3.04275,,8069.13856,2.43313,,7751.0243,2.43885,,7467.2932,2.45255,,59796.89199,2.89871,,11871.65194,2.35977,,12602.54086,2.29746,,12602.54097,2.29746,,16698.9144,2.4735,,48309.44653,3.52239
6268.32038,2.69921,,4230.47392,2.23874,,3561.06007,2.28232,,3286.22345,2.30559,,16958.55234,2.47865,,6240.99759,2.14544,,6040.15241,2.13453,,5416.25259,2.17216,,5444.42732,2.09992,,5842.58936,2.33907
25549.22371,2.80069,,9288.50981,2.43318,,6268.83042,2.5622,,5613.93406,2.59824,,80878.18992,2.99937,,12957.42612,2.38895,,14391.31467,2.29094,,14391.31456,2.29094,,19499.5962,2.52519,,56125.72639,3.43119
26626.79846,3.21666,,8094.71832,2.59507,,8188.38869,2.59369,,7400.36399,2.63203,,133008.3622,3.16519,,14492.13668,2.42626,,14027.07387,2.41539,,9824.09278,2.52757,,13586.6748,2.40475,,48200.5417,4
16703.88699,3.17839,,14819.64864,3.16902,,15108.01551,3.17276,,14976.78784,3.12832,,439408.4054,3.56353,,35720.12415,2.72696,,30237.2214,2.67141,,14524.85261,3.22214,,17325.31356,2.48578,,15942.34558,3.32413
8790.34486,3.37287,,8437.17238,3.37695,,5041.10495,3.03449,,4360.22826,2.95787,,213913.0579,3.32358,,22494.26378,2.57281,,17647.24509,2.49192,,3796.50805,3.37379,,5435.61352,2.09938,,3783.90671,3.36712
6262.40009,3.99933,,6232.37501,3.99998,,6767.5859,3.07203,,5556.75702,2.9651,,10626.44466,2.32284,,26306.43992,2.62499,,22437.51995,2.57197,,2290.80039,4,,6697.97147,2.16899,,2290.8006,4
13905.00673,3.74155,,11745.9294,3.7654,,8649.43681,3.32635,,7435.11517,3.31879,,534071.4535,3.62857,,33133.60558,2.70191,,27513.93234,2.63995,,5551.746,4,,11614.66637,2.35248,,5551.74677,4
4112.02086,3.24805,,4068.47662,3.276,,8939.73239,2.68248,,7255.44041,2.65033,,4538.47786,2.03925,,18772.97444,2.51253,,18154.91323,2.50137,,1999.50854,3.46442,,4079.63258,2.00373,,1997.0438,3.46167
2260.56036,2.93667,,2432.57612,3.05809,,1080.37083,2.91054,,1132.06216,2.87262,,2291.35042,1.81144,,15699.52454,2.45293,,13465.01219,2.40175,,887.67844,3.05678,,1718.96354,1.71563,,837.94706,2.88965
38353.42667,3.20623,,20916.67293,3.04679,,12770.29322,3.20223,,11874.92042,3.20295,,197874.426,3.2976,,30803.40578,2.6776,,25636.17358,2.61639,,11695.09077,3.40237,,15636.53939,2.45159,,17491.93663,3.64628
22841.41425,3.40036,,10121.31603,3.1671,,5914.25501,3.184,,5934.27354,3.14537,,167311.7431,3.24168,,23179.41659,2.58281,,18690.61944,2.51106,,5180.74136,3.41042,,8161.2106,2.23485,,5381.05249,3.43703
458617.7115,3.85829,,3571.04868,3.99997,,5769.53572,3.09119,,4850.9661,3.04364,,216954.7258,3.32829,,22575.88496,2.57402,,19064.33734,2.51766,,2244.84843,4,,6893.9804,2.17861,,2266.26499,4
16544.96465,3.40417,,13933.09961,3.38102,,10954.12443,3.46906,,10955.63891,3.44941,,342129.6867,3.48012,,32823.60602,2.69877,,26876.96562,2.63215,,10518.18255,3.46173,,14107.31442,2.41729,,10508.49613,3.46086
19382.77166,3.99857,,9894.81676,3.99945,,11064.51114,3.56597,,10791.16673,3.32219,,467658.5179,3.5843,,35721.70258,2.72698,,29321.65771,2.66117,,7876.77473,4,,15343.94571,2.4453,,7876.76826,4
13272.36947,3.50537,,13086.4832,3.48747,,7629.91323,3.45478,,8278.90477,3.40194,,410327.2679,3.54071,,31364.78917,2.68362,,25144.48537,2.60994,,6955.40214,3.65311,,10867.63697,2.33032,,6954.79469,3.65299
24061.79049,2.38156,,18107.80603,2.31003,,16577.09703,2.3017,,15949.68133,2.28517,,11937.20399,2.206,,15949.64751,2.28517,,12235.19403,2.3564,,12235.19411,2.3564,,14114.61062,2.41746,,54899.61198,3.71476
