Id,Soilname,0_mm,500_mm,1000_mm,2000_mm,4000_mm,10000_mm,150000_mm
1,Stratford_0_15_Min,0.641104279,0.494000015,0.454000015,0.424000015,0.397999992,0.357999992,0.242000008
1,Stratford_0_15_Max,0.645304893,0.504000015,0.472999992,0.442999992,0.402999992,0.357999992,0.255
2,Stratford_15_32_Min,0.673866663,0.520999985,0.479000015,0.425,0.364000015,0.349000015,0.233999996
2,Stratford_15_32_Max,0.68007246,0.527999992,0.49,0.454000015,0.425,0.367000008,0.311000004
3,Stratford_32_112_Min,0.689297479,0.517999992,0.487000008,0.46,0.435,0.405,0.282999992
3,Stratford_32_112_Max,0.703795807,0.562999992,0.547999992,0.524000015,0.500999985,0.457999992,0.306000004
4,Barrhill_0_22_Min,0.410912713,0.362999992,0.345,0.320999985,NaN,0.271000004,0.148000002
4,Barrhill_0_22_Max,0.478682167,0.377999992,0.359000015,0.337000008,NaN,0.286000004,0.162000008
5,Barrhill_22_34_Min,0.406133855,0.317999992,0.301000004,0.285,NaN,0.237000008,0.141999998
5,Barrhill_22_34_Max,0.484030452,0.329000015,0.311000004,0.293999996,NaN,0.242999992,0.16
6,Barrhill_56_70_Min,0.420260235,0.313999996,0.207000008,0.138000002,NaN,0.081000004,0.041999998
6,Barrhill_56_70_Max,0.480337075,0.409000015,0.357999992,0.335999985,NaN,0.241000004,0.161000004
