Id,Diameter[mm],Cumul_Psd
11133025000031011,0.002,0.275
11133025000031011,0.06,0.8
11133025000031011,2,1
11133025000031012,0.002,0.275
11133025000031012,0.06,0.8
11133025000031012,2,1
11133025000031013,0.002,0.275
11133025000031013,0.06,0.8
11133025000031013,2,1
11133025000031014,0.002,0.3
11133025000031014,0.06,0.5
11133025000031014,2,1
11133025000041011,0.002,0.275
11133025000041011,0.06,0.8
11133025000041011,2,1
11133025000041012,0.002,0.275
11133025000041012,0.06,0.8
11133025000041012,2,1
11133025000041013,0.002,0.275
11133025000041013,0.06,0.8
11133025000041013,2,1
11183128190051011,0.002,0.475
11183128190051011,0.06,0.845
11183128190051011,2,1
11183128190051012,0.002,0.475
11183128190051012,0.06,0.845
11183128190051012,2,1
11183128190051013,0.002,0.055
11183128190051013,0.06,0.25
11183128190051013,2,1
11183128190071011,0.002,0.475
11183128190071011,0.06,0.845
11183128190071011,2,1
11183128190071012,0.002,0.475
11183128190071012,0.06,0.845
11183128190071012,2,1
11183128190071013,0.002,0.475
11183128190071013,0.06,0.845
11183128190071013,2,1
11192229000051011,0.002,0.13
11192229000051011,0.06,0.75
11192229000051011,2,1
11192229000051012,0.002,0.075
11192229000051012,0.06,0.85
11192229000051012,2,1
11192229000051013,0.002,0.14
11192229000051013,0.06,0.6
11192229000051013,2,1
11192229000081011,0.002,0.025
11192229000081011,0.06,0.975
11192229000081011,2,1
11192229000081012,0.002,0.025
11192229000081012,0.06,0.975
11192229000081012,2,1
11192229000081013,0.002,0.25
11192229000081013,0.06,0.85
11192229000081013,2,1
11192429000091011,0.002,0.115
11192429000091011,0.06,0.55
11192429000091011,2,1
11192429000091012,0.002,0.115
11192429000091012,0.06,0.55
11192429000091012,2,1
11192429000091013,0.002,0.165
11192429000091013,0.06,0.44999999999999996
11192429000091013,2,1
11192815000011011,0.002,0.215
11192815000011011,0.06,0.85
11192815000011011,2,1
11192815000011012,0.002,0.215
11192815000011012,0.06,0.8
11192815000011012,2,1
11192815000011013,0.002,0.185
11192815000011013,0.06,0.8
11192815000011013,2,1
11222311000011011,0.002,0.575
11222311000011011,0.06,0.95
11222311000011011,2,1
11222311000011012,0.002,0.575
11222311000011012,0.06,0.95
11222311000011012,2,1
11222311000011013,0.002,0.65
11222311000011013,0.06,0.95
11222311000011013,2,1
11241428000121011,0.002,0.025
11241428000121011,0.06,0.975
11241428000121011,2,1
11241428000121012,0.002,0.025
11241428000121012,0.06,0.975
11241428000121012,2,1
11241428000121013,0.002,0.25
11241428000121013,0.06,0.925
11241428000121013,2,1
11242411000051031,0.002,0.09
11242411000051031,0.06,0.30000000000000004
11242411000051031,2,1
11242411000051032,0.002,0.09
11242411000051032,0.06,0.30000000000000004
11242411000051032,2,1
11242411000061011,0.002,0.13
11242411000061011,0.06,0.44999999999999996
11242411000061011,2,1
11242411000061012,0.002,0.13
11242411000061012,0.06,0.44999999999999996
11242411000061012,2,1
11242411000061013,0.002,0.105
11242411000061013,0.06,0.25
11242411000061013,2,1
11242411000071011,0.002,0.13
11242411000071011,0.06,0.65
11242411000071011,2,1
11242411000071012,0.002,0.13
11242411000071012,0.06,0.65
11242411000071012,2,1
11242411000071013,0.002,0.105
11242411000071013,0.06,0.30000000000000004
11242411000071013,2,1
11242411000091011,0.002,0.115
11242411000091011,0.06,0.44999999999999996
11242411000091011,2,1
11242411000091012,0.002,0.105
11242411000091012,0.06,0.30000000000000004
11242411000091012,2,1
11261124000061011,0.002,0.475
11261124000061011,0.06,0.845
11261124000061011,2,1
11261124000061012,0.002,0.055
11261124000061012,0.06,0.35
11261124000061012,2,1
11261124000072011,0.002,0.4
11261124000072011,0.06,0.7
11261124000072011,2,1
11261124000072012,0.002,0.4
11261124000072012,0.06,0.7
11261124000072012,2,1
11261124000072013,0.002,0.06
11261124000072013,0.06,0.19999999999999996
11261124000072013,2,1
11261128000021011,0.002,0.25
11261128000021011,0.06,0.94
11261128000021011,2,1
11261128000021012,0.002,0.3
11261128000021012,0.06,0.94
11261128000021012,2,1
11261128000021013,0.002,0.375
11261128000021013,0.06,0.94
11261128000021013,2,1
11261128000061011,0.002,0.3
11261128000061011,0.06,0.8500000000000001
11261128000061011,2,1
11261128000061012,0.002,0.3
11261128000061012,0.06,0.8500000000000001
11261128000061012,2,1
11261128000061013,0.002,0.3
11261128000061013,0.06,0.8500000000000001
11261128000061013,2,1
11261128000061014,0.002,0.3
11261128000061014,0.06,0.8500000000000001
11261128000061014,2,1
11261128000071011,0.002,0.275
11261128000071011,0.06,0.885
11261128000071011,2,1
11261128000071012,0.002,0.275
11261128000071012,0.06,0.885
11261128000071012,2,1
11261128000071013,0.002,0.275
11261128000071013,0.06,0.885
11261128000071013,2,1
11261128000071014,0.002,0.275
11261128000071014,0.06,0.885
11261128000071014,2,1
11261128000081011,0.002,0.25
11261128000081011,0.06,0.94
11261128000081011,2,1
11261128000081012,0.002,0.3
11261128000081012,0.06,0.94
11261128000081012,2,1
11261128000081013,0.002,0.375
11261128000081013,0.06,0.94
11261128000081013,2,1
11261128000081014,0.002,0.375
11261128000081014,0.06,0.925
11261128000081014,2,1
11281124000131011,0.002,0.115
11281124000131011,0.06,0.275
11281124000131011,2,1
11281124000131012,0.002,0.05
11281124000131012,0.06,0.19999999999999996
11281124000131012,2,1
11281124000131013,0.002,0.015
11281124000131013,0.06,0.09999999999999998
11281124000131013,2,1
11281124000201011,0.002,0.055
11281124000201011,0.06,0.30000000000000004
11281124000201011,2,1
11281124000201012,0.002,0.055
11281124000201012,0.06,0.30000000000000004
