∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,3600.0,0.0,0.0,0.0,0.0,0.0
6617.1179741249325,3017.117974124933,0.0,0.0,0.0,0.0,0.0
9701.144827611894,3084.0268534869606,0.0,0.0,0.0,0.0,0.0
12834.845231249077,3133.700403637184,0.0,0.0,0.0,0.0,0.0
15947.282171067147,3112.43693981807,0.0,0.0,0.0,0.0,0.0
19323.892064684507,3376.609893617359,0.0,0.0,0.0,0.0,0.0
22923.892064684507,3600.0,0.0,0.0,0.0,0.0,0.0
26523.892064684507,3600.0,0.0,0.0,0.0,0.0,0.0
30123.892064684507,3600.0,0.0,0.0,0.0,0.0,0.0
33723.89206468451,3600.0,0.0,0.0,0.0,0.0,0.0
37323.89206468451,3600.0,0.0,0.0,0.0,0.0,0.0
40923.89206468451,3600.0,0.0,0.0,0.0,0.0,0.0
44523.89206468451,3600.0,0.0,0.0,0.0,0.0,0.0
48123.89206468451,3600.0,0.0,0.0,0.0,0.0,0.0
51723.89206468451,3600.0,0.0,0.0,0.0,0.0,0.0
55323.89206468451,3600.0,0.0,0.0,0.0,0.0,0.0
58923.89206468451,3600.0,0.0,0.0,0.0,0.0,0.0
62523.89206468451,3600.0,0.0,0.0,0.0,0.0,0.0
66123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
69723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
73323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
76923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
80523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
84123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
87723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
91323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
94923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
98523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
102123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
105723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
109323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
112923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
116523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
120123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
123723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
127323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
130923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
134523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
138123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
141723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
145323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
148923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
152523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
156123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
159723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
163323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
166923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
170523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
174123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
177723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
181323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
184923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
188523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
192123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
195723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
199323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
202923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
206523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
210123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
213723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
217323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
220923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
224523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
228123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
231723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
235323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
238923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
242523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
246123.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
249723.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
253323.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
256923.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
260523.8920646845,3600.0,0.0,0.0,0.0,0.0,0.0
264123.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
267723.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
271323.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
274923.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
278523.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
282123.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
285723.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
289323.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
292923.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
296523.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
300123.89206468454,3600.0,0.0,0.0,0.0,0.0,0.0
