iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,10.105259907066113,4.525547379096935,0.0,0.575016426236731,0.0,0.312341268721525,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,0.08112554226357815,4.018390346293785,0.8645201716200717,0.5050607048953459,0.0,0.2762425128976247,NaN
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,0.0,5.777863217112426,2.812343084458874,0.7155762961129639,0.0,0.2411248929780072,NaN
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,1.0032863428932615e-10,4.806324795118755,2.110201624070747,0.588615667952002,0.0,0.20678334215986638,NaN
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,0.0,4.604743596318102,1.8434770888778118,0.5590812604183544,0.0,0.18159414306805388,NaN
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,0.0,4.996047003068469,1.8019746736865656,0.601240875406786,0.0,0.16221606405480316,NaN
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.0,4.88735040978132,1.5795014965812442,0.5835047760380938,0.0,0.14608063425052364,NaN
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,9.29389898374211e-11,3.218974385311185,0.9625160248467921,0.3827111042463063,0.0,0.1331567246653833,NaN
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,0.0,3.8992094006069635,1.0751365131920956,0.4613873061745135,0.0,0.12425334674875899,NaN
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,0.018721278955524667,4.4852695407515455,1.108704841062579,0.5275749255584365,0.0,0.1165218931057268,NaN
12.0,2017.0,11.0,29.0,9.0,0.0,0.0,1008.0,3.016989853820462,3.242104101124056,0.7527265033350918,0.38068260046619073,0.0,0.10938603582036421,0.2385572533763991
13.0,2017.0,11.0,30.0,9.0,0.0,0.0,1032.0,85.4814132716345,2.653073356181835,1.0997597251033095,0.32858302103888803,0.0,0.10951243410039524,0.007405893767138433
14.0,2017.0,12.0,1.0,9.0,0.0,0.0,1056.0,1.4601141914101845,3.12561151752044,1.3126239819768486,0.3829404482058827,0.0,0.13641707061913166,0.007540761147625509
15.0,2017.0,12.0,2.0,9.0,0.0,0.0,1080.0,0.006210978416731905,4.687542845552088,1.5904608286769246,0.5630631893511122,0.0,0.1436473048641176,0.008185724677826477
16.0,2017.0,12.0,3.0,9.0,0.0,0.0,1104.0,0.0,4.704721211914915,1.395847049071854,0.592896931269312,0.0,0.1341946079309082,0.00882348246555481
17.0,2017.0,12.0,4.0,9.0,0.0,0.0,1128.0,1.4580336937797256e-10,5.299213131335989,1.393816901946181,0.6628955236097944,0.0,0.12374346264911651,0.009455206505684478
18.0,2017.0,12.0,5.0,9.0,0.0,0.0,1152.0,0.0,5.791344444823409,1.3327450310218012,0.7193761381751322,0.0,0.11417486986732683,0.01007383411705745
19.0,2017.0,12.0,6.0,9.0,0.0,0.0,1176.0,1.48929757415317e-10,5.211016161152315,1.0594604398104082,0.6439632278911418,0.0,0.10561886783372643,0.011014214985542052
20.0,2017.0,12.0,7.0,9.0,0.0,0.0,1200.0,0.0,5.988196970183509,1.0695454032405216,0.7361062985123361,0.0,0.09880744277262465,0.011940429068832782
