Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.0,0.0
2017.0,10.0,18.0,0.0,0.0
2017.0,10.0,19.0,0.0,0.0
2017.0,10.0,20.0,0.0,0.0
2017.0,10.0,21.0,0.0,0.0
2017.0,10.0,22.0,0.5,0.4275504624356082
2017.0,10.0,23.0,21.4,18.529701812
2017.0,10.0,24.0,0.4,0.3420403699484866
2017.0,10.0,25.0,0.1,0.08551009248712164
2017.0,10.0,26.0,4.0,3.4204036994848654
2017.0,10.0,27.0,57.7,54.759403624
2017.0,10.0,28.0,28.8,27.6
2017.0,10.0,29.0,0.0,0.0
2017.0,10.0,30.0,0.0,0.0
2017.0,10.0,31.0,0.0,0.0
2017.0,11.0,1.0,0.0,0.0
2017.0,11.0,2.0,0.0,0.0
2017.0,11.0,3.0,3.0,2.378361240296236
2017.0,11.0,4.0,13.9,11.019740413372562
2017.0,11.0,5.0,0.1,0.07927870800987455
2017.0,11.0,6.0,0.1,0.07927870800987455
2017.0,11.0,7.0,0.1,0.07927870800987455
2017.0,11.0,8.0,12.8,10.147674625263942
2017.0,11.0,9.0,0.0,0.0
2017.0,11.0,10.0,0.0,0.0
2017.0,11.0,11.0,0.0,0.0
2017.0,11.0,12.0,0.0,0.0
2017.0,11.0,13.0,0.7,0.5549509560691218
2017.0,11.0,14.0,0.2,0.1585574160197491
2017.0,11.0,15.0,3.2,2.5369186563159856
2017.0,11.0,16.0,1.8,1.4270167441777417
2017.0,11.0,17.0,0.1,0.07927870800987455
2017.0,11.0,18.0,1.3,1.0306232041283692
2017.0,11.0,19.0,0.0,0.0
2017.0,11.0,20.0,0.0,0.0
2017.0,11.0,21.0,0.0,0.0
2017.0,11.0,22.0,0.0,0.0
2017.0,11.0,23.0,0.0,0.0
2017.0,11.0,24.0,0.0,0.0
2017.0,11.0,25.0,0.0,0.0
2017.0,11.0,26.0,0.0,0.0
2017.0,11.0,27.0,0.0,0.0
2017.0,11.0,28.0,0.3,0.23783612402962362
2017.0,11.0,29.0,11.0,8.7206578810862
2017.0,11.0,30.0,0.1,0.07927870800987455
2017.0,12.0,1.0,0.0,0.0
2017.0,12.0,2.0,0.0,0.0
2017.0,12.0,3.0,0.0,0.0
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.4,0.3066185612528901
2017.0,12.0,10.0,0.0,0.0
2017.0,12.0,11.0,0.0,0.0
2017.0,12.0,12.0,0.0,0.0
2017.0,12.0,13.0,0.0,0.0
2017.0,12.0,14.0,2.2,1.6864020868908955
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,2.5,1.916366007830563
2017.0,12.0,19.0,0.1,0.07665464031322253
2017.0,12.0,20.0,3.8,2.9128763319024555
2017.0,12.0,21.0,0.0,0.0
2017.0,12.0,22.0,0.0,0.0
2017.0,12.0,23.0,0.0,0.0
2017.0,12.0,24.0,0.0,0.0
2017.0,12.0,25.0,0.0,0.0
2017.0,12.0,26.0,3.2,2.452948490023121
2017.0,12.0,27.0,0.0,0.0
2017.0,12.0,28.0,0.0,0.0
2017.0,12.0,29.0,0.0,0.0
2017.0,12.0,30.0,0.0,0.0
2017.0,12.0,31.0,0.0,0.0
2018.0,1.0,1.0,6.9,4.475657871317458
2018.0,1.0,2.0,19.6,17.613447564682545
2018.0,1.0,3.0,0.1,0.0648646068306878
2018.0,1.0,4.0,29.7,26.794539017169313
2018.0,1.0,5.0,14.9,13.429701812000001
2018.0,1.0,6.0,0.0,0.0
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,0.0,0.0
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,0.0,0.0
2018.0,1.0,13.0,0.0,0.0
2018.0,1.0,14.0,0.0,0.0
2018.0,1.0,15.0,0.0,0.0
2018.0,1.0,16.0,0.0,0.0
2018.0,1.0,17.0,0.2,0.1297292136613756
2018.0,1.0,18.0,13.9,10.959403624
2018.0,1.0,19.0,7.5,6.029701812
2018.0,1.0,20.0,0.1,0.0648646068306878
2018.0,1.0,21.0,0.1,0.0648646068306878
2018.0,1.0,22.0,9.9,6.959403624
2018.0,1.0,23.0,0.5,0.324323034153439
2018.0,1.0,24.0,0.1,0.0648646068306878
2018.0,1.0,25.0,0.1,0.0648646068306878
2018.0,1.0,26.0,18.0,15.059403624
2018.0,1.0,27.0,0.0,0.0
2018.0,1.0,28.0,0.0,0.0
2018.0,1.0,29.0,0.0,0.0
2018.0,1.0,30.0,0.0,0.0
2018.0,1.0,31.0,0.0,0.0
2018.0,2.0,1.0,51.5,48.559403624
2018.0,2.0,2.0,0.2,0.09424057973616456
2018.0,2.0,3.0,1.9,0.8952855074935632
2018.0,2.0,4.0,0.2,0.09424057973616456
2018.0,2.0,5.0,3.6,1.696330435250962
2018.0,2.0,6.0,0.1,0.04712028986808228
2018.0,2.0,7.0,0.3,0.14136086960424682
2018.0,2.0,8.0,0.1,0.04712028986808228
2018.0,2.0,9.0,13.6,10.659403624
2018.0,2.0,10.0,26.5,25.6
2018.0,2.0,11.0,0.1,0.04712028986808228
2018.0,2.0,12.0,1.6,0.7539246378893165
2018.0,2.0,13.0,39.1,36.159403624
2018.0,2.0,14.0,7.6,6.129701812
2018.0,2.0,15.0,0.2,0.09424057973616456
2018.0,2.0,16.0,0.0,0.0
2018.0,2.0,17.0,0.0,0.0
2018.0,2.0,18.0,0.0,0.0
2018.0,2.0,19.0,16.5,13.559403624
2018.0,2.0,20.0,7.0,5.529701812
2018.0,2.0,21.0,1.3,0.6125637682850696
2018.0,2.0,22.0,3.5,1.6492101453828796
2018.0,2.0,23.0,0.0,0.0
2018.0,2.0,24.0,0.0,0.0
2018.0,2.0,25.0,0.0,0.0
2018.0,2.0,26.0,0.0,0.0
2018.0,2.0,27.0,6.2,3.2594036240000004
2018.0,2.0,28.0,0.0,0.0
2018.0,3.0,1.0,0.0,0.0
2018.0,3.0,2.0,0.0,0.0
2018.0,3.0,3.0,0.0,0.0
2018.0,3.0,4.0,0.0,0.0
2018.0,3.0,5.0,0.0,0.0
2018.0,3.0,6.0,0.0,0.0
2018.0,3.0,7.0,4.6,1.7645239028860773
2018.0,3.0,8.0,0.0,0.0
2018.0,3.0,9.0,0.0,0.0
2018.0,3.0,10.0,0.0,0.0
2018.0,3.0,11.0,0.0,0.0
2018.0,3.0,12.0,10.9,7.959403624
2018.0,3.0,13.0,3.8,2.3297018120000006
2018.0,3.0,14.0,4.3,2.829701812
2018.0,3.0,15.0,0.1,0.03835921528013212
2018.0,3.0,16.0,0.1,0.03835921528013212
2018.0,3.0,17.0,0.0,0.0
2018.0,3.0,18.0,0.0,0.0
2018.0,3.0,19.0,0.0,0.0
2018.0,3.0,20.0,0.0,0.0
2018.0,3.0,21.0,0.0,0.0
2018.0,3.0,22.0,1.7,0.652106659762246
2018.0,3.0,23.0,0.3,0.11507764584039636
2018.0,3.0,24.0,32.8,29.859403623999995
2018.0,3.0,25.0,0.3,0.11507764584039636
2018.0,3.0,26.0,0.0,0.0
2018.0,3.0,27.0,0.0,0.0
2018.0,3.0,28.0,0.0,0.0
2018.0,3.0,29.0,2.4,0.9206211667231708
2018.0,3.0,30.0,0.2,0.07671843056026424
2018.0,3.0,31.0,3.5,1.3425725348046242
2018.0,4.0,1.0,0.0,0.0
2018.0,4.0,2.0,0.0,0.0
2018.0,4.0,3.0,0.0,0.0
2018.0,4.0,4.0,0.0,0.0
2018.0,4.0,5.0,0.0,0.0
2018.0,4.0,6.0,0.0,0.0
2018.0,4.0,7.0,0.0,0.0
2018.0,4.0,8.0,0.0,0.0
2018.0,4.0,9.0,0.3,0.13863549965117805
2018.0,4.0,10.0,8.5,5.559403624
2018.0,4.0,11.0,4.6,3.1297018119999995
2018.0,4.0,12.0,4.1,2.6297018119999995
2018.0,4.0,13.0,3.0,1.5297018120000003
2018.0,4.0,14.0,18.0,17.2
2018.0,4.0,15.0,4.1,2.9999999999999987
2018.0,4.0,16.0,9.4,7.929701812
2018.0,4.0,17.0,0.1,0.04621183321705935
2018.0,4.0,18.0,2.7,1.2477194968606025
2018.0,4.0,19.0,0.1,0.04621183321705935
2018.0,4.0,20.0,0.4,0.1848473328682374
2018.0,4.0,21.0,3.7,1.709837829031196
2018.0,4.0,22.0,0.2,0.0924236664341187
2018.0,4.0,23.0,0.1,0.04621183321705935
2018.0,4.0,24.0,0.3,0.13863549965117805
2018.0,4.0,25.0,0.2,0.0924236664341187
2018.0,4.0,26.0,0.1,0.04621183321705935
2018.0,4.0,27.0,0.1,0.04621183321705935
2018.0,4.0,28.0,26.0,23.629701812
2018.0,4.0,29.0,2.3,1.199999999999999
2018.0,4.0,30.0,0.3,0.13863549965117805
2018.0,5.0,1.0,0.0,0.0
2018.0,5.0,2.0,0.0,0.0
2018.0,5.0,3.0,0.0,0.0
2018.0,5.0,4.0,0.0,0.0
2018.0,5.0,5.0,0.0,0.0
2018.0,5.0,6.0,0.4,0.22160926818656074
2018.0,5.0,7.0,0.1,0.055402317046640184
2018.0,5.0,8.0,0.1,0.055402317046640184
2018.0,5.0,9.0,0.7,0.38781621932648125
2018.0,5.0,10.0,0.1,0.055402317046640184
2018.0,5.0,11.0,3.8,2.105288047772327
2018.0,5.0,12.0,22.6,21.824413764227675
2018.0,5.0,13.0,24.9,23.799999999999997
2018.0,5.0,14.0,0.2,0.11080463409328037
2018.0,5.0,15.0,8.9,6.7891953659067195
2018.0,5.0,16.0,10.2,9.0
2018.0,5.0,17.0,8.0,7.0
2018.0,5.0,18.0,0.6,0.3324139022798411
