∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3064.227422984425,3064.227422984425,0.0,0.0,0.0,0.0,0.0
5999.515211186973,2935.2877882025477,0.0,0.0,0.0,0.0,0.0
9509.162949896281,3509.6477387093087,0.0,0.0,0.0,0.0,0.0
13109.162949896281,3600.0,0.0,0.0,0.0,0.0,0.0
16709.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
20309.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
23909.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
27509.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
31109.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
34709.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
38309.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
41909.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
45509.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
49109.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
52709.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
56309.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
59909.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
63509.16294989628,3600.0,0.0,0.0,0.0,0.0,0.0
67109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
70709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
74309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
77909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
81509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
85109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
88709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
92309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
95909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
99509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
103109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
106709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
110309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
113909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
117509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
121109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
124709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
128309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
131909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
135509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
139109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
142709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
146309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
149909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
153509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
157109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
160709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
164309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
167909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
171509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
175109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
178709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
182309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
185909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
189509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
193109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
196709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
200309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
203909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
207509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
211109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
214709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
218309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
221909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
225509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
229109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
232709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
236309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
239909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
243509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
247109.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
250709.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
254309.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
257909.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
261509.16294989627,3600.0,0.0,0.0,0.0,0.0,0.0
265109.1629498963,3600.0,0.0,0.0,0.0,0.0,0.0
268709.1629498963,3600.0,0.0,0.0,0.0,0.0,0.0
272309.1629498963,3600.0,0.0,0.0,0.0,0.0,0.0
275909.1629498963,3600.0,0.0,0.0,0.0,0.0,0.0
279509.1629498963,3600.0,0.0,0.0,0.0,0.0,0.0
283109.1629498963,3600.0,0.0,0.0,0.0,0.0,0.0
286709.1629498963,3600.0,0.0,0.0,0.0,0.0,0.0
290309.1629498963,3600.0,0.0,0.0,0.0,0.0,0.0
