iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,1.3386312746099804,2.9106398437817944,0.08018759775903561,0.35241368294384756,0.0,0.3403729256143002,0.05057506409465873
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.5469573416102946,3.642206849280811,2.9486661345926706,0.43263154677449656,0.0,0.3101064712992603,0.08959115736503254
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.167856084289909,3.3209936039272065,0.47759962346795604,0.0,0.28226014883665584,0.18444222713768088
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.364287831430005,3.420105122676233,0.48331688281902707,0.0,0.25582991591044646,0.26148545816398117
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.226791536489998,4.011849486566149,0.5546682703061734,0.0,0.2310718025509999,0.33641479406869523
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.533928042148162,4.139160816040544,0.5578356315690698,0.0,0.20790099990653488,0.4056162360675244
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.9142730112760376,2.8655031588310464,0.3803922858836941,0.0,0.1865072826882077,0.5093286252166607
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.83571216856528,2.056646940899924,0.2737404917783586,0.0,0.16794175964223257,0.6506919498316925
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,2.662881509505013,2.1734246565790585,1.5696208552995152,0.21045882817830375,0.0,0.15253213372713859,0.13686674158619105
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,142.26258398691925,1.657510059111246,1.2780700954747317,0.1993105536876456,0.0,0.137338813880568,0.0030953683540639876
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,98.29626702774164,1.7358448290664796,1.47029339855602,0.2518909398545546,0.0,0.1322430967930579,0.001782530185706498
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,27.698653467916472,1.8425036094538711,1.5470746177709458,0.24658353277338207,0.0,0.12997086156991955,0.0015486105808395871
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,10.119168032396999,3.75466887466294,3.1022352193970804,0.475649893061993,0.0,0.14655157614825498,0.001496061235529323
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,5.8135101641912,5.103776313386277,4.072520125598572,0.6189004266174312,0.0,0.1661158905384852,0.0015902918909958483
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,2.723969987304855,5.49750839074207,4.266147959862167,0.6392949431350949,0.0,0.1765830578630876,0.001706491145855098
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.929596087310387,4.455992325047816,0.6425372645393672,0.0,0.17605371379514523,0.0018625906196029452
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,-1.6555645743210334e-10,6.034080782544606,4.386601299862377,0.612778358850754,0.0,0.168182707525105,0.002016059231811292
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.934080782577894,4.171516024762042,0.567370211919453,0.0,0.1565000939463772,0.002161868840936698
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.570403912688533,3.7885811481722413,0.5042102588816029,0.0,0.1435767437658555,0.0022943210678148286
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,3.6201811285769736,2.40310236624876,0.31704656673407783,0.0,0.13094750132916388,0.002518837142154281
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,3.2932729571305686,2.1636767281585705,0.2876151428612417,0.0,0.11964012544692793,0.0027151776355997716
