∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,3600.0,0.0,0.0,0.0,0.0,0.0
7149.185273131539,3549.18527313154,0.0,0.0,0.0,0.0,0.0
10737.295872197972,3588.1105990664328,0.0,0.0,0.0,0.0,0.0
14337.295872197972,3600.0,0.0,0.0,0.0,0.0,0.0
17937.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
21537.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
25137.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
28737.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
32337.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
35937.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
39537.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
43137.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
46737.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
50337.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
53937.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
57537.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
61137.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
64737.295872197974,3600.0,0.0,0.0,0.0,0.0,0.0
68337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
71937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
75537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
79137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
82737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
86337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
89937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
93537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
97137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
100737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
104337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
107937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
111537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
115137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
118737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
122337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
125937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
129537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
133137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
136737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
140337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
143937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
147537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
151137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
154737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
158337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
161937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
165537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
169137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
172737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
176337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
179937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
183537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
187137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
190737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
194337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
197937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
201537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
205137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
208737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
212337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
215937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
219537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
223137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
226737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
230337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
233937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
237537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
241137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
244737.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
248337.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
251937.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
255537.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
259137.29587219798,3600.0,0.0,0.0,0.0,0.0,0.0
262737.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
266337.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
269937.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
273537.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
277137.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
280737.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
284337.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
287937.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
291537.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
295137.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
298737.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
302337.29587219795,3600.0,0.0,0.0,0.0,0.0,0.0
