iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,10.627114462421616,3.664795784716887,0.11052731152616957,0.44809623642245633,0.0,0.8925432359393923,0.0014128520308323012
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,5.467350227051924,4.810188334231711,3.8890989150978044,0.592366023684999,0.0,0.8893347844340163,0.0044989341445535735
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,32.4049940867792,4.213411989400399,3.40905345644849,0.5191633659070121,0.0,0.885972003334615,0.0011230496953949162
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,16.69221214083592,4.295886162911245,3.4701612258761543,0.5634428674290621,0.0,0.883163399953375,0.0009812838021562697
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.2736883069623275,4.8935834034805765,3.943181333375051,0.5822823347044324,0.0,0.8802243415616502,0.001817005018626975
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,4.733785427211089,3.7781401505101115,0.5213574956457929,0.0,0.8773956041739552,0.002648962928399421
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.6682489951854222,2.9081275439637153,0.38377942374473406,0.0,0.8746811952063069,0.003730452859799095
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.6658755024087952,2.8917022050750063,0.37295409572382354,0.0,0.8720323605818763,0.004602976183655856
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.232768216006036,3.3055752187257355,0.4094188690838294,0.0,0.868683976590205,0.005345469047525801
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7344635679980627,2.8824310943605695,0.34206410948637256,0.0,0.8582655043306673,0.00642376837403727
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,0.0,4.265197361597899,3.2571399235465464,0.37253447410879303,0.0,0.8081224222490206,0.007351920921354119
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,0.0,3.834802638401385,2.8845252564272954,0.313106507892968,0.0,0.5166609053986164,0.008315132970789472
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,0.0,4.664519220826804,3.460077942205345,0.35857993557819157,0.0,0.315826799158927,0.009150602030155816
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,4.900678140787818,3.5080213845757697,0.3662994859569828,0.0,0.2586234720742837,0.009997500898125865
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,5.165875502371335,3.586097968779171,0.3618759410471206,0.0,0.22346184414483616,0.010876049537560918
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.5331072864260875,3.752713365398577,0.3437583418071739,0.0,0.19806915964084482,0.011572623981801169
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.3337854271827325,3.5541472847816777,0.2965931738866985,0.0,0.1783060561920493,0.012657057535376465
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.798982788831211,3.8265205940122797,0.29082938390106605,0.0,0.16222846915673017,0.013571975225113879
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.567570854399293,3.6165969615752687,0.24877836472400006,0.0,0.1487612778335432,0.014655738767438017
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,4.767570854363413,3.044904256176295,0.19493793187521646,0.0,0.1372485962732739,0.015776760995182465
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,5.2320900752251305,3.293682729145843,0.1978384480377997,0.0,0.1272570503148387,0.016982074097289426
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,2.092157001973902,4.386147293421004,2.732611074959223,0.16334756912041115,0.0,0.11767189730244354,0.017185587699362688
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,1.606535063101262,4.369545464394633,2.729441674734204,0.19557448072210804,0.0,0.11046088850996227,0.0176038165976891
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.7945696776016575,5.661900740758512,3.4773425342574455,0.23531712186210996,0.0,0.10393731057013866,0.018511927686807254
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.7945696776016575,6.113960716199244,3.6791338690109683,0.22833621969247986,0.0,0.09775554945169063,0.019459232461714708
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,2.3395655062748233,5.683409252054986,3.3735081648506196,0.20742962570479762,0.0,0.09171383934700117,0.019738664847240715
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,1.11286952700425,5.235957802229564,3.08735578034414,0.21067337341141013,0.0,0.08693855547050333,0.020328911982954362
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,1.6555645743210334e-10,4.905653020905191,2.834945379277002,0.169229102563218,0.0,0.08246362481365566,0.021216821006632188
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.929564652701941,2.7945673130410142,0.14794913803798337,0.0,0.0781925110144357,0.022091066185409836
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,3.552473605150368,3.776766018364242,2.121214045108374,0.11787335096355633,0.0,0.07360715996458111,0.021349317354268385
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,2.51276180288059,4.674114379733567,2.6682395345819145,0.2171959176188949,0.0,0.07031316332253112,0.021199272389166735
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,13.941379541148109,6.05361593960717,3.4272761238452887,0.3448956120292834,0.0,0.06916204297290562,0.017987607657266313
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,7.008754089270326,6.2318905157353015,3.5426310546325084,0.4851959791141027,0.0,0.0636554876634392,0.016766270828316596
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,0.0,4.834762650212127,2.5495126863795576,0.2709633320629763,0.0,0.06135596016583378,0.01719048598624586
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,0.0,3.9999999999990905,2.077705909983621,0.18815896531684473,0.0,0.05869116981154576,0.01764808056471951
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,0.0,3.7391271083247943,1.9097522586978926,0.15478233201554303,0.0,0.05620231071974757,0.018270783629639548
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,0.0,4.317400452014283,2.1738786576442948,0.15856045473078595,0.0,0.05387903693344498,0.018881622833974408
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,18.215934072231335,3.137926737609291,1.6066745220126109,0.15681380681146706,0.0,0.05092693391016212,0.01586248332540441
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,10.388574321440558,4.636814683260468,2.58858333270598,0.4159350272522033,0.0,0.05097853822547904,0.014546447439045457
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,0.0,6.097847058784055,3.0299547534343247,0.38139699791433657,0.0,0.04774258810049048,0.01477764968815232
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,-3.312550234113587e-10,5.769537255010903,2.7130771444365536,0.2792989275356561,0.0,0.04595779555830859,0.015145342421585413
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,3.312550234113587e-10,5.698923529322997,2.586038704344162,0.22716235325432876,0.0,0.04428165581030896,0.01557437200850197
