∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
750.5315394255679,750.5315394255679,0.0007830039990124116,0.0007830039990124116,0.0,0.0007830039990124116,0.0
1637.7590770313232,887.2275376057552,0.0017086182783416237,0.0009256142793292121,0.0,0.0009256142793292121,0.0
2826.9909315324767,1189.2318545011533,0.002949303378051143,0.0012406850997095191,0.0,0.0012406850997095193,0.0
4447.759549027456,1620.7686174949797,0.004640196088494317,0.0016908927104431742,0.0,0.0016908927104431742,0.0
6725.140299601983,2277.380750574527,0.007016109879323872,0.002375913790829555,0.0,0.002375913790829555,0.0
9455.534705518163,2730.39440591618,0.009864637391371896,0.0028485275120480238,0.0,0.002848527512048024,0.0
12792.833770094287,3337.2990645761233,0.01334632786831505,0.003481690476943154,0.0,0.003481690476943154,0.0
16303.943004155017,3511.1092340607306,0.017009348576736062,0.0036630207084210123,0.0,0.0036630207084210123,0.0
19903.943004155015,3600.0,0.02076510599447511,0.0037557574177390467,0.0,0.0037557574177390467,0.0
23503.943004155015,3600.0,0.024520863412214156,0.0037557574177390467,0.0,0.0037557574177390467,0.0
27103.943004155015,3600.0,0.0282766208299532,0.003755757417739043,0.0,0.0037557574177390428,0.0
30703.943004155015,3600.0,0.03203237824769225,0.00375575741773905,0.0,0.0037557574177390497,0.0
34303.943004155015,3600.0,0.03578813566543129,0.003755757417739043,0.0,0.0037557574177390428,0.0
37903.943004155015,3600.0,0.039543893083170335,0.003755757417739043,0.0,0.0037557574177390428,0.0
41503.943004155015,3600.0,0.043299650500909385,0.00375575741773905,0.0,0.0037557574177390497,0.0
45103.943004155015,3600.0,0.04705540791864843,0.003755757417739043,0.0,0.0037557574177390428,0.0
48703.943004155015,3600.0,0.05081116533638748,0.00375575741773905,0.0,0.0037557574177390497,0.0
52303.943004155015,3600.0,0.05456692275412652,0.003755757417739043,0.0,0.0037557574177390428,0.0
55903.943004155015,3600.0,0.058322680171865565,0.003755757417739043,0.0,0.0037557574177390428,0.0
59503.943004155015,3600.0,0.062078437589604615,0.00375575741773905,0.0,0.0037557574177390497,0.0
63103.943004155015,3600.0,0.06583419500734367,0.00375575741773905,0.0,0.0037557574177390497,0.0
66703.94300415501,3600.0,0.0695899524250827,0.0037557574177390363,0.0,0.0037557574177390363,0.0
70303.94300415501,3600.0,0.07334570984282174,0.0037557574177390363,0.0,0.0037557574177390363,0.0
73903.94300415501,3600.0,0.07710146726056079,0.00375575741773905,0.0,0.0037557574177390497,0.0
77503.94300415501,3600.0,0.08085722467829984,0.00375575741773905,0.0,0.0037557574177390497,0.0
81103.94300415501,3600.0,0.08461298209603889,0.00375575741773905,0.0,0.0037557574177390497,0.0
84703.94300415501,3600.0,0.08836873951377792,0.0037557574177390363,0.0,0.0037557574177390363,0.0
88303.94300415501,3600.0,0.09212449693151697,0.00375575741773905,0.0,0.0037557574177390497,0.0
91903.94300415501,3600.0,0.09588025434925602,0.00375575741773905,0.0,0.0037557574177390497,0.0
95503.94300415501,3600.0,0.09963601176699506,0.0037557574177390363,0.0,0.0037557574177390363,0.0
99103.94300415501,3600.0,0.10339176918473411,0.00375575741773905,0.0,0.0037557574177390497,0.0
102703.94300415501,3600.0,0.10714752660247316,0.00375575741773905,0.0,0.0037557574177390497,0.0
106303.94300415501,3600.0,0.11090328402021221,0.00375575741773905,0.0,0.0037557574177390497,0.0
109903.94300415501,3600.0,0.11465904143795125,0.0037557574177390363,0.0,0.0037557574177390363,0.0
113503.94300415501,3600.0,0.1184147988556903,0.00375575741773905,0.0,0.0037557574177390497,0.0
117103.94300415501,3600.0,0.12217055627342935,0.00375575741773905,0.0,0.0037557574177390497,0.0
120703.94300415501,3600.0,0.12592631369116838,0.0037557574177390363,0.0,0.0037557574177390363,0.0
124303.94300415501,3600.0,0.12968207110890745,0.003755757417739064,0.0,0.0037557574177390645,0.0
127903.94300415501,3600.0,0.13343782852664648,0.0037557574177390363,0.0,0.0037557574177390363,0.0
