Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.0,0.0
2017.0,10.0,18.0,0.0,0.0
2017.0,10.0,19.0,0.0,0.0
2017.0,10.0,20.0,0.0,0.0
2017.0,10.0,21.0,0.0,0.0
2017.0,10.0,22.0,1.9,1.6610692661005515
2017.0,10.0,23.0,15.1,13.201129430588594
2017.0,10.0,24.0,0.1,0.08742469821581851
2017.0,10.0,25.0,0.1,0.08742469821581851
2017.0,10.0,26.0,2.7,2.3604668518270997
2017.0,10.0,27.0,40.6,37.44385579151484
2017.0,10.0,28.0,16.1,14.500000000000002
2017.0,10.0,29.0,0.7,0.6119728875107295
2017.0,10.0,30.0,0.1,0.08742469821581851
2017.0,10.0,31.0,0.1,0.08742469821581851
2017.0,11.0,1.0,0.1,0.08182903403906566
2017.0,11.0,2.0,0.2,0.16365806807813132
2017.0,11.0,3.0,0.8,0.6546322723125253
2017.0,11.0,4.0,3.3,2.7003581232891665
2017.0,11.0,5.0,0.1,0.08182903403906566
2017.0,11.0,6.0,0.1,0.08182903403906566
2017.0,11.0,7.0,0.1,0.08182903403906566
2017.0,11.0,8.0,14.6,11.947038969703584
2017.0,11.0,9.0,0.0,0.0
2017.0,11.0,10.0,0.0,0.0
2017.0,11.0,11.0,0.0,0.0
2017.0,11.0,12.0,0.0,0.0
2017.0,11.0,13.0,5.5,4.500596872148611
2017.0,11.0,14.0,7.5,6.1371775529299235
2017.0,11.0,15.0,0.1,0.08182903403906566
2017.0,11.0,16.0,0.1,0.08182903403906566
2017.0,11.0,17.0,0.1,0.08182903403906566
2017.0,11.0,18.0,0.3,0.24548710211719693
2017.0,11.0,19.0,1.8,1.4729226127031818
2017.0,11.0,20.0,0.1,0.08182903403906566
2017.0,11.0,21.0,5.9,4.827913008304874
2017.0,11.0,22.0,0.1,0.08182903403906566
2017.0,11.0,23.0,0.0,0.0
2017.0,11.0,24.0,0.0,0.0
2017.0,11.0,25.0,0.0,0.0
2017.0,11.0,26.0,0.0,0.0
2017.0,11.0,27.0,0.0,0.0
2017.0,11.0,28.0,0.0,0.0
2017.0,11.0,29.0,0.0,0.0
2017.0,11.0,30.0,0.0,0.0
2017.0,12.0,1.0,0.0,0.0
2017.0,12.0,2.0,0.0,0.0
2017.0,12.0,3.0,0.0,0.0
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.0,0.0
2017.0,12.0,10.0,0.4,0.3178278710381533
2017.0,12.0,11.0,0.1,0.07945696775953832
2017.0,12.0,12.0,0.1,0.07945696775953832
2017.0,12.0,13.0,0.1,0.07945696775953832
2017.0,12.0,14.0,0.4,0.3178278710381533
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,0.7,0.5561987743167682
2017.0,12.0,19.0,0.1,0.07945696775953832
2017.0,12.0,20.0,2.6,2.0658811617479964
2017.0,12.0,21.0,0.0,0.0
2017.0,12.0,22.0,0.0,0.0
2017.0,12.0,23.0,0.0,0.0
2017.0,12.0,24.0,0.0,0.0
2017.0,12.0,25.0,0.0,0.0
2017.0,12.0,26.0,3.6,2.86045083934338
2017.0,12.0,27.0,0.0,0.0
2017.0,12.0,28.0,0.0,0.0
2017.0,12.0,29.0,0.0,0.0
2017.0,12.0,30.0,0.0,0.0
2017.0,12.0,31.0,0.0,0.0
2018.0,1.0,1.0,3.5,2.404961783140644
2018.0,1.0,2.0,7.3,5.016063147693343
2018.0,1.0,3.0,9.6,6.615504226851169
2018.0,1.0,4.0,22.9,21.143855791514838
2018.0,1.0,5.0,12.8,11.043855791514838
2018.0,1.0,6.0,2.4,1.6491166512964417
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,0.0,0.0
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,0.0,0.0
2018.0,1.0,13.0,0.0,0.0
2018.0,1.0,14.0,0.0,0.0
2018.0,1.0,15.0,0.0,0.0
2018.0,1.0,16.0,0.0,0.0
2018.0,1.0,17.0,0.0,0.0
2018.0,1.0,18.0,4.9,3.366946496396902
2018.0,1.0,19.0,5.1,3.504372884004938
2018.0,1.0,20.0,0.1,0.0687131938040184
2018.0,1.0,21.0,0.1,0.0687131938040184
2018.0,1.0,22.0,0.8,0.5497055504321472
2018.0,1.0,23.0,22.2,18.687711583029675
2018.0,1.0,24.0,0.1,0.0687131938040184
2018.0,1.0,25.0,0.1,0.0687131938040184
2018.0,1.0,26.0,0.5,0.343565969020092
2018.0,1.0,27.0,0.0,0.0
2018.0,1.0,28.0,0.0,0.0
2018.0,1.0,29.0,0.0,0.0
2018.0,1.0,30.0,0.0,0.0
2018.0,1.0,31.0,0.0,0.0
2018.0,2.0,1.0,48.8,45.28771158302967
2018.0,2.0,2.0,9.7,7.943855791514839
2018.0,2.0,3.0,0.1,0.052350547354107935
2018.0,2.0,4.0,0.1,0.052350547354107935
2018.0,2.0,5.0,1.5,0.785258210311619
2018.0,2.0,6.0,0.1,0.052350547354107935
2018.0,2.0,7.0,1.6,0.837608757665727
2018.0,2.0,8.0,0.2,0.10470109470821587
2018.0,2.0,9.0,14.7,11.343855791514837
2018.0,2.0,10.0,17.0,16.0
2018.0,2.0,11.0,0.1,0.052350547354107935
2018.0,2.0,12.0,1.7,0.8899593050198349
2018.0,2.0,13.0,39.0,35.64385579151484
2018.0,2.0,14.0,4.7,2.943855791514837
2018.0,2.0,15.0,0.0,0.0
2018.0,2.0,16.0,0.0,0.0
2018.0,2.0,17.0,0.0,0.0
2018.0,2.0,18.0,0.0,0.0
2018.0,2.0,19.0,5.5,2.8792801044759364
2018.0,2.0,20.0,0.5,0.2617527367705397
2018.0,2.0,21.0,1.2,0.6282065682492952
2018.0,2.0,22.0,0.1,0.052350547354107935
2018.0,2.0,23.0,0.0,0.0
2018.0,2.0,24.0,0.0,0.0
2018.0,2.0,25.0,0.0,0.0
2018.0,2.0,26.0,0.0,0.0
2018.0,2.0,27.0,0.7,0.36645383147875554
2018.0,2.0,28.0,0.1,0.052350547354107935
2018.0,3.0,1.0,0.1,0.04420835420790042
2018.0,3.0,2.0,0.0,0.0
2018.0,3.0,3.0,0.0,0.0
2018.0,3.0,4.0,0.0,0.0
2018.0,3.0,5.0,0.0,0.0
2018.0,3.0,6.0,0.0,0.0
2018.0,3.0,7.0,13.7,10.187711583029675
2018.0,3.0,8.0,0.2,0.08841670841580083
2018.0,3.0,9.0,0.0,0.0
2018.0,3.0,10.0,0.0,0.0
2018.0,3.0,11.0,0.0,0.0
2018.0,3.0,12.0,31.8,28.287711583029676
2018.0,3.0,13.0,0.2,0.08841670841580083
2018.0,3.0,14.0,1.8,0.7957503757422074
2018.0,3.0,15.0,0.0,0.0
2018.0,3.0,16.0,0.0,0.0
2018.0,3.0,17.0,0.0,0.0
2018.0,3.0,18.0,0.0,0.0
2018.0,3.0,19.0,0.0,0.0
2018.0,3.0,20.0,4.4,1.9451675851476184
2018.0,3.0,21.0,0.3,0.13262506262370125
2018.0,3.0,22.0,0.8,0.35366683366320334
2018.0,3.0,23.0,0.9,0.3978751878711037
2018.0,3.0,24.0,0.9,0.3978751878711037
2018.0,3.0,25.0,7.6,4.087711583029675
2018.0,3.0,26.0,0.0,0.0
2018.0,3.0,27.0,0.0,0.0
2018.0,3.0,28.0,0.0,0.0
2018.0,3.0,29.0,5.8,2.564084544058224
2018.0,3.0,30.0,0.5,0.22104177103950207
2018.0,3.0,31.0,0.0,0.0
2018.0,4.0,1.0,0.0,0.0
2018.0,4.0,2.0,0.0,0.0
2018.0,4.0,3.0,0.0,0.0
2018.0,4.0,4.0,0.0,0.0
2018.0,4.0,5.0,0.0,0.0
2018.0,4.0,6.0,0.0,0.0
2018.0,4.0,7.0,0.0,0.0
2018.0,4.0,8.0,0.0,0.0
2018.0,4.0,9.0,0.0,0.0
2018.0,4.0,10.0,2.2,1.1331755539788033
2018.0,4.0,11.0,2.7,1.3907154526103496
2018.0,4.0,12.0,6.1,3.1419867633048635
2018.0,4.0,13.0,1.5,0.7726196958946385
2018.0,4.0,14.0,15.5,13.116960915345011
2018.0,4.0,15.0,1.0,0.5150797972630924
2018.0,4.0,16.0,3.4,1.7512713106945141
2018.0,4.0,17.0,3.8,1.957303229599751
2018.0,4.0,18.0,1.0,0.5150797972630924
2018.0,4.0,19.0,0.1,0.051507979726309244
2018.0,4.0,20.0,0.8,0.41206383781047395
2018.0,4.0,21.0,3.3,1.6997633309682048
2018.0,4.0,22.0,0.0,0.0
2018.0,4.0,23.0,0.0,0.0
2018.0,4.0,24.0,0.0,0.0
2018.0,4.0,25.0,0.0,0.0
2018.0,4.0,26.0,0.0,0.0
2018.0,4.0,27.0,0.0,0.0
2018.0,4.0,28.0,26.7,23.843855791514837
2018.0,4.0,29.0,7.2,6.5
2018.0,4.0,30.0,2.0,1.0301595945261848
2018.0,5.0,1.0,0.0,0.0
2018.0,5.0,2.0,0.0,0.0
2018.0,5.0,3.0,0.0,0.0
2018.0,5.0,4.0,0.0,0.0
2018.0,5.0,5.0,0.0,0.0
2018.0,5.0,6.0,0.0,0.0
2018.0,5.0,7.0,0.0,0.0
2018.0,5.0,8.0,0.0,0.0
2018.0,5.0,9.0,7.8,4.68090285998724
2018.0,5.0,10.0,0.2,0.12002315025608308
2018.0,5.0,11.0,0.4,0.24004630051216616
2018.0,5.0,12.0,26.4,24.57060547046173
2018.0,5.0,13.0,15.5,14.5
2018.0,5.0,14.0,2.5,1.5002893782010385
2018.0,5.0,15.0,0.1,0.06001157512804154
2018.0,5.0,16.0,1.6,0.9601852020486646
2018.0,5.0,17.0,3.5,2.100405129481454
2018.0,5.0,18.0,0.1,0.06001157512804154
