∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3043.003008956515,3043.003008956515,0.0,0.0,0.0,0.0,0.0
6069.159088476712,3026.1560795201967,0.0,0.0,0.0,0.0,0.0
9350.763421721442,3281.6043332447302,0.0,0.0,0.0,0.0,0.0
12736.24639534325,3385.4829736218094,0.0,0.0,0.0,0.0,0.0
16231.161633278585,3494.9152379353336,0.0,0.0,0.0,0.0,0.0
19750.993873873223,3519.8322405946383,0.0,0.0,0.0,0.0,0.0
23278.272186860988,3527.278312987765,0.0,0.0,0.0,0.0,0.0
26811.285919461687,3533.0137326006984,0.0,0.0,0.0,0.0,0.0
30349.585316011522,3538.299396549837,0.0,0.0,0.0,0.0,0.0
33894.59061882706,3545.0053028155376,0.0,0.0,0.0,0.0,0.0
37436.07388304764,3541.4832642205793,0.0,0.0,0.0,0.0,0.0
40990.15092117171,3554.077038124075,0.0,0.0,0.0,0.0,0.0
44543.02664288537,3552.8757217136613,0.0,0.0,0.0,0.0,0.0
48095.65769833464,3552.631055449264,0.0,0.0,0.0,0.0,0.0
51648.290405620675,3552.6327072860377,0.0,0.0,0.0,0.0,0.0
55201.02116112832,3552.730755507648,0.0,0.0,0.0,0.0,0.0
58753.91219625085,3552.891035122531,0.0,0.0,0.0,0.0,0.0
62307.021212630374,3553.109016379522,0.0,0.0,0.0,0.0,0.0
65860.41279216004,3553.391579529671,0.0,0.0,0.0,0.0,0.0
69414.16739662913,3553.754604469077,0.0,0.0,0.0,0.0,0.0
72968.39401527199,3554.2266186428615,0.0,0.0,0.0,0.0,0.0
76523.25330187111,3554.8592865991236,0.0,0.0,0.0,0.0,0.0
80079.00739994545,3555.754098074341,0.0,0.0,0.0,0.0,0.0
83636.14843245543,3557.1410325099805,0.0,0.0,0.0,0.0,0.0
87195.82986470795,3559.6814322525097,0.0,0.0,0.0,0.0,0.0
90762.13043172429,3566.300567016337,0.0,0.0,0.0,0.0,0.0
94355.65528432923,3593.5248526049454,0.0,0.0,0.0,0.0,0.0
97924.21745489625,3568.5621705670137,0.0,0.0,0.0,0.0,0.0
101487.71237581686,3563.49492092061,0.0,0.0,0.0,0.0,0.0
105049.82307234663,3562.1106965297618,0.0,0.0,0.0,0.0,0.0
108611.53136485099,3561.708292504362,0.0,0.0,0.0,0.0,0.0
112173.20753555791,3561.6761707069304,0.0,0.0,0.0,0.0,0.0
115735.03044894148,3561.822913383563,0.0,0.0,0.0,0.0,0.0
119297.1066950901,3562.0762461486083,0.0,0.0,0.0,0.0,0.0
122859.51398531752,3562.4072902274274,0.0,0.0,0.0,0.0,0.0
126422.32053736795,3562.806552050435,0.0,0.0,0.0,0.0,0.0
129985.59567807699,3563.27514070904,0.0,0.0,0.0,0.0,0.0
133549.4173110658,3563.8216329888205,0.0,0.0,0.0,0.0,0.0
137113.8790029237,3564.4616918579004,0.0,0.0,0.0,0.0,0.0
140679.09868811004,3565.2196851863278,0.0,0.0,0.0,0.0,0.0
144245.23133353188,3566.1326454218233,0.0,0.0,0.0,0.0,0.0
147812.4894453593,3567.2581118274247,0.0,0.0,0.0,0.0,0.0
