iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,9.676153627313937,3.6600867573143603,0.11429484337600115,0.5613665550378233,0.0,0.05369053146512215,0.0009674073000703887
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,5.7393736778413995,4.691662176450194,4.0006323795009,0.7241457546870631,0.0,0.052008338247201635,0.003985554686892323
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,29.887814330649434,4.418056894251521,3.7643907073043295,0.6799551825506178,0.0,0.05093912916309051,0.0010935645663124258
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,16.964375280938953,4.060923723798609,3.510068179350185,0.6740597776482744,0.0,0.04770803914787436,0.0008850170887818309
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.28518737416376894,4.763149456336606,4.050480147627582,0.7242416389430097,0.0,0.04601783153567851,0.0014650980231234213
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,4.746107281349211,3.9811260621869877,0.6755087891781031,0.0,0.04395415282724002,0.002200812204886292
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.7113754846689773,3.0784357621155465,0.5053004318800518,0.0,0.041923461144236285,0.0030779400615722555
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.6443122576443585,3.0013132975839483,0.4834491971898487,0.0,0.0399946246071039,0.0038182854510156877
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.217365898345236,3.4372628256727467,0.5376228370421217,0.0,0.038207988336289134,0.004453356074983299
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.765268203349507,3.035882617430701,0.4611719339832234,0.0,0.036523816697553,0.005330996517627959
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,0.0,4.225151335649571,3.375362702592696,0.5005576621251926,0.0,0.034912856441643214,0.006145164973341215
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,0.0,3.874848664317966,3.058013288172802,0.43848076553818416,0.0,0.03338310240569342,0.007019248150274243
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,0.0,4.605990413668593,3.5954773295757576,0.5013045963209208,0.0,0.03191996660752494,0.007869783361838068
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,4.919160921996394,3.7290707875054068,0.5174446559161474,0.0,0.030526766880370815,0.00855687337666966
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,5.144312257667934,3.80415008025102,0.5159566252210865,0.0,0.02918459940944018,0.009257480260877124
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.526946359322608,3.9992230715450887,0.5100490686066443,0.0,0.027892117921339832,0.009993556260617965
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.346107281353909,3.7851846277283414,0.45369937574545105,0.0,0.02665050341711961,0.010690217580223222
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.771258616987382,4.000706947190082,0.4508340149985841,0.0,0.025457739959321657,0.011426139362635927
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.592214562672751,3.790676600035596,0.39770245439214946,0.0,0.02431806382507773,0.01212338821074864
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,4.792214562675753,3.1940996601007328,0.31904785476426767,0.0,0.023228292234360737,0.01305511557482561
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,5.1982049763396105,3.4158356547215476,0.3272787402686461,0.0,0.022191958426823533,0.013889725425693451
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,1.949858634953756,4.462049090489558,2.896916613969438,0.27088683945891034,0.0,0.021216026010609568,0.014049917456874714
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,1.6095470313432259,4.359159679447032,2.827470425833212,0.2839793989645685,0.0,0.020296920607822955,0.014573522532620713
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.7679852518901953,5.628896220207622,3.596121153409115,0.3408221569213765,0.0,0.01943400069598411,0.015166540215702075
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.7679852518901953,6.113325345494616,3.838148352049899,0.3369378353746768,0.0,0.01862421749884291,0.015598386283850326
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,2.2303792282397694,5.715252485525156,3.540272360508183,0.3012361610569414,0.0,0.017853133892419493,0.015728646055091552
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,1.1220823724960383,5.248735057558292,3.2189391643530456,0.2839713267898496,0.0,0.017111887756676936,0.016284518169242014
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,-1.6569856597925536e-10,4.909580461032817,2.98111304717429,0.23822829825547842,0.0,0.01640228006243305,0.017230106196106633
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.9269463593220735,2.9553800417094465,0.2178392919692307,0.0,0.01572902934414344,0.018167333459323802
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,3.3894563609385386,3.8045641401361934,2.260707402908551,0.16870502256222508,0.0,0.015030967611590285,0.017679561940296323
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,2.4695530662125975,4.667535472333753,2.7678979439601505,0.2593372296914467,0.0,0.014476711653720997,0.01740113866011818
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,13.499811789899923,6.037397760037976,3.590076543661354,0.3798129204707834,0.0,0.014382936657391099,0.014781481254925566
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,6.752677347430733,6.222215322706461,3.7916002786971177,0.5161060711995553,0.0,0.01330508910152517,0.013808981891565016
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,0.0,4.827166816707546,2.7947176551824384,0.3061758895361777,0.0,0.012890718840456117,0.014261558504646919
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,0.0,4.000000000000455,2.2676665032653034,0.21865048941032583,0.0,0.012408934828396667,0.014767470435994395
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,0.0,3.737861136119079,2.101031912992042,0.18478374599699876,0.0,0.011949044125891817,0.015236219117514221
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,0.0,4.320881875628061,2.408816951820711,0.19499665429484736,0.0,0.011514788504189966,0.015773219885700747
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,17.754757529663863,3.074252188236983,1.7265430532618353,0.1712221060872281,0.0,0.01096311121674276,0.01326695204900849
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,9.892711538240775,4.393796505495857,2.651192272303163,0.4174274377013809,0.0,0.010584524501002335,0.01219337293036262
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,3.312550234113587e-10,6.077203519794068,3.4222209838320197,0.4293140342393116,0.0,0.01036873582261677,0.012430569970112534
