∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1931.0,1931.0,0.0,0.0,0.0,0.0,0.0
3931.0,2000.0,0.0,0.0,0.0,0.0,0.0
5903.0,1972.0,0.0,0.0,0.0,0.0,0.0
7736.0,1833.0,0.0,0.0,0.0,0.0,0.0
9551.0,1815.0,0.0,0.0,0.0,0.0,0.0
11396.0,1845.0,0.0,0.0,0.0,0.0,0.0
13290.0,1894.0,0.0,0.0,0.0,0.0,0.0
15194.0,1904.0,0.0,0.0,0.0,0.0,0.0
17139.0,1945.0,0.0,0.0,0.0,0.0,0.0
19179.0,2040.0,0.0,0.0,0.0,0.0,0.0
21344.0,2165.0,0.0,0.0,0.0,0.0,0.0
23592.0,2248.0,0.0,0.0,0.0,0.0,0.0
25937.0,2345.0,0.0,0.0,0.0,0.0,0.0
28397.0,2460.0,0.0,0.0,0.0,0.0,0.0
30977.0,2580.0,0.0,0.0,0.0,0.0,0.0
33693.0,2716.0,0.0,0.0,0.0,0.0,0.0
36555.0,2862.0,0.0,0.0,0.0,0.0,0.0
39569.0,3014.0,0.0,0.0,0.0,0.0,0.0
42751.0,3182.0,0.0,0.0,0.0,0.0,0.0
46077.0,3326.0,0.0,0.0,0.0,0.0,0.0
49451.0,3374.0,0.0,0.0,0.0,0.0,0.0
52850.0,3399.0,0.0,0.0,0.0,0.0,0.0
56276.0,3426.0,0.0,0.0,0.0,0.0,0.0
59731.0,3455.0,0.0,0.0,0.0,0.0,0.0
63214.0,3483.0,0.0,0.0,0.0,0.0,0.0
66724.0,3510.0,0.0,0.0,0.0,0.0,0.0
70260.0,3536.0,0.0,0.0,0.0,0.0,0.0
73820.0,3560.0,0.0,0.0,0.0,0.0,0.0
77400.0,3580.0,0.0,0.0,0.0,0.0,0.0
80995.0,3595.0,0.0,0.0,0.0,0.0,0.0
84595.0,3600.0,0.0,0.0,0.0,0.0,0.0
88195.0,3600.0,0.0,0.0,0.0,0.0,0.0
91795.0,3600.0,0.0,0.0,0.0,0.0,0.0
95395.0,3600.0,0.0,0.0,0.0,0.0,0.0
98995.0,3600.0,0.0,0.0,0.0,0.0,0.0
102595.0,3600.0,0.0,0.0,0.0,0.0,0.0
106195.0,3600.0,0.0,0.0,0.0,0.0,0.0
109795.0,3600.0,0.0,0.0,0.0,0.0,0.0
113395.0,3600.0,0.0,0.0,0.0,0.0,0.0
116995.0,3600.0,0.0,0.0,0.0,0.0,0.0
120595.0,3600.0,0.0,0.0,0.0,0.0,0.0
124195.0,3600.0,0.0,0.0,0.0,0.0,0.0
127795.0,3600.0,0.0,0.0,0.0,0.0,0.0
131395.0,3600.0,0.0,0.0,0.0,0.0,0.0
134995.0,3600.0,0.0,0.0,0.0,0.0,0.0
138595.0,3600.0,0.0,0.0,0.0,0.0,0.0
142195.0,3600.0,0.0,0.0,0.0,0.0,0.0
145795.0,3600.0,0.0,0.0,0.0,0.0,0.0
149395.0,3600.0,0.0,0.0,0.0,0.0,0.0
152995.0,3600.0,0.0,0.0,0.0,0.0,0.0
156595.0,3600.0,0.0,0.0,0.0,0.0,0.0
160195.0,3600.0,0.0,0.0,0.0,0.0,0.0
163795.0,3600.0,0.0,0.0,0.0,0.0,0.0
167395.0,3600.0,0.0,0.0,0.0,0.0,0.0
170995.0,3600.0,0.0,0.0,0.0,0.0,0.0
174595.0,3600.0,0.0,0.0,0.0,0.0,0.0
178195.0,3600.0,0.0,0.0,0.0,0.0,0.0
181795.0,3600.0,0.0,0.0,0.0,0.0,0.0
185395.0,3600.0,0.0,0.0,0.0,0.0,0.0
188995.0,3600.0,0.0,0.0,0.0,0.0,0.0
192595.0,3600.0,0.0,0.0,0.0,0.0,0.0
196195.0,3600.0,0.0,0.0,0.0,0.0,0.0
199795.0,3600.0,0.0,0.0,0.0,0.0,0.0
203395.0,3600.0,0.0,0.0,0.0,0.0,0.0
206995.0,3600.0,0.0,0.0,0.0,0.0,0.0
210595.0,3600.0,0.0,0.0,0.0,0.0,0.0
