iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,0.0,4.54311111110286,0.11778268291763538,0.41845551082574595,0.0,0.25909571360625705,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,5.23533333334106,3.5094112946999303,0.4744448932199319,0.0,0.21459764782085244,NaN
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,5.26925925926723,3.330148516492642,0.4683491597614964,0.0,0.17875526292792188,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.963074074071159,2.975356514427574,0.43500313383202993,0.0,0.14948758520341698,-1.2102297889062345e8
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.126148148141709,2.898922417526805,0.44280651577042107,0.0,0.12692098273126362,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.073851851842193,2.6938784356105288,0.4322098739028917,0.0,0.10891196631970956,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.927740740754757,1.9791695140766308,0.331513979422974,0.0,0.09440010820537736,NaN
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.48922222221114,1.7011985363235382,0.2933615297602472,0.0,0.08328141330372318,NaN
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,3.9153703703736653,1.8205498717465574,0.3265137511110936,0.0,0.07481020058162358,NaN
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7215555555502533,1.6391519256194584,0.30772308987460306,0.0,0.06780959281601895,NaN
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,113.25868055538194,3.519403935194731,1.9433268408824347,0.3168629713865485,0.0,0.06221004019954535,0.0005240416871273648
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,75.91799270692363,3.073105324063647,2.2805436910891217,0.30087610558458877,0.0,0.06174077163467473,0.00031006832795564977
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,6.208279207030074,3.8969709474593515,2.589595905185945,0.3565017580176306,0.0,0.08191446046478745,0.0003001419848931227
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,18.10212873726556,4.334024210247918,2.6523394342183764,0.4345221450593293,0.0,0.09650539173694028,0.00027962182652475865
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,10.618745416143156,4.919957874944686,2.950838459448576,0.5188420399224096,0.0,0.0977576929488464,0.000269384972901181
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.615138888899622,3.0123618130820944,0.5706805403379942,0.0,0.09422453195301728,0.0002687175435088582
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.547888888872279,2.707286720158521,0.5520237441115334,0.0,0.08644174535083948,0.00026864640160501583
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.778166666673371,2.5892074106150176,0.5660339542642827,0.0,0.07712059216217426,0.0002685966844427939
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.558805555551828,2.288081874504492,0.5373096813137597,0.0,0.06833992290896163,0.0003292749770969199
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,3.850361111114836,1.4958092432658887,0.3700084349649657,0.0,0.060736547141630126,0.00039072216200168185
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,4.134500000021518,1.5498640712181029,0.39644429799413317,0.0,0.05472421290645002,0.00043796621368147977
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.1066944444253295,1.4447767934040314,0.3906509636724529,0.0,0.04992443293076576,0.0004859452141117448
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,3.952111111095462,1.3202268453682464,0.37428975985327995,0.0,0.04589256646414697,0.0005259119979322856
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,5.234500000051412,1.621542454426823,0.4912603942514231,0.0,0.04246614124170378,0.0005713688223682946
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.0,5.64788888884334,1.5864642863363017,0.5244439188065861,0.0,0.03934409945441075,0.0006281573947105844
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,5.626055555566239,1.446265454605502,0.5186399093164731,0.0,0.036419054512720095,0.0006747718955506738
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,5.132749999980689,1.2182990914399383,0.47058099357719385,0.0,0.03375117676955597,0.0007093401520292908
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.547888888910279,1.011753314605727,0.415852786600972,0.0,0.03139953711459498,0.0007336967913026513
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.841194444472222,1.0126323893385631,0.44116548541491696,0.0,0.02938968901614203,0.0007561401671983003
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,22.79590329771281,3.704437551936138,0.8623663700028885,0.3451440117240345,0.0,0.02839929752829562,0.0006926714457518241
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,27.43969790445135,3.955865623805522,1.4060798954025415,0.38954083808246054,0.0,0.026240725650694685,0.0006328198199354413
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,8.050878698116435,6.1712545364382265,1.9817491316232179,0.5919351206212227,0.0,0.025436920920270722,0.0006201812748213729
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,-3.311129148642067e-10,6.406343750031368,1.5409678170574637,0.5918742380846886,0.0,0.025271447052830354,0.0006260824495911083
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,14.78444540687974,4.429871624010758,1.0226669117619736,0.41212205231824584,0.0,0.024188406971234144,0.0006081028461881019
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,8.86803919022043,3.73819396530439,1.0519329731953633,0.35587340739414586,0.0,0.02551649540734502,0.0005905888142436692
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,3.311129148642067e-10,3.433528935190907,0.7965998741034497,0.31832871927368345,0.0,0.024084751649155578,0.0006066444332206652
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,15.183307328553326,3.8779869828358073,0.9345486948613484,0.3643385708999354,0.0,0.023233127456165903,0.0005823596247940296
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,8.46917726821573,3.771053143496431,1.0538636783909112,0.35901719776811447,0.0,0.02339941743477425,0.000567436107281296
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,0.0,4.974502314830431,1.0965558589435034,0.4589006527940107,0.0,0.023127111784361887,0.0005736204016795999
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,0.0,6.184652777805127,1.1541295801439873,0.5617921801169388,0.0,0.02288856209918322,0.0005995259595722472
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,0.0,6.14356481477472,1.0512221682608072,0.5527424624137041,0.0,0.02243618045113749,0.0006184165456689269
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,3.311129148642067e-10,5.743564814873594,0.9317985866175889,0.5136184240347639,0.0,0.021730470463893425,0.0006319719347717952
44.0,2018.0,1.0,1.0,0.0,0.0,0.0,1791.0002777777777,-3.311129148642067e-10,4.574259259265034,0.7047020078667003,0.407740716224005,0.0,0.020888379638222432,0.00064008088559596
45.0,2018.0,1.0,2.0,0.0,0.0,0.0,1815.0002777777777,16.2584950628262,1.9003726543853645,0.3008903225505435,0.17127781138218623,0.0,0.020133994064764238,0.0006113150140271131
46.0,2018.0,1.0,3.0,0.0,0.0,0.0,1839.0002777777777,62.23997335304844,1.4469834464459836,0.6137857434112988,0.2466192026016074,0.0,0.019032303867106748,0.0005159943970620764
47.0,2018.0,1.0,4.0,0.0,0.0,0.0,1863.0002777777777,42.57052142435015,2.283050925896532,1.2087879579961083,0.43246569667946844,0.0,0.019604378746521434,0.00046728010574489053
48.0,2018.0,1.0,5.0,0.0,0.0,0.0,1887.0002777777777,220.9571746361948,1.4693124999577094,0.8449049072685568,0.28942546397929547,0.0,0.019624025431596692,0.0003274476939632946
49.0,2018.0,1.0,6.0,0.0,0.0,0.0,1911.0002777777777,257.755174310621,1.1752187500561604,0.9804466691769278,0.2739420231830465,0.0,0.02659753299698764,0.00022488354371477063
50.0,2018.0,1.0,7.0,0.0,0.0,0.0,1935.0002777777777,103.11621527723389,2.584728009254718,2.1454002729447694,0.5841903387515188,0.0,0.23589622045520287,0.00020195489181716326
51.0,2018.0,1.0,8.0,0.0,0.0,0.0,1959.0002777777777,11.30670138847762,3.722258101803334,2.94838415204876,0.8028498082938356,0.0,0.5489406982471792,0.00019976580028656737
52.0,2018.0,1.0,9.0,0.0,0.0,0.0,1983.0002777777777,6.622258297284134e-10,5.316857638859176,4.033089222829176,1.109877118381796,0.0,0.5360293020391111,0.0001997635773412801
53.0,2018.0,1.0,10.0,0.0,0.0,0.0,2007.0002777777777,-6.622258297284134e-10,5.615729166712299,4.092495468826314,1.1447540656985211,0.0,0.42609250304712987,0.00019908402903817603
54.0,2018.0,1.0,11.0,0.0,0.0,0.0,2031.0002777777777,0.0,4.439322916684262,3.1315490402728017,0.8909383631371881,0.0,0.3346077383511954,0.00019871777674414782
55.0,2018.0,1.0,12.0,0.0,0.0,0.0,2055.0002777777777,0.0,4.6685416666892365,3.1939049304264984,0.924327500239535,0.0,0.2733864757084916,0.00019847155505704116
56.0,2018.0,1.0,13.0,0.0,0.0,0.0,2079.0002777777777,28.535817949389752,4.673589120282486,3.161923500555133,0.9273419310825233,0.0,0.23242498472407647,0.0001930083932889365
57.0,2018.0,1.0,14.0,0.0,0.0,0.0,2103.0002777777777,14.671477112754872,3.909502926643654,2.7035677524433908,0.7849671951694077,0.0,0.2016245870787543,0.00019038556774015754
58.0,2018.0,1.0,15.0,0.0,0.0,0.0,2127.0002777777777,0.0,4.036238153737372,2.645390792679777,0.7866116666033349,0.0,0.19096301927774562,0.0001902837209039722
59.0,2018.0,1.0,16.0,0.0,0.0,0.0,2151.0002777777777,0.0,3.936675925958866,2.475078893685719,0.7547280395829148,0.0,0.17150613603610054,0.00019027158369686064
60.0,2018.0,1.0,17.0,0.0,0.0,0.0,2175.0002777777777,0.0,4.063324074041702,2.4598829530040973,0.7688751732991932,0.0,0.1508766119306415,0.00019026052898271824
61.0,2018.0,1.0,18.0,0.0,0.0,0.0,2199.0002777777777,13.760073232375305,3.2569575546359033,1.941798870680529,0.6164767822368233,0.0,0.13002860592098386,0.00018788670237346973
62.0,2018.0,1.0,19.0,0.0,0.0,0.0,2223.0002777777777,91.77348170538693,1.3516757170553433,0.8617249266853833,0.26570388179693794,0.0,0.11878933449358442,0.00017392995416361115
63.0,2018.0,1.0,20.0,0.0,0.0,0.0,2247.0002777777777,50.07009259295501,1.444768518373678,1.0809249650563117,0.30395997372617245,0.0,0.13601375969906826,0.00016664313370962604
64.0,2018.0,1.0,21.0,0.0,0.0,0.0,2271.0002777777777,6.861000656499527e-10,4.035173611159109,2.794968044608126,0.8067626413525701,0.0,0.1958493545407407,0.00016662842990800852
65.0,2018.0,1.0,22.0,0.0,0.0,0.0,2295.0002777777777,33.251955882170705,4.243285879613325,2.868515867129048,0.8439550836848895,0.0,0.19207747369739536,0.0001621805551303364
66.0,2018.0,1.0,23.0,0.0,0.0,0.0,2319.0002777777777,29.759599571054878,1.9347986110874444,1.3680514684427862,0.3954391498550507,0.0,0.181507484114519,0.00016077764702310938
67.0,2018.0,1.0,24.0,0.0,0.0,0.0,2343.0002777777777,21.92240968333465,2.4866608796738205,1.7603323330875043,0.5059334611695476,0.0,0.19362021158607945,0.00016133239689281316
68.0,2018.0,1.0,25.0,0.0,0.0,0.0,2367.0002777777777,8.68184083108872,4.200680231754063,2.896052084339786,0.8398084971197051,0.0,0.20053751468481096,0.00016063187669238457
69.0,2018.0,1.0,26.0,0.0,0.0,0.0,2391.0002777777777,-6.622258297284134e-10,4.051299670670915,2.6449248048247966,0.7879292133884235,0.0,0.19176340734702535,0.0001605985535888397
70.0,2018.0,1.0,27.0,0.0,0.0,0.0,2415.0002777777777,13.634301997738305,4.292949875546469,2.740088817466102,0.8314306639224753,0.0,0.17042659848669928,0.00016174464817118054
71.0,2018.0,1.0,28.0,0.0,0.0,0.0,2439.0002777777777,7.969345533664978,4.937823442296576,3.1078361271787855,0.9510790004117666,0.0,0.15239214829961156,0.00016283482754842743
72.0,2018.0,1.0,29.0,0.0,0.0,0.0,2463.0002777777777,0.0,5.100000000002183,2.9991716938355353,0.9548238640953244,0.0,0.13746963621790087,0.00016274860429050305
73.0,2018.0,1.0,30.0,0.0,0.0,0.0,2487.0002777777777,0.0,5.352444444408889,2.9604502199124454,0.983068487905058,0.0,0.1210745698859057,0.0001627295260161966
74.0,2018.0,1.0,31.0,0.0,0.0,0.0,2511.0002777777777,0.0,5.184444444483631,2.6991188025987753,0.9368308074017833,0.0,0.10535005410983445,0.00016271865347377713
75.0,2018.0,2.0,1.0,0.0,0.0,0.0,2535.0002777777777,0.0,5.252444444406876,2.5811741073015355,0.9364185044405815,0.0,0.09176006950428928,0.00016270972528901163
76.0,2018.0,2.0,2.0,0.0,0.0,0.0,2559.0002777777777,198.9392129628456,2.5037407406975944,1.2935773832522273,0.46090620752332256,0.0,0.08122820298450506,0.00014323134188849946
77.0,2018.0,2.0,3.0,0.0,0.0,0.0,2583.0002777777777,117.40071086713385,2.950738426045632,2.3025827485718082,1.1168646882285316,0.0,0.10657966838434163,0.00013186386957521318
78.0,2018.0,2.0,4.0,0.0,0.0,0.0,2607.0002777777777,3.0836838975747582,2.7713245823803163,2.02025134949713,1.038022869681349,0.0,0.2488958071019738,0.00013162155729960447
79.0,2018.0,2.0,5.0,0.0,0.0,0.0,2631.0002777777777,0.0,3.6305153569809363,2.5309931101012353,1.3179124535708056,0.0,0.27733787379310115,0.00013161470989331249
80.0,2018.0,2.0,6.0,0.0,0.0,0.0,2655.0002777777777,3.4614902748074883,3.9929059717940163,2.701002916709797,1.4239695352614916,0.0,0.2532150581803876,0.0001378589217770215
81.0,2018.0,2.0,7.0,0.0,0.0,0.0,2679.0002777777777,1.9890794303609027,4.124498220948112,2.7316425222755925,1.4548321769529764,0.0,0.22101054234502726,0.000142075566448418
82.0,2018.0,2.0,8.0,0.0,0.0,0.0,2703.0002777777777,1.3244516594568267e-9,4.018958333262447,2.577089085136379,1.3933613325417156,0.0,0.1931998612745076,0.0001420641757711801
83.0,2018.0,2.0,9.0,0.0,0.0,0.0,2727.0002777777777,23.447037035498965,3.161106481427396,2.0293246491530113,1.1041081654311071,0.0,0.16797644491200003,0.00014002630375466982
84.0,2018.0,2.0,10.0,0.0,0.0,0.0,2751.0002777777777,88.49119213058515,1.4099282407469218,0.9665077410942899,0.5152750185081985,0.0,0.15492746486248166,0.00013250638545320333
85.0,2018.0,2.0,11.0,0.0,0.0,0.0,2775.0002777777777,206.36791667325497,0.21570138856418453,0.1646988622142942,0.08489141670799683,0.0,0.1902145913890365,0.00011857627368576959
86.0,2018.0,2.0,12.0,0.0,0.0,0.0,2799.0002777777777,289.7250115651332,0.250689815786302,0.214331250224717,0.11053604316607135,0.0,1.3960578232028809,0.00010542433247541505
87.0,2018.0,2.0,13.0,0.0,0.0,0.0,2823.0002777777777,170.64637731718562,2.526553240257897,2.167769779421974,1.1211620328518421,0.0,12.27635841116114,9.885852551180953e-5
88.0,2018.0,2.0,14.0,0.0,0.0,0.0,2847.0002777777777,83.97934027769566,1.6729143517827652,1.4274150776323609,0.7344215197367419,0.0,8.780050890928464,9.639065071388476e-5
89.0,2018.0,2.0,15.0,0.0,0.0,0.0,2871.0002777777777,143.9169675904668,0.9112314819084872,0.7813337917013712,0.403862258017881,0.0,9.349492104090473,9.165346759734336e-5
90.0,2018.0,2.0,16.0,0.0,0.0,0.0,2895.0002777777777,65.42615740782935,3.0889004625877305,2.6286274937707503,1.3490711798147856,0.0,11.652517170631313,8.955659482600404e-5
91.0,2018.0,2.0,17.0,0.0,0.0,0.0,2919.0002777777777,1.0476242096046917e-9,4.703009259215662,3.928440496503214,1.9802971452012912,0.0,4.463690396833783,8.958191333398583e-5
92.0,2018.0,2.0,18.0,0.0,0.0,0.0,2943.0002777777777,1.2670398064074107e-9,3.9644930554537154,3.2581612157078155,1.6292957619218527,0.0,2.402814313516757,8.958312703939491e-5
93.0,2018.0,2.0,19.0,0.0,0.0,0.0,2967.0002777777777,-1.4318857211037539e-9,3.560375000059537,2.8709827405957355,1.4366711782257653,0.0,1.6446474550319294,8.958270190910813e-5
94.0,2018.0,2.0,20.0,0.0,0.0,0.0,2991.0002777777777,53.596238426402465,2.0415405095436086,1.6406882130575298,0.8231934427478365,0.0,1.2196792596189994,8.770006114934781e-5
95.0,2018.0,2.0,21.0,0.0,0.0,0.0,3015.0002777777777,78.7935185178253,2.1863240738697414,1.8154455056195218,0.9123662766793075,0.0,1.6006092497067357,8.620954721800256e-5
