Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.0,0.0
2017.0,10.0,18.0,0.0,0.0
2017.0,10.0,19.0,0.0,0.0
2017.0,10.0,20.0,0.0,0.0
2017.0,10.0,21.0,5.0,4.46882076885712
2017.0,10.0,22.0,1.3,1.1618933999028513
2017.0,10.0,23.0,3.4,3.0387981228228416
2017.0,10.0,24.0,0.0,0.0
2017.0,10.0,25.0,14.8,13.227709475817077
2017.0,10.0,26.0,0.0,0.0
2017.0,10.0,27.0,2.5,2.23441038442856
2017.0,10.0,28.0,1.3,1.1618933999028513
2017.0,10.0,29.0,11.4,10.188911352994234
2017.0,10.0,30.0,1.4,1.2512698152799935
2017.0,10.0,31.0,0.0,0.0
2017.0,11.0,1.0,0.0,0.0
2017.0,11.0,2.0,0.0,0.0
2017.0,11.0,3.0,8.4,7.326373788370964
2017.0,11.0,4.0,0.0,0.0
2017.0,11.0,5.0,1.6,1.395499769213517
2017.0,11.0,6.0,0.0,0.0
2017.0,11.0,7.0,24.7,22.7
2017.0,11.0,8.0,0.0,0.0
2017.0,11.0,9.0,0.0,0.0
2017.0,11.0,10.0,0.0,0.0
2017.0,11.0,11.0,2.0,1.7443747115168962
2017.0,11.0,12.0,0.0,0.0
2017.0,11.0,13.0,1.3,1.1338435624859826
2017.0,11.0,14.0,0.0,0.0
2017.0,11.0,15.0,0.0,0.0
2017.0,11.0,16.0,2.2,1.918812182668586
2017.0,11.0,17.0,0.0,0.0
2017.0,11.0,18.0,1.7,1.4827185047893616
2017.0,11.0,19.0,3.8,3.3143119518821025
2017.0,11.0,20.0,0.0,0.0
2017.0,11.0,21.0,0.0,0.0
2017.0,11.0,22.0,0.0,0.0
2017.0,11.0,23.0,0.0,0.0
2017.0,11.0,24.0,0.0,0.0
2017.0,11.0,25.0,0.0,0.0
2017.0,11.0,26.0,0.0,0.0
2017.0,11.0,27.0,7.8,6.803061374915895
2017.0,11.0,28.0,13.0,11.597754592880067
2017.0,11.0,29.0,14.1,13.1
2017.0,11.0,30.0,2.5,2.18046838939612
2017.0,12.0,1.0,0.0,0.0
2017.0,12.0,2.0,4.3,3.715465895864637
2017.0,12.0,3.0,0.0,0.0
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,3.0,2.5921855087427703
2017.0,12.0,9.0,0.0,0.0
2017.0,12.0,10.0,0.0,0.0
2017.0,12.0,11.0,0.0,0.0
2017.0,12.0,12.0,0.0,0.0
2017.0,12.0,13.0,11.8,10.195929667721563
2017.0,12.0,14.0,2.5,2.160154590618975
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,4.7,4.061090630363673
2017.0,12.0,19.0,16.5,14.84209663067338
2017.0,12.0,20.0,0.0,0.0
2017.0,12.0,21.0,0.0,0.0
2017.0,12.0,22.0,2.1,1.8145298561199392
2017.0,12.0,23.0,1.3,1.123280387121867
2017.0,12.0,24.0,0.0,0.0
2017.0,12.0,25.0,2.4,2.073748406994216
2017.0,12.0,26.0,8.2,7.199999999999999
2017.0,12.0,27.0,3.0,2.5921855087427703
2017.0,12.0,28.0,3.3,2.851404059617047
2017.0,12.0,29.0,0.0,0.0
2017.0,12.0,30.0,0.0,0.0
2017.0,12.0,31.0,0.0,0.0
2018.0,1.0,1.0,0.0,0.0
2018.0,1.0,2.0,10.3,8.570370109960024
2018.0,1.0,3.0,8.6,7.329629890039977
2018.0,1.0,4.0,49.3,48.3
2018.0,1.0,5.0,62.3,62.3
2018.0,1.0,6.0,0.0,0.0
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,3.7,3.07867664144195
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,19.4,17.4
2018.0,1.0,13.0,2.4,1.996979443097481
2018.0,1.0,14.0,0.0,0.0
2018.0,1.0,15.0,0.0,0.0
2018.0,1.0,16.0,0.0,0.0
2018.0,1.0,17.0,4.2,3.494714025420592
2018.0,1.0,18.0,8.6,7.15584300443264
2018.0,1.0,19.0,3.3,2.745846734259036
2018.0,1.0,20.0,0.0,0.0
2018.0,1.0,21.0,1.4,1.1649046751401972
2018.0,1.0,22.0,3.0,2.496224303871851
2018.0,1.0,23.0,4.1,3.411506548624863
2018.0,1.0,24.0,0.0,0.0
2018.0,1.0,25.0,0.0,0.0
2018.0,1.0,26.0,0.0,0.0
2018.0,1.0,27.0,0.0,0.0
2018.0,1.0,28.0,2.9,2.413016827076123
2018.0,1.0,29.0,0.0,0.0
2018.0,1.0,30.0,0.0,0.0
2018.0,1.0,31.0,1.3,1.081697198344469
2018.0,2.0,1.0,20.0,18.0
2018.0,2.0,2.0,3.3,2.615451134780165
2018.0,2.0,3.0,0.0,0.0
2018.0,2.0,4.0,0.0,0.0
2018.0,2.0,5.0,2.1,1.6643779948601054
2018.0,2.0,6.0,3.3,2.615451134780165
2018.0,2.0,7.0,4.1,3.249499894726872
2018.0,2.0,8.0,1.3,1.0303292349133986
2018.0,2.0,9.0,9.8,7.800000000000001
2018.0,2.0,10.0,8.6,7.699999999999999
2018.0,2.0,11.0,27.7,26.7
2018.0,2.0,12.0,0.0,0.0
2018.0,2.0,13.0,21.3,19.3
2018.0,2.0,14.0,2.7,2.1399145648201356
2018.0,2.0,15.0,0.0,0.0
2018.0,2.0,16.0,0.0,0.0
2018.0,2.0,17.0,0.0,0.0
2018.0,2.0,18.0,0.0,0.0
2018.0,2.0,19.0,5.4,4.279829129640271
2018.0,2.0,20.0,4.6,3.6457803696935636
2018.0,2.0,21.0,4.7,3.7250364646869025
2018.0,2.0,22.0,6.0,4.755365699600301
2018.0,2.0,23.0,0.0,0.0
2018.0,2.0,24.0,0.0,0.0
2018.0,2.0,25.0,0.0,0.0
2018.0,2.0,26.0,23.9,21.9
2018.0,2.0,27.0,3.3,2.615451134780165
2018.0,2.0,28.0,0.0,0.0
2018.0,3.0,1.0,0.0,0.0
2018.0,3.0,2.0,0.0,0.0
2018.0,3.0,3.0,0.0,0.0
2018.0,3.0,4.0,0.0,0.0
2018.0,3.0,5.0,0.0,0.0
2018.0,3.0,6.0,18.7,16.7
2018.0,3.0,7.0,96.8,96.8
2018.0,3.0,8.0,47.0,46.4
2018.0,3.0,9.0,2.1,1.6284526930185639
2018.0,3.0,10.0,0.0,0.0
2018.0,3.0,11.0,0.0,0.0
2018.0,3.0,12.0,2.0,1.5509073266843465
2018.0,3.0,13.0,2.2,1.7059980593527813
2018.0,3.0,14.0,0.0,0.0
2018.0,3.0,15.0,1.4,1.0856351286790424
2018.0,3.0,16.0,12.7,10.7
2018.0,3.0,17.0,1.8,1.395816594015912
2018.0,3.0,18.0,1.7,1.3182712276816946
2018.0,3.0,19.0,0.0,0.0
2018.0,3.0,20.0,0.0,0.0
2018.0,3.0,21.0,3.0,2.3263609900265196
2018.0,3.0,22.0,16.0,15.0
2018.0,3.0,23.0,2.6,2.0161795246896506
2018.0,3.0,24.0,4.2,3.2569053860371278
2018.0,3.0,25.0,0.0,0.0
2018.0,3.0,26.0,0.0,0.0
2018.0,3.0,27.0,0.0,0.0
2018.0,3.0,28.0,5.1,3.9548136830450833
2018.0,3.0,29.0,1.6,1.2407258613474772
2018.0,3.0,30.0,0.0,0.0
2018.0,3.0,31.0,8.6,6.668901504742689
2018.0,4.0,1.0,0.0,0.0
2018.0,4.0,2.0,0.0,0.0
2018.0,4.0,3.0,1.4,1.1070169535014087
2018.0,4.0,4.0,0.0,0.0
2018.0,4.0,5.0,0.0,0.0
2018.0,4.0,6.0,0.0,0.0
2018.0,4.0,7.0,3.7,2.925687662825152
2018.0,4.0,8.0,0.0,0.0
2018.0,4.0,9.0,30.2,28.4
2018.0,4.0,10.0,76.4,76.4
2018.0,4.0,11.0,3.8,3.3
2018.0,4.0,12.0,16.9,15.899999999999999
2018.0,4.0,13.0,2.9,2.2931065465386324
2018.0,4.0,14.0,8.2,7.306893453461367
2018.0,4.0,15.0,17.3,16.3
2018.0,4.0,16.0,17.8,16.8
2018.0,4.0,17.0,8.0,7.0
2018.0,4.0,18.0,7.2,6.2
2018.0,4.0,19.0,0.0,0.0
2018.0,4.0,20.0,2.1,1.6605254302521133
2018.0,4.0,21.0,5.1,4.03270461632656
2018.0,4.0,22.0,0.0,0.0
2018.0,4.0,23.0,0.0,0.0
2018.0,4.0,24.0,0.0,0.0
2018.0,4.0,25.0,0.0,0.0
2018.0,4.0,26.0,0.0,0.0
2018.0,4.0,27.0,0.0,0.0
2018.0,4.0,28.0,19.8,18.700000000000003
2018.0,4.0,29.0,3.7,3.5
2018.0,4.0,30.0,17.5,17.0
2018.0,5.0,1.0,0.0,0.0
2018.0,5.0,2.0,0.0,0.0
2018.0,5.0,3.0,0.0,0.0
2018.0,5.0,4.0,0.0,0.0
2018.0,5.0,5.0,3.0,2.4301344930973485
2018.0,5.0,6.0,3.0,2.4301344930973485
2018.0,5.0,7.0,0.0,0.0
2018.0,5.0,8.0,0.0,0.0
2018.0,5.0,9.0,0.0,0.0
2018.0,5.0,10.0,2.7,2.187121043787614
2018.0,5.0,11.0,4.6,3.7262062227492674
2018.0,5.0,12.0,18.8,17.90206221218836
2018.0,5.0,13.0,7.8,7.6
2018.0,5.0,14.0,5.1,5.1
2018.0,5.0,15.0,2.2,1.782098628271389
2018.0,5.0,16.0,9.4,9.017901371728613
2018.0,5.0,17.0,2.1,1.701094145168144
2018.0,5.0,18.0,7.7,6.237345198949861
