∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,22.0,0.0,0.0,0.0,0.0,0.0
443.0,421.0,0.0,0.0,0.0,0.0,0.0
470.0,27.0,0.0,0.0,0.0,0.0,0.0
905.0,435.0,0.0,0.0,0.0,0.0,0.0
1011.0,106.0,0.0,0.0,0.0,0.0,0.0
1068.0,57.0,0.0,0.0,0.0,0.0,0.0
1123.0,55.0,0.0,0.0,0.0,0.0,0.0
1173.0,50.0,0.0,0.0,0.0,0.0,0.0
1224.0,51.0,0.0,0.0,0.0,0.0,0.0
1271.0,47.0,0.0,0.0,0.0,0.0,0.0
1322.0,51.0,0.0,0.0,0.0,0.0,0.0
1972.0,650.0,0.0,0.0,0.0,0.0,0.0
2533.0,561.0,0.0,0.0,0.0,0.0,0.0
3077.0,544.0,0.0,0.0,0.0,0.0,0.0
3943.0,866.0,0.0,0.0,0.0,0.0,0.0
4635.0,692.0,0.0,0.0,0.0,0.0,0.0
5316.0,681.0,0.0,0.0,0.0,0.0,0.0
5419.0,103.0,0.0,0.0,0.0,0.0,0.0
5454.0,35.0,0.0,0.0,0.0,0.0,0.0
5488.0,34.0,0.0,0.0,0.0,0.0,0.0
5521.0,33.0,0.0,0.0,0.0,0.0,0.0
5554.0,33.0,0.0,0.0,0.0,0.0,0.0
5587.0,33.0,0.0,0.0,0.0,0.0,0.0
5620.0,33.0,0.0,0.0,0.0,0.0,0.0
5654.0,34.0,0.0,0.0,0.0,0.0,0.0
5688.0,34.0,0.0,0.0,0.0,0.0,0.0
5723.0,35.0,0.0,0.0,0.0,0.0,0.0
5759.0,36.0,0.0,0.0,0.0,0.0,0.0
5796.0,37.0,0.0,0.0,0.0,0.0,0.0
5834.0,38.0,0.0,0.0,0.0,0.0,0.0
5873.0,39.0,0.0,0.0,0.0,0.0,0.0
5913.0,40.0,0.0,0.0,0.0,0.0,0.0
5954.0,41.0,0.0,0.0,0.0,0.0,0.0
5997.0,43.0,0.0,0.0,0.0,0.0,0.0
6042.0,45.0,0.0,0.0,0.0,0.0,0.0
6089.0,47.0,0.0,0.0,0.0,0.0,0.0
6139.0,50.0,0.0,0.0,0.0,0.0,0.0
6193.0,54.0,0.0,0.0,0.0,0.0,0.0
6251.0,58.0,0.0,0.0,0.0,0.0,0.0
6316.0,65.0,0.0,0.0,0.0,0.0,0.0
6389.0,73.0,0.0,0.0,0.0,0.0,0.0
6475.0,86.0,0.0,0.0,0.0,0.0,0.0
6588.0,113.0,0.0,0.0,0.0,0.0,0.0
6791.0,203.0,0.0,0.0,0.0,0.0,0.0
6925.0,134.0,0.0,0.0,0.0,0.0,0.0
7021.0,96.0,0.0,0.0,0.0,0.0,0.0
7102.0,81.0,0.0,0.0,0.0,0.0,0.0
7173.0,71.0,0.0,0.0,0.0,0.0,0.0
7244.0,71.0,0.0,0.0,0.0,0.0,0.0
7309.0,65.0,0.0,0.0,0.0,0.0,0.0
7364.0,55.0,0.0,0.0,0.0,0.0,0.0
7419.0,55.0,0.0,0.0,0.0,0.0,0.0
7470.0,51.0,0.0,0.0,0.0,0.0,0.0
7519.0,49.0,0.0,0.0,0.0,0.0,0.0
7566.0,47.0,0.0,0.0,0.0,0.0,0.0
7611.0,45.0,0.0,0.0,0.0,0.0,0.0
7655.0,44.0,0.0,0.0,0.0,0.0,0.0
7698.0,43.0,0.0,0.0,0.0,0.0,0.0
7740.0,42.0,0.0,0.0,0.0,0.0,0.0
7781.0,41.0,0.0,0.0,0.0,0.0,0.0
7821.0,40.0,0.0,0.0,0.0,0.0,0.0
7861.0,40.0,0.0,0.0,0.0,0.0,0.0
7900.0,39.0,0.0,0.0,0.0,0.0,0.0
7939.0,39.0,0.0,0.0,0.0,0.0,0.0
7978.0,39.0,0.0,0.0,0.0,0.0,0.0
8017.0,39.0,0.0,0.0,0.0,0.0,0.0
8056.0,39.0,0.0,0.0,0.0,0.0,0.0
8095.0,39.0,0.0,0.0,0.0,0.0,0.0
8135.0,40.0,0.0,0.0,0.0,0.0,0.0
8178.0,43.0,0.0,0.0,0.0,0.0,0.0
8237.0,59.0,0.0,0.0,0.0,0.0,0.0
8281.0,44.0,0.0,0.0,0.0,0.0,0.0
8326.0,45.0,0.0,0.0,0.0,0.0,0.0
8369.0,43.0,0.0,0.0,0.0,0.0,0.0
8411.0,42.0,0.0,0.0,0.0,0.0,0.0
8454.0,43.0,0.0,0.0,0.0,0.0,0.0
8498.0,44.0,0.0,0.0,0.0,0.0,0.0
8543.0,45.0,0.0,0.0,0.0,0.0,0.0
8590.0,47.0,0.0,0.0,0.0,0.0,0.0
8638.0,48.0,0.0,0.0,0.0,0.0,0.0
8688.0,50.0,0.0,0.0,0.0,0.0,0.0
8740.0,52.0,0.0,0.0,0.0,0.0,0.0
8795.0,55.0,0.0,0.0,0.0,0.0,0.0
8852.0,57.0,0.0,0.0,0.0,0.0,0.0
8912.0,60.0,0.0,0.0,0.0,0.0,0.0
8977.0,65.0,0.0,0.0,0.0,0.0,0.0
9051.0,74.0,0.0,0.0,0.0,0.0,0.0
9134.0,83.0,0.0,0.0,0.0,0.0,0.0
9210.0,76.0,0.0,0.0,0.0,0.0,0.0
9285.0,75.0,0.0,0.0,0.0,0.0,0.0
9362.0,77.0,0.0,0.0,0.0,0.0,0.0
9446.0,84.0,0.0,0.0,0.0,0.0,0.0
9546.0,100.0,0.0,0.0,0.0,0.0,0.0
9676.0,130.0,0.0,0.0,0.0,0.0,0.0
9752.0,76.0,0.0,0.0,0.0,0.0,0.0
9829.0,77.0,0.0,0.0,0.0,0.0,0.0
9900.0,71.0,0.0,0.0,0.0,0.0,0.0
9972.0,72.0,0.0,0.0,0.0,0.0,0.0
10038.0,66.0,0.0,0.0,0.0,0.0,0.0
10100.0,62.0,0.0,0.0,0.0,0.0,0.0
10159.0,59.0,0.0,0.0,0.0,0.0,0.0
10216.0,57.0,0.0,0.0,0.0,0.0,0.0
10271.0,55.0,0.0,0.0,0.0,0.0,0.0
10324.0,53.0,0.0,0.0,0.0,0.0,0.0
10375.0,51.0,0.0,0.0,0.0,0.0,0.0
10424.0,49.0,0.0,0.0,0.0,0.0,0.0
10472.0,48.0,0.0,0.0,0.0,0.0,0.0
10519.0,47.0,0.0,0.0,0.0,0.0,0.0
10564.0,45.0,0.0,0.0,0.0,0.0,0.0
10608.0,44.0,0.0,0.0,0.0,0.0,0.0
10651.0,43.0,0.0,0.0,0.0,0.0,0.0
10693.0,42.0,0.0,0.0,0.0,0.0,0.0
10734.0,41.0,0.0,0.0,0.0,0.0,0.0
10774.0,40.0,0.0,0.0,0.0,0.0,0.0
10813.0,39.0,0.0,0.0,0.0,0.0,0.0
10851.0,38.0,0.0,0.0,0.0,0.0,0.0
10889.0,38.0,0.0,0.0,0.0,0.0,0.0
10926.0,37.0,0.0,0.0,0.0,0.0,0.0
10963.0,37.0,0.0,0.0,0.0,0.0,0.0
10999.0,36.0,0.0,0.0,0.0,0.0,0.0
11035.0,36.0,0.0,0.0,0.0,0.0,0.0
11070.0,35.0,0.0,0.0,0.0,0.0,0.0
11105.0,35.0,0.0,0.0,0.0,0.0,0.0
11140.0,35.0,0.0,0.0,0.0,0.0,0.0
11174.0,34.0,0.0,0.0,0.0,0.0,0.0
11208.0,34.0,0.0,0.0,0.0,0.0,0.0
11242.0,34.0,0.0,0.0,0.0,0.0,0.0
11276.0,34.0,0.0,0.0,0.0,0.0,0.0
11310.0,34.0,0.0,0.0,0.0,0.0,0.0
11344.0,34.0,0.0,0.0,0.0,0.0,0.0
11378.0,34.0,0.0,0.0,0.0,0.0,0.0
11412.0,34.0,0.0,0.0,0.0,0.0,0.0
11446.0,34.0,0.0,0.0,0.0,0.0,0.0
11480.0,34.0,0.0,0.0,0.0,0.0,0.0
11514.0,34.0,0.0,0.0,0.0,0.0,0.0
11548.0,34.0,0.0,0.0,0.0,0.0,0.0
11582.0,34.0,0.0,0.0,0.0,0.0,0.0
11616.0,34.0,0.0,0.0,0.0,0.0,0.0
11650.0,34.0,0.0,0.0,0.0,0.0,0.0
11684.0,34.0,0.0,0.0,0.0,0.0,0.0
11718.0,34.0,0.0,0.0,0.0,0.0,0.0
11752.0,34.0,0.0,0.0,0.0,0.0,0.0
11786.0,34.0,0.0,0.0,0.0,0.0,0.0
11820.0,34.0,0.0,0.0,0.0,0.0,0.0
11854.0,34.0,0.0,0.0,0.0,0.0,0.0
11888.0,34.0,0.0,0.0,0.0,0.0,0.0
11921.0,33.0,0.0,0.0,0.0,0.0,0.0
11954.0,33.0,0.0,0.0,0.0,0.0,0.0
11987.0,33.0,0.0,0.0,0.0,0.0,0.0
12020.0,33.0,0.0,0.0,0.0,0.0,0.0
12052.0,32.0,0.0,0.0,0.0,0.0,0.0
12084.0,32.0,0.0,0.0,0.0,0.0,0.0
12115.0,31.0,0.0,0.0,0.0,0.0,0.0
12146.0,31.0,0.0,0.0,0.0,0.0,0.0
12176.0,30.0,0.0,0.0,0.0,0.0,0.0
12206.0,30.0,0.0,0.0,0.0,0.0,0.0
12236.0,30.0,0.0,0.0,0.0,0.0,0.0
12266.0,30.0,0.0,0.0,0.0,0.0,0.0
12295.0,29.0,0.0,0.0,0.0,0.0,0.0
12324.0,29.0,0.0,0.0,0.0,0.0,0.0
12353.0,29.0,0.0,0.0,0.0,0.0,0.0
12382.0,29.0,0.0,0.0,0.0,0.0,0.0
12411.0,29.0,0.0,0.0,0.0,0.0,0.0
12440.0,29.0,0.0,0.0,0.0,0.0,0.0
12469.0,29.0,0.0,0.0,0.0,0.0,0.0
12498.0,29.0,0.0,0.0,0.0,0.0,0.0
12527.0,29.0,0.0,0.0,0.0,0.0,0.0
12556.0,29.0,0.0,0.0,0.0,0.0,0.0
12585.0,29.0,0.0,0.0,0.0,0.0,0.0
12614.0,29.0,0.0,0.0,0.0,0.0,0.0
12643.0,29.0,0.0,0.0,0.0,0.0,0.0
12672.0,29.0,0.0,0.0,0.0,0.0,0.0
12701.0,29.0,0.0,0.0,0.0,0.0,0.0
12730.0,29.0,0.0,0.0,0.0,0.0,0.0
12760.0,30.0,0.0,0.0,0.0,0.0,0.0
12790.0,30.0,0.0,0.0,0.0,0.0,0.0
12820.0,30.0,0.0,0.0,0.0,0.0,0.0
12850.0,30.0,0.0,0.0,0.0,0.0,0.0
12880.0,30.0,0.0,0.0,0.0,0.0,0.0
12910.0,30.0,0.0,0.0,0.0,0.0,0.0
12940.0,30.0,0.0,0.0,0.0,0.0,0.0
12970.0,30.0,0.0,0.0,0.0,0.0,0.0
13000.0,30.0,0.0,0.0,0.0,0.0,0.0
13030.0,30.0,0.0,0.0,0.0,0.0,0.0
13060.0,30.0,0.0,0.0,0.0,0.0,0.0
13090.0,30.0,0.0,0.0,0.0,0.0,0.0
13120.0,30.0,0.0,0.0,0.0,0.0,0.0
13150.0,30.0,0.0,0.0,0.0,0.0,0.0
13179.0,29.0,0.0,0.0,0.0,0.0,0.0
13208.0,29.0,0.0,0.0,0.0,0.0,0.0
13237.0,29.0,0.0,0.0,0.0,0.0,0.0
13265.0,28.0,0.0,0.0,0.0,0.0,0.0
13293.0,28.0,0.0,0.0,0.0,0.0,0.0
