iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,26.83955966706705,0.28464075190200333,0.003660816560615565,0.020806535047504404,0.0,0.5033974467252165,6.547859258662636e-5
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,11.620251129319712,0.8924335747314842,0.7785610965661816,0.06603983269643265,0.0,0.4818811778451675,0.00011658035854363036
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,2.155887077081502,1.8720502234888627,0.15636987469932873,0.0,0.4842513851218371,0.0005900856541492873
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,3.128490740735259,2.6900401364887188,0.22221129294338748,0.0,0.4715527687282588,0.0005786984990248687
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.853349537054896,4.111401507128306,0.3349153314059885,0.0,0.4343818394611816,0.0006709607896043349
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,6.062429398132991,5.02611078046391,0.4025673816378408,0.0,0.38421117858626985,0.0006408619176286644
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,4.1860370370272335,3.403520570226263,0.2697162350638207,0.0,0.3293680748295458,0.0019622180565382757
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,-8.284928298962768e-11,2.2412025463055443,1.8103420683360056,0.1436339992753064,0.0,0.2801490157038842,0.0036957511800107465
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,43.15585065714572,0.6108958333524583,0.4928774856055469,0.03916974560198572,0.0,0.23667220612223616,0.000926047474570077
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,99.59496092879562,0.387006944431576,0.3353567507510533,0.02902115534248839,0.0,0.2180637596327415,0.0003259704540699102
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,124.6419083213766,0.46762731483038067,0.4097408286748454,0.03671455812525082,0.0,0.21022060226718509,0.0001826215227860703
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,61.87591946743609,0.9989421296074568,0.8770186794112824,0.07946085645579082,0.0,0.29499114196293874,0.00015301165721101645
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,7.462551211805533,3.116930008717304,2.7270395490269195,0.23847034266708445,0.0,0.508158785211009,0.0001592643985496123
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,23.19656418471297,5.546519079530128,4.76867242223463,0.47074502942899255,0.0,0.6463697282425898,0.00017701214391590506
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,13.126894303765368,6.567133874809969,5.585846821470028,0.5671275484252547,0.0,0.6215503468676928,0.0001918435280678809
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,6.891583333335035,5.730034443437546,0.565476973516791,0.0,0.5494566857205996,0.00020018884913971914
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,7.127722222213805,5.778345262946374,0.559667647065929,0.0,0.4580564837220322,0.00019817672523232802
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,6.43366666665338,5.083858994422144,0.4855754119180684,0.0,0.3730317475573628,0.0001938512488878657
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,6.0,4.631281555079454,0.4385082363393096,0.0,0.30429207409444814,0.00019249714728563342
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,16.846235774123386,5.448373577421876,4.143294735487615,0.39416372658371124,0.0,0.25731605614565467,0.00018807658193565344
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,8.495712008412966,4.047279534152921,3.0871474114650397,0.29588717178239143,0.0,0.20986076105376128,0.00020673683661897587
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.264756944468303,3.1860223331611763,0.301071179194329,0.0,0.17991015117195275,0.00021667084864717927
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,4.799427083351418,3.4990296807109473,0.32857707385293367,0.0,0.1574357169745042,0.0002166124211658443
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,4.301718749978988,3.0598418641349383,0.28659754977780594,0.0,0.13914780013062966,0.00026894531394362677
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,65.2696921697617,3.4363425925986633,2.5004747375135423,0.24466176521535132,0.0,0.12248852337880578,0.0002527968478460052
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,47.80408433118623,2.6903935185071646,2.1103366033379984,0.21211481033623336,0.0,0.10844914886432377,0.00022972363325179566
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,7.7228412629554555,3.692279907334438,2.8437930208690005,0.2753080710276361,0.0,0.10066786454264331,0.0002361340229701104
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.455992980180099,3.3182531611990953,0.3149852839170073,0.0,0.09462997644040172,0.0002370527744593046
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,5.6417499999668905,4.04828253477983,0.38062678859157195,0.0,0.0906553719713088,0.00023916511979481128
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,24.953224595228676,2.351456937088159,1.636177123202458,0.15314395756719534,0.0,0.0859647616040462,0.00022736887641880074
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,111.7692643252471,1.2648396435458835,1.0007288580170979,0.10382068572661751,0.0,0.08336765367317867,0.00018652375149893997
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,52.034574107754565,2.610113425916353,2.144120236275512,0.21809469945324444,0.0,0.07507559624495741,0.00017163513185929093
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,-1.3926637620897964e-11,4.60467592593028,3.6389411962563116,0.35293911535665146,0.0,0.07476520748153348,0.00017160964878974592
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,11.314387749085597,2.6059028953247036,2.0084916953924505,0.1925979945518108,0.0,0.07829176962827944,0.00017360555319715336
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,13.429120495806046,1.909880799490736,1.484184886894468,0.14448479164385475,0.0,0.08082202130955807,0.000178199373047279
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,3.9773659086827706,3.0733615908914658,2.3569741339300236,0.22698165899178235,0.0,0.08255474009659736,0.00018035682489158037
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,12.907498737255025,4.495854040443675,3.377618353812707,0.3240297538015664,0.0,0.08301469288869612,0.0001885293190026418
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,53.2060594888668,1.8629392821661952,1.3915353512726085,0.1341587457216491,0.0,0.08244809072458281,0.0001821449362495605
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,42.10577536117029,0.5663020833943335,0.45472120685653294,0.04549982322892099,0.0,0.08001934859673554,0.00017371098216434366
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,26.89135564315677,0.3364427254382747,0.27001162406834567,0.026853945798780643,0.0,0.07922665392904094,0.00018340361562281873
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,10.380959338922935,0.03044551011808494,0.02460547671249458,0.002431640469975349,0.0,0.08209068350279836,0.00019576544902772525
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,0.0,2.2440175243039846,1.7848539832398842,0.1736340702485002,0.0,0.0856974068455969,0.00020185141973095351
44.0,2018.0,1.0,1.0,0.0,0.0,0.0,1791.0002777777777,0.0,4.00341947814789,3.114117171993769,0.29920538737538394,0.0,0.09182539550846514,0.00020221818280089825
45.0,2018.0,1.0,2.0,0.0,0.0,0.0,1815.0002777777777,0.0,3.2734629629037784,2.4881019355135834,0.23711024426587635,0.0,0.09599332982607223,0.00021818424134428783
46.0,2018.0,1.0,3.0,0.0,0.0,0.0,1839.0002777777777,52.57146990766586,2.2978402778285556,1.6719452688047056,0.25948539334843623,0.0,0.09586576963742743,0.00021297375235291563
47.0,2018.0,1.0,4.0,0.0,0.0,0.0,1863.0002777777777,78.71315972200591,2.9299803240178335,2.1909897814948494,0.4378280706658977,0.0,0.09496888578823359,0.00020151826382341055
48.0,2018.0,1.0,5.0,0.0,0.0,0.0,1887.0002777777777,330.6133912027565,2.556846064902487,1.9958942552689791,0.42237089284123286,0.0,0.09236853779709975,0.0001549221505592951
49.0,2018.0,1.0,6.0,0.0,0.0,0.0,1911.0002777777777,570.0105671451684,0.7830520825147573,0.6383982587426118,0.1469588393502228,0.0,35.06886985289067,0.2473998749176909
50.0,2018.0,1.0,7.0,0.0,0.0,0.0,1935.0002777777777,233.09141202144303,1.007549599307822e-9,-4.432223477124353e-10,1.3926637620897964e-11,0.0,57.00379060095827,0.22070316353539474
51.0,2018.0,1.0,8.0,0.0,0.0,0.0,1959.0002777777777,1.248849912371952e-9,2.4327916664314273,1.9564721432103909,0.42881029476841803,0.0,6.5510333173185415,0.2207032014363952
52.0,2018.0,1.0,9.0,0.0,0.0,0.0,1983.0002777777777,4.0870418160920963e-10,5.628996527815076,4.498787861764228,0.9640818866992618,0.0,3.541739372318375,0.2207031968656668
53.0,2018.0,1.0,10.0,0.0,0.0,0.0,2007.0002777777777,-2.6261659513693303e-10,5.893151620406883,4.679204354915896,0.9786232404090569,0.0,2.115149982816405,0.22070319672610728
54.0,2018.0,1.0,11.0,0.0,0.0,0.0,2031.0002777777777,16.79436053738982,2.4602164351191504,1.9464671236029574,0.4015840009533882,0.0,1.4888671532034436,0.21900093699333156
55.0,2018.0,1.0,12.0,0.0,0.0,0.0,2055.0002777777777,9.85013808459314,2.5531814031918145,2.0242214013030946,0.42096129678211724,0.0,1.2430998681002734,0.2180175277630793
56.0,2018.0,1.0,13.0,0.0,0.0,0.0,2079.0002777777777,110.24833333000174,1.576278875697085,1.2499972079174881,0.2601791591183087,0.0,1.0504609965675513,0.20755222854234767
57.0,2018.0,1.0,14.0,0.0,0.0,0.0,2103.0002777777777,74.76252572897351,1.3666041666105002,1.0997319534986616,0.24157830398310054,0.0,1.493839161921585,0.20100999977939285
58.0,2018.0,1.0,15.0,0.0,0.0,0.0,2127.0002777777777,6.272058964585767,3.1616980940983126,2.5268504706516524,0.5414747311129133,0.0,2.233512475733704,0.20048023935515658
59.0,2018.0,1.0,16.0,0.0,0.0,0.0,2151.0002777777777,7.315748007385992e-10,2.571385375084958,2.0459125542959384,0.4312213380390091,0.0,1.9013154206978982,0.2004858872422396
60.0,2018.0,1.0,17.0,0.0,0.0,0.0,2175.0002777777777,-2.2964741219766438e-10,1.5439999999666725,1.2257300940167397,0.25618143675280436,0.0,1.5110550721690856,0.20050028326091768
61.0,2018.0,1.0,18.0,0.0,0.0,0.0,2199.0002777777777,19.16993662702623,2.4058958333338865,1.9091210965263485,0.3983483796491605,0.0,1.2636418344351625,0.1989026171918884
62.0,2018.0,1.0,19.0,0.0,0.0,0.0,2223.0002777777777,56.53355111894257,1.098541666646497,0.8723645427308213,0.1825396736756737,0.0,1.1433629085952077,0.19432022920639758
63.0,2018.0,1.0,20.0,0.0,0.0,0.0,2247.0002777777777,40.64135305609284,0.5811458333291171,0.4647583937783679,0.09983017975858388,0.0,1.2418493563665152,0.19115658200829183
64.0,2018.0,1.0,21.0,0.0,0.0,0.0,2271.0002777777777,8.419171483012065,2.421742519976931,1.92910184401714,0.4083782633373758,0.0,1.4751851930731164,0.1905148146482945
65.0,2018.0,1.0,22.0,0.0,0.0,0.0,2295.0002777777777,6.470725841752483,4.387900274122558,3.478027445453648,0.7226629252644798,0.0,1.4043699605779238,0.1900240176186387
66.0,2018.0,1.0,23.0,0.0,0.0,0.0,2319.0002777777777,17.367048896541064,2.27794331552775,1.8014702184445355,0.37104477609835484,0.0,1.1578690489621977,0.18871966126098025
67.0,2018.0,1.0,24.0,0.0,0.0,0.0,2343.0002777777777,26.64754080043963,2.823194997434598,2.238460831144778,0.465646764423699,0.0,1.0116457954056273,0.1867531036601591
68.0,2018.0,1.0,25.0,0.0,0.0,0.0,2367.0002777777777,10.725019130485975,6.134695656893257,4.8412065726777485,0.9889488414758105,0.0,0.9475968108425263,0.18597261545646815
69.0,2018.0,1.0,26.0,0.0,0.0,0.0,2391.0002777777777,1.3244516594568267e-9,6.109249598352051,4.768761056863923,0.9457569089865387,0.0,0.8324378642085151,0.18597204591811348
70.0,2018.0,1.0,27.0,0.0,0.0,0.0,2415.0002777777777,0.0,3.935480324010598,3.0382794240283033,0.5964927218291507,0.0,0.6744653170172228,0.18597830650860586
71.0,2018.0,1.0,28.0,0.0,0.0,0.0,2439.0002777777777,0.0,3.800422453608064,2.9103685735360614,0.568587889203485,0.0,0.5518024558851664,0.18598310040596816
72.0,2018.0,1.0,29.0,0.0,0.0,0.0,2463.0002777777777,13.176199651834395,3.9158734374993855,2.9778685152732294,0.5807491959679609,0.0,0.46215262636025045,0.1850348011530739
73.0,2018.0,1.0,30.0,0.0,0.0,0.0,2487.0002777777777,7.707326294570862,4.4266388794398495,3.355231092075485,0.6533291803307435,0.0,0.39917114769193063,0.1844847957570272
74.0,2018.0,1.0,31.0,0.0,0.0,0.0,2511.0002777777777,0.0,6.882093749991725,5.088009798673085,0.9719656248811717,0.0,0.35083389236891094,0.1844851577698969
75.0,2018.0,2.0,1.0,0.0,0.0,0.0,2535.0002777777777,5.851312927479171,5.387138237226907,3.887770707406503,0.7347326882273002,0.0,0.3047318004117585,0.1840720350972639
76.0,2018.0,2.0,2.0,0.0,0.0,0.0,2559.0002777777777,118.69360100291715,3.038194591200636,2.2627123985801063,0.44715464939977423,0.0,0.26760592535705996,0.17601099786968022
77.0,2018.0,2.0,3.0,0.0,0.0,0.0,2583.0002777777777,79.82576388765438,1.55280092576254,1.1709689247793733,0.3464835180764574,0.0,0.2370585206896294,0.17097325665012397
78.0,2018.0,2.0,4.0,0.0,0.0,0.0,2607.0002777777777,7.990902778979034,0.3474305555494652,0.2440431891979813,0.10016376843267238,0.0,0.2574452523600428,0.17048582491146658
79.0,2018.0,2.0,5.0,0.0,0.0,0.0,2631.0002777777777,0.0,2.546600694504207,1.7533529771665712,0.7058183908751268,0.0,0.31150141461284875,0.17048914709175517
80.0,2018.0,2.0,6.0,0.0,0.0,0.0,2655.0002777777777,6.794613439847126,4.030594907387922,2.734966518697547,1.0938842622358038,0.0,0.34291047203072367,0.1700799087950427
81.0,2018.0,2.0,7.0,0.0,0.0,0.0,2679.0002777777777,14.284294952044547,3.4462719906903203,2.3242166708175773,0.9286218550034988,0.0,0.34092287707818514,0.16922107660464708
82.0,2018.0,2.0,8.0,0.0,0.0,0.0,2703.0002777777777,23.701760461703998,1.4594282408455115,0.9869818437812228,0.39548625322592557,0.0,0.3199115209707202,0.16781046823664392
83.0,2018.0,2.0,9.0,0.0,0.0,0.0,2727.0002777777777,14.310630621898781,0.979270833247142,0.6708665542477092,0.2703913930773041,0.0,0.31013921962707514,0.16697043253676866
84.0,2018.0,2.0,10.0,0.0,0.0,0.0,2751.0002777777777,56.72212838227324,0.9522407407020523,0.658189064949795,0.2674583651048934,0.0,0.31180313753526434,0.1637191716133557
85.0,2018.0,2.0,11.0,0.0,0.0,0.0,2775.0002777777777,79.8488985303527,0.2855925925703673,0.2026319324253052,0.08437006956496873,0.0,0.3212195560968496,0.15935215800159191
86.0,2018.0,2.0,12.0,0.0,0.0,0.0,2799.0002777777777,194.6082291690493,0.6264814821857385,0.4622785060312822,0.20276275070980176,0.0,0.3896617955712145,0.14962338835097833
87.0,2018.0,2.0,13.0,0.0,0.0,0.0,2823.0002777777777,99.72944444309462,3.136019675209184,2.308579764292574,1.0095046328085573,0.0,1.5336218593227215,0.14508394462377477
88.0,2018.0,2.0,14.0,0.0,0.0,0.0,2847.0002777777777,120.97123842458757,3.0418043986434213,2.2285597255202845,0.968512640494481,0.0,2.8288248059238015,0.13993420866708994
89.0,2018.0,2.0,15.0,0.0,0.0,0.0,2871.0002777777777,82.78047453915292,1.0854305552408618,0.8094747762837642,0.359842443921508,0.0,5.963834186253536,0.13661643380703795
90.0,2018.0,2.0,16.0,0.0,0.0,0.0,2895.0002777777777,6.248287037542468,3.563678240528475,2.602850833391301,1.1266210072746077,0.0,5.351360799196414,0.13637255081685942
91.0,2018.0,2.0,17.0,0.0,0.0,0.0,2919.0002777777777,-3.944364834751468e-9,5.2795370370773185,3.81207754131583,1.6250647090878942,0.0,3.2237077502608145,0.13637255384927682
92.0,2018.0,2.0,18.0,0.0,0.0,0.0,2943.0002777777777,1.1374368114047684e-9,4.7434861111644295,3.3904402268828733,1.425482897918954,0.0,2.0754537661331938,0.13637295844923605
93.0,2018.0,2.0,19.0,0.0,0.0,0.0,2967.0002777777777,-2.5693225325085223e-10,6.009951388861509,4.250059977849759,1.760477895861726,0.0,1.5622896542380431,0.13637289226979787
94.0,2018.0,2.0,20.0,0.0,0.0,0.0,2991.0002777777777,22.341620373258593,4.119219907399497,2.8971957798044627,1.190836541682721,0.0,1.1333670187648863,0.13550705617080247
95.0,2018.0,2.0,21.0,0.0,0.0,0.0,3015.0002777777777,34.246712963118284,1.4963541666650144,1.0621728908980685,0.4423182063362461,0.0,0.9036020953398065,0.13420367322529317
96.0,2018.0,2.0,22.0,0.0,0.0,0.0,3039.0002777777777,36.593622683255376,1.300500000028478,0.9302451378225101,0.3915217292172102,0.0,0.8962785178429726,0.1328402459256693
97.0,2018.0,2.0,23.0,0.0,0.0,0.0,3063.0002777777777,48.58804398251323,0.5975370370260293,0.42814550012349173,0.18061978748161067,0.0,0.9796650498557256,0.13106836382205986
98.0,2018.0,2.0,24.0,0.0,0.0,0.0,3087.0002777777777,19.229999997153868,1.2012002315191808,0.8630994421678224,0.36551029718825134,0.0,1.1160425154752147,0.13037996994192336
99.0,2018.0,2.0,25.0,0.0,0.0,0.0,3111.0002777777777,8.930101103032939e-10,3.8487997685324444,2.73462974186657,1.1402902337997887,0.0,1.2412272509370723,0.13038012277955072
100.0,2018.0,2.0,26.0,0.0,0.0,0.0,3135.0002777777777,0.0,4.24399999974338,2.9868227593046868,1.2287742041606577,0.0,1.1054035170542988,0.13037998555883454
101.0,2018.0,2.0,27.0,0.0,0.0,0.0,3159.0002777777777,138.08913194691968,1.7843263891007837,1.2596784874403113,0.5205332397671327,0.0,0.9202178156086802,0.1256370224057204
102.0,2018.0,2.0,28.0,0.0,0.0,0.0,3183.0002777777777,95.36466435141847,0.34735879607211473,0.2567546127832827,0.1128635597996066,0.0,1.347249694727111,0.12255890094370175
103.0,2018.0,3.0,1.0,0.0,0.0,0.0,3207.0002777777777,8.54620370051066,1.3697083336080027,0.9949641708181503,0.42757167398620766,0.0,2.5700679453456132,0.1222908966991114
104.0,2018.0,3.0,2.0,0.0,0.0,0.0,3231.0002777777777,4.207549864077009e-9,2.066033564979591,1.489675114563397,0.6338345576014319,0.0,2.303735796820547,0.12229112509623863
105.0,2018.0,3.0,3.0,0.0,0.0,0.0,3255.0002777777777,-3.056470632145647e-9,1.9642048607296374,1.3640705481925863,0.6892825439663497,0.0,1.843410614124764,0.12229741353875752
106.0,2018.0,3.0,4.0,0.0,0.0,0.0,3279.0002777777777,0.0,3.254645833523284,2.2010409958127752,1.2085238526694084,0.0,1.5202384836305782,0.1223004378703352
107.0,2018.0,3.0,5.0,0.0,0.0,0.0,3303.0002777777777,0.0,3.612958333407562,2.420447539991386,1.3186615801932788,0.0,1.2531496160376605,0.12230028836775869
108.0,2018.0,3.0,6.0,0.0,0.0,0.0,3327.0002777777777,2.6489033189136535e-9,3.8515486112115696,2.557582702339886,1.383037691686937,0.0,1.0311525945533617,0.1223002113763689
109.0,2018.0,3.0,7.0,0.0,0.0,0.0,3351.0002777777777,106.40644675980013,2.2198124996081106,1.485452466177918,0.8085118482714577,0.0,0.8571871392915682,0.11905168886943274
110.0,2018.0,3.0,8.0,0.0,0.0,0.0,3375.0002777777777,670.1534606456426,0.43540277875297306,0.3063693372715477,0.1735915351144115,0.0,20.93427761934572,0.10199211278085363
111.0,2018.0,3.0,9.0,0.0,0.0,0.0,3399.0002777777777,648.9502778036331,-3.90087961932295e-9,-8.932659056881675e-10,1.8848567151508178e-10,0.0,74.39424626588243,0.08956379394115976
112.0,2018.0,3.0,10.0,0.0,0.0,0.0,3423.0002777777777,180.39447914573202,0.2510787060542157,0.17913451534263913,0.10321575616127632,0.0,29.522416099260113,0.08662984047410663
