∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1866.0,1866.0,0.0,0.0,0.0,0.0,0.0
1923.0,57.0,0.0,0.0,0.0,0.0,0.0
1970.0,47.0,0.0,0.0,0.0,0.0,0.0
2026.0,56.0,0.0,0.0,0.0,0.0,0.0
2082.0,56.0,0.0,0.0,0.0,0.0,0.0
2138.0,56.0,0.0,0.0,0.0,0.0,0.0
2192.0,54.0,0.0,0.0,0.0,0.0,0.0
2245.0,53.0,0.0,0.0,0.0,0.0,0.0
2298.0,53.0,0.0,0.0,0.0,0.0,0.0
2351.0,53.0,0.0,0.0,0.0,0.0,0.0
2402.0,51.0,0.0,0.0,0.0,0.0,0.0
2452.0,50.0,0.0,0.0,0.0,0.0,0.0
2510.0,58.0,0.0,0.0,0.0,0.0,0.0
2565.0,55.0,0.0,0.0,0.0,0.0,0.0
2615.0,50.0,0.0,0.0,0.0,0.0,0.0
2661.0,46.0,0.0,0.0,0.0,0.0,0.0
2709.0,48.0,0.0,0.0,0.0,0.0,0.0
2754.0,45.0,0.0,0.0,0.0,0.0,0.0
2804.0,50.0,0.0,0.0,0.0,0.0,0.0
2858.0,54.0,0.0,0.0,0.0,0.0,0.0
2955.0,97.0,0.0,0.0,0.0,0.0,0.0
3014.0,59.0,0.0,0.0,0.0,0.0,0.0
3073.0,59.0,0.0,0.0,0.0,0.0,0.0
3135.0,62.0,0.0,0.0,0.0,0.0,0.0
3207.0,72.0,0.0,0.0,0.0,0.0,0.0
3273.0,66.0,0.0,0.0,0.0,0.0,0.0
3346.0,73.0,0.0,0.0,0.0,0.0,0.0
3437.0,91.0,0.0,0.0,0.0,0.0,0.0
3510.0,73.0,0.0,0.0,0.0,0.0,0.0
3583.0,73.0,0.0,0.0,0.0,0.0,0.0
3662.0,79.0,0.0,0.0,0.0,0.0,0.0
3747.0,85.0,0.0,0.0,0.0,0.0,0.0
3839.0,92.0,0.0,0.0,0.0,0.0,0.0
3939.0,100.0,0.0,0.0,0.0,0.0,0.0
4048.0,109.0,0.0,0.0,0.0,0.0,0.0
4167.0,119.0,0.0,0.0,0.0,0.0,0.0
4297.0,130.0,0.0,0.0,0.0,0.0,0.0
4452.0,155.0,0.0,0.0,0.0,0.0,0.0
4604.0,152.0,0.0,0.0,0.0,0.0,0.0
4765.0,161.0,0.0,0.0,0.0,0.0,0.0
4941.0,176.0,0.0,0.0,0.0,0.0,0.0
5185.0,244.0,0.0,0.0,0.0,0.0,0.0
5368.0,183.0,0.0,0.0,0.0,0.0,0.0
5533.0,165.0,0.0,0.0,0.0,0.0,0.0
5699.0,166.0,0.0,0.0,0.0,0.0,0.0
5855.0,156.0,0.0,0.0,0.0,0.0,0.0
6006.0,151.0,0.0,0.0,0.0,0.0,0.0
6154.0,148.0,0.0,0.0,0.0,0.0,0.0
6290.0,136.0,0.0,0.0,0.0,0.0,0.0
6386.0,96.0,0.0,0.0,0.0,0.0,0.0
6477.0,91.0,0.0,0.0,0.0,0.0,0.0
6569.0,92.0,0.0,0.0,0.0,0.0,0.0
6656.0,87.0,0.0,0.0,0.0,0.0,0.0
6741.0,85.0,0.0,0.0,0.0,0.0,0.0
6825.0,84.0,0.0,0.0,0.0,0.0,0.0
6909.0,84.0,0.0,0.0,0.0,0.0,0.0
6993.0,84.0,0.0,0.0,0.0,0.0,0.0
7078.0,85.0,0.0,0.0,0.0,0.0,0.0
7166.0,88.0,0.0,0.0,0.0,0.0,0.0
7276.0,110.0,0.0,0.0,0.0,0.0,0.0
7361.0,85.0,0.0,0.0,0.0,0.0,0.0
7452.0,91.0,0.0,0.0,0.0,0.0,0.0
