∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
906.0,906.0,0.0,0.0,0.0,0.0,0.0
1648.0,742.0,0.0,0.0,0.0,0.0,0.0
2395.0,747.0,0.0,0.0,0.0,0.0,0.0
3105.0,710.0,0.0,0.0,0.0,0.0,0.0
3966.0,861.0,0.0,0.0,0.0,0.0,0.0
4413.0,447.0,0.0,0.0,0.0,0.0,0.0
4838.0,425.0,0.0,0.0,0.0,0.0,0.0
5296.0,458.0,0.0,0.0,0.0,0.0,0.0
6121.0,825.0,0.0,0.0,0.0,0.0,0.0
7034.0,913.0,0.0,0.0,0.0,0.0,0.0
7802.0,768.0,0.0,0.0,0.0,0.0,0.0
8530.0,728.0,0.0,0.0,0.0,0.0,0.0
9250.0,720.0,0.0,0.0,0.0,0.0,0.0
10009.0,759.0,0.0,0.0,0.0,0.0,0.0
10860.0,851.0,0.0,0.0,0.0,0.0,0.0
11885.0,1025.0,0.0,0.0,0.0,0.0,0.0
13090.0,1205.0,0.0,0.0,0.0,0.0,0.0
14401.0,1311.0,0.0,0.0,0.0,0.0,0.0
15787.0,1386.0,0.0,0.0,0.0,0.0,0.0
17254.0,1467.0,0.0,0.0,0.0,0.0,0.0
18825.0,1571.0,0.0,0.0,0.0,0.0,0.0
20534.0,1709.0,0.0,0.0,0.0,0.0,0.0
22419.0,1885.0,0.0,0.0,0.0,0.0,0.0
24519.0,2100.0,0.0,0.0,0.0,0.0,0.0
26841.0,2322.0,0.0,0.0,0.0,0.0,0.0
29487.0,2646.0,0.0,0.0,0.0,0.0,0.0
32460.0,2973.0,0.0,0.0,0.0,0.0,0.0
35514.0,3054.0,0.0,0.0,0.0,0.0,0.0
38621.0,3107.0,0.0,0.0,0.0,0.0,0.0
41737.0,3116.0,0.0,0.0,0.0,0.0,0.0
44852.0,3115.0,0.0,0.0,0.0,0.0,0.0
47969.0,3117.0,0.0,0.0,0.0,0.0,0.0
51086.0,3117.0,0.0,0.0,0.0,0.0,0.0
54200.0,3114.0,0.0,0.0,0.0,0.0,0.0
57309.0,3109.0,0.0,0.0,0.0,0.0,0.0
60403.0,3094.0,0.0,0.0,0.0,0.0,0.0
63481.0,3078.0,0.0,0.0,0.0,0.0,0.0
66550.0,3069.0,0.0,0.0,0.0,0.0,0.0
69610.0,3060.0,0.0,0.0,0.0,0.0,0.0
72664.0,3054.0,0.0,0.0,0.0,0.0,0.0
75717.0,3053.0,0.0,0.0,0.0,0.0,0.0
78770.0,3053.0,0.0,0.0,0.0,0.0,0.0
81826.0,3056.0,0.0,0.0,0.0,0.0,0.0
84884.0,3058.0,0.0,0.0,0.0,0.0,0.0
87945.0,3061.0,0.0,0.0,0.0,0.0,0.0
91033.0,3088.0,0.0,0.0,0.0,0.0,0.0
94140.0,3107.0,0.0,0.0,0.0,0.0,0.0
97246.0,3106.0,0.0,0.0,0.0,0.0,0.0
100351.0,3105.0,0.0,0.0,0.0,0.0,0.0
103456.0,3105.0,0.0,0.0,0.0,0.0,0.0
106562.0,3106.0,0.0,0.0,0.0,0.0,0.0
109669.0,3107.0,0.0,0.0,0.0,0.0,0.0
112778.0,3109.0,0.0,0.0,0.0,0.0,0.0
115888.0,3110.0,0.0,0.0,0.0,0.0,0.0
119001.0,3113.0,0.0,0.0,0.0,0.0,0.0
122116.0,3115.0,0.0,0.0,0.0,0.0,0.0
125234.0,3118.0,0.0,0.0,0.0,0.0,0.0
128355.0,3121.0,0.0,0.0,0.0,0.0,0.0
131480.0,3125.0,0.0,0.0,0.0,0.0,0.0
134609.0,3129.0,0.0,0.0,0.0,0.0,0.0
137742.0,3133.0,0.0,0.0,0.0,0.0,0.0
140879.0,3137.0,0.0,0.0,0.0,0.0,0.0
144021.0,3142.0,0.0,0.0,0.0,0.0,0.0
147168.0,3147.0,0.0,0.0,0.0,0.0,0.0
150320.0,3152.0,0.0,0.0,0.0,0.0,0.0
153477.0,3157.0,0.0,0.0,0.0,0.0,0.0
156639.0,3162.0,0.0,0.0,0.0,0.0,0.0
159807.0,3168.0,0.0,0.0,0.0,0.0,0.0
162981.0,3174.0,0.0,0.0,0.0,0.0,0.0
166161.0,3180.0,0.0,0.0,0.0,0.0,0.0
169347.0,3186.0,0.0,0.0,0.0,0.0,0.0
172540.0,3193.0,0.0,0.0,0.0,0.0,0.0
175739.0,3199.0,0.0,0.0,0.0,0.0,0.0
178961.0,3222.0,0.0,0.0,0.0,0.0,0.0
182186.0,3225.0,0.0,0.0,0.0,0.0,0.0
185413.0,3227.0,0.0,0.0,0.0,0.0,0.0
188642.0,3229.0,0.0,0.0,0.0,0.0,0.0
191874.0,3232.0,0.0,0.0,0.0,0.0,0.0
195109.0,3235.0,0.0,0.0,0.0,0.0,0.0
198347.0,3238.0,0.0,0.0,0.0,0.0,0.0
201588.0,3241.0,0.0,0.0,0.0,0.0,0.0
204833.0,3245.0,0.0,0.0,0.0,0.0,0.0
208081.0,3248.0,0.0,0.0,0.0,0.0,0.0
211333.0,3252.0,0.0,0.0,0.0,0.0,0.0
214589.0,3256.0,0.0,0.0,0.0,0.0,0.0
217850.0,3261.0,0.0,0.0,0.0,0.0,0.0
221115.0,3265.0,0.0,0.0,0.0,0.0,0.0
224385.0,3270.0,0.0,0.0,0.0,0.0,0.0
227660.0,3275.0,0.0,0.0,0.0,0.0,0.0
230940.0,3280.0,0.0,0.0,0.0,0.0,0.0
234225.0,3285.0,0.0,0.0,0.0,0.0,0.0
237515.0,3290.0,0.0,0.0,0.0,0.0,0.0
240811.0,3296.0,0.0,0.0,0.0,0.0,0.0
244112.0,3301.0,0.0,0.0,0.0,0.0,0.0
247419.0,3307.0,0.0,0.0,0.0,0.0,0.0
250732.0,3313.0,0.0,0.0,0.0,0.0,0.0
254051.0,3319.0,0.0,0.0,0.0,0.0,0.0
257376.0,3325.0,0.0,0.0,0.0,0.0,0.0
260708.0,3332.0,0.0,0.0,0.0,0.0,0.0
264040.0,3332.0,0.0,0.0,0.0,0.0,0.0
267373.0,3333.0,0.0,0.0,0.0,0.0,0.0
270717.0,3344.0,0.0,0.0,0.0,0.0,0.0
274072.0,3355.0,0.0,0.0,0.0,0.0,0.0
277436.0,3364.0,0.0,0.0,0.0,0.0,0.0
280809.0,3373.0,0.0,0.0,0.0,0.0,0.0
284192.0,3383.0,0.0,0.0,0.0,0.0,0.0
287584.0,3392.0,0.0,0.0,0.0,0.0,0.0
290985.0,3401.0,0.0,0.0,0.0,0.0,0.0
294396.0,3411.0,0.0,0.0,0.0,0.0,0.0
297817.0,3421.0,0.0,0.0,0.0,0.0,0.0
301247.0,3430.0,0.0,0.0,0.0,0.0,0.0
304686.0,3439.0,0.0,0.0,0.0,0.0,0.0
308134.0,3448.0,0.0,0.0,0.0,0.0,0.0
311590.0,3456.0,0.0,0.0,0.0,0.0,0.0
315055.0,3465.0,0.0,0.0,0.0,0.0,0.0
318529.0,3474.0,0.0,0.0,0.0,0.0,0.0
322012.0,3483.0,0.0,0.0,0.0,0.0,0.0
325503.0,3491.0,0.0,0.0,0.0,0.0,0.0
329002.0,3499.0,0.0,0.0,0.0,0.0,0.0
332509.0,3507.0,0.0,0.0,0.0,0.0,0.0
336024.0,3515.0,0.0,0.0,0.0,0.0,0.0
339547.0,3523.0,0.0,0.0,0.0,0.0,0.0
343077.0,3530.0,0.0,0.0,0.0,0.0,0.0
346614.0,3537.0,0.010049854221423349,0.010049854221423349,0.0,0.010049854221423349,0.0
350140.0,3526.0,0.04499638872313838,0.03494653450171503,0.0,0.03494653450171503,0.0
353437.0,3297.0,0.07767328159102105,0.03267689286788267,0.0,0.03267689286788267,0.0
356718.0,3281.0,0.11019159687750069,0.03251831528647964,0.0,0.03251831528647964,0.0
360003.0,3285.0,0.14274955655933086,0.03255795968183017,0.0,0.03255795968183017,0.0
363295.0,3292.0,0.17537689393302536,0.0326273373736945,0.0,0.0326273373736945,0.0
366602.0,3307.0,0.2081528977892848,0.03277600385625945,0.0,0.03277600385625945,0.0
369928.0,3326.0,0.24111721252346063,0.032964314734175826,0.0,0.032964314734175826,0.0
373273.0,3345.0,0.27426983813555283,0.0331526256120922,0.0,0.0331526256120922,0.0
376638.0,3365.0,0.30762068572439905,0.03335084758884621,0.0,0.03335084758884621,0.0
380025.0,3387.0,0.3411895774876741,0.033568891763275044,0.0,0.033568891763275044,0.0
383432.0,3407.0,0.3749566912277036,0.0337671137400295,0.0,0.0337671137400295,0.0
386860.0,3428.0,0.4089319380433243,0.0339752468156207,0.0,0.0339752468156207,0.0
390308.0,3448.0,0.44310540683569943,0.03417346879237515,0.0,0.03417346879237515,0.0
393776.0,3468.0,0.4774770976048277,0.03437169076912827,0.0,0.03437169076912827,0.0
397265.0,3489.0,0.5120569214495481,0.03457982384472036,0.0,0.03457982384472036,0.0
400776.0,3511.0,0.5468547894686977,0.034797868019149636,0.0,0.034797868019149636,0.0
404306.0,3530.0,0.5818409683657633,0.03498617889706557,0.0,0.03498617889706557,0.0
407855.0,3549.0,0.6170154581407461,0.03517448977498283,0.0,0.03517448977498283,0.0
411423.0,3568.0,0.652378258793644,0.035362800652897874,0.0,0.035362800652897874,0.0
415007.0,3584.0,0.6878996370279458,0.03552137823430179,0.0,0.03552137823430179,0.0
418604.0,3597.0,0.7235498595471368,0.03565022251919103,0.0,0.03565022251919103,0.0
422204.0,3600.0,0.7592298153628416,0.03567995581570482,0.0,0.03567995581570482,0.0
425804.0,3600.0,0.7949097711785456,0.035679955815703934,0.0,0.035679955815703934,0.0
429404.0,3600.0,0.8305897269942504,0.03567995581570482,0.0,0.03567995581570482,0.0
433004.0,3600.0,0.9196418510599322,0.08905212406568186,0.0,0.08905212406568186,0.0
436294.0,3290.0,1.1271442203618705,0.20750236930193822,0.0,0.20750236930193822,0.0
439387.0,3093.0,1.3222216757572767,0.19507745539540622,0.0,0.19507745539540622,0.0
442418.0,3031.0,1.5133887521567218,0.19116707639944508,0.0,0.19116707639944508,0.0
445410.0,2992.0,1.70209607402645,0.18870732186972816,0.0,0.18870732186972816,0.0
448362.0,2952.0,1.8882805707374892,0.18618449671103932,0.0,0.18618449671103932,0.0
451297.0,2935.0,2.0733928667560875,0.18511229601859824,0.0,0.18511229601859827,0.0
454204.0,2907.0,2.2567391851636067,0.18334631840751925,0.0,0.18334631840751922,0.0
457089.0,2885.0,2.4386979497338466,0.18195876457023985,0.0,0.18195876457023982,0.0
459962.0,2873.0,2.61989986675648,0.18120191702263355,0.0,0.18120191702263355,0.0
462828.0,2866.0,2.8006602893763457,0.18076042261986558,0.0,0.18076042261986558,0.0
465690.0,2862.0,2.9811684294803413,0.18050814010399563,0.0,0.18050814010399563,0.0
468550.0,2860.0,3.1615504283264038,0.18038199884606243,0.0,0.1803819988460624,0.0
471402.0,2852.0,3.34142786214073,0.17987743381432608,0.0,0.17987743381432605,0.0
474235.0,2833.0,3.520106954004678,0.17867909186394826,0.0,0.1786790918639483,0.0
477038.0,2803.0,3.6968939269996106,0.1767869729949325,0.0,0.1767869729949325,0.0
479804.0,2766.0,3.8713472867227594,0.1744533597231488,0.0,0.1744533597231488,0.0
482527.0,2723.0,4.043088609400321,0.17174132267756193,0.0,0.17174132267756193,0.0
485197.0,2670.0,4.211487188742623,0.16839857934230196,0.0,0.16839857934230198,0.0
487813.0,2616.0,4.3764799541207005,0.16499276537807717,0.0,0.16499276537807717,0.0
490389.0,2576.0,4.538949894340089,0.16246994021938832,0.0,0.16246994021938832,0.0
492921.0,2532.0,4.698644726884925,0.15969483254483663,0.0,0.15969483254483663,0.0
495419.0,2498.0,4.856195158044876,0.15755043115995093,0.0,0.15755043115995093,0.0
497890.0,2471.0,5.012042682222717,0.1558475241778403,0.0,0.1558475241778403,0.0
500333.0,2443.0,5.166124228789474,0.15408154656675777,0.0,0.1540815465667578,0.0
502748.0,2415.0,5.318439797745153,0.15231556895567877,0.0,0.15231556895567877,0.0
505141.0,2393.0,5.469367812863553,0.15092801511839937,0.0,0.15092801511839934,0.0
507514.0,2373.0,5.619034415402609,0.14966660253905673,0.0,0.14966660253905673,0.0
509861.0,2347.0,5.767061181588524,0.14802676618591448,0.0,0.14802676618591448,0.0
512187.0,2326.0,5.913763464566124,0.1467022829775999,0.0,0.1467022829775999,0.0
514496.0,2309.0,6.0593935468512825,0.14563008228515884,0.0,0.14563008228515884,0.0
516781.0,2285.0,6.203509934041229,0.14411638718994624,0.0,0.14411638718994624,0.0
519045.0,2264.0,6.305621282339049,0.10211134829782065,0.0,0.10211134829782066,0.0
521614.0,2569.0,6.305621282339049,0.0,0.0,0.0,0.0
524411.0,2797.0,6.305621282339049,0.0,0.0,0.0,0.0
527373.0,2962.0,6.305621282339049,0.0,0.0,0.0,0.0
530399.0,3026.0,6.305621282339049,0.0,0.0,0.0,0.0
533514.0,3115.0,6.305621282339049,0.0,0.0,0.0,0.0
536714.0,3200.0,6.305621282339049,0.0,0.0,0.0,0.0
539925.0,3211.0,6.305621282339049,0.0,0.0,0.0,0.0
543150.0,3225.0,6.305621282339049,0.0,0.0,0.0,0.0
546401.0,3251.0,6.305621282339049,0.0,0.0,0.0,0.0
549688.0,3287.0,6.305621282339049,0.0,0.0,0.0,0.0
553019.0,3331.0,6.305621282339049,0.0,0.0,0.0,0.0
556404.0,3385.0,6.305621282339049,0.0,0.0,0.0,0.0
559837.0,3433.0,6.305621282339049,0.0,0.0,0.0,0.0
563296.0,3459.0,6.305621282339049,0.0,0.0,0.0,0.0
566780.0,3484.0,6.305621282339049,0.0,0.0,0.0,0.0
570292.0,3512.0,6.305621282339049,0.0,0.0,0.0,0.0
573835.0,3543.0,6.305621282339049,0.0,0.0,0.0,0.0
577407.0,3572.0,6.305621282339049,0.0,0.0,0.0,0.0
581006.0,3599.0,6.305621282339049,0.0,0.0,0.0,0.0
584606.0,3600.0,6.305621282339049,0.0,0.0,0.0,0.0
588206.0,3600.0,6.305621282339049,0.0,0.0,0.0,0.0
591806.0,3600.0,6.305621282339049,0.0,0.0,0.0,0.0
595406.0,3600.0,6.305621282339049,0.0,0.0,0.0,0.0
599006.0,3600.0,6.305621282339049,0.0,0.0,0.0,0.0
602606.0,3600.0,6.305621282339049,0.0,0.0,0.0,0.0
606206.0,3600.0,6.322089924571371,0.01646864223232125,0.0,0.01646864223232125,0.0
609806.0,3600.0,6.364257145080838,0.04216722050946764,0.0,0.04216722050946764,0.0
613363.0,3557.0,6.405920701567556,0.04166355648671782,0.0,0.04166355648671782,0.0
