iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,4.320626419747242,3.780762873456922,0.14071296075501039,0.5163690840909432,0.0,0.32092233375390933,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,8.284928298962768e-11,4.883055555551522,4.524720667215192,0.6194002273267198,0.0,0.30213268360357404,3.5118376041665375e6
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,-8.284928298962768e-11,4.958472222229773,4.480386443674718,0.5813042973451239,0.0,0.28440944030776905,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.664152777774461,4.125165951148176,0.5147211243269378,0.0,0.2676249559341315,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,8.284928298962768e-11,4.892458333331575,4.232041121276495,0.5068676347067829,0.0,0.2517460386235335,5.317943958333333e6
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,4.743388888893691,4.008946307881132,0.4604285821162044,0.0,0.23677970813814042,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,-1.6555645743210334e-10,3.7018611111075046,3.0738100925879337,0.3438109771583626,0.0,0.22271918474607588,-2.5766360790625305e9
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.6490694444460843,2.99779674536434,0.33226260316790857,0.0,0.20957734914995996,4.1574043043746753e9
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.220763888881436,3.411353979455697,0.3679447649286125,0.0,0.19737852074209528,-4.2424632722707796e9
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7584722222317737,2.985140246880704,0.31311901706693135,0.0,0.1860958227408709,-4.2643560595210614e9
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,12.412372568870182,3.9095219790933697,3.1257958816301397,0.3578614205084598,0.0,0.17862098178087038,0.0011745384196724384
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,13.877915625479602,3.3907290625258213,2.804456797436657,0.3690164835455896,0.0,0.16591189307821352,0.0005607832146434302
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,3.8526434509309126,4.475946058076119,3.6749515097984897,0.46577881498606644,0.0,0.15549509308580411,0.0004908267222067927
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,4.910215277774171,3.753493119869603,0.46829702879654533,0.0,0.14879615473372354,0.0004907058655815367
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,5.1547488425945005,3.733778022249112,0.45404754101946665,0.0,0.1411619541655007,0.0004906778611955286
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.529928240765713,3.8707866111746227,0.43583498427489076,0.0,0.13405842485468966,0.0004906657191871001
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.3401435184691195,3.636060220042964,0.3824549596836846,0.0,0.12743031463455878,0.0005038361669193578
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.784677083359668,3.8590149512849052,0.38037108242962603,0.0,0.12122698951862532,0.0005081705960936724
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.580287037040648,3.6474226484996706,0.3348886433417313,0.0,0.11540914922446532,0.0005103639978087174
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,4.780287037037937,3.0613007255877704,0.26914773259098723,0.0,0.1099408675083815,0.000511615762283476
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,5.214605324093185,3.2824305354887002,0.27786079544098286,0.0,0.10479414198138315,0.0005228981141247939
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.4956099536807415,2.781734198789721,0.2246363633375026,0.0,0.09995281522941823,0.0007589822368589162
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,4.419712962956822,2.707017006370606,0.214152913252331,0.0,0.09539893212107131,0.0009129171393665769
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,5.674461805555438,3.410375656088874,0.2568694118234731,0.0,0.0911144563700077,0.0009247368240173693
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.0,6.135035879634586,3.5842448466430596,0.2519313132549357,0.0,0.08708557831436892,0.0009359892828855709
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,5.775179398141148,3.286863612202282,0.21850357518148655,0.0,0.08328906266264724,0.0009374393703509846
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,5.275179398175169,2.9395407540462486,0.1880792673375602,0.0,0.0797007557604168,0.0009373717105561572
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.905107638890854,2.687760576188893,0.16737138403764718,0.0,0.07630431403611482,0.0009373268850450028
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.929928240679715,2.656234554025275,0.16147946751272002,0.0,0.07308968239782843,0.0009372846897000816
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,0.0,3.895609953806229,2.064013143703022,0.1234220719091681,0.0,0.0700492082656794,0.001106003241326245
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,9.665626318746376,4.344922585522397,2.3359022538537033,0.19974328087485205,0.0,0.06620596700854975,0.0009024886271261114
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,5.558052293300477,6.1714487478445506,3.345940943055524,0.44470426731924206,0.0,0.06590912635101631,0.0007929169690112297
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,1.1510792319313623e-10,6.435662037015646,3.3348638929911942,0.3541709017061123,0.0,0.0615624648680857,0.0007929456539150491
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,-1.1510792319313623e-10,4.816888888908579,2.400563292850407,0.22232779178157358,0.0,0.05919650313446212,0.0007941548603270876
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,0.0,4.000000000000455,1.95811114927848,0.16993060357130219,0.0,0.05716530437532441,0.0007946616891464314
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,0.0,3.740962962961987,1.802585983412996,0.14909894549423086,0.0,0.05497443633921861,0.0009040483400816098
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,0.0,4.312351851876315,2.0461466322827135,0.16147510717085822,0.0,0.052894550250460526,0.0009657231626989766
