iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,10.40406970894395,2.7884741005281057,0.07365400322851912,0.24188155735930206,0.0,0.5168627982238263,0.00011757293528864843
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,5.795454941588076,3.5031068367507032,2.9174562975020066,0.3021174632092567,0.0,0.4711002011730585,8.35081581358953e-5
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,-7.105427357601002e-12,4.272135416650116,3.5499377884544288,0.3604599388608536,0.0,0.44648513298167813,8.350397314218549e-5
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,4.661160346586257e-11,4.304430555558213,3.570405440047921,0.3568167840077754,0.0,0.3835073522633934,8.350101903703311e-5
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,-7.901235221652314e-11,5.135138888908372,4.250594562469843,0.4168182086554424,0.0,0.34067113350067757,8.347473333464405e-5
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,2.1316282072803006e-12,5.669918981463212,4.68220610016499,0.44917525337048936,0.0,0.31162116198794365,8.345854648065981e-5
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,3.140598892059643e-11,3.884601851859202,3.2025178748659613,0.30236365394691234,0.0,0.2638411629014854,0.0016350772169744787
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,-1.4068746168049984e-11,2.8400590277797733,2.3398392330246267,0.21951661279776324,0.0,0.23803639038288793,0.004099872338097443
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,2.246045138887311,1.848970060121836,0.1722402986374476,0.0,0.218095110467047,0.005726337173360942
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,87.97968749975453,1.9231423611157652,1.5921962784928496,0.1566018789081891,0.0,0.20236782140089815,0.00041601416785991274
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,138.7201388892504,2.015798611086339,1.686095502073428,0.1811467136310121,0.0,0.20258157673855237,0.00016832248109211433
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,86.60732178890584,2.210137731508155,1.8494794589078367,0.199441561789385,0.0,0.2665211418161988,0.00012303800449975691
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,37.3825117073045,3.2443148148135634,2.707511261987605,0.2853805873386648,0.0,0.36150703650685045,0.00013447320342974952
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,15.939091709207815,4.43860115652592,3.6542186743997576,0.4290220383653107,0.0,0.41163351720418007,0.00013187407336917188
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,3.1389952293194767,5.260219822126942,4.29678093567216,0.5164878542136027,0.0,0.39827913683411964,0.0001307707368914398
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,2.7711166694643907e-11,6.024630787033516,4.9046742189473775,0.5750319506355979,0.0,0.3684428773597688,0.0001307699090337351
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,-3.126388037344441e-11,5.891526620373753,4.782163619401018,0.5481775740940673,0.0,0.30855935220721165,0.00013076939106500095
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,-3.424815986363683e-11,6.071807870399908,4.9146302164578515,0.5511334347992616,0.0,0.28053399422283576,0.00013076907342566679
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,20.40071148853457,5.078004019216166,4.1074824192017445,0.45897187399151207,0.0,0.23623628001475083,0.00012572704891768486
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,11.034816192518377,3.4117235173834217,2.763813369343886,0.31197843499358413,0.0,0.21314031613397333,0.0001285386819070819
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,3.282197916659726,2.646592621386226,0.2910187528956776,0.0,0.1993117989925537,0.00013597774418190546
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,3.341245370390027,2.6826761694263013,0.29107317595801696,0.0,0.18761908133610916,0.00016589927374910038
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,8.413446297680736,3.05190944456686,2.445223639697801,0.26478284946859887,0.0,0.1733879692095428,0.00018468404091350182
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,4.8225653576167815,4.279895424640728,3.419904629892983,0.3682570035480275,0.0,0.16417640545904533,0.00018811862190239764
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,7.617018127348274e-11,4.8724259259418545,3.855515359173239,0.40432420470231456,0.0,0.15423297640900557,0.00018860996331012986
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,-7.617018127348274e-11,4.799222222218589,3.7670136649472283,0.3883019739663709,0.0,0.14323110156206553,0.00018859287606289203
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,4.545842592601218,3.541654583390624,0.3598216652493438,0.0,0.13179709976895992,0.00018858096034026522
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,3.311129148642067e-10,4.399999999984999,3.4041838277297813,0.34152470804927937,0.0,0.12098697275374093,0.00018857089947522826
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,-3.311129148642067e-10,4.9083148148355065,3.7667609727553213,0.37205350672586945,0.0,0.11127489908365362,0.00018853738144398413
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,49.700304597966465,2.646939814809599,2.0302160913902583,0.2032715746278022,0.0,0.1015562101896137,0.0001670230919856156
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,37.604520196597946,2.4086739692019705,1.9069815078306789,0.2092460570396213,0.0,0.09625614728257403,0.00015465187567792222
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,4.52000606367946,5.000841523985116,3.892933225421146,0.40242883695936627,0.0,0.0926111105854801,0.00015405630942951247
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,0.0,5.909277777861547,4.516415695446312,0.4442497199713138,0.0,0.09218303785266357,0.000157773522904483
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,7.058727482984182,4.2625810815628995,3.2253676008012775,0.31207782222053027,0.0,0.09131017705215072,0.00015996242775607084
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,12.068994499023091,2.4689966721919916,1.8748816077230828,0.18561411147946671,0.0,0.08284250226880374,0.00016714815358605397
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,4.862549142898729,2.422065099456205,1.8411764068621324,0.18293182072150316,0.0,0.08024010319185493,0.00016917732839327737
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,9.365339965679311,3.718567561317599,2.8085419576047883,0.2755075851666362,0.0,0.07651190205282887,0.00017482275013712217
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,26.540415115751017,2.4924790116501185,1.8855916873819893,0.18778619558143106,0.0,0.07523383802046624,0.00017244312775641698
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,11.24753644070168,3.3175788754509483,2.5274060622127195,0.2551980088541477,0.0,0.06950274063591166,0.0001703661750881873
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,0.0,4.246203703698285,3.180060076335039,0.3057918280983536,0.0,0.06861683040452249,0.00017208029990713934
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,0.0,4.417245370369187,3.26261935245914,0.304379075932971,0.0,0.06674882351374833,0.0001725513516816729
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,0.0,4.853796296335645,3.538154833829026,0.3216559049590657,0.0,0.06436772861094653,0.0001726594012460645
44.0,2018.0,1.0,1.0,0.0,0.0,0.0,1791.0002777777777,0.0,4.428958333327756,3.188768719937997,0.2837289882372609,0.0,0.06139162451167124,0.0001726328535367414
45.0,2018.0,1.0,2.0,0.0,0.0,0.0,1815.0002777777777,11.160227360076362,1.8518468101385963,1.326728870819835,0.11799475186980857,0.0,0.058147336108334,0.00016935405304109683
46.0,2018.0,1.0,3.0,0.0,0.0,0.0,1839.0002777777777,45.72788831049138,1.3824138310542367,0.9556597022256028,0.16949668899104253,0.0,0.055946941011711715,0.0001565796384396512
47.0,2018.0,1.0,4.0,0.0,0.0,0.0,1863.0002777777777,29.562494955336547,2.4195208333031815,1.6832932833723362,0.32785128449123846,0.0,0.05278921943475723,0.00014996650105725414
48.0,2018.0,1.0,5.0,0.0,0.0,0.0,1887.0002777777777,338.12173881505714,1.4007662035669455,1.0009678129258361,0.20961409303487244,0.0,0.048542588912354745,9.982877241767208e-5
49.0,2018.0,1.0,6.0,0.0,0.0,0.0,1911.0002777777777,469.8728842891978,0.2997962965567922,0.23798994647123095,0.06109569717766661,0.0,0.0524022202425698,6.758316960679299e-5
50.0,2018.0,1.0,7.0,0.0,0.0,0.0,1935.0002777777777,166.13730127014435,1.3128645831763492,1.0312831728020058,0.25213927679938664,0.0,0.16892781874616958,6.040392686880798e-5
51.0,2018.0,1.0,8.0,0.0,0.0,0.0,1959.0002777777777,4.211863587767084,2.875291553280988,2.2408617657597745,0.5344665352811475,0.0,0.728199904440487,6.016625791090375e-5
52.0,2018.0,1.0,9.0,0.0,0.0,0.0,1983.0002777777777,7.170797289290931e-10,4.9072638218906945,3.804414432655875,0.892107480384432,0.0,0.7863592882598169,6.016489054993473e-5
53.0,2018.0,1.0,10.0,0.0,0.0,0.0,2007.0002777777777,-1.91562321560923e-10,5.84789583335953,4.510658050093667,1.0401155421616366,0.0,0.6866988070479181,6.016462738608657e-5
54.0,2018.0,1.0,11.0,0.0,0.0,0.0,2031.0002777777777,-5.775291356258094e-10,3.956027777781685,3.0403331246832863,0.692554888398945,0.0,0.5624901786403029,6.016262046515346e-5
55.0,2018.0,1.0,12.0,0.0,0.0,0.0,2055.0002777777777,6.926370588189457e-10,4.099858796282831,3.141860932148745,0.7087235037909352,0.0,0.5039652176475045,6.0162011593258e-5
56.0,2018.0,1.0,13.0,0.0,0.0,0.0,2079.0002777777777,1.2789769243681803e-10,4.345903935229273,3.317712293112322,0.7385548026078368,0.0,0.4446766490667926,6.016200306160759e-5
57.0,2018.0,1.0,14.0,0.0,0.0,0.0,2103.0002777777777,-7.807443580531981e-10,3.838769675818014,2.921387254379084,0.6431980187148021,0.0,0.3822822179564298,6.015392126078194e-5
58.0,2018.0,1.0,15.0,0.0,0.0,0.0,2127.0002777777777,7.796074896759819e-10,3.6315578704030145,2.7557499897934576,0.6005344527755412,0.0,0.345835005493484,6.71517558621514e-5
59.0,2018.0,1.0,16.0,0.0,0.0,0.0,2151.0002777777777,-2.3362645151792094e-10,2.8245833333464816,2.1385406106855953,0.46223911610194435,0.0,0.3159975476653898,7.581794769161317e-5
60.0,2018.0,1.0,17.0,0.0,0.0,0.0,2175.0002777777777,0.0,2.273638888895789,1.718954546626179,0.3696212759226718,0.0,0.2923430216435321,8.155609465491172e-5
61.0,2018.0,1.0,18.0,0.0,0.0,0.0,2199.0002777777777,13.911001191516164,2.3928153970582002,1.8100168891917008,0.3899561038966901,0.0,0.27536417218883,8.332212760105366e-5
62.0,2018.0,1.0,19.0,0.0,0.0,0.0,2223.0002777777777,60.527595572496864,0.8943498349596553,0.678096102939719,0.14732756536505676,0.0,0.2574778290281614,8.039837335244252e-5
63.0,2018.0,1.0,20.0,0.0,0.0,0.0,2247.0002777777777,42.09468425090279,0.8661250000617997,0.6639871740590024,0.14996918958534167,0.0,0.2819517059627259,7.8808709142427e-5
64.0,2018.0,1.0,21.0,0.0,0.0,0.0,2271.0002777777777,5.391048833388368,2.5714138886397677,1.9589046841632012,0.4328513035514767,0.0,0.30803016130184346,7.948664998260336e-5
65.0,2018.0,1.0,22.0,0.0,0.0,0.0,2295.0002777777777,13.754153654992933,3.6935157573506103,2.8062664796833587,0.6142808825699433,0.0,0.3131706152412761,8.193220375339084e-5
66.0,2018.0,1.0,23.0,0.0,0.0,0.0,2319.0002777777777,58.85343700139572,1.768259209455266,1.347394725774052,0.2979884220064086,0.0,0.2970432733323207,7.98744385298934e-5
67.0,2018.0,1.0,24.0,0.0,0.0,0.0,2343.0002777777777,74.29165509120935,2.2555925925977363,1.7430013551279444,0.40437799440750766,0.0,0.31592283081046446,7.678976088054229e-5
68.0,2018.0,1.0,25.0,0.0,0.0,0.0,2367.0002777777777,25.169826390480807,4.367527777718294,3.35720447320773,0.7652139112548255,0.0,0.36784222416460466,7.579565911856337e-5
69.0,2018.0,1.0,26.0,0.0,0.0,0.0,2391.0002777777777,1.2164491636212915e-9,4.500074074103907,3.4294970463824654,0.7588444205738796,0.0,0.3963113325025205,7.579559775791142e-5
70.0,2018.0,1.0,27.0,0.0,0.0,0.0,2415.0002777777777,12.836015187367025,3.691684852209164,2.8096144753928343,0.6187154630216796,0.0,0.3513556911466935,7.635184589348338e-5
71.0,2018.0,1.0,28.0,0.0,0.0,0.0,2439.0002777777777,7.530754543990952,4.361464343492685,3.3149372824244665,0.7265451783627199,0.0,0.332908641542943,7.681336596032935e-5
72.0,2018.0,1.0,29.0,0.0,0.0,0.0,2463.0002777777777,5.094691850748632,4.666816407154954,3.529067763238288,0.7594587996938031,0.0,0.3195356458845424,8.021954922577909e-5
73.0,2018.0,1.0,30.0,0.0,0.0,0.0,2487.0002777777777,2.6306346006128933,4.704279895170487,3.546541030727383,0.7546986636630635,0.0,0.28205177455501484,8.330810887060652e-5
74.0,2018.0,1.0,31.0,0.0,0.0,0.0,2511.0002777777777,-5.5706550483591855e-11,5.421026620458463,4.064221596964046,0.847080058408828,0.0,0.2551974574035967,8.329769980603953e-5
75.0,2018.0,2.0,1.0,0.0,0.0,0.0,2535.0002777777777,1.098783286579419e-9,5.091465277777502,3.7964543431233437,0.7779782434524591,0.0,0.2301587656141919,8.32805353632027e-5
76.0,2018.0,2.0,2.0,0.0,0.0,0.0,2559.0002777777777,276.0996875020288,2.3982430558381793,1.808051686778839,0.3873623581966541,0.0,0.20924475930650033,7.255266504292376e-5
77.0,2018.0,2.0,3.0,0.0,0.0,0.0,2583.0002777777777,164.90031249750302,2.1905185182504283,1.6140859364816436,0.6663396871790255,0.0,0.2920493017134618,6.723586990608087e-5
78.0,2018.0,2.0,4.0,0.0,0.0,0.0,2607.0002777777777,-1.460875864722766e-10,2.4704259259106607,1.761763625658432,0.7736567309360325,0.0,0.6436545456470668,6.844137623807171e-5
79.0,2018.0,2.0,5.0,0.0,0.0,0.0,2631.0002777777777,2.5352164811920375e-10,3.4811874999605834,2.4661180399546936,1.073732486226774,0.0,0.6522301706832963,6.975337240770238e-5
80.0,2018.0,2.0,6.0,0.0,0.0,0.0,2655.0002777777777,5.446187552412312,3.423699773954638,2.414304625159474,1.0449126847738484,0.0,0.5914369973475146,7.16399672191415e-5
81.0,2018.0,2.0,7.0,0.0,0.0,0.0,2679.0002777777777,2.8324697891338246,3.479260867585822,2.4445385478851165,1.0529235975892277,0.0,0.5287916635768539,7.26663906933586e-5
82.0,2018.0,2.0,8.0,0.0,0.0,0.0,2703.0002777777777,-5.525180313270539e-10,3.3758946759198807,2.3572844920551574,1.00701336251187,0.0,0.4949182249702062,7.57523816649478e-5
83.0,2018.0,2.0,9.0,0.0,0.0,0.0,2727.0002777777777,5.234430229843383,2.4894372359731847,1.7342266083971936,0.7385156781122433,0.0,0.43817165063578045,7.860363601006013e-5
84.0,2018.0,2.0,10.0,0.0,0.0,0.0,2751.0002777777777,33.078115998551425,1.0695129888506472,0.7473910767347149,0.31961336137410257,0.0,0.41406629139217443,7.80991255472688e-5
85.0,2018.0,2.0,11.0,0.0,0.0,0.0,2775.0002777777777,154.25165509735962,0.14971759257650774,0.10620867325641825,0.04632548328000752,0.0,0.42648974734504463,7.468000153252165e-5
86.0,2018.0,2.0,12.0,0.0,0.0,0.0,2799.0002777777777,251.66806712775724,0.2504814823694801,0.18898018140731665,0.08879402471896469,0.0,0.7750493450051437,6.811441384984901e-5
87.0,2018.0,2.0,13.0,0.0,0.0,0.0,2823.0002777777777,144.75967592492282,2.4736238418334437,1.8682106871365534,0.884006312110138,0.0,7.258953191185967,6.49726773349686e-5
