iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,25.735250724143697,0.26856865418113784,0.0035714478493233948,0.01710201113006704,0.0,0.5902417099701154,2.796985478200828e-5
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,12.419079796482464,0.8736283996078811,0.7708982629412033,0.056353891076283524,0.0,0.5994606944783243,4.550175015190504e-5
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,2.130771877907236,1.8764585647405738,0.13369121219875524,0.0,0.5961913618119894,0.0002323404602789408
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,3.111296296302953,2.731531257260542,0.19007897460002,0.0,0.5810119016552306,0.0002534733397510778
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.806064814804159,4.181664566000109,0.2831798539542154,0.0,0.5390133618929838,0.0004893811284503967
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,6.047384259261307,5.185219707979144,0.33932220223430143,0.0,0.48054460921326836,0.0010874266314003997
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,4.254814814812448,3.5975604497140665,0.22918622811552858,0.0,0.41623600317032583,0.0023075802220176855
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.269143518527784,1.9067788400537466,0.12091071610314508,0.0,0.36021767195181553,0.004007763948182745
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,43.19786494784509,0.6501014539844618,0.5452348488663574,0.03459499506626429,0.0,0.31647819579282555,0.001031655178813165
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,99.608734605427,0.3871450693545455,0.3402103811416275,0.02553860385360629,0.0,0.2913917543524036,0.0003672089276257999
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,123.2600207727296,0.46371296295612296,0.4111227371043569,0.032373637080120865,0.0,0.27698097425614776,0.0002031554229541552
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,63.194837233288155,0.999224537035218,0.8877012944742511,0.07044061079742558,0.0,0.3556625156940214,0.00016869076830944773
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,7.5513860123133725,3.102635377754325,2.745144897763538,0.20748626839224293,0.0,0.5230493959732172,0.00016953190967038494
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,23.457318713700772,5.5784051607712115,4.864092719364805,0.3784562242891836,0.0,0.6620005558461202,0.00016646117061738146
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,13.697340244780634,6.595104394837421,5.713768442818974,0.4421002489071668,0.0,0.6574730684911145,0.00018222428167424397
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,6.889402777779452,5.894670645123085,0.43065754623597385,0.0,0.5977966759546263,0.0001821843042002723
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,7.126268518510102,5.9898089506024235,0.420089684383532,0.0,0.5152176680669243,0.00018393142541766596
