iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,4.2106605394504015,3.776608878012425,0.13759420484829832,0.4865220032354909,0.0,0.23462588448414756,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,8.284928298962768e-11,4.90155092592731,4.435518218487161,0.5762177784139517,0.0,0.22782780607789377,2.9618039375000596e6
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,-8.284928298962768e-11,4.949224537044586,4.360678469700474,0.5295301719926684,0.0,0.2210357969340926,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.665077546292991,4.012402031551915,0.4618692034105294,0.0,0.21426569390092354,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,8.284928298962768e-11,4.895232638895266,4.105477196670904,0.4463500545440482,0.0,0.20753670281379755,5.581539124999911e6
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,-1.6555645743210334e-10,4.7396898147949,3.8715651169046055,0.396619693439197,0.0,0.20088684263193635,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,1.6555645743210334e-10,3.688914351864824,2.9491214533334755,0.2894660070062063,0.0,0.19433965110697748,3.78653621875e6
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.6555428240757095,2.876384210424902,0.2754640046415773,0.0,0.18792240717865916,1.3068223223957443e8
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.225387731479401,3.258684974528819,0.298457549055815,0.0,0.181680391567971,-2.8715159728125e8
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.749224537041215,2.8331677620730886,0.2479778280004723,0.0,0.17563861857567886,-4.311076698541775e8
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,11.90715575271426,3.7685604826930614,2.8576045465932367,0.2794339829978547,0.0,0.16666532236646958,0.00013287878397503367
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,14.131156372291258,3.432696655716029,2.6977950487222415,0.3238850999290932,0.0,0.16503263112786826,6.217807180056308e-5
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,4.1046195201096225,4.427130933508437,3.45101756392323,0.3984170521810597,0.0,0.15733730364374665,6.461153243793452e-5
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,-1.6555645743210334e-10,4.923388888916406,3.5574718609249203,0.38932878967717954,0.0,0.15357580700464446,6.45322651496573e-5
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,1.6555645743210334e-10,5.139379629599148,3.5081099831801907,0.3620679822649251,0.0,0.14852565491397307,6.450351438687836e-5
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.525537037028954,3.650566993218547,0.33861113631113327,0.0,0.14364822402710686,6.449065196428416e-5
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.348925925943803,3.4527275964507,0.2909302596773813,0.0,0.13893054931387994,8.664716167898446e-5
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.764916666693125,3.658643148061998,0.2817894389918152,0.0,0.13435938804781244,0.00010075309639703874
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.597851851822384,3.469896992323015,0.2443937856951166,0.0,0.12992659336175194,0.00010972731542753294
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,4.797851851852755,2.920124763975352,0.19266075392539506,0.0,0.12562480441025947,0.00011463494545518176
