∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660.0,1660.0,0.0,0.0,0.0,0.0,0.0
2941.0,1281.0,0.0,0.0,0.0,0.0,0.0
4118.0,1177.0,0.0,0.0,0.0,0.0,0.0
5393.0,1275.0,0.0,0.0,0.0,0.0,0.0
6671.0,1278.0,0.0,0.0,0.0,0.0,0.0
8020.0,1349.0,0.0,0.0,0.0,0.0,0.0
9468.0,1448.0,0.0,0.0,0.0,0.0,0.0
11020.0,1552.0,0.0,0.0,0.0,0.0,0.0
12660.0,1640.0,0.0,0.0,0.0,0.0,0.0
14368.0,1708.0,0.0,0.0,0.0,0.0,0.0
16198.0,1830.0,0.0,0.0,0.0,0.0,0.0
18222.0,2024.0,0.0,0.0,0.0,0.0,0.0
20378.0,2156.0,0.0,0.0,0.0,0.0,0.0
22668.0,2290.0,0.0,0.0,0.0,0.0,0.0
25086.0,2418.0,0.0,0.0,0.0,0.0,0.0
27554.0,2468.0,0.0,0.0,0.0,0.0,0.0
30056.0,2502.0,0.0,0.0,0.0,0.0,0.0
32600.0,2544.0,0.0,0.0,0.0,0.0,0.0
35198.0,2598.0,0.0,0.0,0.0,0.0,0.0
37868.0,2670.0,0.0,0.0,0.0,0.0,0.0
40626.0,2758.0,0.0,0.0,0.0,0.0,0.0
43466.0,2840.0,0.0,0.0,0.0,0.0,0.0
46402.0,2936.0,0.0,0.0,0.0,0.0,0.0
49408.0,3006.0,0.0,0.0,0.0,0.0,0.0
52431.0,3023.0,0.0,0.0,0.0,0.0,0.0
55464.0,3033.0,0.0,0.0,0.0,0.0,0.0
58507.0,3043.0,0.0,0.0,0.0,0.0,0.0
61560.0,3053.0,0.0,0.0,0.0,0.0,0.0
64622.0,3062.0,0.0,0.0,0.0,0.0,0.0
67694.0,3072.0,0.0,0.0,0.0,0.0,0.0
70775.0,3081.0,0.0,0.0,0.0,0.0,0.0
73865.0,3090.0,0.0,0.0,0.0,0.0,0.0
76965.0,3100.0,0.0,0.0,0.0,0.0,0.0
80074.0,3109.0,0.0,0.0,0.0,0.0,0.0
83193.0,3119.0,0.0,0.0,0.0,0.0,0.0
86321.0,3128.0,0.0,0.0,0.0,0.0,0.0
89459.0,3138.0,0.0,0.0,0.0,0.0,0.0
92624.0,3165.0,0.0,0.0,0.0,0.0,0.0
95800.0,3176.0,0.0,0.0,0.0,0.0,0.0
98985.0,3185.0,0.0,0.0,0.0,0.0,0.0
102179.0,3194.0,0.0,0.0,0.0,0.0,0.0
105381.0,3202.0,0.0,0.0,0.0,0.0,0.0
108592.0,3211.0,0.0,0.0,0.0,0.0,0.0
111812.0,3220.0,0.0,0.0,0.0,0.0,0.0
115040.0,3228.0,0.0,0.0,0.0,0.0,0.0
118277.0,3237.0,0.0,0.0,0.0,0.0,0.0
121523.0,3246.0,0.0,0.0,0.0,0.0,0.0
124778.0,3255.0,0.0,0.0,0.0,0.0,0.0
128041.0,3263.0,0.0,0.0,0.0,0.0,0.0
131313.0,3272.0,0.0,0.0,0.0,0.0,0.0
134594.0,3281.0,0.0,0.0,0.0,0.0,0.0
137884.0,3290.0,0.0,0.0,0.0,0.0,0.0
141182.0,3298.0,0.0,0.0,0.0,0.0,0.0
144489.0,3307.0,0.0,0.0,0.0,0.0,0.0
147805.0,3316.0,0.0,0.0,0.0,0.0,0.0
151130.0,3325.0,0.0,0.0,0.0,0.0,0.0
154463.0,3333.0,0.0,0.0,0.0,0.0,0.0
157804.0,3341.0,0.0,0.0,0.0,0.0,0.0
161152.0,3348.0,0.0,0.0,0.0,0.0,0.0
164508.0,3356.0,0.0,0.0,0.0,0.0,0.0
167872.0,3364.0,0.0,0.0,0.0,0.0,0.0
171244.0,3372.0,0.0,0.0,0.0,0.0,0.0
174624.0,3380.0,0.0,0.0,0.0,0.0,0.0
178013.0,3389.0,0.0,0.0,0.0,0.0,0.0
181409.0,3396.0,0.0,0.0,0.0,0.0,0.0
184811.0,3402.0,0.0,0.0,0.0,0.0,0.0
188219.0,3408.0,0.0,0.0,0.0,0.0,0.0
191633.0,3414.0,0.0,0.0,0.0,0.0,0.0
195052.0,3419.0,0.0,0.0,0.0,0.0,0.0
198476.0,3424.0,0.0,0.0,0.0,0.0,0.0
201905.0,3429.0,0.0,0.0,0.0,0.0,0.0
205339.0,3434.0,0.0,0.0,0.0,0.0,0.0
208778.0,3439.0,0.0,0.0,0.0,0.0,0.0
212222.0,3444.0,0.0,0.0,0.0,0.0,0.0
215670.0,3448.0,0.0,0.0,0.0,0.0,0.0
219123.0,3453.0,0.0,0.0,0.0,0.0,0.0
222581.0,3458.0,0.0,0.0,0.0,0.0,0.0
226043.0,3462.0,0.0,0.0,0.0,0.0,0.0
229510.0,3467.0,0.0,0.0,0.0,0.0,0.0
232982.0,3472.0,0.0,0.0,0.0,0.0,0.0
236458.0,3476.0,0.0,0.0,0.0,0.0,0.0
239939.0,3481.0,0.0,0.0,0.0,0.0,0.0
243424.0,3485.0,0.0,0.0,0.0,0.0,0.0
246914.0,3490.0,0.0,0.0,0.0,0.0,0.0
250408.0,3494.0,0.0,0.0,0.0,0.0,0.0
253907.0,3499.0,0.0,0.0,0.0,0.0,0.0
257410.0,3503.0,0.0,0.0,0.0,0.0,0.0
260917.0,3507.0,0.0,0.0,0.0,0.0,0.0
264429.0,3512.0,0.0,0.0,0.0,0.0,0.0
267947.0,3518.0,0.0,0.0,0.0,0.0,0.0
271470.0,3523.0,0.0,0.0,0.0,0.0,0.0
274998.0,3528.0,0.0,0.0,0.0,0.0,0.0
278531.0,3533.0,0.0,0.0,0.0,0.0,0.0
282069.0,3538.0,0.0,0.0,0.0,0.0,0.0
285612.0,3543.0,0.0,0.0,0.0,0.0,0.0
289160.0,3548.0,0.0,0.0,0.0,0.0,0.0
292713.0,3553.0,0.0,0.0,0.0,0.0,0.0
296271.0,3558.0,0.0,0.0,0.0,0.0,0.0
299834.0,3563.0,0.0,0.0,0.0,0.0,0.0
303403.0,3569.0,0.0,0.0,0.0,0.0,0.0
306977.0,3574.0,0.0,0.0,0.0,0.0,0.0
310556.0,3579.0,0.0,0.0,0.0,0.0,0.0
314140.0,3584.0,0.0,0.0,0.0,0.0,0.0
317729.0,3589.0,0.0,0.0,0.0,0.0,0.0
321324.0,3595.0,0.0,0.0,0.0,0.0,0.0
324922.0,3598.0,0.0,0.0,0.0,0.0,0.0
328522.0,3600.0,0.0,0.0,0.0,0.0,0.0
332122.0,3600.0,0.0,0.0,0.0,0.0,0.0
335722.0,3600.0,0.0,0.0,0.0,0.0,0.0
339322.0,3600.0,0.0,0.0,0.0,0.0,0.0
342922.0,3600.0,0.0,0.0,0.0,0.0,0.0
346522.0,3600.0,0.010663759198998424,0.010663759198998424,0.0,0.010663759198998424,0.0
350122.0,3600.0,0.05230099685235201,0.04163723765335359,0.0,0.04163723765335359,0.0
353510.0,3388.0,0.09148626384389624,0.03918526699154423,0.0,0.03918526699154423,0.0
356886.0,3376.0,0.1305327400432632,0.039046476199366964,0.0,0.039046476199366964,0.0
360269.0,3383.0,0.16966017753806772,0.03912743749480452,0.0,0.03912743749480452,0.0
363670.0,3401.0,0.2089958012211377,0.039335623683069976,0.0,0.039335623683069976,0.0
367093.0,3423.0,0.24858587468986793,0.039590073468730225,0.0,0.039590073468730225,0.0
370540.0,3447.0,0.28845352974295446,0.03986765505308654,0.0,0.03986765505308654,0.0
374011.0,3471.0,0.32859876638039553,0.04014523663744107,0.0,0.04014523663744107,0.0
377506.0,3495.0,0.3690215846021929,0.040422818221797385,0.0,0.040422818221797385,0.0
381026.0,3520.0,0.4097335503076942,0.040711965705501285,0.0,0.040711965705501285,0.0
384569.0,3543.0,0.45071153169820244,0.040977981390508234,0.0,0.040977981390508234,0.0
388133.0,3564.0,0.49193239697502245,0.04122086527682001,0.0,0.04122086527682001,0.0
391715.0,3582.0,0.5333614484401088,0.04142905146508635,0.0,0.04142905146508635,0.0
395312.0,3597.0,0.5749639883954178,0.04160253995530905,0.0,0.04160253995530905,0.0
398912.0,3600.0,0.6166012260487714,0.04163723765335359,0.0,0.04163723765335359,0.0
402512.0,3600.0,0.6582384637021241,0.0416372376533527,0.0,0.0416372376533527,0.0
406112.0,3600.0,0.6998757013554777,0.04163723765335359,0.0,0.04163723765335359,0.0
409712.0,3600.0,0.7415129390088313,0.04163723765335359,0.0,0.04163723765335359,0.0
413312.0,3600.0,0.783150176662184,0.0416372376533527,0.0,0.0416372376533527,0.0
416912.0,3600.0,0.8247874143155376,0.04163723765335359,0.0,0.04163723765335359,0.0
420512.0,3600.0,0.8664246519688912,0.04163723765335359,0.0,0.04163723765335359,0.0
424112.0,3600.0,0.9080618896222448,0.04163723765335359,0.0,0.04163723765335359,0.0
427712.0,3600.0,0.9496991272755975,0.0416372376533527,0.0,0.0416372376533527,0.0
431312.0,3600.0,0.991336364928951,0.04163723765335359,0.0,0.04163723765335359,0.0
434439.0,3127.0,1.1788069760177784,0.18747061108882734,0.0,0.18747061108882734,0.0
437575.0,3136.0,1.4096202691911124,0.230813293173334,0.0,0.230813293173334,0.0
440591.0,3016.0,1.6316014210440422,0.22198115185292977,0.0,0.22198115185292977,0.0
443535.0,2944.0,1.848283288104728,0.21668186706068582,0.0,0.21668186706068582,0.0
446422.0,2887.0,2.0607698880382195,0.2124865999334915,0.0,0.2124865999334915,0.0
449262.0,2840.0,2.2697972326212117,0.2090273445829922,0.0,0.2090273445829922,0.0
452061.0,2799.0,2.4758069289197344,0.20600969629852273,0.0,0.20600969629852273,0.0
454838.0,2777.0,2.6801973993095167,0.2043904703897823,0.0,0.2043904703897823,0.0
457585.0,2747.0,2.8823798343691998,0.20218243505968303,0.0,0.20218243505968303,0.0
460311.0,2726.0,3.0830166446978033,0.2006368103286036,0.0,0.20063681032860356,0.0
463024.0,2713.0,3.2826966397167006,0.19967999501889722,0.0,0.19967999501889722,0.0
465730.0,2706.0,3.481861426491907,0.19916478677520644,0.0,0.19916478677520644,0.0
468419.0,2689.0,3.6797749932467276,0.19791356675482064,0.0,0.19791356675482064,0.0
471093.0,2674.0,3.8765845423364915,0.1968095490897639,0.0,0.19680954908976386,0.0
473756.0,2663.0,4.072584478471885,0.19599993613539368,0.0,0.19599993613539368,0.0
476412.0,2656.0,4.268069206363588,0.1954847278917029,0.0,0.19548472789170288,0.0
479064.0,2652.0,4.463259529544612,0.19519032318102347,0.0,0.19519032318102347,0.0
481701.0,2637.0,4.657345835060585,0.19408630551597383,0.0,0.19408630551597383,0.0
484327.0,2626.0,4.850622527622182,0.19327669256159652,0.0,0.19327669256159652,0.0
486945.0,2618.0,5.043310410762427,0.19268788314024476,0.0,0.19268788314024476,0.0
489558.0,2613.0,5.235630288014317,0.19231987725189015,0.0,0.19231987725189015,0.0
492168.0,2610.0,5.427729361733196,0.1920990737188788,0.0,0.1920990737188788,0.0
494774.0,2606.0,5.619534030741395,0.19180466900819937,0.0,0.19180466900819937,0.0
497369.0,2595.0,5.810529086795224,0.19099505605382916,0.0,0.19099505605382913,0.0
499956.0,2587.0,6.0009353334276945,0.1904062466324703,0.0,0.1904062466324703,0.0
502538.0,2582.0,6.19097357417181,0.19003824074411568,0.0,0.19003824074411568,0.0
505116.0,2578.0,6.380717410205246,0.18974383603343625,0.0,0.18974383603343625,0.0
507691.0,2575.0,6.570240442705678,0.189523032500432,0.0,0.189523032500432,0.0
510265.0,2574.0,6.759689874028435,0.18944943132275682,0.0,0.18944943132275682,0.0
512835.0,2570.0,6.948844900640513,0.1891550266120774,0.0,0.1891550266120774,0.0
515398.0,2563.0,7.137484719008899,0.1886398183683866,0.0,0.1886398183683866,0.0
517955.0,2557.0,7.325682930311263,0.18819821130236392,0.0,0.18819821130236392,0.0
520508.0,2553.0,7.35843545437445,0.03275252406318696,0.0,0.03275252406318696,0.0
523407.0,2899.0,7.35843545437445,0.0,0.0,0.0,0.0
526474.0,3067.0,7.35843545437445,0.0,0.0,0.0,0.0
529673.0,3199.0,7.35843545437445,0.0,0.0,0.0,0.0
532997.0,3324.0,7.35843545437445,0.0,0.0,0.0,0.0
536468.0,3471.0,7.35843545437445,0.0,0.0,0.0,0.0
540019.0,3551.0,7.35843545437445,0.0,0.0,0.0,0.0
543615.0,3596.0,7.35843545437445,0.0,0.0,0.0,0.0
547215.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
550815.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
554415.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
558015.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
561615.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
565215.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
568815.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
572415.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
576015.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
579615.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
583215.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
586815.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
590415.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
594015.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
597615.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
601215.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
604815.0,3600.0,7.3586404862265296,0.0002050318520794292,0.0,0.0002050318520794292,0.0
608415.0,3600.0,7.407848130725948,0.04920764449941828,0.0,0.04920764449941828,0.0
611943.0,3528.0,7.456071622335377,0.04822349160942885,0.0,0.04822349160942885,0.0
615523.0,3580.0,7.505005891032019,0.048934268696642746,0.0,0.048934268696642746,0.0
619123.0,3600.0,7.554213535531436,0.0492076444994165,0.0,0.0492076444994165,0.0
622723.0,3600.0,7.603421180030854,0.04920764449941828,0.0,0.04920764449941828,0.0
626323.0,3600.0,7.6526288245302725,0.04920764449941828,0.0,0.04920764449941828,0.0
629923.0,3600.0,7.701836469029689,0.0492076444994165,0.0,0.0492076444994165,0.0
