Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.0,0.0
2017.0,10.0,18.0,0.0,0.0
2017.0,10.0,19.0,0.0,0.0
2017.0,10.0,20.0,0.0,0.0
2017.0,10.0,21.0,0.0,0.0
2017.0,10.0,22.0,4.0,1.366355418
2017.0,10.0,23.0,7.1,5.783177709
2017.0,10.0,24.0,0.0,0.0
2017.0,10.0,25.0,2.5,0.5627087550972976
2017.0,10.0,26.0,5.3,3.286824371902702
2017.0,10.0,27.0,2.4,1.083177709
2017.0,10.0,28.0,11.0,9.899999999999999
2017.0,10.0,29.0,0.0,0.0
2017.0,10.0,30.0,0.0,0.0
2017.0,10.0,31.0,0.0,0.0
2017.0,11.0,1.0,0.0,0.0
2017.0,11.0,2.0,1.1,0.21890195567525
2017.0,11.0,3.0,24.7,22.066355417999993
2017.0,11.0,4.0,8.7,7.383177709
2017.0,11.0,5.0,0.0,0.0
2017.0,11.0,6.0,0.0,0.0
2017.0,11.0,7.0,16.8,14.166355418000002
2017.0,11.0,8.0,0.0,0.0
2017.0,11.0,9.0,0.0,0.0
2017.0,11.0,10.0,0.0,0.0
2017.0,11.0,11.0,0.0,0.0
2017.0,11.0,12.0,0.0,0.0
2017.0,11.0,13.0,0.0,0.0
2017.0,11.0,14.0,1.5,0.29850266682988635
2017.0,11.0,15.0,2.3,0.45770408913915905
2017.0,11.0,16.0,2.1,0.4179037335618409
2017.0,11.0,17.0,0.0,0.0
2017.0,11.0,18.0,0.0,0.0
2017.0,11.0,19.0,0.0,0.0
2017.0,11.0,20.0,0.0,0.0
2017.0,11.0,21.0,0.0,0.0
2017.0,11.0,22.0,0.0,0.0
2017.0,11.0,23.0,0.0,0.0
2017.0,11.0,24.0,0.0,0.0
2017.0,11.0,25.0,0.0,0.0
2017.0,11.0,26.0,0.0,0.0
2017.0,11.0,27.0,0.0,0.0
2017.0,11.0,28.0,0.0,0.0
2017.0,11.0,29.0,19.8,17.166355418000002
2017.0,11.0,30.0,2.0,0.6831777089999993
2017.0,12.0,1.0,0.0,0.0
2017.0,12.0,2.0,3.4,0.7663554179999997
2017.0,12.0,3.0,0.0,0.0
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.0,0.0
2017.0,12.0,10.0,0.0,0.0
2017.0,12.0,11.0,0.0,0.0
2017.0,12.0,12.0,0.0,0.0
2017.0,12.0,13.0,0.0,0.0
2017.0,12.0,14.0,0.0,0.0
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,4.1,1.4663554179999996
2017.0,12.0,19.0,2.8,1.483177709
2017.0,12.0,20.0,0.0,0.0
2017.0,12.0,21.0,0.0,0.0
2017.0,12.0,22.0,2.8,0.5298162015830512
2017.0,12.0,23.0,0.0,0.0
2017.0,12.0,24.0,0.0,0.0
2017.0,12.0,25.0,2.8,0.5298162015830512
2017.0,12.0,26.0,0.0,0.0
2017.0,12.0,27.0,0.0,0.0
2017.0,12.0,28.0,0.0,0.0
2017.0,12.0,29.0,0.0,0.0
2017.0,12.0,30.0,0.0,0.0
2017.0,12.0,31.0,0.0,0.0
2018.0,1.0,1.0,3.5,0.866355418
2018.0,1.0,2.0,10.5,9.183177708999999
2018.0,1.0,3.0,2.3,0.983177709
2018.0,1.0,4.0,34.8,33.483177708999996
2018.0,1.0,5.0,23.0,21.683177709
2018.0,1.0,6.0,4.3,2.983177709
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,0.0,0.0
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,6.0,3.366355418
2018.0,1.0,13.0,0.0,0.0
2018.0,1.0,14.0,0.0,0.0
2018.0,1.0,15.0,0.0,0.0
2018.0,1.0,16.0,0.0,0.0
2018.0,1.0,17.0,3.0,0.47188400920162654
2018.0,1.0,18.0,15.4,13.977649117798375
2018.0,1.0,19.0,0.0,0.0
2018.0,1.0,20.0,0.0,0.0
2018.0,1.0,21.0,7.1,4.466355417999999
2018.0,1.0,22.0,2.6,1.283177709
2018.0,1.0,23.0,3.3,1.9831777089999996
2018.0,1.0,24.0,0.0,0.0
2018.0,1.0,25.0,0.0,0.0
2018.0,1.0,26.0,3.0,0.47188400920162654
2018.0,1.0,27.0,0.0,0.0
2018.0,1.0,28.0,0.0,0.0
2018.0,1.0,29.0,0.0,0.0
2018.0,1.0,30.0,0.0,0.0
2018.0,1.0,31.0,0.0,0.0
2018.0,2.0,1.0,33.1,30.466355418
2018.0,2.0,2.0,1.7,0.3831777090000011
2018.0,2.0,3.0,0.0,0.0
2018.0,2.0,4.0,0.0,0.0
2018.0,2.0,5.0,1.1,0.13793987059973029
2018.0,2.0,6.0,0.0,0.0
2018.0,2.0,7.0,0.0,0.0
2018.0,2.0,8.0,5.7,3.066355418
2018.0,2.0,9.0,12.7,11.383177709
2018.0,2.0,10.0,27.0,26.1
2018.0,2.0,11.0,31.8,30.483177709
2018.0,2.0,12.0,9.9,8.583177709000001
2018.0,2.0,13.0,9.1,7.783177708999999
2018.0,2.0,14.0,18.9,17.583177708999997
2018.0,2.0,15.0,0.0,0.0
2018.0,2.0,16.0,0.0,0.0
2018.0,2.0,17.0,0.0,0.0
2018.0,2.0,18.0,0.0,0.0
2018.0,2.0,19.0,10.5,7.8663554179999995
2018.0,2.0,20.0,8.5,7.183177708999999
2018.0,2.0,21.0,1.8,0.4831777090000001
2018.0,2.0,22.0,5.9,4.583177709
2018.0,2.0,23.0,0.0,0.0
2018.0,2.0,24.0,0.0,0.0
2018.0,2.0,25.0,0.0,0.0
2018.0,2.0,26.0,6.6,3.9663554179999987
2018.0,2.0,27.0,1.1,0.13793987059973029
2018.0,2.0,28.0,0.0,0.0
2018.0,3.0,1.0,0.0,0.0
2018.0,3.0,2.0,0.0,0.0
2018.0,3.0,3.0,0.0,0.0
2018.0,3.0,4.0,0.0,0.0
2018.0,3.0,5.0,0.0,0.0
2018.0,3.0,6.0,2.5,0.28109269473918175
2018.0,3.0,7.0,16.0,14.26844043226082
2018.0,3.0,8.0,9.9,8.583177709000001
2018.0,3.0,9.0,0.0,0.0
2018.0,3.0,10.0,0.0,0.0
2018.0,3.0,11.0,0.0,0.0
2018.0,3.0,12.0,6.8,4.166355417999999
2018.0,3.0,13.0,1.8,0.4831777090000005
2018.0,3.0,14.0,0.0,0.0
2018.0,3.0,15.0,0.0,0.0
2018.0,3.0,16.0,0.0,0.0
2018.0,3.0,17.0,0.0,0.0
2018.0,3.0,18.0,0.0,0.0
2018.0,3.0,19.0,0.0,0.0
2018.0,3.0,20.0,0.0,0.0
2018.0,3.0,21.0,0.0,0.0
2018.0,3.0,22.0,1.1,0.12368078568523998
2018.0,3.0,23.0,1.1,0.12368078568523998
2018.0,3.0,24.0,19.1,16.466355418000003
2018.0,3.0,25.0,0.0,0.0
2018.0,3.0,26.0,0.0,0.0
2018.0,3.0,27.0,0.0,0.0
2018.0,3.0,28.0,0.0,0.0
2018.0,3.0,29.0,6.7,4.066355418
2018.0,3.0,30.0,0.0,0.0
2018.0,3.0,31.0,2.5,0.28109269473918175
2018.0,4.0,1.0,0.0,0.0
2018.0,4.0,2.0,0.0,0.0
2018.0,4.0,3.0,1.2,0.14777416451181705
2018.0,4.0,4.0,1.4,0.1724031919304532
2018.0,4.0,5.0,0.0,0.0
2018.0,4.0,6.0,0.0,0.0
2018.0,4.0,7.0,0.0,0.0
2018.0,4.0,8.0,0.0,0.0
2018.0,4.0,9.0,1.6,0.1970322193490894
2018.0,4.0,10.0,18.7,16.15250090765091
2018.0,4.0,11.0,0.0,0.0
2018.0,4.0,12.0,7.1,4.466355417999999
2018.0,4.0,13.0,5.8,4.483177709
2018.0,4.0,14.0,0.0,0.0
2018.0,4.0,15.0,13.1,10.8
2018.0,4.0,16.0,7.1,5.7831777089999985
2018.0,4.0,17.0,5.6,4.283177708999999
2018.0,4.0,18.0,0.0,0.0
2018.0,4.0,19.0,0.0,0.0
2018.0,4.0,20.0,0.0,0.0
2018.0,4.0,21.0,1.1,0.13545965080249897
2018.0,4.0,22.0,0.0,0.0
2018.0,4.0,23.0,0.0,0.0
2018.0,4.0,24.0,0.0,0.0
2018.0,4.0,25.0,0.0,0.0
2018.0,4.0,26.0,0.0,0.0
2018.0,4.0,27.0,0.0,0.0
2018.0,4.0,28.0,52.0,49.783177709
2018.0,4.0,29.0,4.2,3.1000000000000014
2018.0,4.0,30.0,3.3,1.9831777089999996
2018.0,5.0,1.0,0.0,0.0
2018.0,5.0,2.0,0.0,0.0
2018.0,5.0,3.0,0.0,0.0
2018.0,5.0,4.0,0.0,0.0
2018.0,5.0,5.0,1.7,0.23597210464449553
2018.0,5.0,6.0,2.8,1.2472056043555035
2018.0,5.0,7.0,0.0,0.0
2018.0,5.0,8.0,0.0,0.0
2018.0,5.0,9.0,0.0,0.0
2018.0,5.0,10.0,0.0,0.0
2018.0,5.0,11.0,21.6,19.783177709
2018.0,5.0,12.0,27.3,27.1
2018.0,5.0,13.0,0.0,0.0
2018.0,5.0,14.0,0.0,0.0
2018.0,5.0,15.0,7.3,5.183177709
2018.0,5.0,16.0,11.5,10.500000000000002
2018.0,5.0,17.0,1.1,0.1999999999999994
2018.0,5.0,18.0,0.0,0.0
