∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
166.0,166.0,0.0,0.0,0.0,0.0,0.0
202.0,36.0,0.0,0.0,0.0,0.0,0.0
243.0,41.0,0.0,0.0,0.0,0.0,0.0
292.0,49.0,0.0,0.0,0.0,0.0,0.0
343.0,51.0,0.0,0.0,0.0,0.0,0.0
391.0,48.0,0.0,0.0,0.0,0.0,0.0
437.0,46.0,0.0,0.0,0.0,0.0,0.0
483.0,46.0,0.0,0.0,0.0,0.0,0.0
529.0,46.0,0.0,0.0,0.0,0.0,0.0
586.0,57.0,0.0,0.0,0.0,0.0,0.0
643.0,57.0,0.0,0.0,0.0,0.0,0.0
695.0,52.0,0.0,0.0,0.0,0.0,0.0
747.0,52.0,0.0,0.0,0.0,0.0,0.0
800.0,53.0,0.0,0.0,0.0,0.0,0.0
856.0,56.0,0.0,0.0,0.0,0.0,0.0
932.0,76.0,0.0,0.0,0.0,0.0,0.0
980.0,48.0,0.0,0.0,0.0,0.0,0.0
1028.0,48.0,0.0,0.0,0.0,0.0,0.0
1078.0,50.0,0.0,0.0,0.0,0.0,0.0
1124.0,46.0,0.0,0.0,0.0,0.0,0.0
1171.0,47.0,0.0,0.0,0.0,0.0,0.0
1222.0,51.0,0.0,0.0,0.0,0.0,0.0
1285.0,63.0,0.0,0.0,0.0,0.0,0.0
1392.0,107.0,0.0,0.0,0.0,0.0,0.0
1465.0,73.0,0.0,0.0,0.0,0.0,0.0
1531.0,66.0,0.0,0.0,0.0,0.0,0.0
1593.0,62.0,0.0,0.0,0.0,0.0,0.0
1656.0,63.0,0.0,0.0,0.0,0.0,0.0
1717.0,61.0,0.0,0.0,0.0,0.0,0.0
1782.0,65.0,0.0,0.0,0.0,0.0,0.0
1863.0,81.0,0.0,0.0,0.0,0.0,0.0
2012.0,149.0,0.0,0.0,0.0,0.0,0.0
2098.0,86.0,0.0,0.0,0.0,0.0,0.0
2182.0,84.0,0.0,0.0,0.0,0.0,0.0
2266.0,84.0,0.0,0.0,0.0,0.0,0.0
2354.0,88.0,0.0,0.0,0.0,0.0,0.0
2468.0,114.0,0.0,0.0,0.0,0.0,0.0
2636.0,168.0,0.0,0.0,0.0,0.0,0.0
2861.0,225.0,0.0,0.0,0.0,0.0,0.0
3102.0,241.0,0.0,0.0,0.0,0.0,0.0
3317.0,215.0,0.0,0.0,0.0,0.0,0.0
3509.0,192.0,0.0,0.0,0.0,0.0,0.0
3699.0,190.0,0.0,0.0,0.0,0.0,0.0
3947.0,248.0,0.0,0.0,0.0,0.0,0.0
4124.0,177.0,0.0,0.0,0.0,0.0,0.0
4306.0,182.0,0.0,0.0,0.0,0.0,0.0
4478.0,172.0,0.0,0.0,0.0,0.0,0.0
4652.0,174.0,0.0,0.0,0.0,0.0,0.0
4815.0,163.0,0.0,0.0,0.0,0.0,0.0
4974.0,159.0,0.0,0.0,0.0,0.0,0.0
5134.0,160.0,0.0,0.0,0.0,0.0,0.0
5298.0,164.0,0.0,0.0,0.0,0.0,0.0
5468.0,170.0,0.0,0.0,0.0,0.0,0.0
5649.0,181.0,0.0,0.0,0.0,0.0,0.0
5846.0,197.0,0.0,0.0,0.0,0.0,0.0
6071.0,225.0,0.0,0.0,0.0,0.0,0.0
6356.0,285.0,0.0,0.0,0.0,0.0,0.0
6886.0,530.0,0.0,0.0,0.0,0.0,0.0
7203.0,317.0,0.0,0.0,0.0,0.0,0.0
7513.0,310.0,0.0,0.0,0.0,0.0,0.0
7824.0,311.0,0.0,0.0,0.0,0.0,0.0
8134.0,310.0,0.0,0.0,0.0,0.0,0.0
8469.0,335.0,0.0,0.0,0.0,0.0,0.0
8880.0,411.0,0.0,0.0,0.0,0.0,0.0
9528.0,648.0,0.0,0.0,0.0,0.0,0.0
10214.0,686.0,0.0,0.0,0.0,0.0,0.0
11054.0,840.0,0.0,0.0,0.0,0.0,0.0
12112.0,1058.0,0.0,0.0,0.0,0.0,0.0
12819.0,707.0,0.0,0.0,0.0,0.0,0.0
13360.0,541.0,0.0,0.0,0.0,0.0,0.0
13860.0,500.0,0.0,0.0,0.0,0.0,0.0
14312.0,452.0,0.0,0.0,0.0,0.0,0.0
14769.0,457.0,0.0,0.0,0.0,0.0,0.0
15189.0,420.0,0.0,0.0,0.0,0.0,0.0
15585.0,396.0,0.0,0.0,0.0,0.0,0.0
15965.0,380.0,0.0,0.0,0.0,0.0,0.0
16334.0,369.0,0.0,0.0,0.0,0.0,0.0
16695.0,361.0,0.0,0.0,0.0,0.0,0.0
17051.0,356.0,0.0,0.0,0.0,0.0,0.0
17403.0,352.0,0.0,0.0,0.0,0.0,0.0
17752.0,349.0,0.0,0.0,0.0,0.0,0.0
18099.0,347.0,0.0,0.0,0.0,0.0,0.0
18444.0,345.0,0.0,0.0,0.0,0.0,0.0
18789.0,345.0,0.0,0.0,0.0,0.0,0.0
19133.0,344.0,0.0,0.0,0.0,0.0,0.0
19478.0,345.0,0.0,0.0,0.0,0.0,0.0
19823.0,345.0,0.0,0.0,0.0,0.0,0.0
20169.0,346.0,0.0,0.0,0.0,0.0,0.0
20516.0,347.0,0.0,0.0,0.0,0.0,0.0
20865.0,349.0,0.0,0.0,0.0,0.0,0.0
21215.0,350.0,0.0,0.0,0.0,0.0,0.0
21567.0,352.0,0.0,0.0,0.0,0.0,0.0
21921.0,354.0,0.0,0.0,0.0,0.0,0.0
22277.0,356.0,0.0,0.0,0.0,0.0,0.0
22635.0,358.0,0.0,0.0,0.0,0.0,0.0
22996.0,361.0,0.0,0.0,0.0,0.0,0.0
23359.0,363.0,0.0,0.0,0.0,0.0,0.0
23725.0,366.0,0.0,0.0,0.0,0.0,0.0
24094.0,369.0,0.0,0.0,0.0,0.0,0.0
24465.0,371.0,0.0,0.0,0.0,0.0,0.0
24839.0,374.0,0.0,0.0,0.0,0.0,0.0
25216.0,377.0,0.0,0.0,0.0,0.0,0.0
25596.0,380.0,0.0,0.0,0.0,0.0,0.0
25980.0,384.0,0.0,0.0,0.0,0.0,0.0
26367.0,387.0,0.0,0.0,0.0,0.0,0.0
26757.0,390.0,0.0,0.0,0.0,0.0,0.0
27150.0,393.0,0.0,0.0,0.0,0.0,0.0
27547.0,397.0,0.0,0.0,0.0,0.0,0.0
27947.0,400.0,0.0,0.0,0.0,0.0,0.0
28351.0,404.0,0.0,0.0,0.0,0.0,0.0
28759.0,408.0,0.0,0.0,0.0,0.0,0.0
29170.0,411.0,0.0,0.0,0.0,0.0,0.0
29585.0,415.0,0.0,0.0,0.0,0.0,0.0
30004.0,419.0,0.0,0.0,0.0,0.0,0.0
30427.0,423.0,0.0,0.0,0.0,0.0,0.0
30854.0,427.0,0.0,0.0,0.0,0.0,0.0
31285.0,431.0,0.0,0.0,0.0,0.0,0.0
31720.0,435.0,0.0,0.0,0.0,0.0,0.0
32159.0,439.0,0.0,0.0,0.0,0.0,0.0
32602.0,443.0,0.0,0.0,0.0,0.0,0.0
33050.0,448.0,0.0,0.0,0.0,0.0,0.0
33502.0,452.0,0.0,0.0,0.0,0.0,0.0
33958.0,456.0,0.0,0.0,0.0,0.0,0.0
34419.0,461.0,0.0,0.0,0.0,0.0,0.0
34885.0,466.0,0.0,0.0,0.0,0.0,0.0
35355.0,470.0,0.0,0.0,0.0,0.0,0.0
35830.0,475.0,0.0,0.0,0.0,0.0,0.0
36310.0,480.0,0.0,0.0,0.0,0.0,0.0
36795.0,485.0,0.0,0.0,0.0,0.0,0.0
37285.0,490.0,0.0,0.0,0.0,0.0,0.0
37780.0,495.0,0.0,0.0,0.0,0.0,0.0
38280.0,500.0,0.0,0.0,0.0,0.0,0.0
38785.0,505.0,0.0,0.0,0.0,0.0,0.0
39295.0,510.0,0.0,0.0,0.0,0.0,0.0
39811.0,516.0,0.0,0.0,0.0,0.0,0.0
40332.0,521.0,0.0,0.0,0.0,0.0,0.0
40859.0,527.0,0.0,0.0,0.0,0.0,0.0
41392.0,533.0,0.0,0.0,0.0,0.0,0.0
41931.0,539.0,0.0,0.0,0.0,0.0,0.0
42476.0,545.0,0.0,0.0,0.0,0.0,0.0
43027.0,551.0,0.0,0.0,0.0,0.0,0.0
43584.0,557.0,0.0,0.0,0.0,0.0,0.0
44147.0,563.0,0.0,0.0,0.0,0.0,0.0
44717.0,570.0,0.0,0.0,0.0,0.0,0.0
45293.0,576.0,0.0,0.0,0.0,0.0,0.0
45876.0,583.0,0.0,0.0,0.0,0.0,0.0
46466.0,590.0,0.0,0.0,0.0,0.0,0.0
47063.0,597.0,0.0,0.0,0.0,0.0,0.0
47667.0,604.0,0.0,0.0,0.0,0.0,0.0
48278.0,611.0,0.0,0.0,0.0,0.0,0.0
48897.0,619.0,0.0,0.0,0.0,0.0,0.0
49523.0,626.0,0.0,0.0,0.0,0.0,0.0
50157.0,634.0,0.0,0.0,0.0,0.0,0.0
50799.0,642.0,0.0,0.0,0.0,0.0,0.0
51449.0,650.0,0.0,0.0,0.0,0.0,0.0
52107.0,658.0,0.0,0.0,0.0,0.0,0.0
52774.0,667.0,0.0,0.0,0.0,0.0,0.0
53449.0,675.0,0.0,0.0,0.0,0.0,0.0
54133.0,684.0,0.0,0.0,0.0,0.0,0.0
54826.0,693.0,0.0,0.0,0.0,0.0,0.0
55528.0,702.0,0.0,0.0,0.0,0.0,0.0
56240.0,712.0,0.0,0.0,0.0,0.0,0.0
56962.0,722.0,0.0,0.0,0.0,0.0,0.0
57694.0,732.0,0.0,0.0,0.0,0.0,0.0
58436.0,742.0,0.0,0.0,0.0,0.0,0.0
59189.0,753.0,0.0,0.0,0.0,0.0,0.0
59952.0,763.0,0.0,0.0,0.0,0.0,0.0
60726.0,774.0,0.0,0.0,0.0,0.0,0.0
61512.0,786.0,0.0,0.0,0.0,0.0,0.0
62310.0,798.0,0.0,0.0,0.0,0.0,0.0
63120.0,810.0,0.0,0.0,0.0,0.0,0.0
63942.0,822.0,0.0,0.0,0.0,0.0,0.0
64777.0,835.0,0.0,0.0,0.0,0.0,0.0
65625.0,848.0,0.0,0.0,0.0,0.0,0.0
66487.0,862.0,0.0,0.0,0.0,0.0,0.0
67363.0,876.0,0.0,0.0,0.0,0.0,0.0
68253.0,890.0,0.0,0.0,0.0,0.0,0.0
69158.0,905.0,0.0,0.0,0.0,0.0,0.0
70079.0,921.0,0.0,0.0,0.0,0.0,0.0
71016.0,937.0,0.0,0.0,0.0,0.0,0.0
71970.0,954.0,0.0,0.0,0.0,0.0,0.0
72941.0,971.0,0.0,0.0,0.0,0.0,0.0
73930.0,989.0,0.0,0.0,0.0,0.0,0.0
74938.0,1008.0,0.0,0.0,0.0,0.0,0.0
75965.0,1027.0,0.0,0.0,0.0,0.0,0.0
77012.0,1047.0,0.0,0.0,0.0,0.0,0.0
78080.0,1068.0,0.0,0.0,0.0,0.0,0.0
79171.0,1091.0,0.0,0.0,0.0,0.0,0.0
80285.0,1114.0,0.0,0.0,0.0,0.0,0.0
81423.0,1138.0,0.0,0.0,0.0,0.0,0.0
82574.0,1151.0,0.0,0.0,0.0,0.0,0.0
83737.0,1163.0,0.0,0.0,0.0,0.0,0.0
84912.0,1175.0,0.0,0.0,0.0,0.0,0.0
86099.0,1187.0,0.0,0.0,0.0,0.0,0.0
87299.0,1200.0,0.0,0.0,0.0,0.0,0.0
88783.0,1484.0,0.0,0.0,0.0,0.0,0.0
90531.0,1748.0,0.0,0.0,0.0,0.0,0.0
92340.0,1809.0,0.0,0.0,0.0,0.0,0.0
94183.0,1843.0,0.0,0.0,0.0,0.0,0.0
96060.0,1877.0,0.0,0.0,0.0,0.0,0.0
97974.0,1914.0,0.0,0.0,0.0,0.0,0.0
99930.0,1956.0,0.0,0.0,0.0,0.0,0.0
101932.0,2002.0,0.0,0.0,0.0,0.0,0.0
103980.0,2048.0,0.0,0.0,0.0,0.0,0.0
106068.0,2088.0,0.0,0.0,0.0,0.0,0.0
108197.0,2129.0,0.0,0.0,0.0,0.0,0.0
110361.0,2164.0,0.0,0.0,0.0,0.0,0.0
112558.0,2197.0,0.0,0.0,0.0,0.0,0.0
114790.0,2232.0,0.0,0.0,0.0,0.0,0.0
117051.0,2261.0,0.0,0.0,0.0,0.0,0.0
119341.0,2290.0,0.0,0.0,0.0,0.0,0.0
121661.0,2320.0,0.0,0.0,0.0,0.0,0.0
124006.0,2345.0,0.0,0.0,0.0,0.0,0.0
126376.0,2370.0,0.0,0.0,0.0,0.0,0.0
128772.0,2396.0,0.0,0.0,0.0,0.0,0.0
131192.0,2420.0,0.0,0.0,0.0,0.0,0.0
133634.0,2442.0,0.0,0.0,0.0,0.0,0.0
136098.0,2464.0,0.0,0.0,0.0,0.0,0.0
138585.0,2487.0,0.0,0.0,0.0,0.0,0.0
141091.0,2506.0,0.0,0.0,0.0,0.0,0.0
143616.0,2525.0,0.0,0.0,0.0,0.0,0.0
146160.0,2544.0,0.0,0.0,0.0,0.0,0.0
148724.0,2564.0,0.0,0.0,0.0,0.0,0.0
151304.0,2580.0,0.0,0.0,0.0,0.0,0.0
153900.0,2596.0,0.0,0.0,0.0,0.0,0.0
156513.0,2613.0,0.0,0.0,0.0,0.0,0.0
159142.0,2629.0,0.0,0.0,0.0,0.0,0.0
161785.0,2643.0,0.0,0.0,0.0,0.0,0.0
164442.0,2657.0,0.0,0.0,0.0,0.0,0.0
167113.0,2671.0,0.0,0.0,0.0,0.0,0.0
169798.0,2685.0,0.0,0.0,0.0,0.0,0.0
172494.0,2696.0,0.0,0.0,0.0,0.0,0.0
175201.0,2707.0,0.0,0.0,0.0,0.0,0.0
177963.0,2762.0,0.0,0.0,0.0,0.0,0.0
180738.0,2775.0,0.0,0.0,0.0,0.0,0.0
183518.0,2780.0,0.0,0.0,0.0,0.0,0.0
186303.0,2785.0,0.0,0.0,0.0,0.0,0.0
189093.0,2790.0,0.0,0.0,0.0,0.0,0.0
191889.0,2796.0,0.0,0.0,0.0,0.0,0.0
194691.0,2802.0,0.0,0.0,0.0,0.0,0.0
197500.0,2809.0,0.0,0.0,0.0,0.0,0.0
200316.0,2816.0,0.0,0.0,0.0,0.0,0.0
203139.0,2823.0,0.0,0.0,0.0,0.0,0.0
205970.0,2831.0,0.0,0.0,0.0,0.0,0.0
208810.0,2840.0,0.0,0.0,0.0,0.0,0.0
211658.0,2848.0,0.0,0.0,0.0,0.0,0.0
214515.0,2857.0,0.0,0.0,0.0,0.0,0.0
217381.0,2866.0,0.0,0.0,0.0,0.0,0.0
220257.0,2876.0,0.0,0.0,0.0,0.0,0.0
223143.0,2886.0,0.0,0.0,0.0,0.0,0.0
226039.0,2896.0,0.0,0.0,0.0,0.0,0.0
228945.0,2906.0,0.0,0.0,0.0,0.0,0.0
231862.0,2917.0,0.0,0.0,0.0,0.0,0.0
234790.0,2928.0,0.0,0.0,0.0,0.0,0.0
237729.0,2939.0,0.0,0.0,0.0,0.0,0.0
240678.0,2949.0,0.0,0.0,0.0,0.0,0.0
243636.0,2958.0,0.0,0.0,0.0,0.0,0.0
246603.0,2967.0,0.0,0.0,0.0,0.0,0.0
249580.0,2977.0,0.0,0.0,0.0,0.0,0.0
252567.0,2987.0,0.0,0.0,0.0,0.0,0.0
255564.0,2997.0,0.0,0.0,0.0,0.0,0.0
258571.0,3007.0,0.0,0.0,0.0,0.0,0.0
261260.0,2689.0,0.10654827296095704,0.10654827296095704,0.0,0.10654827296095704,0.0
263919.0,2659.0,0.24407830102075323,0.1375300280597962,0.0,0.1375300280597962,0.0
266487.0,2568.0,0.37690158498373094,0.1328232839629777,0.0,0.1328232839629777,0.0
269030.0,2543.0,0.5084318073816494,0.13153022239791845,0.0,0.13153022239791845,0.0
271572.0,2542.0,0.6399103073169634,0.13147849993531402,0.0,0.13147849993531402,0.0
274135.0,2563.0,0.7724749789669296,0.13256467164996621,0.0,0.13256467164996621,0.0
276728.0,2593.0,0.9065913244949666,0.13411634552803697,0.0,0.13411634552803697,0.0
279355.0,2627.0,1.0424662337514867,0.13587490925652013,0.0,0.13587490925652013,0.0
282028.0,2673.0,1.1807203762877165,0.1382541425362298,0.0,0.1382541425362298,0.0
284750.0,2722.0,1.3215089194914658,0.14078854320374923,0.0,0.14078854320374923,0.0
287524.0,2774.0,1.4649870307505388,0.14347811125907306,0.0,0.14347811125907306,0.0
290355.0,2831.0,1.611413322377949,0.14642629162741017,0.0,0.14642629162741017,0.0
293241.0,2886.0,1.7606843494484927,0.14927102707054374,0.0,0.14927102707054374,0.0
296183.0,2942.0,1.9128518344247691,0.1521674849762764,0.0,0.1521674849762764,0.0
299186.0,3003.0,2.0681743896197933,0.15532255519502414,0.0,0.15532255519502414,0.0
302245.0,3059.0,2.226393402720552,0.1582190131007586,0.0,0.1582190131007586,0.0
305358.0,3113.0,2.3874054288018414,0.1610120260812895,0.0,0.1610120260812895,0.0
308525.0,3167.0,2.55121046786366,0.16380503906181865,0.0,0.16380503906181865,0.0
