∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
826.0,826.0,0.0,0.0,0.0,0.0,0.0
1345.0,519.0,0.0,0.0,0.0,0.0,0.0
2084.0,739.0,0.0,0.0,0.0,0.0,0.0
3027.0,943.0,0.0,0.0,0.0,0.0,0.0
4166.0,1139.0,0.0,0.0,0.0,0.0,0.0
5477.0,1311.0,0.0,0.0,0.0,0.0,0.0
7089.0,1612.0,0.0,0.0,0.0,0.0,0.0
8855.0,1766.0,0.0,0.0,0.0,0.0,0.0
10674.0,1819.0,0.0,0.0,0.0,0.0,0.0
12609.0,1935.0,0.0,0.0,0.0,0.0,0.0
14689.0,2080.0,0.0,0.0,0.0,0.0,0.0
16909.0,2220.0,0.0,0.0,0.0,0.0,0.0
19299.0,2390.0,0.0,0.0,0.0,0.0,0.0
21896.0,2597.0,0.0,0.0,0.0,0.0,0.0
24702.0,2806.0,0.0,0.0,0.0,0.0,0.0
27657.0,2955.0,0.0,0.0,0.0,0.0,0.0
30675.0,3018.0,0.0,0.0,0.0,0.0,0.0
33771.0,3096.0,0.0,0.0,0.0,0.0,0.0
36959.0,3188.0,0.0,0.0,0.0,0.0,0.0
40225.0,3266.0,0.0,0.0,0.0,0.0,0.0
43565.0,3340.0,0.0,0.0,0.0,0.0,0.0
46987.0,3422.0,0.0,0.0,0.0,0.0,0.0
50491.0,3504.0,0.0,0.0,0.0,0.0,0.0
54054.0,3563.0,0.0,0.0,0.0,0.0,0.0
57636.0,3582.0,0.0,0.0,0.0,0.0,0.0
61230.0,3594.0,0.0,0.0,0.0,0.0,0.0
64830.0,3600.0,0.0,0.0,0.0,0.0,0.0
68430.0,3600.0,0.0,0.0,0.0,0.0,0.0
72030.0,3600.0,0.0,0.0,0.0,0.0,0.0
75630.0,3600.0,0.0,0.0,0.0,0.0,0.0
79230.0,3600.0,0.0,0.0,0.0,0.0,0.0
82830.0,3600.0,0.0,0.0,0.0,0.0,0.0
86430.0,3600.0,0.0,0.0,0.0,0.0,0.0
90030.0,3600.0,0.0,0.0,0.0,0.0,0.0
93630.0,3600.0,0.0,0.0,0.0,0.0,0.0
97230.0,3600.0,0.0,0.0,0.0,0.0,0.0
100830.0,3600.0,0.0,0.0,0.0,0.0,0.0
104430.0,3600.0,0.0,0.0,0.0,0.0,0.0
108030.0,3600.0,0.0,0.0,0.0,0.0,0.0
111630.0,3600.0,0.0,0.0,0.0,0.0,0.0
115230.0,3600.0,0.0,0.0,0.0,0.0,0.0
118830.0,3600.0,0.0,0.0,0.0,0.0,0.0
122430.0,3600.0,0.0,0.0,0.0,0.0,0.0
126030.0,3600.0,0.0,0.0,0.0,0.0,0.0
129630.0,3600.0,0.0,0.0,0.0,0.0,0.0
133230.0,3600.0,0.0,0.0,0.0,0.0,0.0
136830.0,3600.0,0.0,0.0,0.0,0.0,0.0
140430.0,3600.0,0.0,0.0,0.0,0.0,0.0
144030.0,3600.0,0.0,0.0,0.0,0.0,0.0
147630.0,3600.0,0.0,0.0,0.0,0.0,0.0
151230.0,3600.0,0.0,0.0,0.0,0.0,0.0
154830.0,3600.0,0.0,0.0,0.0,0.0,0.0
158430.0,3600.0,0.0,0.0,0.0,0.0,0.0
162030.0,3600.0,0.0,0.0,0.0,0.0,0.0
165630.0,3600.0,0.0,0.0,0.0,0.0,0.0
