iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,0.0,4.528638888885652,0.11881393431505671,0.3978998473047133,0.0,0.2598951420087765,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,5.257041666668016,3.574520047802565,0.45343342113447527,0.0,0.2209823417819763,NaN
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,5.257199074081342,3.4191192159939163,0.4436753649789278,0.0,0.1877600643463211,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.964280092596766,3.0992271858767992,0.4125477113128362,0.0,0.16009424263723204,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.1285601851787135,3.0586230539540793,0.41885394841000334,0.0,0.13852309343535651,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.071439814805174,2.87995010171511,0.4073072427976747,0.0,0.12072455676662486,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,-8.270717444247566e-11,3.907238425939923,2.129597987933714,0.3105155947163496,0.0,0.1060551724804597,1.078233188129729e11
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,8.270717444247566e-11,3.492840277760621,1.8488045497885253,0.2763437289783788,0.0,0.09497790813228235,NaN
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,3.9214004629723433,1.9931070590020994,0.30669193218975366,0.0,0.08660592905224007,NaN
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7143194444391554,1.8069334045751333,0.2872562567720678,0.0,0.07934302824406814,NaN
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,112.77247685182118,3.467633101856279,2.0091364182218925,0.30539808804743096,0.0,0.07240922860689736,0.005440998902310479
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,76.06927374263634,3.1028877314890053,2.1944224206462692,0.2954465551082439,0.0,0.08105937591957968,0.0031694891001247446
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,5.834896216312586,3.8796246602462077,2.467229691096911,0.3309770370471643,0.0,0.10998545289304928,0.0031639236085550804
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,18.189143891517432,4.313336354409671,2.5971964298183963,0.39947792214173106,0.0,0.12014904618609634,0.0029640559211544584
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,9.289690754263802,4.908482964307723,2.919085692093148,0.4755317176782494,0.0,0.11414561929320755,0.0029028757251998204
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.630775463008121,3.0705782034592914,0.5183724937945051,0.0,0.10810563593447498,0.0031781886590596733
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.535379629614425,2.831432092809905,0.4986631406789108,0.0,0.09766967456609166,0.003436159563973888
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.796930555562113,2.78969376902441,0.513612388223537,0.0,0.08683114862298069,0.0036894831099130686
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.536914351848139,2.4993762293697586,0.4829252913779758,0.0,0.07719150308806988,0.00405033626413524
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,3.7782592592298556,1.6311894342446465,0.3277393986260613,0.0,0.06901922323463694,0.00434390615814614
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,4.190687500021568,1.7498048022044301,0.3626248352312942,0.0,0.06280356906641416,0.004617230015162694
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.072357638902901,1.6100524316422948,0.34818914338854157,0.0,0.05793176414199053,0.0049104246061108334
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,3.9645972222065495,1.4990926935520292,0.3370225469462653,0.0,0.05369833286861336,0.005183332533018777
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,5.290687499985154,1.8737420584707536,0.4435389284784428,0.0,0.0500506107100982,0.0054435794848110355
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.0,5.635402777787476,1.8384220777027096,0.4649834179910073,0.0,0.04659719538085483,0.005774955469742937
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,5.632298611078966,1.7039214438736536,0.4601393041455957,0.0,0.043231857752957126,0.0060820573438319665
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,5.104656250034509,1.4388628575529125,0.4139261206243319,0.0,0.04014094919310196,0.006341974508174317
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.535402777732969,1.205471797953905,0.36662452960737824,0.0,0.03742889770394697,0.006699917201179725
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.863045138916618,1.2170700902998703,0.3910670153428306,0.0,0.03514153024820388,0.006987751945956009
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,21.089837215393032,3.3898483048881474,0.9169348375219926,0.28304093609073533,0.0,0.03236489817537702,0.006414896202368847
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,26.733400163886216,3.846696497930594,1.477833281827273,0.35109568008862624,0.0,0.0320752109104383,0.005715132013031886
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,7.942632930755735,6.1063003300490095,2.0404346987219952,0.5286126452966045,0.0,0.031217103212505037,0.005537862576007823
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,3.311129148642067e-10,6.41630208332046,1.6451041931309192,0.5191775607959102,0.0,0.03135700361232807,0.0057074054498705545
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,14.487152932175036,4.488799784054265,1.1315307756073452,0.36954586088459607,0.0,0.030643894689987405,0.005467056524016113
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,8.142475599294272,3.5094176987752235,1.0633914983035737,0.3021480609645977,0.0,0.029598095993932816,0.005320397346252904
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,3.311129148642067e-10,3.437387731487206,0.8539918025226427,0.2813345214671834,0.0,0.029441808588057228,0.00542007652863253
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,14.196686982658235,3.8828156889809406,0.9936473392482839,0.3248439308398865,0.0,0.029055192026579135,0.005225082000984958
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,8.432941548811073,3.865664525303089,1.1404018499273434,0.3319495790837905,0.0,0.02944763616115509,0.005089374792199818
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,0.0,5.020848379607912,1.1622699597349282,0.4064088102958401,0.0,0.02815229969220212,0.005184887097115376
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,0.0,6.196743055646039,1.2629524425633178,0.4893173048386501,0.0,0.027808672342427343,0.005340816644606984
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,0.0,6.135504629526338,1.152993137145657,0.4782744197374811,0.0,0.02709520580772562,0.005539905667589435
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,0.0,5.735504629656475,0.99689025247703,0.4441110630903502,0.0,0.026121129207222538,0.005786473350902897
44.0,2018.0,1.0,1.0,0.0,0.0,0.0,1791.0002777777777,0.0,4.542018518556233,0.7342569988853569,0.3509596879630088,0.0,0.02507810616444317,0.00596592191035557
45.0,2018.0,1.0,2.0,0.0,0.0,0.0,1815.0002777777777,15.321408562885921,1.8015069444616074,0.3029806188877302,0.14232261053577133,0.0,0.02354864934982004,0.005763924228292201
46.0,2018.0,1.0,3.0,0.0,0.0,0.0,1839.0002777777777,64.28485712301907,1.481876157324507,0.6363775710284472,0.2210344997959055,0.0,0.023549572081574155,0.004786854653728606
47.0,2018.0,1.0,4.0,0.0,0.0,0.0,1863.0002777777777,40.566415269431104,2.2182465278352765,1.0793900600612858,0.3587736785882356,0.0,0.023308219255820717,0.004318123794059164
48.0,2018.0,1.0,5.0,0.0,0.0,0.0,1887.0002777777777,217.03482300144572,1.484122685094576,0.7552975622042339,0.24998854957423333,0.0,0.0253143912638798,0.0028570983706384945
49.0,2018.0,1.0,6.0,0.0,0.0,0.0,1911.0002777777777,261.9672645611058,1.185781250284606,0.8668626851806209,0.2369156768855163,0.0,0.04058211676834489,0.0019853895123740223
50.0,2018.0,1.0,7.0,0.0,0.0,0.0,1935.0002777777777,103.26109953790706,2.5621423609363205,1.8850775920983978,0.4845058595258571,0.0,0.20889830652789598,0.0017599917668301253
51.0,2018.0,1.0,8.0,0.0,0.0,0.0,1959.0002777777777,11.564131943874258,3.741716435139381,2.6502539964312746,0.6702893245568156,0.0,0.40030557189400895,0.001754179744697523
52.0,2018.0,1.0,9.0,0.0,0.0,0.0,1983.0002777777777,3.7630343285854906e-10,5.312778935293238,3.6284781461276907,0.9177593169607547,0.0,0.39199540892737517,0.0017906661507430107
53.0,2018.0,1.0,10.0,0.0,0.0,0.0,2007.0002777777777,-3.7630343285854906e-10,5.616624999907856,3.713286147236005,0.9479858305459814,0.0,0.3282311760549277,0.0018506599584191246
54.0,2018.0,1.0,11.0,0.0,0.0,0.0,2031.0002777777777,0.0,4.441736111111652,2.859072954213133,0.7388837952287339,0.0,0.2730999231335325,0.0019098045521797266
55.0,2018.0,1.0,12.0,0.0,0.0,0.0,2055.0002777777777,0.0,4.666611111150644,2.9260556578588535,0.7655235785354044,0.0,0.23482571105506977,0.0019668838538643065
56.0,2018.0,1.0,13.0,0.0,0.0,0.0,2079.0002777777777,26.163749249644468,4.573846064776774,2.854130667277559,0.7594047612102912,0.0,0.20371078036039236,0.0019311960217513885
57.0,2018.0,1.0,14.0,0.0,0.0,0.0,2103.0002777777777,15.01723803758523,3.7789618827142704,2.401265308127577,0.6381061365828131,0.0,0.18851899762413638,0.001904699804609425
58.0,2018.0,1.0,15.0,0.0,0.0,0.0,2127.0002777777777,-6.622258297284134e-10,3.9466310590144076,2.3850473042437415,0.636898274079293,0.0,0.18375093269291654,0.0019503061622861018
59.0,2018.0,1.0,16.0,0.0,0.0,0.0,2151.0002777777777,0.0,3.94862499990046,2.313335228254658,0.6268559055039162,0.0,0.16779421173350073,0.002020426301756849
60.0,2018.0,1.0,17.0,0.0,0.0,0.0,2175.0002777777777,0.0,4.0513749999676065,2.306304136575619,0.6349864670879128,0.0,0.15079964028026183,0.00207913541408029
61.0,2018.0,1.0,18.0,0.0,0.0,0.0,2199.0002777777777,13.082351256764468,3.3135487831085015,1.868191219190237,0.5224782751710535,0.0,0.13659945817056496,0.0020669222748342887
62.0,2018.0,1.0,19.0,0.0,0.0,0.0,2223.0002777777777,93.43719331314475,1.3266938681466058,0.7962372206399522,0.22208687022801854,0.0,0.12732490244695072,0.0018814387764918596
63.0,2018.0,1.0,20.0,0.0,0.0,0.0,2247.0002777777777,48.07094907378371,1.44703125014928,0.9721240318649365,0.25511777686077863,0.0,0.15507100318972178,0.0018019443043199078
64.0,2018.0,1.0,21.0,0.0,0.0,0.0,2271.0002777777777,-4.0898839870351367e-10,3.90149305557793,2.459860817803275,0.6444222433569138,0.0,0.2049611983925992,0.001831091110346286
65.0,2018.0,1.0,22.0,0.0,0.0,0.0,2295.0002777777777,33.67416666710511,4.405928240753042,2.7657246577604866,0.736642815876074,0.0,0.20309918547221528,0.00178878231937395
66.0,2018.0,1.0,23.0,0.0,0.0,0.0,2319.0002777777777,28.92307934790807,1.9098124999549668,1.251404616998073,0.33285783281720427,0.0,0.19003087240605865,0.0017212918576993176
67.0,2018.0,1.0,24.0,0.0,0.0,0.0,2343.0002777777777,20.96742995660378,2.52471064805934,1.6417908206914689,0.4323556727576161,0.0,0.20420409113688365,0.001680904354068916
68.0,2018.0,1.0,25.0,0.0,0.0,0.0,2367.0002777777777,7.929961527636067,4.080433520712916,2.5965186256565147,0.6827033020766038,0.0,0.20887252893313502,0.0016951153995973618
69.0,2018.0,1.0,26.0,0.0,0.0,0.0,2391.0002777777777,0.0,3.9626679606031985,2.4201843726872028,0.6420577161289387,0.0,0.19788515771999116,0.001733794903242956
70.0,2018.0,1.0,27.0,0.0,0.0,0.0,2415.0002777777777,13.10308473979319,4.1979786129715535,2.5354786727931184,0.6831608609114639,0.0,0.1759692111583746,0.0017392950318059971
71.0,2018.0,1.0,28.0,0.0,0.0,0.0,2439.0002777777777,7.487408903490689,4.902111260753031,2.9259320368225303,0.7930845224410135,0.0,0.16306239663053645,0.0017619722413676946
72.0,2018.0,1.0,29.0,0.0,0.0,0.0,2463.0002777777777,0.0,5.099999999999454,2.880414182951199,0.794136243994231,0.0,0.14978068502994546,0.0018060685616713519
73.0,2018.0,1.0,30.0,0.0,0.0,0.0,2487.0002777777777,0.0,5.354453703683248,2.895615804865173,0.8175246678508543,0.0,0.13340683340737414,0.0018501380981334283
74.0,2018.0,1.0,31.0,0.0,0.0,0.0,2511.0002777777777,0.0,5.181932870388948,2.683005990682034,0.7777600388294488,0.0,0.11776653277568983,0.0018908777024583805
75.0,2018.0,2.0,1.0,0.0,0.0,0.0,2535.0002777777777,0.0,5.25445370368675,2.606963833297101,0.7772479747238847,0.0,0.10428359141175747,0.0019303103983863072
76.0,2018.0,2.0,2.0,0.0,0.0,0.0,2559.0002777777777,196.0451851841816,2.4691712963419263,1.2794318494360084,0.38389100038490653,0.0,0.0929729814950413,0.0016798970880575054
77.0,2018.0,2.0,3.0,0.0,0.0,0.0,2583.0002777777777,120.28583726331476,2.9996967591816883,1.975845980693265,0.8621463150249582,0.0,0.15832844974538673,0.001549827800221098
78.0,2018.0,2.0,4.0,0.0,0.0,0.0,2607.0002777777777,2.9494330934520008,2.7127956010808703,1.6828741860035734,0.7676418355799655,0.0,0.2869428230009028,0.001570637972927853
79.0,2018.0,2.0,5.0,0.0,0.0,0.0,2631.0002777777777,0.0,3.614314767842245,2.1844587572700505,0.9996022833259133,0.0,0.2937028260599561,0.001600481085574786
80.0,2018.0,2.0,6.0,0.0,0.0,0.0,2655.0002777777777,3.3714724875332536,3.984757202549531,2.361252549356948,1.0869102976696325,0.0,0.2655445873363398,0.0016329057907431784
81.0,2018.0,2.0,7.0,0.0,0.0,0.0,2679.0002777777777,1.986469332028662,4.116668924020814,2.403088144847402,1.112940756047422,0.0,0.238206450679737,0.0016647600954040264
82.0,2018.0,2.0,8.0,0.0,0.0,0.0,2703.0002777777777,0.0,4.022451388818013,2.288652462902661,1.0674042031858804,0.0,0.214079876642149,0.0017102039504843158
83.0,2018.0,2.0,9.0,0.0,0.0,0.0,2727.0002777777777,24.363472222873952,3.2525810186255626,1.8660873134019198,0.8791712310652002,0.0,0.1971894134690224,0.0016963937343867806
84.0,2018.0,2.0,10.0,0.0,0.0,0.0,2751.0002777777777,87.0574652774988,1.337923611076917,0.8150084534831592,0.38434188153927096,0.0,0.1816559568653986,0.0015935481588292381
85.0,2018.0,2.0,11.0,0.0,0.0,0.0,2775.0002777777777,206.34447916770796,0.21835416656858797,0.14503953600817,0.06775636745923208,0.0,0.25837311474238334,0.0014109940501904963
86.0,2018.0,2.0,12.0,0.0,0.0,0.0,2799.0002777777777,289.85578703300234,0.25015741065857355,0.18615314284909346,0.08713829888890245,0.0,1.3731031814251153,0.0012052000184537871
87.0,2018.0,2.0,13.0,0.0,0.0,0.0,2823.0002777777777,173.54709491003746,2.6334328671067055,1.9728760261051832,0.9299687352345956,0.0,10.53059802651228,0.001114008420738436
88.0,2018.0,2.0,14.0,0.0,0.0,0.0,2847.0002777777777,81.84763888955672,1.5683402778330446,1.1701902596571472,0.5490870872351223,0.0,8.19223421464585,0.0010941368505374026
89.0,2018.0,2.0,15.0,0.0,0.0,0.0,2871.0002777777777,143.00888889027647,0.9057777777610454,0.6794171560142104,0.32070581056660075,0.0,9.504347254564436,0.0010379615106330328
90.0,2018.0,2.0,16.0,0.0,0.0,0.0,2895.0002777777777,65.97517360941481,3.015943286916581,2.2449185776270326,1.0505273030636246,0.0,11.577059354498715,0.0010151762851262666
91.0,2018.0,2.0,17.0,0.0,0.0,0.0,2919.0002777777777,-8.412825991399586e-11,4.663327546436562,3.410726115771439,1.5639282148214306,0.0,4.388435809738667,0.0010205507872698785
92.0,2018.0,2.0,18.0,0.0,0.0,0.0,2943.0002777777777,4.718003765447065e-10,3.9954583333387177,2.8879791092596747,1.3057524498357225,0.0,2.5246435470588438,0.0010238559098276966
93.0,2018.0,2.0,19.0,0.0,0.0,0.0,2967.0002777777777,-1.1027623258996755e-10,3.6591041668334015,2.6111168176920785,1.171578289289485,0.0,1.858869538826724,0.0010262853862190835
94.0,2018.0,2.0,20.0,0.0,0.0,0.0,2991.0002777777777,53.67199074032612,2.0293240737419183,1.4438508774818217,0.6500920680281652,0.0,1.4044643092695281,0.0010047576985371363
95.0,2018.0,2.0,21.0,0.0,0.0,0.0,3015.0002777777777,78.52332176095274,2.1781655095214774,1.5851779359810507,0.7226220829982992,0.0,1.904925129580576,0.0009678963271976078
96.0,2018.0,2.0,22.0,0.0,0.0,0.0,3039.0002777777777,33.450415740610424,2.9327743055209226,2.1295597232568184,0.9681055090437596,0.0,2.4019993386040426,0.0009559507867401288
97.0,2018.0,2.0,23.0,0.0,0.0,0.0,3063.0002777777777,34.4667704577887,2.7578634259448904,1.9937950068614896,0.9016146073028395,0.0,2.0630900401070846,0.000935543962027015
98.0,2018.0,2.0,24.0,0.0,0.0,0.0,3087.0002777777777,16.887501300179792,3.0958935183070366,2.230855296850848,1.0062805387848144,0.0,1.9838913136702558,0.000923775117719038
99.0,2018.0,2.0,25.0,0.0,0.0,0.0,3111.0002777777777,-1.1311840353300795e-10,3.7180949075466287,2.634919844112801,1.1809223383179415,0.0,1.571575892803736,0.0009258767220303517
100.0,2018.0,2.0,26.0,0.0,0.0,0.0,3135.0002777777777,4.433786671143025e-10,4.0804814813278085,2.8428314872423925,1.2723141137534242,0.0,1.2392146596430962,0.0009295061707066477
101.0,2018.0,2.0,27.0,0.0,0.0,0.0,3159.0002777777777,29.539560184093148,2.543324074300017,1.7608762574024013,0.7904946282835255,0.0,1.0131754027206057,0.0009141075167748815
102.0,2018.0,2.0,28.0,0.0,0.0,0.0,3183.0002777777777,19.904715817110628,0.8939548609204166,0.6272675515547235,0.28282009943131925,0.0,1.0456402026027547,0.0009102780397940826
103.0,2018.0,3.0,1.0,0.0,0.0,0.0,3207.0002777777777,1.9136658184351063,1.7405070032096432,1.2033885726884535,0.5394335791130374,0.0,1.0293313118507967,0.0009270613442608981
104.0,2018.0,3.0,2.0,0.0,0.0,0.0,3231.0002777777777,1.738271748763509e-9,2.5403670401832983,1.7363239449715877,0.7779294054744241,0.0,0.9064004620315984,0.0009442855896626466
105.0,2018.0,3.0,3.0,0.0,0.0,0.0,3255.0002777777777,-1.595594767422881e-9,3.1701400461213893,2.0790023841518632,1.097694627052178,0.0,0.7808967040489421,0.0009621975202676199
106.0,2018.0,3.0,4.0,0.0,0.0,0.0,3279.0002777777777,3.4219738154206425e-10,3.6227118058152996,2.3151686818317216,1.2959965161478095,0.0,0.6692551184114564,0.000981636638572824
107.0,2018.0,3.0,5.0,0.0,0.0,0.0,3303.0002777777777,-1.2545342542580329e-9,4.079262731442668,2.563390953151554,1.4366776305682833,0.0,0.5726935193261511,0.0010016299982778837
108.0,2018.0,3.0,6.0,0.0,0.0,0.0,3327.0002777777777,2.5079316401388496e-9,4.362873842586055,2.69182564990723,1.5116281451433622,0.0,0.48872714109865,0.001022335654953112
109.0,2018.0,3.0,7.0,0.0,0.0,0.0,3351.0002777777777,6.380229886078155,3.130303240476337,1.9123823629106766,1.0781411294356928,0.0,0.43106149137916816,0.0010355820284771052
110.0,2018.0,3.0,8.0,0.0,0.0,0.0,3375.0002777777777,95.12574077420595,1.589994212658155,1.0129427400741804,0.576984228237805,0.0,0.3793360785906117,0.001004349139819784
111.0,2018.0,3.0,9.0,0.0,0.0,0.0,3399.0002777777777,109.99254786049619,1.874809028021616,1.2752338483236656,0.7240331709129038,0.0,0.6226377159364063,0.0009560096001529463
