∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682.0,1682.0,0.0,0.0,0.0,0.0,0.0
3249.0,1567.0,0.0,0.0,0.0,0.0,0.0
4707.0,1458.0,0.0,0.0,0.0,0.0,0.0
6280.0,1573.0,0.0,0.0,0.0,0.0,0.0
7821.0,1541.0,0.0,0.0,0.0,0.0,0.0
9385.0,1564.0,0.0,0.0,0.0,0.0,0.0
10986.0,1601.0,0.0,0.0,0.0,0.0,0.0
12668.0,1682.0,0.0,0.0,0.0,0.0,0.0
14501.0,1833.0,0.0,0.0,0.0,0.0,0.0
16432.0,1931.0,0.0,0.0,0.0,0.0,0.0
18511.0,2079.0,0.0,0.0,0.0,0.0,0.0
20799.0,2288.0,0.0,0.0,0.0,0.0,0.0
23168.0,2369.0,0.0,0.0,0.0,0.0,0.0
25415.0,2247.0,0.0,0.0,0.0,0.0,0.0
27561.0,2146.0,0.0,0.0,0.0,0.0,0.0
29666.0,2105.0,0.0,0.0,0.0,0.0,0.0
31761.0,2095.0,0.0,0.0,0.0,0.0,0.0
33862.0,2101.0,0.0,0.0,0.0,0.0,0.0
35978.0,2116.0,0.0,0.0,0.0,0.0,0.0
38109.0,2131.0,0.0,0.0,0.0,0.0,0.0
40254.0,2145.0,0.0,0.0,0.0,0.0,0.0
42420.0,2166.0,0.0,0.0,0.0,0.0,0.0
44616.0,2196.0,0.0,0.0,0.0,0.0,0.0
46849.0,2233.0,0.0,0.0,0.0,0.0,0.0
49128.0,2279.0,0.0,0.0,0.0,0.0,0.0
51453.0,2325.0,0.0,0.0,0.0,0.0,0.0
53824.0,2371.0,0.0,0.0,0.0,0.0,0.0
56247.0,2423.0,0.0,0.0,0.0,0.0,0.0
58730.0,2483.0,0.0,0.0,0.0,0.0,0.0
61284.0,2554.0,0.0,0.0,0.0,0.0,0.0
63922.0,2638.0,0.0,0.0,0.0,0.0,0.0
66647.0,2725.0,0.0,0.0,0.0,0.0,0.0
69457.0,2810.0,0.0,0.0,0.0,0.0,0.0
72342.0,2885.0,0.0,0.0,0.0,0.0,0.0
75297.0,2955.0,0.0,0.0,0.0,0.0,0.0
78311.0,3014.0,0.0,0.0,0.0,0.0,0.0
81367.0,3056.0,0.0,0.0,0.0,0.0,0.0
84443.0,3076.0,0.0,0.0,0.0,0.0,0.0
87523.0,3080.0,0.0,0.0,0.0,0.0,0.0
90607.0,3084.0,0.0,0.0,0.0,0.0,0.0
93696.0,3089.0,0.0,0.0,0.0,0.0,0.0
96788.0,3092.0,0.0,0.0,0.0,0.0,0.0
99884.0,3096.0,0.0,0.0,0.0,0.0,0.0
102984.0,3100.0,0.0,0.0,0.0,0.0,0.0
106087.0,3103.0,0.0,0.0,0.0,0.0,0.0
109194.0,3107.0,0.0,0.0,0.0,0.0,0.0
112305.0,3111.0,0.0,0.0,0.0,0.0,0.0
115420.0,3115.0,0.0,0.0,0.0,0.0,0.0
118539.0,3119.0,0.0,0.0,0.0,0.0,0.0
121662.0,3123.0,0.0,0.0,0.0,0.0,0.0
124789.0,3127.0,0.0,0.0,0.0,0.0,0.0
127921.0,3132.0,0.0,0.0,0.0,0.0,0.0
131057.0,3136.0,0.0,0.0,0.0,0.0,0.0
134197.0,3140.0,0.0,0.0,0.0,0.0,0.0
137342.0,3145.0,0.0,0.0,0.0,0.0,0.0
140492.0,3150.0,0.0,0.0,0.0,0.0,0.0
143646.0,3154.0,0.0,0.0,0.0,0.0,0.0
146805.0,3159.0,0.0,0.0,0.0,0.0,0.0
149969.0,3164.0,0.0,0.0,0.0,0.0,0.0
153138.0,3169.0,0.0,0.0,0.0,0.0,0.0
156312.0,3174.0,0.0,0.0,0.0,0.0,0.0
159491.0,3179.0,0.0,0.0,0.0,0.0,0.0
162675.0,3184.0,0.0,0.0,0.0,0.0,0.0
165864.0,3189.0,0.0,0.0,0.0,0.0,0.0
169058.0,3194.0,0.0,0.0,0.0,0.0,0.0
172258.0,3200.0,0.0,0.0,0.0,0.0,0.0
175463.0,3205.0,0.0,0.0,0.0,0.0,0.0
178674.0,3211.0,0.0,0.0,0.0,0.0,0.0
181891.0,3217.0,0.0,0.0,0.0,0.0,0.0
185113.0,3222.0,0.0,0.0,0.0,0.0,0.0
188341.0,3228.0,0.0,0.0,0.0,0.0,0.0
191574.0,3233.0,0.0,0.0,0.0,0.0,0.0
194812.0,3238.0,0.0,0.0,0.0,0.0,0.0
198054.0,3242.0,0.0,0.0,0.0,0.0,0.0
