∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2213.0,2213.0,0.0,0.0,0.0,0.0,0.0
4268.0,2055.0,0.0,0.0,0.0,0.0,0.0
6263.0,1995.0,0.0,0.0,0.0,0.0,0.0
8403.0,2140.0,0.0,0.0,0.0,0.0,0.0
10769.0,2366.0,0.0,0.0,0.0,0.0,0.0
13362.0,2593.0,0.0,0.0,0.0,0.0,0.0
16199.0,2837.0,0.0,0.0,0.0,0.0,0.0
19194.0,2995.0,0.0,0.0,0.0,0.0,0.0
22335.0,3141.0,0.0,0.0,0.0,0.0,0.0
25593.0,3258.0,0.0,0.0,0.0,0.0,0.0
28937.0,3344.0,0.0,0.0,0.0,0.0,0.0
32347.0,3410.0,0.0,0.0,0.0,0.0,0.0
35780.0,3433.0,0.0,0.0,0.0,0.0,0.0
39234.0,3454.0,0.0,0.0,0.0,0.0,0.0
42708.0,3474.0,0.0,0.0,0.0,0.0,0.0
46202.0,3494.0,0.0,0.0,0.0,0.0,0.0
49713.0,3511.0,0.0,0.0,0.0,0.0,0.0
53242.0,3529.0,0.0,0.0,0.0,0.0,0.0
56786.0,3544.0,0.0,0.0,0.0,0.0,0.0
60345.0,3559.0,0.0,0.0,0.0,0.0,0.0
63917.0,3572.0,0.0,0.0,0.0,0.0,0.0
67501.0,3584.0,0.0,0.0,0.0,0.0,0.0
71095.0,3594.0,0.0,0.0,0.0,0.0,0.0
74695.0,3600.0,0.0,0.0,0.0,0.0,0.0
78295.0,3600.0,0.0,0.0,0.0,0.0,0.0
81895.0,3600.0,0.0,0.0,0.0,0.0,0.0
85495.0,3600.0,0.0,0.0,0.0,0.0,0.0
89095.0,3600.0,0.0,0.0,0.0,0.0,0.0
92695.0,3600.0,0.0,0.0,0.0,0.0,0.0
96295.0,3600.0,0.0,0.0,0.0,0.0,0.0
99895.0,3600.0,0.0,0.0,0.0,0.0,0.0
103495.0,3600.0,0.0,0.0,0.0,0.0,0.0
107095.0,3600.0,0.0,0.0,0.0,0.0,0.0
110695.0,3600.0,0.0,0.0,0.0,0.0,0.0
114295.0,3600.0,0.0,0.0,0.0,0.0,0.0
117895.0,3600.0,0.0,0.0,0.0,0.0,0.0
121495.0,3600.0,0.0,0.0,0.0,0.0,0.0
125095.0,3600.0,0.0,0.0,0.0,0.0,0.0
128695.0,3600.0,0.0,0.0,0.0,0.0,0.0
132295.0,3600.0,0.0,0.0,0.0,0.0,0.0
135895.0,3600.0,0.0,0.0,0.0,0.0,0.0
139495.0,3600.0,0.0,0.0,0.0,0.0,0.0
143095.0,3600.0,0.0,0.0,0.0,0.0,0.0
146695.0,3600.0,0.0,0.0,0.0,0.0,0.0
150295.0,3600.0,0.0,0.0,0.0,0.0,0.0
153895.0,3600.0,0.0,0.0,0.0,0.0,0.0
157495.0,3600.0,0.0,0.0,0.0,0.0,0.0
161095.0,3600.0,0.0,0.0,0.0,0.0,0.0
164695.0,3600.0,0.0,0.0,0.0,0.0,0.0
168295.0,3600.0,0.0,0.0,0.0,0.0,0.0
171895.0,3600.0,0.0,0.0,0.0,0.0,0.0
175495.0,3600.0,0.0,0.0,0.0,0.0,0.0
179095.0,3600.0,0.0,0.0,0.0,0.0,0.0
182695.0,3600.0,0.0,0.0,0.0,0.0,0.0
186295.0,3600.0,0.0,0.0,0.0,0.0,0.0
189895.0,3600.0,0.0,0.0,0.0,0.0,0.0
193495.0,3600.0,0.0,0.0,0.0,0.0,0.0
197095.0,3600.0,0.0,0.0,0.0,0.0,0.0
200695.0,3600.0,0.0,0.0,0.0,0.0,0.0
204295.0,3600.0,0.0,0.0,0.0,0.0,0.0
207895.0,3600.0,0.0,0.0,0.0,0.0,0.0
211495.0,3600.0,0.0,0.0,0.0,0.0,0.0
215095.0,3600.0,0.0,0.0,0.0,0.0,0.0
218695.0,3600.0,0.0,0.0,0.0,0.0,0.0
222295.0,3600.0,0.0,0.0,0.0,0.0,0.0
225895.0,3600.0,0.0,0.0,0.0,0.0,0.0
229495.0,3600.0,0.0,0.0,0.0,0.0,0.0
233095.0,3600.0,0.0,0.0,0.0,0.0,0.0
236695.0,3600.0,0.0,0.0,0.0,0.0,0.0
240295.0,3600.0,0.0,0.0,0.0,0.0,0.0
243895.0,3600.0,0.0,0.0,0.0,0.0,0.0
247495.0,3600.0,0.0,0.0,0.0,0.0,0.0
251095.0,3600.0,0.0,0.0,0.0,0.0,0.0
254695.0,3600.0,0.0,0.0,0.0,0.0,0.0
258295.0,3600.0,0.0,0.0,0.0,0.0,0.0
261895.0,3600.0,0.0,0.0,0.0,0.0,0.0
265495.0,3600.0,0.0,0.0,0.0,0.0,0.0
269095.0,3600.0,0.0,0.0,0.0,0.0,0.0
272695.0,3600.0,0.0,0.0,0.0,0.0,0.0
276295.0,3600.0,0.0,0.0,0.0,0.0,0.0
279895.0,3600.0,0.0,0.0,0.0,0.0,0.0
283495.0,3600.0,0.0,0.0,0.0,0.0,0.0
287095.0,3600.0,0.0,0.0,0.0,0.0,0.0
290695.0,3600.0,0.0,0.0,0.0,0.0,0.0
294295.0,3600.0,0.0,0.0,0.0,0.0,0.0
297895.0,3600.0,0.0,0.0,0.0,0.0,0.0
301495.0,3600.0,0.0,0.0,0.0,0.0,0.0
305095.0,3600.0,0.0,0.0,0.0,0.0,0.0
308695.0,3600.0,0.0,0.0,0.0,0.0,0.0
312295.0,3600.0,0.0,0.0,0.0,0.0,0.0
315895.0,3600.0,0.0,0.0,0.0,0.0,0.0
319495.0,3600.0,0.0,0.0,0.0,0.0,0.0
323095.0,3600.0,0.0,0.0,0.0,0.0,0.0
326695.0,3600.0,0.0,0.0,0.0,0.0,0.0
330295.0,3600.0,0.0,0.0,0.0,0.0,0.0
333895.0,3600.0,0.0,0.0,0.0,0.0,0.0
337495.0,3600.0,0.0,0.0,0.0,0.0,0.0
341095.0,3600.0,0.0,0.0,0.0,0.0,0.0
344695.0,3600.0,0.0,0.0,0.0,0.0,0.0
348295.0,3600.0,0.03117009874327481,0.03117009874327481,0.0,0.03117009874327481,0.0
351778.0,3483.0,0.07145412617289404,0.04028402742961923,0.0,0.04028402742961923,0.0
355181.0,3403.0,0.11081288165466097,0.03935875548176693,0.0,0.03935875548176693,0.0
358596.0,3415.0,0.15031042792860605,0.03949754627394508,0.0,0.03949754627394508,0.0
362033.0,3437.0,0.1900624239882105,0.039751996059604444,0.0,0.039751996059604444,0.0
365496.0,3463.0,0.23011513343086643,0.04005270944265593,0.0,0.04005270944265593,0.0
368988.0,3492.0,0.27050325395461927,0.040388120523752846,0.0,0.040388120523752846,0.0
372508.0,3520.0,0.31121521966012056,0.040711965705501285,0.0,0.040711965705501285,0.0
376054.0,3546.0,0.35222789874867333,0.04101267908855277,0.0,0.04101267908855277,0.0
379625.0,3571.0,0.3935297253209309,0.04130182657225756,0.0,0.04130182657225756,0.0
383215.0,3590.0,0.4350513039808024,0.041521578659871494,0.0,0.041521578659871494,0.0
386815.0,3600.0,0.47668854163415597,0.04163723765335359,0.0,0.04163723765335359,0.0
390415.0,3600.0,0.5183257792875087,0.0416372376533527,0.0,0.0416372376533527,0.0
394015.0,3600.0,0.5599630169408623,0.04163723765335359,0.0,0.04163723765335359,0.0
397615.0,3600.0,0.6016002545942158,0.04163723765335359,0.0,0.04163723765335359,0.0
401215.0,3600.0,0.6432374922475685,0.0416372376533527,0.0,0.0416372376533527,0.0
404815.0,3600.0,0.6848747299009221,0.04163723765335359,0.0,0.04163723765335359,0.0
408415.0,3600.0,0.7265119675542757,0.04163723765335359,0.0,0.04163723765335359,0.0
412015.0,3600.0,0.7681492052076293,0.04163723765335359,0.0,0.04163723765335359,0.0
415615.0,3600.0,0.809786442860982,0.0416372376533527,0.0,0.0416372376533527,0.0
419215.0,3600.0,0.8514236805143356,0.04163723765335359,0.0,0.04163723765335359,0.0
422815.0,3600.0,0.8930609181676892,0.04163723765335359,0.0,0.04163723765335359,0.0
426415.0,3600.0,0.9346981558210428,0.04163723765335359,0.0,0.04163723765335359,0.0
430015.0,3600.0,0.9763353934743955,0.0416372376533527,0.0,0.0416372376533527,0.0
433266.0,3251.0,1.0924727946107886,0.11613740113639315,0.0,0.11613740113639316,0.0
436537.0,3271.0,1.3332222467695836,0.24074945215879495,0.0,0.24074945215879498,0.0
439616.0,3079.0,1.5598402728157232,0.22661802604613968,0.0,0.22661802604613968,0.0
442616.0,3000.0,1.7806438058259353,0.22080353301021205,0.0,0.22080353301021208,0.0
445554.0,2938.0,1.9968840658205984,0.21624025999466312,0.0,0.2162402599946631,0.0
448442.0,2888.0,2.209444266931758,0.21256020111115959,0.0,0.21256020111115956,0.0
451282.0,2840.0,2.41847161151475,0.2090273445829922,0.0,0.2090273445829922,0.0
454096.0,2814.0,2.6255853254783297,0.20711371396357947,0.0,0.2071137139635795,0.0
456879.0,2783.0,2.8304174029341276,0.2048320774557979,0.0,0.2048320774557979,0.0
459640.0,2761.0,3.033630254481192,0.2032128515470646,0.0,0.20321285154706456,0.0
462388.0,2748.0,3.235886290718536,0.202256036237344,0.0,0.202256036237344,0.0
465125.0,2737.0,3.437332714001517,0.2014464232829809,0.0,0.2014464232829809,0.0
467842.0,2717.0,3.6373071137310937,0.19997439972957665,0.0,0.19997439972957665,0.0
470547.0,2705.0,3.836398299328632,0.19909118559753836,0.0,0.19909118559753836,0.0
473243.0,2696.0,4.034827074327136,0.1984287749985043,0.0,0.19842877499850434,0.0
475934.0,2691.0,4.232887843437293,0.1980607691101568,0.0,0.1980607691101568,0.0
478614.0,2680.0,4.43013899959308,0.1972511561557866,0.0,0.19725115615578656,0.0
481282.0,2668.0,4.626506941616821,0.1963679420237412,0.0,0.1963679420237412,0.0
483942.0,2660.0,4.822286074219203,0.19577913260238233,0.0,0.19577913260238233,0.0
486596.0,2654.0,5.01762359975557,0.19533752553636674,0.0,0.19533752553636674,0.0
489246.0,2650.0,5.21266672058125,0.1950431208256802,0.0,0.1950431208256802,0.0
491892.0,2646.0,5.407415436696258,0.19474871611500788,0.0,0.19474871611500785,0.0
494528.0,2636.0,5.601428141034557,0.19401270433829865,0.0,0.19401270433829865,0.0
497156.0,2628.0,5.794852035951497,0.1934238949169398,0.0,0.1934238949169398,0.0
499779.0,2623.0,5.987907924980089,0.19305588902859228,0.0,0.19305588902859228,0.0
502398.0,2619.0,6.180669409298002,0.19276148431791285,0.0,0.19276148431791287,0.0
505014.0,2616.0,6.373210090082903,0.1925406807849015,0.0,0.19254068078490147,0.0
507629.0,2615.0,6.5656771696901295,0.1924670796072263,0.0,0.1924670796072263,0.0
510237.0,2608.0,6.757629041053672,0.19195187136354264,0.0,0.19195187136354264,0.0
512838.0,2601.0,6.949065704173524,0.19143666311985186,0.0,0.19143666311985186,0.0
515434.0,2596.0,7.140134361405021,0.19106865723149724,0.0,0.19106865723149724,0.0
518027.0,2593.0,7.330982215103507,0.1908478536984859,0.0,0.1908478536984859,0.0
520618.0,2591.0,7.35843545437445,0.02745323927094301,0.0,0.02745323927094301,0.0
523561.0,2943.0,7.35843545437445,0.0,0.0,0.0,0.0
526667.0,3106.0,7.35843545437445,0.0,0.0,0.0,0.0
529896.0,3229.0,7.35843545437445,0.0,0.0,0.0,0.0
533251.0,3355.0,7.35843545437445,0.0,0.0,0.0,0.0
536741.0,3490.0,7.35843545437445,0.0,0.0,0.0,0.0
540297.0,3556.0,7.35843545437445,0.0,0.0,0.0,0.0
543897.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
547497.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
551097.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
554697.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
558297.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
561897.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
565497.0,3600.0,7.35843545437445,0.0,0.0,0.0,0.0
