iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,0.0,4.529986111118703,0.12449651310704724,0.47633617901044545,0.0,0.17837129910649452,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,5.255020833313665,3.7265453814959955,0.5387367966889602,0.0,0.1557482973540285,NaN
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,5.2583217592838025,3.5159884766804197,0.5226359852669376,0.0,0.13535770067065833,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.964167824071154,3.1539692324781896,0.482954660385559,0.0,0.11756129771788437,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.128335648141672,3.088952834180162,0.48839373165827027,0.0,0.10253452238821481,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.071664351842216,2.8881007053226,0.47328557998286414,0.0,0.08991057647115319,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,8.270717444247566e-11,3.909146990747999,2.1281788173119196,0.36028545128053047,0.0,0.07929745196006088,1.262288758709024e10
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.4925034722118085,1.8562984209272528,0.32113783693360176,0.0,0.07049155294567733,NaN
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,3.920839120385125,2.0161270335837855,0.35732841607700117,0.0,0.06324525860086361,NaN
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7149930555448805,1.8361407091363233,0.33507503194924126,0.0,0.057159319179834966,NaN
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,113.10004629629105,3.4780034722316486,2.1082257635809185,0.36415781433169414,0.0,0.05167294023103253,0.000620356356130003
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,75.45449538097103,3.04822453704341,2.494169359044321,0.3664768843851114,0.0,0.047505673550087835,0.0003666552573634136
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,6.122105133673585,3.9595445496711648,3.029619987469772,0.43607923934498416,0.0,0.04547334028988459,0.00036493201385241655
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,17.6898178451286,4.206266267765955,2.9827063500374322,0.49105807006170465,0.0,0.043369275715601674,0.00034031979576684473
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,9.78901680032152,4.889142420781894,3.3653499379938268,0.5915786332051347,0.0,0.04485746015923198,0.00033472441499555637
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.621840277791051,3.4769700334634024,0.6368678552728824,0.0,0.04546852108350308,0.0003500755953627497
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.542527777794476,3.0916019172997835,0.600950931653724,0.0,0.045223657827474284,0.00036963258419947737
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.786208333306774,2.9337627126497665,0.6068108362675595,0.0,0.04406657691070848,0.00039617706130247454
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.549423611110228,2.5717089447761197,0.5662133731248957,0.0,0.042172831408022304,0.0004249759308696537
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,1.6555645743210334e-10,3.8194305555895482,1.6629690113227582,0.38484160264353307,0.0,0.03982899033636045,0.0004522713808841198
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,4.158562499955337,1.7416233654200326,0.4172297847648103,0.0,0.03736583840569274,0.0004762161186254051
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.09198958334386,1.628177495434528,0.4053718817046317,0.0,0.03498328691154029,0.0005055835471373341
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,3.9574583333459543,1.5095566476376021,0.38956995842601216,0.0,0.0327183021877957,0.0005395208510836661
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,5.258562499993474,1.906675126309871,0.5104614880681595,0.0,0.030615425492062087,0.0005660359172974484
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.0,5.642541666687407,1.932421597794331,0.5382984405220483,0.0,0.02865061004368208,0.0006006356797464561
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,5.628729166656569,1.8414007661099205,0.5304920287102775,0.0,0.02678087690701325,0.0006417546775769258
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,5.1207187500014015,1.6229427521871713,0.47808198971945615,0.0,0.02500968555285965,0.0006780203573349237
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.542541666688095,1.394666324797953,0.4223030916411794,0.0,0.023346729689777135,0.0007092200481204794
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.850552083361066,1.4448025967273281,0.44832922943704645,0.0,0.02181302107837979,0.0007414898824208854
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,21.72226386684997,3.5307518495636145,1.059256569535279,0.3417705793668091,0.0,0.020644407848481094,0.0006822204832739927
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,25.846652108444346,3.7466571090396883,1.4769166823565456,0.4066748005889167,0.0,0.018789117465518146,0.0006120118937620999
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,8.19695433507178,6.076977840931107,2.2594199923692173,0.632178208906435,0.0,0.01802243991899921,0.0005954155339898276
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,0.0,6.426520833298497,1.9049038260623803,0.6212372593406492,0.0,0.017078633334465465,0.0006092112161834901
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,14.315073465096475,4.53020642056768,1.2901325058426778,0.4427890054051211,0.0,0.016158097096049318,0.000581934427459652
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,8.314555066703946,3.626594395550825,1.1923055620506204,0.372588289696818,0.0,0.01575931935887276,0.000566910080989134
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,-3.311129148642067e-10,3.4348356481538644,0.9863524007032964,0.33564064448421504,0.0,0.014785608186492993,0.0005793396143380424
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,14.779452301149263,3.9032507856357483,1.1442830387672416,0.3909921709412565,0.0,0.014215882735452823,0.0005549576201746387
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,7.850176230982271,3.690848641640116,1.2233272156450568,0.380319416226893,0.0,0.013516714485376724,0.0005426789565444517
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,0.0,4.976418981430925,1.3914040883241796,0.48304194544831347,0.0,0.013196022528259022,0.0005519525541899009
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,0.0,6.185152777805115,1.5712016023993272,0.5810299218966399,0.0,0.012762616528886994,0.0005639405421964595
