∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.0,0.0,0.0,0.0,0.0,0.0
10.0,4.0,0.0,0.0,0.0,0.0,0.0
14.0,4.0,0.0,0.0,0.0,0.0,0.0
18.0,4.0,0.0,0.0,0.0,0.0,0.0
22.0,4.0,0.0,0.0,0.0,0.0,0.0
26.0,4.0,0.0,0.0,0.0,0.0,0.0
31.0,5.0,0.0,0.0,0.0,0.0,0.0
36.0,5.0,0.0,0.0,0.0,0.0,0.0
41.0,5.0,0.0,0.0,0.0,0.0,0.0
46.0,5.0,0.0,0.0,0.0,0.0,0.0
51.0,5.0,0.0,0.0,0.0,0.0,0.0
56.0,5.0,0.0,0.0,0.0,0.0,0.0
62.0,6.0,0.0,0.0,0.0,0.0,0.0
68.0,6.0,0.0,0.0,0.0,0.0,0.0
74.0,6.0,0.0,0.0,0.0,0.0,0.0
81.0,7.0,0.0,0.0,0.0,0.0,0.0
95.0,14.0,0.0,0.0,0.0,0.0,0.0
111.0,16.0,0.0,0.0,0.0,0.0,0.0
121.0,10.0,0.0,0.0,0.0,0.0,0.0
129.0,8.0,0.0,0.0,0.0,0.0,0.0
136.0,7.0,0.0,0.0,0.0,0.0,0.0
143.0,7.0,0.0,0.0,0.0,0.0,0.0
151.0,8.0,0.0,0.0,0.0,0.0,0.0
159.0,8.0,0.0,0.0,0.0,0.0,0.0
168.0,9.0,0.0,0.0,0.0,0.0,0.0
177.0,9.0,0.0,0.0,0.0,0.0,0.0
202.0,25.0,0.0,0.0,0.0,0.0,0.0
214.0,12.0,0.0,0.0,0.0,0.0,0.0
224.0,10.0,0.0,0.0,0.0,0.0,0.0
235.0,11.0,0.0,0.0,0.0,0.0,0.0
524.0,289.0,0.0,0.0,0.0,0.0,0.0
533.0,9.0,0.0,0.0,0.0,0.0,0.0
540.0,7.0,0.0,0.0,0.0,0.0,0.0
552.0,12.0,0.0,0.0,0.0,0.0,0.0
573.0,21.0,0.0,0.0,0.0,0.0,0.0
580.0,7.0,0.0,0.0,0.0,0.0,0.0
590.0,10.0,0.0,0.0,0.0,0.0,0.0
599.0,9.0,0.0,0.0,0.0,0.0,0.0
607.0,8.0,0.0,0.0,0.0,0.0,0.0
615.0,8.0,0.0,0.0,0.0,0.0,0.0
622.0,7.0,0.0,0.0,0.0,0.0,0.0
629.0,7.0,0.0,0.0,0.0,0.0,0.0
636.0,7.0,0.0,0.0,0.0,0.0,0.0
643.0,7.0,0.0,0.0,0.0,0.0,0.0
650.0,7.0,0.0,0.0,0.0,0.0,0.0
657.0,7.0,0.0,0.0,0.0,0.0,0.0
664.0,7.0,0.0,0.0,0.0,0.0,0.0
672.0,8.0,0.0,0.0,0.0,0.0,0.0
680.0,8.0,0.0,0.0,0.0,0.0,0.0
686.0,6.0,0.0,0.0,0.0,0.0,0.0
693.0,7.0,0.0,0.0,0.0,0.0,0.0
699.0,6.0,0.0,0.0,0.0,0.0,0.0
705.0,6.0,0.0,0.0,0.0,0.0,0.0
711.0,6.0,0.0,0.0,0.0,0.0,0.0
717.0,6.0,0.0,0.0,0.0,0.0,0.0
722.0,5.0,0.0,0.0,0.0,0.0,0.0
727.0,5.0,0.0,0.0,0.0,0.0,0.0
732.0,5.0,0.0,0.0,0.0,0.0,0.0
737.0,5.0,0.0,0.0,0.0,0.0,0.0
742.0,5.0,0.0,0.0,0.0,0.0,0.0
747.0,5.0,0.0,0.0,0.0,0.0,0.0
752.0,5.0,0.0,0.0,0.0,0.0,0.0
757.0,5.0,0.0,0.0,0.0,0.0,0.0
762.0,5.0,0.0,0.0,0.0,0.0,0.0
767.0,5.0,0.0,0.0,0.0,0.0,0.0
773.0,6.0,0.0,0.0,0.0,0.0,0.0
779.0,6.0,0.0,0.0,0.0,0.0,0.0
785.0,6.0,0.0,0.0,0.0,0.0,0.0
791.0,6.0,0.0,0.0,0.0,0.0,0.0
797.0,6.0,0.0,0.0,0.0,0.0,0.0
803.0,6.0,0.0,0.0,0.0,0.0,0.0
809.0,6.0,0.0,0.0,0.0,0.0,0.0
815.0,6.0,0.0,0.0,0.0,0.0,0.0
821.0,6.0,0.0,0.0,0.0,0.0,0.0
828.0,7.0,0.0,0.0,0.0,0.0,0.0
835.0,7.0,0.0,0.0,0.0,0.0,0.0
844.0,9.0,0.0,0.0,0.0,0.0,0.0
853.0,9.0,0.0,0.0,0.0,0.0,0.0
862.0,9.0,0.0,0.0,0.0,0.0,0.0
871.0,9.0,0.0,0.0,0.0,0.0,0.0
880.0,9.0,0.0,0.0,0.0,0.0,0.0
889.0,9.0,0.0,0.0,0.0,0.0,0.0
899.0,10.0,0.0,0.0,0.0,0.0,0.0
911.0,12.0,0.0,0.0,0.0,0.0,0.0
926.0,15.0,0.0,0.0,0.0,0.0,0.0
952.0,26.0,0.0,0.0,0.0,0.0,0.0
961.0,9.0,0.0,0.0,0.0,0.0,0.0
975.0,14.0,0.0,0.0,0.0,0.0,0.0
990.0,15.0,0.0,0.0,0.0,0.0,0.0
999.0,9.0,0.0,0.0,0.0,0.0,0.0
1010.0,11.0,0.0,0.0,0.0,0.0,0.0
1021.0,11.0,0.0,0.0,0.0,0.0,0.0
1030.0,9.0,0.0,0.0,0.0,0.0,0.0
1039.0,9.0,0.0,0.0,0.0,0.0,0.0
1047.0,8.0,0.0,0.0,0.0,0.0,0.0
1055.0,8.0,0.0,0.0,0.0,0.0,0.0
1063.0,8.0,0.0,0.0,0.0,0.0,0.0
1071.0,8.0,0.0,0.0,0.0,0.0,0.0
1079.0,8.0,0.0,0.0,0.0,0.0,0.0
1087.0,8.0,0.0,0.0,0.0,0.0,0.0
1095.0,8.0,0.0,0.0,0.0,0.0,0.0
1103.0,8.0,0.0,0.0,0.0,0.0,0.0
1112.0,9.0,0.0,0.0,0.0,0.0,0.0
1124.0,12.0,0.0,0.0,0.0,0.0,0.0
1132.0,8.0,0.0,0.0,0.0,0.0,0.0
1140.0,8.0,0.0,0.0,0.0,0.0,0.0
1148.0,8.0,0.0,0.0,0.0,0.0,0.0
1155.0,7.0,0.0,0.0,0.0,0.0,0.0
1162.0,7.0,0.0,0.0,0.0,0.0,0.0
1169.0,7.0,0.0,0.0,0.0,0.0,0.0
1176.0,7.0,0.0,0.0,0.0,0.0,0.0
1183.0,7.0,0.0,0.0,0.0,0.0,0.0
1190.0,7.0,0.0,0.0,0.0,0.0,0.0
1197.0,7.0,0.0,0.0,0.0,0.0,0.0
1204.0,7.0,0.0,0.0,0.0,0.0,0.0
1211.0,7.0,0.0,0.0,0.0,0.0,0.0
1218.0,7.0,0.0,0.0,0.0,0.0,0.0
1226.0,8.0,0.0,0.0,0.0,0.0,0.0
1234.0,8.0,0.0,0.0,0.0,0.0,0.0
1242.0,8.0,0.0,0.0,0.0,0.0,0.0
1251.0,9.0,0.0,0.0,0.0,0.0,0.0
1260.0,9.0,0.0,0.0,0.0,0.0,0.0
1272.0,12.0,0.0,0.0,0.0,0.0,0.0
1283.0,11.0,0.0,0.0,0.0,0.0,0.0
1294.0,11.0,0.0,0.0,0.0,0.0,0.0
1305.0,11.0,0.0,0.0,0.0,0.0,0.0
1316.0,11.0,0.0,0.0,0.0,0.0,0.0
1328.0,12.0,0.0,0.0,0.0,0.0,0.0
1342.0,14.0,0.0,0.0,0.0,0.0,0.0
1359.0,17.0,0.0,0.0,0.0,0.0,0.0
1386.0,27.0,0.0,0.0,0.0,0.0,0.0
1408.0,22.0,0.0,0.0,0.0,0.0,0.0
1428.0,20.0,0.0,0.0,0.0,0.0,0.0
1442.0,14.0,0.0,0.0,0.0,0.0,0.0
1455.0,13.0,0.0,0.0,0.0,0.0,0.0
1467.0,12.0,0.0,0.0,0.0,0.0,0.0
1479.0,12.0,0.0,0.0,0.0,0.0,0.0
1490.0,11.0,0.0,0.0,0.0,0.0,0.0
1501.0,11.0,0.0,0.0,0.0,0.0,0.0
1511.0,10.0,0.0,0.0,0.0,0.0,0.0
1521.0,10.0,0.0,0.0,0.0,0.0,0.0
1531.0,10.0,0.0,0.0,0.0,0.0,0.0
1541.0,10.0,0.0,0.0,0.0,0.0,0.0
1551.0,10.0,0.0,0.0,0.0,0.0,0.0
1561.0,10.0,0.0,0.0,0.0,0.0,0.0
1571.0,10.0,0.0,0.0,0.0,0.0,0.0
1582.0,11.0,0.0,0.0,0.0,0.0,0.0
1595.0,13.0,0.0,0.0,0.0,0.0,0.0
1605.0,10.0,0.0,0.0,0.0,0.0,0.0
1616.0,11.0,0.0,0.0,0.0,0.0,0.0
1626.0,10.0,0.0,0.0,0.0,0.0,0.0
1636.0,10.0,0.0,0.0,0.0,0.0,0.0
1646.0,10.0,0.0,0.0,0.0,0.0,0.0
1656.0,10.0,0.0,0.0,0.0,0.0,0.0
1666.0,10.0,0.0,0.0,0.0,0.0,0.0
1676.0,10.0,0.0,0.0,0.0,0.0,0.0
1687.0,11.0,0.0,0.0,0.0,0.0,0.0
1698.0,11.0,0.0,0.0,0.0,0.0,0.0
1710.0,12.0,0.0,0.0,0.0,0.0,0.0
1723.0,13.0,0.0,0.0,0.0,0.0,0.0
1737.0,14.0,0.0,0.0,0.0,0.0,0.0
1755.0,18.0,0.0,0.0,0.0,0.0,0.0
1769.0,14.0,0.0,0.0,0.0,0.0,0.0
1795.0,26.0,0.0,0.0,0.0,0.0,0.0
1842.0,47.0,0.0,0.0,0.0,0.0,0.0
1868.0,26.0,0.0,0.0,0.0,0.0,0.0
1899.0,31.0,0.0,0.0,0.0,0.0,0.0
1918.0,19.0,0.0,0.0,0.0,0.0,0.0
1936.0,18.0,0.0,0.0,0.0,0.0,0.0
1954.0,18.0,0.0,0.0,0.0,0.0,0.0
1972.0,18.0,0.0,0.0,0.0,0.0,0.0
1991.0,19.0,0.0,0.0,0.0,0.0,0.0
2012.0,21.0,0.0,0.0,0.0,0.0,0.0
2038.0,26.0,0.0,0.0,0.0,0.0,0.0
2062.0,24.0,0.0,0.0,0.0,0.0,0.0
2096.0,34.0,0.0,0.0,0.0,0.0,0.0
2108.0,12.0,0.0,0.0,0.0,0.0,0.0
2123.0,15.0,0.0,0.0,0.0,0.0,0.0
2138.0,15.0,0.0,0.0,0.0,0.0,0.0
2151.0,13.0,0.0,0.0,0.0,0.0,0.0
2163.0,12.0,0.0,0.0,0.0,0.0,0.0
2176.0,13.0,0.0,0.0,0.0,0.0,0.0
2188.0,12.0,0.0,0.0,0.0,0.0,0.0
2199.0,11.0,0.0,0.0,0.0,0.0,0.0
2210.0,11.0,0.0,0.0,0.0,0.0,0.0
2221.0,11.0,0.0,0.0,0.0,0.0,0.0
