iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,26.737135570161286,0.2732246382331027,0.003960208648819297,0.01964397898907766,0.0,0.39383142549797867,-0.00020655258011006983
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,11.450487472553021,0.8854898967365159,0.7308542006527299,0.06430251670497977,0.0,0.418751347861388,-7.130483544756476e-5
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,2.145986426702436,1.7282146471954576,0.1523042833844821,0.0,0.4398472466633052,0.0003148878642328795
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,3.120657407405801,2.44634162647732,0.21694369046777595,0.0,0.4018956716749358,0.0008469035547188537
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.831807870376068,3.6393991711663602,0.32677718275312806,0.0,0.3447569873828513,0.0013293803704777993
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,6.055575231466335,4.294201431133843,0.3951923926528291,0.0,0.2825623146104306,0.0017718771538906986
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,4.217370370373743,2.833044750307721,0.2683392329008658,0.0,0.2248733791794706,0.0022128976993215
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.2539317129756,1.493045903719942,0.14324333000998823,0.0,0.1829937861174642,0.0026852722024367746
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,43.756125423742134,0.6290456498144295,0.4161379333680699,0.04005563407160739,0.0,0.15591063558812834,0.000614706767729345
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,98.15648054679656,0.3825133735089423,0.315627173545721,0.028627732931196803,0.0,0.14980863817966394,0.00019122754848063112
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,124.0600097259977,0.46805092591149844,0.4066390314849535,0.03647989031493193,0.0,0.21793154791723168,8.069779845839556e-5
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,63.37489970076916,1.004642361139176,0.8889735130621901,0.07858799515695747,0.0,0.614676767080141,5.670301700887344e-5
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,7.465328174463224,3.1908393536931356,2.7490853875352244,0.24006635133948784,0.0,0.9365478729990144,6.320025616947899e-5
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,24.32426075589646,5.634764602024788,4.689318689106216,0.4350551833671794,0.0,0.815920153542848,7.30195366246982e-5
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,12.830398202419389,6.60174352393463,5.359798340105868,0.5072099681313116,0.0,0.6558175405291138,8.210234607387151e-5
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,6.896402777780651,5.27860534569021,0.504161715542276,0.0,0.5092258661891265,0.00010195580177696062
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,7.130935185175616,5.125449883741425,0.5011066050240096,0.0,0.37327276843217305,0.00011995039396546839
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,6.414388888875635,4.319074583421724,0.4360571693529085,0.0,0.2763114785051215,0.00014298183141580679
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,6.0,3.803195390905131,0.3978458378526071,0.0,0.21116542893058465,0.00016843752590755146
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,16.536583433926495,5.25665834342081,3.224833817111275,0.3477974344111736,0.0,0.16445216564206078,0.00017068623796073843
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,9.385271653155058,4.104054943102625,2.5763587454039225,0.2756951791698654,0.0,0.13764964168908023,0.00017502508421446926
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.237939814805571,2.4970164934838266,0.275587679608579,0.0,0.11979024636629276,0.00019055510064078186
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,4.791381944462529,2.6271207228099627,0.3039689666640797,0.0,0.10590590086275142,0.00020677298299505182
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,4.325854166645627,2.2138404751976353,0.2692010651825676,0.0,0.09294882231866097,0.00022775339117394396
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,63.789465067613236,3.450277777789381,1.93070645480784,0.22857692511762373,0.0,0.08065061254237094,0.00020082914244460692
