∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1470.0,1470.0,0.0,0.0,0.0,0.0,0.0
1811.0,341.0,0.0,0.0,0.0,0.0,0.0
2133.0,322.0,0.0,0.0,0.0,0.0,0.0
2448.0,315.0,0.0,0.0,0.0,0.0,0.0
2780.0,332.0,0.0,0.0,0.0,0.0,0.0
3180.0,400.0,0.0,0.0,0.0,0.0,0.0
3969.0,789.0,0.0,0.0,0.0,0.0,0.0
4866.0,897.0,0.0,0.0,0.0,0.0,0.0
5698.0,832.0,0.0,0.0,0.0,0.0,0.0
6429.0,731.0,0.0,0.0,0.0,0.0,0.0
7146.0,717.0,0.0,0.0,0.0,0.0,0.0
7890.0,744.0,0.0,0.0,0.0,0.0,0.0
8867.0,977.0,0.0,0.0,0.0,0.0,0.0
9811.0,944.0,0.0,0.0,0.0,0.0,0.0
10747.0,936.0,0.0,0.0,0.0,0.0,0.0
11433.0,686.0,0.0,0.0,0.0,0.0,0.0
11951.0,518.0,0.0,0.0,0.0,0.0,0.0
12381.0,430.0,0.0,0.0,0.0,0.0,0.0
12796.0,415.0,0.0,0.0,0.0,0.0,0.0
13179.0,383.0,0.0,0.0,0.0,0.0,0.0
13534.0,355.0,0.0,0.0,0.0,0.0,0.0
13869.0,335.0,0.0,0.0,0.0,0.0,0.0
14192.0,323.0,0.0,0.0,0.0,0.0,0.0
14512.0,320.0,0.0,0.0,0.0,0.0,0.0
14840.0,328.0,0.0,0.0,0.0,0.0,0.0
15178.0,338.0,0.0,0.0,0.0,0.0,0.0
15545.0,367.0,0.0,0.0,0.0,0.0,0.0
15975.0,430.0,0.0,0.0,0.0,0.0,0.0
16554.0,579.0,0.0,0.0,0.0,0.0,0.0
17552.0,998.0,0.0,0.0,0.0,0.0,0.0
18819.0,1267.0,0.0,0.0,0.0,0.0,0.0
20311.0,1492.0,0.0,0.0,0.0,0.0,0.0
22082.0,1771.0,0.0,0.0,0.0,0.0,0.0
24064.0,1982.0,0.0,0.0,0.0,0.0,0.0
26246.0,2182.0,0.0,0.0,0.0,0.0,0.0
28302.0,2056.0,0.0,0.0,0.0,0.0,0.0
30284.0,1982.0,0.0,0.0,0.0,0.0,0.0
32243.0,1959.0,0.0,0.0,0.0,0.0,0.0
34181.0,1938.0,0.0,0.0,0.0,0.0,0.0
36094.0,1913.0,0.0,0.0,0.0,0.0,0.0
38099.0,2005.0,0.0,0.0,0.0,0.0,0.0
40069.0,1970.0,0.0,0.0,0.0,0.0,0.0
42019.0,1950.0,0.0,0.0,0.0,0.0,0.0
43887.0,1868.0,0.0,0.0,0.0,0.0,0.0
45689.0,1802.0,0.0,0.0,0.0,0.0,0.0
47463.0,1774.0,0.0,0.0,0.0,0.0,0.0
49293.0,1830.0,0.0,0.0,0.0,0.0,0.0
51075.0,1782.0,0.0,0.0,0.0,0.0,0.0
52837.0,1762.0,0.0,0.0,0.0,0.0,0.0
54702.0,1865.0,0.0,0.0,0.0,0.0,0.0
56497.0,1795.0,0.0,0.0,0.0,0.0,0.0
58286.0,1789.0,0.0,0.0,0.0,0.0,0.0
60067.0,1781.0,0.0,0.0,0.0,0.0,0.0
61846.0,1779.0,0.0,0.0,0.0,0.0,0.0
63630.0,1784.0,0.0,0.0,0.0,0.0,0.0
65423.0,1793.0,0.0,0.0,0.0,0.0,0.0
67228.0,1805.0,0.0,0.0,0.0,0.0,0.0
69046.0,1818.0,0.0,0.0,0.0,0.0,0.0
70873.0,1827.0,0.0,0.0,0.0,0.0,0.0
72709.0,1836.0,0.0,0.0,0.0,0.0,0.0
74554.0,1845.0,0.0,0.0,0.0,0.0,0.0
76409.0,1855.0,0.0,0.0,0.0,0.0,0.0
78274.0,1865.0,0.0,0.0,0.0,0.0,0.0
80145.0,1871.0,0.0,0.0,0.0,0.0,0.0
82025.0,1880.0,0.0,0.0,0.0,0.0,0.0
83913.0,1888.0,0.0,0.0,0.0,0.0,0.0
85809.0,1896.0,0.0,0.0,0.0,0.0,0.0
87712.0,1903.0,0.0,0.0,0.0,0.0,0.0
89676.0,1964.0,0.0,0.0,0.0,0.0,0.0
91678.0,2002.0,0.0,0.0,0.0,0.0,0.0
93701.0,2023.0,0.0,0.0,0.0,0.0,0.0
95743.0,2042.0,0.0,0.0,0.0,0.0,0.0
97804.0,2061.0,0.0,0.0,0.0,0.0,0.0
99884.0,2080.0,0.0,0.0,0.0,0.0,0.0
101978.0,2094.0,0.0,0.0,0.0,0.0,0.0
104085.0,2107.0,0.0,0.0,0.0,0.0,0.0
106206.0,2121.0,0.0,0.0,0.0,0.0,0.0
108341.0,2135.0,0.0,0.0,0.0,0.0,0.0
110491.0,2150.0,0.0,0.0,0.0,0.0,0.0
112657.0,2166.0,0.0,0.0,0.0,0.0,0.0
114840.0,2183.0,0.0,0.0,0.0,0.0,0.0
117039.0,2199.0,0.0,0.0,0.0,0.0,0.0
119251.0,2212.0,0.0,0.0,0.0,0.0,0.0
121475.0,2224.0,0.0,0.0,0.0,0.0,0.0
123711.0,2236.0,0.0,0.0,0.0,0.0,0.0
125959.0,2248.0,0.0,0.0,0.0,0.0,0.0
128220.0,2261.0,0.0,0.0,0.0,0.0,0.0
130495.0,2275.0,0.0,0.0,0.0,0.0,0.0
132784.0,2289.0,0.0,0.0,0.0,0.0,0.0
135087.0,2303.0,0.0,0.0,0.0,0.0,0.0
137403.0,2316.0,0.0,0.0,0.0,0.0,0.0
139730.0,2327.0,0.0,0.0,0.0,0.0,0.0
142067.0,2337.0,0.0,0.0,0.0,0.0,0.0
144415.0,2348.0,0.0,0.0,0.0,0.0,0.0
146774.0,2359.0,0.0,0.0,0.0,0.0,0.0
149144.0,2370.0,0.0,0.0,0.0,0.0,0.0
151525.0,2381.0,0.0,0.0,0.0,0.0,0.0
153918.0,2393.0,0.0,0.0,0.0,0.0,0.0
156323.0,2405.0,0.0,0.0,0.0,0.0,0.0
158740.0,2417.0,0.0,0.0,0.0,0.0,0.0
161168.0,2428.0,0.0,0.0,0.0,0.0,0.0
163605.0,2437.0,0.0,0.0,0.0,0.0,0.0
166051.0,2446.0,0.0,0.0,0.0,0.0,0.0
168506.0,2455.0,0.0,0.0,0.0,0.0,0.0
170971.0,2465.0,0.0,0.0,0.0,0.0,0.0
173445.0,2474.0,0.0,0.0,0.0,0.0,0.0
175931.0,2486.0,0.0,0.0,0.0,0.0,0.0
178434.0,2503.0,0.0,0.0,0.0,0.0,0.0
