iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,5.147555648740081,3.9034245463567885,0.11723450561554216,0.1948161619151163,0.0,0.7336492711451541,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,3.694822225952521e-11,4.886296296290482,4.135668911427771,0.234430685954659,0.0,0.6833486213686228,-2.2850972669793415e8
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,-9.279688129026908e-11,4.961537037043129,4.189204472639744,0.2278937431481518,0.0,0.6347267607507092,-4.246671899375181e8
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,-2.7711166694643907e-11,4.678124999988867,3.940659436653476,0.2056259947852288,0.0,0.5925808066845946,-6.473097878073654e8
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,-4.007461029686965e-11,4.9152476852082145,4.130913792937406,0.2065606644469229,0.0,0.5550681489971367,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,1.752198386384407e-10,4.766203703690024,3.9966229287691846,0.19126710264297042,0.0,0.5197586300923831,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,-1.3514522834157106e-10,3.585071759256408,3.0004578775013897,0.13812245202098428,0.0,0.47125340268972593,-1.0389484552760124e9
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,2.2922108655620832e-10,3.6862442129704505,3.079911768979713,0.13679985762393443,0.0,0.4673062943414408,NaN
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,-1.77351466845721e-10,4.27082986110608,3.56183995621862,0.15199255885724217,0.0,0.4440343750894442,-1.722315341838441e9
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,-3.367972567502875e-11,3.6634953703761255,3.049990694877849,0.12504154913124577,0.0,0.4053566729956799,NaN
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,13.668516449650525,4.022226644916913,3.3445756764184438,0.13321406686830795,0.0,0.39715709514428,0.001365188953062188
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,16.751830328557702,3.7576066440006457,3.1222753801567933,0.12218742255917192,0.0,0.39597329846856155,0.0007564210529792548
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,4.349558160236171,4.398510214185649,3.6492792313890874,0.13749133681359815,0.0,0.3574083374922026,0.0007257045379498537
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,5.030642569181509e-11,4.9887615740649665,4.049444118993122,0.164612311433741,0.0,0.3598426064975939,0.0007676785701948993
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,-3.353761712787673e-11,5.2388136574273005,4.191642958082653,0.17338756238897446,0.0,0.33986296792927817,0.0008114604411260677
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,-4.121147867408581e-12,5.394215277780688,4.30492713022565,0.16747616079164906,0.0,0.30691405235943137,0.0008570995459578458
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,4.192202140984591e-11,5.424319444429244,4.318099174730264,0.1575578191780309,0.0,0.29955221127274,0.0009020100788166626
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,1.3500311979441904e-10,5.649643518498351,4.485935249041006,0.1525666590081709,0.0,0.27083035302652547,0.0009507159950072289
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,-1.4338752407638822e-10,5.666386574077194,4.487715786310531,0.14150499997846921,0.0,0.26268797671215793,0.0010249060982617524
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,9.961809155356605e-11,4.870935185198704,3.8492733276752205,0.11318671150564619,0.0,0.24693283498001506,0.0011020137132354887
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,-5.7980287238024175e-11,5.140891203710311,4.053697786258724,0.11055050734986516,0.0,0.2248122591329178,0.0011873681907355487
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,-4.263256414560601e-11,4.576028935214907,3.6007246442953402,0.09083592476995683,0.0,0.2187964386656347,0.0012985589395293831
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,2.0605739337042905e-11,4.3986041666484255,3.4552029841832166,0.0814019517221709,0.0,0.20136825029362626,0.001390032404479487
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,4.689582056016661e-11,5.618008101825978,4.402062083450161,0.09295837321112188,0.0,0.19002584400206501,0.001487713773228208
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,-7.077005648170598e-11,6.24137500000711,4.875631032364225,0.0883947589790921,0.0,0.183829087085428,0.0015980799783849335
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,5.002220859751105e-11,5.642067129636644,4.395100193211334,0.0675428168383796,0.0,0.1649769282851139,0.0016949593495545704
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,-7.986500349943526e-11,5.394949074054523,4.190516787575007,0.05390946649881556,0.0,0.16097727522466698,0.0018265431026358333
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,1.1112888387287967e-10,4.856541666680016,3.7557023158432656,0.039277643610866164,0.0,0.1457680024539627,0.0019568065594337287
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,1.8474111129762605e-11,4.902807870392735,3.7674592913534894,0.029212100500860316,0.0,0.13738403515660025,0.0020650214985836277
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,-7.219114195322618e-11,3.899150462969118,2.970634965820196,0.013953355596884265,0.0,0.1299588154384992,0.0022192702523311948
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,11.336561953351918,4.537138834156281,3.46325952344462,0.02502863435604752,0.0,0.12190628109954105,0.0017368081545272099
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,6.402801494525647,6.062707232823101,4.635977628117502,0.03984277968055494,0.0,0.11539417056016532,0.001562741716763784
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,-1.3301360013429075e-10,6.520483796362669,4.758821381247401,0.004457467904099843,0.0,0.11082081275486644,0.07573943946335504
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,8.952838470577262e-11,4.863981481352084,3.4386687478060765,0.0010071430530711467,0.0,0.10333182295966026,0.20262936586724578
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,-1.2704504115390591e-10,4.053842592655087,2.848255576627139,0.000839394518161285,0.0,0.09866340510953364,0.32239676082293034
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,-1.368505309073953e-10,3.698296296344438,2.587186747366758,0.0007657745882170275,0.0,0.09105130033088926,0.43797192199173995
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,1.3784529073745944e-10,4.351362268524099,3.021063964522739,0.0009009993737532085,0.0,0.08857710510639549,0.5798545489671643
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,23.779898278858553,3.1991483926571505,2.2713984013988693,0.013750633420915648,0.0,0.08292818220445497,0.44688354363269056
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,13.388291802561412,4.578856957975233,3.4733987727760223,0.04221693078162403,0.0,0.08080558238870594,0.38017344154872923
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,3.836930773104541e-11,5.98089930553391,4.340521979478353,0.01167364743827548,0.0,0.07530609334699534,0.39957980131086135
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,-3.723243935382925e-10,5.806103009334549,3.9267600360933557,0.0012022200982446662,0.0,0.07353817606821167,0.5393313738084284
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,4.889955107501009e-10,5.704682870391764,3.8205758887858394,0.0011812198972034338,0.0,0.07012499811725093,0.6949557227145
44.0,2018.0,1.0,1.0,0.0,0.0,0.0,1791.0002777777777,-5.192646312934812e-10,4.857043981396259,3.2317268647608444,0.0010057065632818052,0.0,0.06581270191929889,0.8293029961157643
45.0,2018.0,1.0,2.0,0.0,0.0,0.0,1815.0002777777777,18.369768194013147,2.663342592525794,1.8099742706522193,0.008080113153445367,0.0,0.0640139300342355,0.7342808533203709
46.0,2018.0,1.0,3.0,0.0,0.0,0.0,1839.0002777777777,59.32696637005009,2.1427662038234985,1.4220368295532353,0.05497775666910876,0.0,0.05961446015376737,0.47440003602451597
47.0,2018.0,1.0,4.0,0.0,0.0,0.0,1863.0002777777777,79.9685779363648,2.2504085648148475,1.4735836608490729,0.08566164628727968,0.0,0.05792549492403509,0.32100842437417754
48.0,2018.0,1.0,5.0,0.0,0.0,0.0,1887.0002777777777,257.58660879602644,1.3658506944823898,0.9170580504602128,0.06672352148413907,0.0,0.05699475976396684,0.15723886086132843
