iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,5.585542721470347,5.157446724393239,0.0,0.8557502937347419,0.0,11.863906559586155,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,7.9754834949946485,3.9001836021439544,2.1994272082134785,0.6373264826040526,0.0,9.277181134037875,0.007075734138077064
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,0.802656424534689,5.877944110345524,7.812458134930864,0.9221276827316807,0.0,4.4039431602323305,0.01949640561649535
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,0.7981492994895234,4.880505115180526,6.278126873215342,0.7395614696677519,0.0,2.528619113098145,0.03323449096357678
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,0.7981492991586947,4.979877674050044,6.206354626611784,0.732946031661438,0.0,1.6941519069420536,0.04161231556694073
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,0.7981492998203521,5.179563953501855,6.237771112697573,0.7413612274736892,0.0,1.1983947515979594,0.04724997433224082
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.7981492991586947,4.978873768283577,5.781540579272416,0.6941250273894504,0.0,0.8810965790077319,0.05064314264946374
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,0.7981492994895234,3.2810698121821957,3.6933347949010624,0.4483917435113014,0.0,0.6888624236068495,0.055478324878020194
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,0.7981492998203521,3.5799404181594525,3.9154192131874055,0.48087138716404,0.0,0.5735694553810617,0.05990561219444722
