∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759.9532848009912,1759.9532848009912,0.0,0.0,0.0,0.0,0.0
3675.707837093266,1915.7545522922744,0.0,0.0,0.0,0.0,0.0
7019.928060178272,3344.2202230850057,0.0,0.0,0.0,0.0,0.0
10588.65194511335,3568.723884935077,0.0,0.0,0.0,0.0,0.0
14188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
17788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
21388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
24988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
28588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
32188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
35788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
39388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
42988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
46588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
50188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
53788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
57388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
60988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
64588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
68188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
71788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
75388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
78988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
82588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
86188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
89788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
93388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
96988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
100588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
104188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
107788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
111388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
114988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
118588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
122188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
125788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
129388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
132988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
136588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
140188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
143788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
147388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
150988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
154588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
158188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
161788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
165388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
168988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
172588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
176188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
179788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
183388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
186988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
190588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
194188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
197788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
201388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
204988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
208588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
212188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
215788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
219388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
222988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
226588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
230188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
233788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
237388.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
240988.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
244588.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
248188.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
251788.65194511335,3600.0,0.0,0.0,0.0,0.0,0.0
