iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,3.5915007873006743,4.184910804232615,0.07505909431014146,0.448691651962303,0.0,0.23096421205583795,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,-1.6541434888495132e-10,5.1727386118108285,2.202969831084282,0.5456477752282982,0.0,0.20230909723346713,8.896867027254456e9
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,1.6541434888495132e-10,5.14847854899331,1.9693143897617205,0.5351519237976685,0.0,0.17224835053383458,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.669695709804671,1.6139634423213352,0.47984336267934324,0.0,0.14961330993715194,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.860608580406208,1.509403726606358,0.4941680995155586,0.0,0.13304897532624693,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,4.934847854894755,1.3646132066993246,0.49675572365139153,0.0,0.11953872212953343,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,-1.6541434888495132e-10,3.7924135332844457,0.9473698060275346,0.3790149959817164,0.0,0.10868866154247314,5.4749283863495605e10
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,1.6541434888495132e-10,3.6560650157070143,0.837525274906838,0.3634292035857225,0.0,0.10118274422998752,NaN
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.290912870593502,0.8817738531240806,0.42376839875822725,0.0,0.09514988551508452,NaN
