0,iZ,Z,θini,Horizon
,1,12.5,0.424,1
,2,25,0.424,1
,3,37.5,0.424,1
,4,50,0.424,1
,5,75,0.424,1
,6,100,0.424,1
,7,125,0.424,1
,8,150,0.424,1
,9,175,0.424,1
,10,200,0.424,2
,11,225,0.424,2
,12,250,0.4107,2
,13,275,0.4107,2
,14,300,0.4107,2
,15,350,0.4107,2
,16,400,0.4107,2
,17,450,0.4107,3
,18,500,0.396,3
,19,550,0.396,3
,20,600,0.396,3
,21,650,0.396,4
,22,700,0.399,4
,23,750,0.399,4
,24,800,0.399,4
,25,850,0.399,4
,26,900,0.39,5
,27,950,0.39,5
,28,1000,0.39,5
,29,1050,0.39,5
,30,1100,0.39,5
,31,1150,0.39,5
,32,1200,0.39,5
