Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.1,0.0
2017.0,10.0,18.0,0.1,0.08763529087683922
2017.0,10.0,19.0,0.1,0.08763529087683922
2017.0,10.0,20.0,0.1,0.08763529087683922
2017.0,10.0,21.0,0.1,0.08763529087683922
2017.0,10.0,22.0,0.1,0.08763529087683922
2017.0,10.0,23.0,23.9,20.94483451956457
2017.0,10.0,24.0,0.2,0.17527058175367843
2017.0,10.0,25.0,0.2,0.17527058175367843
2017.0,10.0,26.0,9.6,8.412987924176564
2017.0,10.0,27.0,5.1,4.469399834718799
2017.0,10.0,28.0,19.4,17.001246430106807
2017.0,10.0,29.0,17.2,15.073270030816344
2017.0,10.0,30.0,0.1,0.08763529087683922
2017.0,10.0,31.0,0.1,0.08763529087683922
2017.0,11.0,1.0,0.1,0.0818106533487269
2017.0,11.0,2.0,0.1,0.0818106533487269
2017.0,11.0,3.0,5.2,4.254153974133799
2017.0,11.0,4.0,51.2,47.63035538316579
2017.0,11.0,5.0,0.2,0.1636213066974538
2017.0,11.0,6.0,0.2,0.1636213066974538
2017.0,11.0,7.0,0.2,0.1636213066974538
2017.0,11.0,8.0,42.3,38.695847442
2017.0,11.0,9.0,0.1,0.0818106533487269
2017.0,11.0,10.0,0.1,0.0818106533487269
2017.0,11.0,11.0,0.1,0.0818106533487269
2017.0,11.0,12.0,0.1,0.0818106533487269
2017.0,11.0,13.0,3.6,2.9451835205541688
2017.0,11.0,14.0,0.8,0.6544852267898152
2017.0,11.0,15.0,91.7,88.09584744200001
2017.0,11.0,16.0,2.8,2.290698293764353
2017.0,11.0,17.0,0.1,0.0818106533487269
2017.0,11.0,18.0,0.7,0.5726745734410883
2017.0,11.0,19.0,1.0,0.818106533487269
2017.0,11.0,20.0,0.1,0.0818106533487269
2017.0,11.0,21.0,0.1,0.0818106533487269
2017.0,11.0,22.0,0.1,0.0818106533487269
2017.0,11.0,23.0,0.1,0.0818106533487269
2017.0,11.0,24.0,0.1,0.0818106533487269
2017.0,11.0,25.0,0.1,0.0818106533487269
2017.0,11.0,26.0,0.1,0.0818106533487269
2017.0,11.0,27.0,0.1,0.0818106533487269
2017.0,11.0,28.0,0.1,0.0818106533487269
2017.0,11.0,29.0,47.0,43.395847442000004
2017.0,11.0,30.0,0.2,0.1636213066974538
2017.0,12.0,1.0,0.2,0.15862625558017873
2017.0,12.0,2.0,10.8,8.565817801329652
2017.0,12.0,3.0,0.1,0.07931312779008937
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.0,0.0
2017.0,12.0,10.0,0.0,0.0
2017.0,12.0,11.0,1.1,0.8724444056909831
2017.0,12.0,12.0,1.1,0.8724444056909831
2017.0,12.0,13.0,0.1,0.07931312779008937
2017.0,12.0,14.0,0.0,0.0
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,0.5,0.39656563895044683
2017.0,12.0,19.0,0.3,0.2379393833702681
2017.0,12.0,20.0,4.5,3.5690907505540217
2017.0,12.0,21.0,0.3,0.2379393833702681
2017.0,12.0,22.0,15.7,12.45216106304403
2017.0,12.0,23.0,1.0,0.7931312779008937
2017.0,12.0,24.0,0.2,0.15862625558017873
2017.0,12.0,25.0,0.2,0.15862625558017873
2017.0,12.0,26.0,6.6,5.234666434145898
2017.0,12.0,27.0,0.2,0.15862625558017873
2017.0,12.0,28.0,0.2,0.15862625558017873
2017.0,12.0,29.0,0.2,0.15862625558017873
2017.0,12.0,30.0,0.2,0.15862625558017873
2017.0,12.0,31.0,0.2,0.15862625558017873
2018.0,1.0,1.0,9.7,6.580770274247034
2018.0,1.0,2.0,60.6,58.41507716775297
2018.0,1.0,3.0,13.7,11.897923721000002
2018.0,1.0,4.0,34.4,32.597923721
2018.0,1.0,5.0,35.6,33.797923721000004
2018.0,1.0,6.0,7.9,6.097923721
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,0.0,0.0
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,16.0,12.395847442
2018.0,1.0,13.0,0.1,0.06784299251801067
2018.0,1.0,14.0,0.1,0.06784299251801067
2018.0,1.0,15.0,0.1,0.06784299251801067
2018.0,1.0,16.0,1.3,0.8819589027341387
2018.0,1.0,17.0,0.1,0.06784299251801067
2018.0,1.0,18.0,17.0,13.697923721
2018.0,1.0,19.0,20.4,18.597923721
2018.0,1.0,20.0,0.1,0.06784299251801067
2018.0,1.0,21.0,0.1,0.06784299251801067
2018.0,1.0,22.0,8.2,5.563125386476875
2018.0,1.0,23.0,0.8,0.5427439401440853
2018.0,1.0,24.0,0.1,0.06784299251801067
2018.0,1.0,25.0,0.1,0.06784299251801067
2018.0,1.0,26.0,6.9,4.681166483742737
2018.0,1.0,27.0,0.1,0.06784299251801067
2018.0,1.0,28.0,15.1,11.495847441999999
2018.0,1.0,29.0,0.1,0.06784299251801067
2018.0,1.0,30.0,0.1,0.06784299251801067
2018.0,1.0,31.0,0.1,0.06784299251801067
2018.0,2.0,1.0,60.3,56.697923720999995
2018.0,2.0,2.0,0.1,0.050013074973155415
2018.0,2.0,3.0,0.1,0.050013074973155415
2018.0,2.0,4.0,0.1,0.050013074973155415
2018.0,2.0,5.0,1.6,0.8002091995704866
2018.0,2.0,6.0,1.0,0.5001307497315541
2018.0,2.0,7.0,0.4,0.20005229989262166
